# Constructed from biom file
#OTU ID	NPK_Lj_ccamk_1_endo	NPK_Lj_ccamk_1_rhizo	NPK_Lj_ccamk_2_endo	NPK_Lj_ccamk_2_rhizo	NPK_Lj_ccamk_3_endo	NPK_Lj_ccamk_3_rhizo	NPK_Lj_ccamk_4_endo	NPK_Lj_ccamk_4_rhizo	NPK_Lj_ccamk_5_endo	NPK_Lj_ccamk_5_rhizo	NPK_Lj_ccamk_6_endo	NPK_Lj_ccamk_6_rhizo	NPK_Lj_nsp_2_rhizo	NPK_Lj_nsp1_1_endo	NPK_Lj_nsp1_1_rhizo	NPK_Lj_nsp1_2_endo	NPK_Lj_nsp1_2_rhizo	NPK_Lj_nsp1_3_endo	NPK_Lj_nsp1_3_rhizo	NPK_Lj_nsp1_4_endo	NPK_Lj_nsp1_4_rhizo	NPK_Lj_nsp1_5_endo	NPK_Lj_nsp1_5_rhizo	NPK_Lj_nsp1_6_endo	NPK_Lj_nsp1_6_rhizo	NPK_Lj_nsp2_1_endo	NPK_Lj_nsp2_1_rhizo	NPK_Lj_nsp2_2_endo	NPK_Lj_nsp2_3_endo	NPK_Lj_nsp2_3_rhizo	NPK_Lj_nsp2_4_endo	NPK_Lj_nsp2_4_rhizo	NPK_Lj_nsp2_5_endo	NPK_Lj_nsp2_5_rhizo	NPK_Lj_nsp2_6_endo	NPK_Lj_nsp2_6_rhizo	NPK_Lj_symrk_1_endo	NPK_Lj_symrk_1_rhizo	NPK_Lj_symrk_2_endo	NPK_Lj_symrk_2_rhizo	NPK_Lj_symrk_3_endo	NPK_Lj_symrk_3_rhizo	NPK_Lj_symrk_4_endo	NPK_Lj_symrk_4_rhizo	NPK_Lj_symrk_5_endo	NPK_Lj_symrk_5_rhizo	NPK_Lj_symrk_6_endo	NPK_Lj_symrk_6_rhizo	NPK_Lj_WT_1_endo	NPK_Lj_WT_1_nod	NPK_Lj_WT_1_rhizo	NPK_Lj_WT_2_endo	NPK_Lj_WT_2_nod	NPK_Lj_WT_2_rhizo	NPK_Lj_WT_3_endo	NPK_Lj_WT_3_nod	NPK_Lj_WT_3_rhizo	NPK_Lj_WT_4_endo	NPK_Lj_WT_4_nod	NPK_Lj_WT_4_rhizo	NPK_Lj_WT_5_endo	NPK_Lj_WT_5_nod	NPK_Lj_WT_5_rhizo	NPK_Lj_WT_6_endo	NPK_Lj_WT_6_nod	NPK_Lj_WT_6_rhizo	PK_Lj_ccamk_1_endo	PK_Lj_ccamk_1_rhizo	PK_Lj_ccamk_2_endo	PK_Lj_ccamk_2_rhizo	PK_Lj_ccamk_3_rhizo	PK_Lj_ccamk_4_endo	PK_Lj_ccamk_4_rhizo	PK_Lj_ccamk_5_endo	PK_Lj_ccamk_5_rhizo	PK_Lj_ccamk_6_endo	PK_Lj_ccamk_6_rhizo	PK_Lj_nsp1_1_endo	PK_Lj_nsp1_1_rhizo	PK_Lj_nsp1_2_endo	PK_Lj_nsp1_2_rhizo	PK_Lj_nsp1_3_endo	PK_Lj_nsp1_3_rhizo	PK_Lj_nsp1_4_endo	PK_Lj_nsp1_4_rhizo	PK_Lj_nsp1_5_endo	PK_Lj_nsp1_5_rhizo	PK_Lj_nsp1_6_endo	PK_Lj_nsp1_6_rhizo	PK_Lj_nsp2_1_endo	PK_Lj_nsp2_1_rhizo	PK_Lj_nsp2_2_rhizo	PK_Lj_nsp2_3_endo	PK_Lj_nsp2_3_rhizo	PK_Lj_nsp2_4_endo	PK_Lj_nsp2_4_rhizo	PK_Lj_nsp2_5_endo	PK_Lj_nsp2_5_rhizo	PK_Lj_nsp2_6_endo	PK_Lj_nsp2_6_rhizo	PK_Lj_symrk_1_endo	PK_Lj_symrk_1_rhizo	PK_Lj_symrk_2_endo	PK_Lj_symrk_2_rhizo	PK_Lj_symrk_3_endo	PK_Lj_symrk_3_rhizo	PK_Lj_symrk_4_endo	PK_Lj_symrk_4_rhizo	PK_Lj_symrk_5_endo	PK_Lj_symrk_5_rhizo	PK_Lj_symrk_6_endo	PK_Lj_symrk_6_rhizo	PK_Lj_WT_1_endo	PK_Lj_WT_1_nod	PK_Lj_WT_1_rhizo	PK_Lj_WT_2_endo	PK_Lj_WT_2_nod	PK_Lj_WT_2_rhizo	PK_Lj_WT_3_endo	PK_Lj_WT_3_nod	PK_Lj_WT_3_rhizo	PK_Lj_WT_4_endo	PK_Lj_WT_4_nod	PK_Lj_WT_4_rhizo	PK_Lj_WT_5_endo	PK_Lj_WT_5_nod	PK_Lj_WT_5_rhizo	PK_Lj_WT_6_endo	PK_Lj_WT_6_nod	PK_Lj_WT_6_rhizo	UF_Lj_ccamk_1_endo	UF_Lj_ccamk_1_rhizo	UF_Lj_ccamk_2_endo	UF_Lj_ccamk_2_rhizo	UF_Lj_ccamk_3_endo	UF_Lj_ccamk_3_rhizo	UF_Lj_ccamk_4_endo	UF_Lj_ccamk_4_rhizo	UF_Lj_ccamk_5_endo	UF_Lj_ccamk_5_rhizo	UF_Lj_ccamk_6_endo	UF_Lj_ccamk_6_rhizo	UF_Lj_nsp1_1_endo	UF_Lj_nsp1_1_rhizo	UF_Lj_nsp1_2_endo	UF_Lj_nsp1_2_rhizo	UF_Lj_nsp1_3_endo	UF_Lj_nsp1_3_rhizo	UF_Lj_nsp1_4_endo	UF_Lj_nsp1_4_rhizo	UF_Lj_nsp1_5_endo	UF_Lj_nsp1_5_rhizo	UF_Lj_nsp1_6_endo	UF_Lj_nsp1_6_rhizo	UF_Lj_nsp2_1_endo	UF_Lj_nsp2_1_rhizo	UF_Lj_nsp2_2_endo	UF_Lj_nsp2_2_rhizo	UF_Lj_nsp2_3_endo	UF_Lj_nsp2_3_rhizo	UF_Lj_nsp2_4_endo	UF_Lj_nsp2_4_rhizo	UF_Lj_nsp2_5_endo	UF_Lj_nsp2_5_rhizo	UF_Lj_nsp2_6_endo	UF_Lj_nsp2_6_rhizo	UF_Lj_symrk_1_endo	UF_Lj_symrk_1_rhizo	UF_Lj_symrk_2_endo	UF_Lj_symrk_2_rhizo	UF_Lj_symrk_3_endo	UF_Lj_symrk_3_rhizo	UF_Lj_symrk_4_endo	UF_Lj_symrk_4_rhizo	UF_Lj_symrk_5_endo	UF_Lj_symrk_5_rhizo	UF_Lj_symrk_6_endo	UF_Lj_symrk_6_rhizo	UF_Lj_WT_1_endo	UF_Lj_WT_1_nod	UF_Lj_WT_1_rhizo	UF_Lj_WT_2_endo	UF_Lj_WT_2_nod	UF_Lj_WT_2_rhizo	UF_Lj_WT_3_endo	UF_Lj_WT_3_nod	UF_Lj_WT_3_rhizo	UF_Lj_WT_4_endo	UF_Lj_WT_4_nod	UF_Lj_WT_4_rhizo	UF_Lj_WT_5_endo	UF_Lj_WT_5_nod	UF_Lj_WT_5_rhizo	UF_Lj_WT_6_endo	UF_Lj_WT_6_nod	UF_Lj_WT_6_rhizo
85fa8bb918a926d97659d9b64ca6fedd	6116.0	922.0	29399.0	3673.0	5796.0	2748.0	8063.0	2176.0	11137.0	970.0	9212.0	944.0	1453.0	10947.0	2942.0	10335.0	6398.0	7417.0	2349.0	11770.0	2543.0	6007.0	4439.0	8712.0	2752.0	12170.0	3187.0	2609.0	5434.0	2523.0	5180.0	988.0	2168.0	1284.0	5219.0	4026.0	4145.0	2237.0	9403.0	4847.0	11369.0	2264.0	6163.0	2089.0	10066.0	1549.0	3682.0	8936.0	725.0	67003.0	2258.0	7879.0	61252.0	2641.0	9164.0	70128.0	4244.0	7348.0	88020.0	2148.0	6531.0	3265.0	3369.0	8634.0	1184.0	1742.0	8495.0	6252.0	8599.0	8253.0	3265.0	8053.0	3645.0	6311.0	2169.0	6452.0	2882.0	6068.0	5779.0	3262.0	2387.0	5006.0	2696.0	3251.0	2106.0	4752.0	2346.0	3870.0	1781.0	5279.0	3935.0	4359.0	5813.0	2966.0	38946.0	2309.0	2215.0	1465.0	4099.0	3672.0	9840.0	3549.0	6189.0	2042.0	4668.0	2983.0	5071.0	2977.0	6882.0	3868.0	7968.0	2947.0	3849.0	114.0	2848.0	5240.0	441.0	1609.0	3721.0	110.0	1294.0	2473.0	160.0	1982.0	4299.0	275.0	514.0	1542.0	196.0	1246.0	2923.0	296.0	752.0	1502.0	1379.0	982.0	2609.0	1050.0	981.0	822.0	599.0	509.0	540.0	520.0	4597.0	178.0	1034.0	694.0	747.0	769.0	1683.0	342.0	521.0	492.0	931.0	350.0	999.0	382.0	14739.0	1107.0	870.0	449.0	778.0	231.0	1626.0	357.0	2446.0	811.0	1557.0	424.0	1870.0	1194.0	118172.0	957.0	2119.0	566.0	2266.0	1715.0	2425.0	980.0	4169.0	2470.0	79124.0	1369.0	953.0	795.0	994.0	1389.0	919.0	758.0	1029.0	380.0	484.0	851.0	652.0	1029.0
fd20bdf653287dd3de85661cd7eb5cc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	40.0	1196.0	126791.0	76.0	217.0	34460.0	0.0	2915.0	22463.0	46.0	1395.0	120476.0	53.0	464.0	2209.0	21.0	1402.0	7264.0	106.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	30.0	0.0	20.0	0.0	29.0	0.0	0.0	0.0	0.0	609.0	2925.0	39.0	2624.0	6452.0	4170.0	1060.0	3482.0	428.0	157.0	4741.0	0.0	842.0	6831.0	34.0	416.0	5712.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	17.0	0.0	325.0	0.0	0.0	0.0	0.0	0.0	312.0	4397.0	893.0	141.0	57260.0	0.0	730.0	4744.0	0.0	584.0	6414.0	10.0	1021.0	4463.0	25.0	1013.0	4714.0	44.0
36d152ade5576217b77b12bc9329f447	0.0	205.0	5390.0	97.0	1377.0	887.0	59.0	195.0	3150.0	210.0	1471.0	171.0	118.0	2541.0	453.0	2326.0	3103.0	0.0	282.0	2645.0	649.0	0.0	237.0	1669.0	1294.0	2116.0	206.0	768.0	31.0	368.0	0.0	135.0	444.0	1499.0	0.0	160.0	1169.0	181.0	2568.0	658.0	2934.0	239.0	121.0	447.0	2875.0	527.0	36.0	1017.0	0.0	2540.0	540.0	1922.0	83113.0	242.0	2199.0	882.0	181.0	1542.0	2786.0	286.0	1476.0	180.0	899.0	1473.0	0.0	915.0	1612.0	1181.0	0.0	42.0	625.0	0.0	481.0	0.0	576.0	40.0	463.0	3728.0	628.0	0.0	577.0	0.0	358.0	135.0	566.0	0.0	256.0	0.0	108.0	2839.0	542.0	1840.0	4475.0	345.0	20.0	421.0	0.0	284.0	2095.0	608.0	3301.0	634.0	2688.0	572.0	1281.0	264.0	1324.0	664.0	80.0	1344.0	2013.0	892.0	0.0	0.0	858.0	1327.0	109.0	573.0	918.0	0.0	210.0	66.0	72.0	464.0	0.0	166.0	323.0	449.0	103.0	177.0	0.0	185.0	512.0	542.0	1191.0	26.0	2241.0	568.0	49.0	451.0	0.0	324.0	534.0	24.0	98.0	38.0	0.0	319.0	444.0	371.0	1228.0	245.0	476.0	286.0	700.0	156.0	0.0	114.0	3186.0	327.0	768.0	124.0	613.0	80.0	0.0	165.0	0.0	283.0	0.0	141.0	0.0	685.0	558.0	370.0	33.0	277.0	1429.0	644.0	1456.0	424.0	1097.0	0.0	66035.0	374.0	0.0	15.0	468.0	1306.0	371.0	0.0	643.0	134.0	223.0	534.0	221.0	287.0
ece0eb0811bd064e537f49c346b29ddf	73.0	567.0	2743.0	624.0	305.0	1440.0	256.0	864.0	588.0	626.0	378.0	810.0	726.0	209.0	229.0	171.0	1170.0	264.0	340.0	241.0	183.0	403.0	505.0	238.0	422.0	3801.0	1711.0	425.0	1123.0	708.0	220.0	1488.0	367.0	1527.0	178.0	211.0	142.0	1427.0	742.0	3004.0	751.0	1772.0	416.0	705.0	513.0	705.0	1077.0	3852.0	485.0	141.0	534.0	392.0	68.0	411.0	742.0	45.0	472.0	462.0	107.0	222.0	216.0	0.0	551.0	367.0	0.0	380.0	421.0	2610.0	482.0	1322.0	862.0	614.0	1160.0	685.0	1287.0	724.0	632.0	720.0	284.0	959.0	185.0	986.0	507.0	684.0	703.0	1686.0	193.0	414.0	441.0	233.0	315.0	2396.0	167.0	525.0	0.0	393.0	134.0	624.0	334.0	212.0	278.0	1002.0	140.0	665.0	66.0	315.0	79.0	296.0	180.0	675.0	173.0	454.0	180.0	13.0	897.0	490.0	0.0	261.0	126.0	0.0	165.0	80.0	0.0	347.0	219.0	0.0	296.0	37.0	0.0	140.0	229.0	241.0	103.0	270.0	82.0	539.0	99.0	398.0	270.0	312.0	83.0	131.0	47.0	226.0	218.0	74.0	68.0	462.0	57.0	282.0	134.0	256.0	60.0	120.0	106.0	90.0	64.0	37.0	265.0	484.0	67.0	143.0	91.0	161.0	347.0	184.0	117.0	203.0	165.0	103.0	309.0	421.0	73744.0	649.0	67.0	696.0	1517.0	353.0	133.0	0.0	930.0	167.0	27.0	464.0	173.0	0.0	285.0	236.0	0.0	448.0	200.0	0.0	238.0	89.0	0.0	138.0
acf01e53700dc702dc4f487d1848974b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2822.0	0.0	0.0	0.0	0.0	35.0	1431.0	0.0	43.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	214.0	221.0	0.0	1119.0	0.0	44.0	1637.0	0.0	0.0	751.0	0.0	0.0	1470.0	0.0	52.0	1764.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	36.0	2166.0	105.0	456.0	136897.0	0.0	768.0	2230.0	0.0	46.0	4038.0	0.0	157.0	726.0	0.0	94.0	2853.0	0.0
25f50286877b75132ef5ec0dc684eb73	1426.0	52.0	7390.0	771.0	1271.0	516.0	1459.0	340.0	1898.0	91.0	2065.0	111.0	222.0	2512.0	572.0	2437.0	975.0	1548.0	390.0	1872.0	336.0	1187.0	552.0	1953.0	472.0	2935.0	658.0	429.0	882.0	292.0	809.0	142.0	297.0	0.0	857.0	549.0	943.0	311.0	1984.0	689.0	2041.0	243.0	921.0	180.0	1753.0	136.0	732.0	1409.0	0.0	10199.0	453.0	1910.0	4575.0	590.0	1821.0	7784.0	773.0	1482.0	12004.0	309.0	1245.0	195.0	404.0	1879.0	126.0	241.0	667.0	588.0	685.0	523.0	198.0	631.0	193.0	505.0	147.0	644.0	195.0	638.0	522.0	279.0	223.0	195.0	205.0	217.0	84.0	462.0	159.0	341.0	140.0	564.0	392.0	411.0	428.0	279.0	3748.0	165.0	152.0	65.0	353.0	294.0	1699.0	596.0	945.0	221.0	699.0	479.0	743.0	464.0	1197.0	533.0	1599.0	473.0	732.0	0.0	413.0	801.0	0.0	271.0	581.0	0.0	218.0	390.0	0.0	266.0	701.0	0.0	96.0	305.0	0.0	254.0	286.0	0.0	73.0	109.0	99.0	58.0	141.0	72.0	0.0	0.0	45.0	0.0	0.0	0.0	533.0	0.0	78.0	0.0	0.0	52.0	109.0	0.0	0.0	0.0	68.0	0.0	93.0	0.0	1849.0	84.0	58.0	0.0	0.0	0.0	83.0	0.0	175.0	52.0	82.0	0.0	87.0	61.0	13662.0	51.0	101.0	0.0	143.0	90.0	168.0	123.0	300.0	139.0	6744.0	106.0	68.0	76.0	63.0	100.0	87.0	0.0	0.0	0.0	0.0	60.0	83.0	73.0
f72458be6bb0cea2b3ef87c0906a980e	263.0	599.0	794.0	432.0	83.0	117.0	42.0	91.0	299.0	99.0	97.0	74.0	49.0	31.0	1024.0	52.0	88.0	32.0	139.0	98.0	315.0	170.0	308.0	164.0	1114.0	0.0	0.0	25.0	0.0	26.0	217.0	618.0	26.0	120.0	270.0	1564.0	35.0	188.0	17.0	55.0	244.0	382.0	99.0	262.0	80.0	234.0	48.0	1766.0	109.0	105.0	371.0	171.0	169.0	388.0	60.0	0.0	50.0	56.0	8.0	44.0	34.0	0.0	260.0	25.0	0.0	71.0	532.0	2278.0	576.0	1503.0	1106.0	2397.0	1074.0	699.0	880.0	870.0	868.0	939.0	4192.0	2209.0	2824.0	921.0	3685.0	778.0	1627.0	1207.0	2089.0	697.0	829.0	1695.0	3026.0	3508.0	746.0	4209.0	48.0	4273.0	878.0	3279.0	1239.0	4716.0	621.0	1884.0	495.0	1729.0	481.0	2537.0	397.0	3677.0	493.0	2509.0	443.0	2960.0	1213.0	14.0	1834.0	1543.0	20.0	1088.0	575.0	10.0	1971.0	304.0	0.0	3022.0	779.0	17.0	1215.0	263.0	0.0	837.0	115.0	123.0	61.0	688.0	127.0	187.0	42.0	385.0	124.0	142.0	82.0	307.0	87.0	265.0	384.0	159.0	214.0	123.0	137.0	108.0	309.0	104.0	149.0	445.0	108.0	563.0	91.0	447.0	207.0	623.0	82.0	308.0	40.0	272.0	184.0	529.0	123.0	288.0	91.0	363.0	104.0	721.0	5661.0	489.0	72.0	443.0	77.0	2051.0	349.0	0.0	399.0	694.0	356.0	217.0	191.0	20.0	267.0	175.0	18.0	169.0	134.0	0.0	139.0	282.0	0.0	164.0
af339a1741e3d5d849c798ada8b7ea05	101.0	1198.0	390.0	1194.0	102.0	578.0	119.0	985.0	109.0	962.0	66.0	442.0	582.0	89.0	1830.0	98.0	669.0	108.0	819.0	85.0	616.0	115.0	834.0	238.0	1406.0	258.0	681.0	103.0	156.0	274.0	103.0	720.0	92.0	1493.0	96.0	756.0	92.0	1075.0	145.0	2503.0	168.0	1267.0	188.0	1105.0	256.0	1434.0	218.0	8882.0	88.0	54.0	2163.0	144.0	17.0	869.0	91.0	0.0	1034.0	48.0	24.0	619.0	35.0	0.0	631.0	66.0	0.0	260.0	171.0	3105.0	196.0	4280.0	2496.0	635.0	1783.0	305.0	2916.0	655.0	2425.0	438.0	733.0	499.0	679.0	1171.0	1269.0	246.0	951.0	382.0	591.0	241.0	795.0	220.0	1822.0	5114.0	206.0	4611.0	15.0	1023.0	131.0	1688.0	546.0	1850.0	424.0	3371.0	447.0	2506.0	347.0	2337.0	309.0	2594.0	127.0	1984.0	192.0	1374.0	415.0	0.0	3345.0	420.0	24.0	1623.0	199.0	0.0	1114.0	66.0	0.0	1681.0	169.0	0.0	727.0	87.0	7.0	608.0	73.0	204.0	33.0	428.0	70.0	684.0	32.0	629.0	64.0	349.0	76.0	192.0	64.0	267.0	112.0	148.0	59.0	378.0	26.0	230.0	69.0	200.0	29.0	268.0	75.0	363.0	36.0	163.0	139.0	915.0	55.0	481.0	34.0	220.0	103.0	274.0	112.0	657.0	90.0	267.0	181.0	1088.0	1632.0	996.0	106.0	461.0	98.0	1505.0	114.0	0.0	1482.0	238.0	54.0	493.0	59.0	0.0	537.0	113.0	0.0	794.0	47.0	0.0	298.0	120.0	0.0	498.0
291a58ac54b2011dacb098ccf128aea9	0.0	21.0	0.0	36.0	0.0	21.0	0.0	23.0	0.0	20.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	29.0	0.0	27.0	0.0	12.0	19.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	15.0	28.0	10.0	15.0	0.0	0.0	0.0	68.0	400.0	24696.0	0.0	129.0	11826.0	0.0	677.0	6446.0	0.0	485.0	15967.0	70.0	238.0	765.0	0.0	348.0	1088.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.0	2011.0	0.0	227.0	3614.0	205.0	0.0	1641.0	0.0	454.0	2946.0	0.0	194.0	2193.0	0.0	294.0	3658.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	1134.0	0.0	0.0	8221.0	0.0	0.0	191.0	0.0	0.0	992.0	0.0	282.0	2380.0	0.0	0.0	4346.0	0.0
6983af9387085b361df4d6ec10d8a801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	550.0	22567.0	0.0	113.0	15595.0	23.0	445.0	4635.0	0.0	174.0	24561.0	29.0	190.0	2664.0	0.0	613.0	1453.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	564.0	44.0	149.0	590.0	0.0	33.0	641.0	0.0	0.0	411.0	0.0	44.0	893.0	0.0	24.0	2082.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	16.0	0.0	23.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	140.0	19.0	0.0	0.0	0.0	43.0	73.0	3757.0	0.0	33.0	7538.0	26.0	570.0	1184.0	0.0	196.0	1598.0	0.0	317.0	1681.0	0.0	210.0	1322.0	0.0
