ID	pink	white	total	Soil_type
Lotus-NPK-WT	5	1	6	NPK
Lotus-NPK-WT	6	2	8	NPK
Lotus-NPK-WT	7	1	8	NPK
Lotus-NPK-WT	7	1	8	NPK
Lotus-NPK-WT	8	2	10	NPK
Lotus-NPK-WT	7	2	9	NPK
Lotus-NPK-WT	4	1	5	NPK
Lotus-NPK-WT	6	5	11	NPK
Lotus-NPK-WT	3	1	4	NPK
Lotus-NPK-WT	5	1	6	NPK
Lotus-NPK-WT	2	2	4	NPK
Lotus-NPK-WT	2	2	4	NPK
Lotus-NPK-WT	1	2	3	NPK
Lotus-NPK-WT	1	5	6	NPK
Lotus-NPK-WT	0	6	6	NPK
Lotus-NPK-WT	0	3	3	NPK
Lotus-NPK-WT	4	6	10	NPK
Lotus-NPK-WT	1	0	1	NPK
Lotus-NPK-WT	7	2	9	NPK
Lotus-NPK-WT	1	2	3	NPK
Lotus-NPK-WT	0	3	3	NPK
Lotus-NPK-WT	0	6	6	NPK
Lotus-NPK-WT	3	3	6	NPK
Lotus-NPK-WT	7	6	13	NPK
Lotus-NPK-WT	5	7	12	NPK
Lotus-NPK-WT	2	1	3	NPK
Lotus-NPK-WT	0	5	5	NPK
Lotus-NPK-WT	6	1	7	NPK
Lotus-NPK-WT	8	0	8	NPK
Lotus-NPK-WT	0	6	6	NPK
Lotus-NPK-WT	0	7	7	NPK
Lotus-NPK-WT	3	4	7	NPK
Lotus-NPK-WT	6	3	9	NPK
Lotus-NPK-WT	4	3	7	NPK
Lotus-NPK-WT	6	2	8	NPK
Lotus-NPK-WT	4	2	6	NPK
Lotus-NPK-WT	4	6	10	NPK
Lotus-NPK-WT	3	4	7	NPK
Lotus-NPK-WT	2	9	11	NPK
Lotus-NPK-WT	4	3	7	NPK
Lotus-NPK-WT	7	4	11	NPK
Lotus-NPK-WT	2	6	8	NPK
Lotus-NPK-WT	4	3	7	NPK
Lotus-NPK-WT	2	2	4	NPK
Lotus-NPK-WT	6	2	8	NPK
Lotus-NPK-WT	5	4	9	NPK
Lotus-NPK-WT	2	3	5	NPK
Lotus-NPK-WT	1	3	4	NPK
Lotus-NPK-WT	7	2	9	NPK
Lotus-NPK-WT	1	2	3	NPK
Lotus-NPK-WT	3	8	11	NPK
Lotus-NPK-WT	3	4	7	NPK
Lotus-NPK-WT	9	2	11	NPK
Lotus-NPK-WT	5	6	11	NPK
Lotus-NPK-WT	0	4	4	NPK
Lotus-NPK-WT	3	3	6	NPK
Lotus-NPK-WT	0	1	1	NPK
Lotus-NPK-WT	1	6	7	NPK
Lotus-PK-WT	9	1	10	PK
Lotus-PK-WT	9	1	10	PK
Lotus-PK-WT	9	1	10	PK
Lotus-PK-WT	10	0	10	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	4	1	5	PK
Lotus-PK-WT	11	1	12	PK
Lotus-PK-WT	3	4	7	PK
Lotus-PK-WT	12	2	14	PK
Lotus-PK-WT	10	0	10	PK
Lotus-PK-WT	12	0	12	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	6	0	6	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	10	1	11	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	7	3	10	PK
Lotus-PK-WT	7	3	10	PK
Lotus-PK-WT	10	0	10	PK
Lotus-PK-WT	12	0	12	PK
Lotus-PK-WT	11	0	11	PK
Lotus-PK-WT	10	1	11	PK
Lotus-PK-WT	7	0	7	PK
Lotus-PK-WT	6	1	7	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	5	1	6	PK
Lotus-PK-WT	6	0	6	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	7	0	7	PK
Lotus-PK-WT	7	2	9	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	9	0	9	PK
Lotus-PK-WT	10	0	10	PK
Lotus-PK-WT	5	0	5	PK
Lotus-PK-WT	7	0	7	PK
Lotus-PK-WT	7	1	8	PK
Lotus-PK-WT	10	2	12	PK
Lotus-PK-WT	4	2	6	PK
Lotus-PK-WT	12	3	15	PK
Lotus-PK-WT	10	0	10	PK
Lotus-PK-WT	8	0	8	PK
Lotus-PK-WT	5	0	5	PK
Lotus-PK-WT	12	3	15	PK
