Feature,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
85fa8bb918a926d97659d9b64ca6fedd,ssigned,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.749102257351225
fd20bdf653287dd3de85661cd7eb5cc8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unknown,Unknown,0.999702536777597
36d152ade5576217b77b12bc9329f447,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unknown,0.999051846570837
ece0eb0811bd064e537f49c346b29ddf,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Unknown,0.999993093421771
acf01e53700dc702dc4f487d1848974b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unknown,0.895404037432099
25f50286877b75132ef5ec0dc684eb73,ssigned,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.749368325619352
f72458be6bb0cea2b3ef87c0906a980e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999923085550693
af339a1741e3d5d849c798ada8b7ea05,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Unknown,0.946502562523161
291a58ac54b2011dacb098ccf128aea9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unknown,0.849084691546235
6983af9387085b361df4d6ec10d8a801,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unknown,0.904348963448639
7561b7cae1fca93bac59989bc456c185,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unknown,0.979943422916281
335241f9cdeb4a16e3f395cb7809d30e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unknown,0.999964893903485
69b755de77ecd1ce0770fc7f830cbae1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,uncultured_bacterium,0.828111850379968
bd90faaa34a776a589d0517a4c28901a,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.99998864325715
2bd237afea78a3d703ecb462fd84cbb0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,0.999989344696979
bd6720229b55e52b4f095dc493d42085,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Unknown,0.840707433829725
c1236d9589f1a86c89ca11612c936963,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999836080333202
c5c2f468ed0c84f898045623856679cf,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.997984109504111
565573c992a033884f18df23253529c3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.99050645654529
8eada08b3fdfb1f9706fe5240f37b1b8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Unknown,0.998343458552715
698b6e7a46745f54b25ae9bb01f62f16,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella,Unknown,0.780897292177602
add7226785e295d56978392781c7d5de,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Unknown,0.9996085349133
9c65e7ad44eab66ca635d47a85c65e9b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,0.999993709593996
35e7d7be0dbb2842b1d777e9b1443874,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,0.998137003314297
746c2556165eb3713f348bf9e129b96c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999907564778885
3d32d1791fc2430128c7afd0a553a2df,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,metagenome,0.87435913770439
2c41efc29fc6faa2d31c65f1ee8c0c00,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.833376101978322
a20f500706b0005fe884f0ecf17a8d8c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unknown,0.921290576662443
f9562ec8195301ede2664da7747dbd36,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,Leptothrix_sp.,0.717514641200989
6bc62dde8338dc8722725b1f5353a1fb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.941705664513562
51285b1a61af84b309eb4bdaf94c1118,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999992027486697
e6ef2552608207b584bd1380e69fa7a5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Unknown,0.86588691404971
e8450679fda4c10f63ffa47bfa6e52bd,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unknown,0.963274065773532
9053d1784a189f5972fece877a62dc2d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,Unknown,0.910541408460204
76f09e370830ccf507cbb34994cd5e8e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Unknown,0.911196137416483
fa00c2f80d7a261d7e8d62caf32cf167,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unknown,0.978963224549147
d93d2a2e7b0c2ed96ca6074a717a8a4d,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Unknown,0.881745052980126
426f51707b58b35be1f920b7ca96d131,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,0.999991309574463
3ea18ed68d6f64c03dd8055b974aa806,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,Unknown,0.754993253295517
46d48d55305c30993848d2feaf9c8948,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Unknown,0.985734985212492
c1f8f71307f018f3bd2c34fc98201d23,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Unknown,0.767620663304086
139a898757d6d1108b58044e646ad0ba,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999999973864218
c30cc55b221580507a9ae76d70eeb61e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999998546092891
b616d7c78517cb5603598308556e3cd1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Unknown,0.999983874138798
42322a101bdd7354f6c71a0f00b0b9d2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unknown,0.997248756140204
797b65389eb0c25ea1ec0ae0c936903c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Tardiphaga,uncultured_bacterium,0.744031190404955
7860f95a65acde79e4ca385e4d98a031,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,Unknown,0.900707728377533
df3e7f1dd6d26a9131997f209d3e9c29,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Unknown,0.788066643343658
9fc7f211926faedd34c29e8298b0aaf5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.912702130800496
4117c541398b32f3bdadce379bbb30d9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,0.999987560529264
57239adb61a598bf70012ec64c6c6f3e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999999578147903
b46e320af4d2da78ad95c8ef7f24a863,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.98862614323202
574d17be5cd699bba2867597658944fd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,Unknown,0.985972816713663
63b60ebd55e0d69e31ce71099085d850,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unknown,0.857890930548558
ea2b5b721c983918a29d59beee6cb6fd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unknown,0.995953253798677
bf2dc0918772095409db3bae33ad5306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,Unknown,0.994821492588828
7bf8b7e0592753c4ebe7ab86ff6b5505,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unknown,Unknown,0.999996140458627
a5d85131686a92f279bbbe65f5c89321,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999999943195835
c01c00e17dc25f56f1dec3d33854940b,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Unknown,Unknown,0.999999601887016
deed4bbeef4ff45eb45b9496ac014574,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unknown,Unknown,0.999919878995735
b82cfd6d9879791d60a3268b95102b3a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999955675622581
277fff1a8239bde67c06ef220aca260a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.995253532929022
5f7fcd99a4f6a51b6dffc63d815f896a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.802469373910728
68b41361b56d4b8d0d2015c39c876261,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira_japonica,0.831732777093915
92f95c54ddef5ebaf57f34f085ad79d6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Unknown,Unknown,0.99991980982764
b8628d8b16cd69a5632d01aea5966d9d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.963011730990128
61d0266674536ea62b4b986c8b4bc43b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Unknown,0.767976003149402
