Feature	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
c02a0e798a596b6a6ad6fbc534158d5a	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown	0.99994791800469
63c177bee3540d4f68a5c60990e69641	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.998307140883138
4f4fb9666fa66959693abfdb516c5c00	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.999701315897061
8ac03f478cfc09ce2a0777175d5f94df	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Unknown	0.999993936650728
204bed347ac66549969d0246ec60ba8d	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown	0.999947081133927
bde6a2326cae7c0edcee4638835645ca	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.998305919093879
3f16fb39da038074ad4b1dd9d8605f6b	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Unknown	0.999994878118251
b9973557219c89a3a68fd1beb08949d3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown	0.999948078434628
a6f36fdd24f503118b138f14c47c213e	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.999973477620818
7818af85b97370cb59ff164d3140d820	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unknown	0.997806711776984
b66c8a361f5a2824b36ecd642557bbdd	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown	0.999952409960855
3622ff252c37eae1c1ca16398fdda7a1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	Unknown	0.756056824294785
2b421ca229af3a266dbdd21dbec8cb7c	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unknown	0.997906570973896
b33517f5edeff1e873d5661c0e7439c4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown	0.999947043493193
677143aa7a1da51518268c1910d1d567	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.998314200088752
5fbc2544cdf52c973d6410e6eaa1a30f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unknown	0.984790559181054
a452bcdf114bedb4eed921b0230de513	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.999701885222801
1c55f9a278d6d5f9b06cf63a0b45dae8	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown	0.999968148394558
16bd8bce158568dbee8ea2269687b567	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Unknown	0.799198807987769
258fd093dfecc4b00fdffbece2af7251	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unknown	Unknown	Unknown	0.999999369876641
9e9b313091709306ef11a93f22d0ba9f	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Unknown	0.999994881726714
be13a55d7e731a497cd2d571def4c71a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unknown	0.999794188451831
6cc75dac2ff83acdd8af2933ab981d38	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unknown	Unknown	0.999748138470942
417d0d7cdb0bf05f29dc77df9141ca54	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unknown	0.986412044059671
adfb4894c9f494aa55889690210b7f8a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unknown	0.894243600309379
ce6b3d05be610385b37b3ca5c899d8ee	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unknown	Unknown	0.999881200021728
5e40c8d89cabbd36c258095795d72986	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unknown	Unknown	0.999983446384448
0fe3ede7ab568354b1c1c52e8d091da8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unknown	0.989642190280394
50a0abd8b8078f94c1b5c07097465f8b	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unknown	Unknown	0.999990769324173
72fb65f084207de420718aff288b277a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	Unknown	0.835444199889215
bf475aa70525f4428ac85f873068b2bf	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unknown	0.993539995702842
