	chao1
AM_S_1	283.875
AM_S_10	183.2
AM_S_100	267.5
AM_S_101	140.875
AM_S_102	302.1428571428571
AM_S_103	130.75
AM_S_104	262.1
AM_S_105	170.9090909090909
AM_S_106	682.6
AM_S_107	135.25
AM_S_108	433.0
AM_S_109	128.9090909090909
AM_S_11	331.42857142857144
AM_S_110	304.8
AM_S_111	152.66666666666669
AM_S_112	316.125
AM_S_113	257.0
AM_S_114	465.85714285714283
AM_S_115	159.0
AM_S_116	467.0
AM_S_117	1282.5
AM_S_118	257.0
AM_S_119	401.42857142857144
AM_S_12	154.42857142857144
AM_S_120	105.1
AM_S_121	398.5
AM_S_122	275.5
AM_S_123	682.6
AM_S_124	635.0
AM_S_125	1191.0
AM_S_126	530.6
AM_S_127	269.42857142857144
AM_S_128	431.5
AM_S_129	165.5
AM_S_13	334.0
AM_S_130	390.85714285714283
AM_S_131	244.875
AM_S_132	488.0
AM_S_133	143.1
AM_S_134	380.42857142857144
AM_S_135	165.54545454545456
AM_S_136	474.2
AM_S_137	175.36363636363637
AM_S_138	474.2
AM_S_139	145.3
AM_S_14	393.5
AM_S_140	474.2
AM_S_141	138.0
AM_S_142	609.25
AM_S_143	205.85714285714286
AM_S_144	282.875
AM_S_145	244.875
AM_S_146	592.0
AM_S_147	213.33333333333334
AM_S_148	282.1111111111111
AM_S_149	230.5
AM_S_15	321.66666666666663
AM_S_150	149.76923076923077
AM_S_151	132.0
AM_S_152	682.6
AM_S_153	127.9090909090909
AM_S_154	313.42857142857144
AM_S_155	157.0
AM_S_156	334.0
AM_S_157	206.5
AM_S_158	192.75
AM_S_159	209.0
AM_S_16	169.0
AM_S_160	454.6666666666667
AM_S_161	221.14285714285714
AM_S_162	635.0
AM_S_163	164.54545454545456
AM_S_164	1055.3333333333335
AM_S_165	197.6
AM_S_166	479.5
AM_S_167	134.25
AM_S_168	317.125
AM_S_169	157.0
AM_S_17	720.0
AM_S_170	812.5
AM_S_171	117.57142857142857
AM_S_172	246.33333333333334
AM_S_173	148.11111111111111
AM_S_174	635.0
AM_S_175	105.1
AM_S_176	398.5
AM_S_177	149.76923076923077
AM_S_178	411.14285714285717
AM_S_179	212.66666666666666
AM_S_18	127.75
AM_S_180	360.75
AM_S_181	118.11111111111111
AM_S_182	575.0
AM_S_183	269.42857142857144
AM_S_184	454.6666666666667
AM_S_185	175.25
AM_S_186	346.3333333333333
AM_S_187	792.5
AM_S_188	603.6
AM_S_189	467.0
AM_S_19	209.1
AM_S_190	682.6
AM_S_191	682.6
AM_S_2	142.875
AM_S_20	122.36363636363636
AM_S_21	350.0
AM_S_22	111.0
AM_S_23	283.0
AM_S_24	173.0
AM_S_25	517.0
AM_S_26	139.0
AM_S_27	517.0
AM_S_28	101.58333333333334
AM_S_29	386.1666666666667
AM_S_3	4.0
AM_S_30	109.0
AM_S_31	954.0
AM_S_32	162.0
AM_S_33	556.0
AM_S_34	140.5
AM_S_35	574.0
AM_S_36	156.5
AM_S_37	619.2
AM_S_38	206.5
AM_S_39	371.14285714285717
AM_S_4	220.14285714285714
AM_S_40	149.42857142857144
AM_S_41	557.25
AM_S_42	134.25
AM_S_43	454.6666666666667
AM_S_44	232.0
AM_S_45	245.33333333333334
AM_S_46	206.5
AM_S_47	248.0
AM_S_48	213.66666666666666
AM_S_49	203.8
AM_S_5	559.0
AM_S_50	166.42857142857144
AM_S_51	386.1666666666667
AM_S_52	95.0
AM_S_53	162.625
AM_S_54	151.66666666666669
AM_S_55	235.0
AM_S_56	94.0
AM_S_57	246.33333333333334
AM_S_58	210.33333333333334
AM_S_59	385.1666666666667
AM_S_6	215.0
AM_S_60	144.11111111111111
AM_S_61	1191.0
AM_S_62	1191.0
AM_S_63	635.0
AM_S_64	754.25
AM_S_65	133.25
AM_S_66	735.0
AM_S_67	68.0
AM_S_68	530.6
AM_S_69	539.0
AM_S_7	929.0
AM_S_70	433.0
AM_S_71	205.66666666666666
AM_S_72	1109.0
AM_S_73	281.0
AM_S_74	398.5
AM_S_75	204.66666666666666
AM_S_76	343.125
AM_S_77	150.5
AM_S_78	305.1111111111111
AM_S_79	156.5
AM_S_8	77.25
AM_S_80	589.2
AM_S_81	179.75
AM_S_82	433.0
AM_S_83	176.0
AM_S_84	556.0
AM_S_85	150.42857142857144
AM_S_86	433.0
AM_S_87	153.0909090909091
AM_S_88	619.2
AM_S_89	135.33333333333331
AM_S_9	682.6
AM_S_90	465.85714285714283
AM_S_91	195.125
AM_S_92	716.0
AM_S_93	140.0
AM_S_94	1828.0
AM_S_95	143.625
AM_S_96	361.0
AM_S_97	197.5
AM_S_98	390.85714285714283
AM_S_99	151.6
