	chao1
AM_S_1	1336.7215189873418
AM_S_10	750.6333333333333
AM_S_100	348.5
AM_S_101	202.33333333333334
AM_S_102	828.0618556701031
AM_S_103	561.4776119402985
AM_S_104	866.981308411215
AM_S_105	560.9285714285714
AM_S_106	1513.6829268292684
AM_S_107	555.9117647058823
AM_S_108	1352.4
AM_S_109	518.0185185185185
AM_S_11	1488.9521912350597
AM_S_110	978.5214285714286
AM_S_111	638.1052631578948
AM_S_112	1133.6666666666667
AM_S_113	541.65625
AM_S_114	1165.0132450331125
AM_S_115	515.6315789473684
AM_S_116	1306.3596059113302
AM_S_117	1253.4603174603174
AM_S_118	461.35714285714283
AM_S_119	1375.02489626556
AM_S_12	584.560606060606
AM_S_120	729.175
AM_S_121	1179.0173410404625
AM_S_122	727.3272727272728
AM_S_123	1459.6307692307691
AM_S_124	1049.5149253731342
AM_S_125	1553.5506072874493
AM_S_126	1292.413612565445
AM_S_127	711.2277227722773
AM_S_128	1499.112
AM_S_129	590.1204819277109
AM_S_13	990.7
AM_S_130	1363.5882352941176
AM_S_131	615.2432432432432
AM_S_132	1362.0
AM_S_133	526.4354838709678
AM_S_134	1182.5440414507773
AM_S_135	639.5098039215686
AM_S_136	1169.4943181818182
AM_S_137	627.9166666666666
AM_S_138	1119.0828729281768
AM_S_139	576.578125
AM_S_14	665.1724137931035
AM_S_140	1370.5517241379312
AM_S_141	539.012987012987
AM_S_142	1296.0504587155963
AM_S_143	666.8333333333334
AM_S_144	1313.9859154929577
AM_S_145	552.0705882352942
AM_S_146	1200.3825136612022
AM_S_147	651.5913978494624
AM_S_148	1129.5842696629213
AM_S_149	463.0566037735849
AM_S_15	966.5072463768116
AM_S_150	774.554347826087
AM_S_151	500.83870967741933
AM_S_152	1157.1632653061224
AM_S_153	439.6545454545454
AM_S_154	1021.8342857142857
AM_S_155	478.83870967741933
AM_S_156	1394.4666666666667
AM_S_157	379.6875
AM_S_158	1375.7276595744681
AM_S_159	481.1694915254237
AM_S_16	440.7586206896552
AM_S_160	1242.4010152284263
AM_S_161	433.17021276595744
AM_S_162	1398.1477272727273
AM_S_163	757.4
AM_S_164	1278.0
AM_S_165	580.5
AM_S_166	1031.1354838709678
AM_S_167	532.6307692307693
AM_S_168	1128.6914893617022
AM_S_169	705.9756097560976
AM_S_17	1144.5548780487804
AM_S_170	1248.5052631578947
AM_S_171	489.6545454545454
AM_S_172	895.8103448275862
AM_S_173	490.3469387755102
AM_S_174	1282.2463054187192
AM_S_175	366.65
AM_S_176	1248.1315789473683
AM_S_177	586.3943661971831
AM_S_178	1166.7195767195767
AM_S_179	573.2658227848101
AM_S_18	474.5
AM_S_180	1503.2125984251968
AM_S_181	600.5416666666666
AM_S_182	1163.5145631067962
AM_S_183	803.1028037383178
AM_S_184	1491.484962406015
AM_S_185	452.36538461538464
AM_S_186	1373.1171548117154
AM_S_187	1360.5963302752293
AM_S_188	1533.0714285714287
AM_S_189	1434.3677130044844
AM_S_19	823.2359550561798
AM_S_190	1940.5384615384614
AM_S_191	2669.6876227897837
AM_S_2	544.08
AM_S_20	563.171875
AM_S_21	1078.5141242937852
AM_S_22	549.0138888888889
AM_S_23	1315.4492753623188
AM_S_24	400.0
AM_S_25	1756.2857142857142
AM_S_26	368.89473684210526
AM_S_27	1347.2582159624412
AM_S_28	346.9583333333333
AM_S_29	1188.4578313253012
AM_S_30	323.9655172413793
AM_S_31	1596.0116279069766
AM_S_32	277.25
AM_S_33	1541.0856164383563
AM_S_34	400.02222222222224
AM_S_35	1369.0309734513276
AM_S_36	405.7837837837838
AM_S_37	1303.374485596708
AM_S_38	479.1
AM_S_39	803.2359550561798
AM_S_4	348.4782608695652
AM_S_40	456.0
AM_S_41	1052.2542372881355
AM_S_42	391.27777777777777
AM_S_43	1405.4655172413793
AM_S_44	571.8448275862069
AM_S_45	800.6375
AM_S_46	1022.9221556886228
AM_S_47	1353.530172413793
AM_S_48	452.0
AM_S_49	928.2556390977444
AM_S_5	1324.5
AM_S_50	617.8666666666667
AM_S_51	965.2903225806451
AM_S_52	615.2289156626506
AM_S_53	714.8636363636364
AM_S_54	437.22727272727275
AM_S_55	817.3719008264463
AM_S_56	428.05454545454546
AM_S_57	714.1948051948052
AM_S_58	408.93220338983053
AM_S_59	785.8095238095239
AM_S_6	634.4299065420561
AM_S_60	274.55555555555554
AM_S_61	1382.9851485148515
AM_S_62	1201.5706806282722
AM_S_63	1655.5735294117646
AM_S_64	1757.047619047619
AM_S_65	481.27272727272725
AM_S_66	1320.7880184331798
AM_S_67	79.0
AM_S_68	1281.6973684210527
AM_S_69	663.9213483146068
AM_S_7	1419.5454545454545
AM_S_70	1433.732142857143
AM_S_71	686.1428571428571
AM_S_72	1631.2961672473868
AM_S_73	644.6530612244898
AM_S_74	1047.7707006369426
AM_S_75	315.62068965517244
AM_S_76	1267.1122994652405
AM_S_77	564.4428571428572
AM_S_78	927.1010101010102
AM_S_79	859.4258064516129
AM_S_8	497.0
AM_S_80	1332.1601941747572
AM_S_81	637.7625
AM_S_82	1049.4429530201342
AM_S_83	670.5
AM_S_84	1403.8044444444445
AM_S_85	667.8504672897196
AM_S_86	1261.296875
AM_S_87	673.1481481481482
AM_S_88	1182.3108808290156
AM_S_89	464.90384615384613
AM_S_9	1959.2540983606557
AM_S_90	1378.7412280701753
AM_S_91	508.72058823529414
AM_S_92	1521.0
AM_S_93	236.71428571428572
AM_S_94	1819.012048192771
AM_S_95	445.30357142857144
AM_S_96	958.5365853658536
AM_S_97	497.69620253164555
AM_S_98	1004.0472440944882
AM_S_99	283.2758620689655
