ASVid	Taxon	Confidence
c02a0e798a596b6a6ad6fbc534158d5a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999947918
63c177bee3540d4f68a5c60990e69641	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.998307141
4f4fb9666fa66959693abfdb516c5c00	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.999701316
8ac03f478cfc09ce2a0777175d5f94df	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis	0.999993937
204bed347ac66549969d0246ec60ba8d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999947081
bde6a2326cae7c0edcee4638835645ca	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.998305919
3f16fb39da038074ad4b1dd9d8605f6b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis	0.999994878
b9973557219c89a3a68fd1beb08949d3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999948078
a6f36fdd24f503118b138f14c47c213e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.999973478
7818af85b97370cb59ff164d3140d820	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.997806712
b66c8a361f5a2824b36ecd642557bbdd	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.99995241
3622ff252c37eae1c1ca16398fdda7a1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ideonella	0.756056824
2b421ca229af3a266dbdd21dbec8cb7c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.997906571
b33517f5edeff1e873d5661c0e7439c4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999947043
5fbc2544cdf52c973d6410e6eaa1a30f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	0.984790559
677143aa7a1da51518268c1910d1d567	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.9983142
a452bcdf114bedb4eed921b0230de513	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.999701885
1c55f9a278d6d5f9b06cf63a0b45dae8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999968148
16bd8bce158568dbee8ea2269687b567	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter	0.799198808
258fd093dfecc4b00fdffbece2af7251	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.99999937
be13a55d7e731a497cd2d571def4c71a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.999794188
9e9b313091709306ef11a93f22d0ba9f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis	0.999994882
6cc75dac2ff83acdd8af2933ab981d38	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999748138
417d0d7cdb0bf05f29dc77df9141ca54	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.986412044
adfb4894c9f494aa55889690210b7f8a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.8942436
ce6b3d05be610385b37b3ca5c899d8ee	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9998812
5e40c8d89cabbd36c258095795d72986	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999983446
0fe3ede7ab568354b1c1c52e8d091da8	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	0.98964219
50a0abd8b8078f94c1b5c07097465f8b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999990769
72fb65f084207de420718aff288b277a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__uncultured	0.8354442
bf475aa70525f4428ac85f873068b2bf	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.993539996
e5c5d4ba92c57c72553427dd56eafd9e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Lechevalieria	0.989312002
4ef7a71bdabb0904043d3c680d4f4217	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.997793563
16737bd4a6c8f589f4b515bf36f752e6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999954301
ff032666d8ec0d6b6e5fe8f93cc303ae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.99977627
953340b5ddc0f9d07bc4f589577fefdd	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999946422
22bf4358f57def08a80ba00f63ac78c1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Duganella	0.734414793
97d3b583fb8a5fe5d8d3438a29416538	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Lechevalieria	0.988268016
3b41dc1639364dab46cb98b04dec7ee4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.999304769
3a6b1742e03fe6ddf85a23c43b85e4f4	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis; s__Asticcacaulis_solisilvae	0.824768751
7dfee465659b5c477daf245793f649ca	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Neorhizobium	0.702366725
f42ecc46b7fb1522f00281f4cadbf267	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.996075906
94586d389ba69a3cf1e5a49241da3596	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.99999962
2c6a7f5dbdabffb84cf7a533bed57ded	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.997343519
931db232e2c33fff2dbf8817a5b5363b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999680705
fbc2f986d83cf3044a1e4a23c2c89a3e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999960116
c5ceeb00e5f44620bb3c12baa2c5c449	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Dechloromonas	0.801491458
306b5c24ae1132e82a0dbc892c7bb57f	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes	0.991262647
c8c1d5dc91a8e346b2d3a16de711930b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.999426196
96218f061e042ad1eef3f80596fb913f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__uncultured; s__Ideonella_sp.	0.716515285
ad0f4657c8ed67285fdfe79e2b139369	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter	0.776366855
bf04a68ed0879af65c4703cb576d3a09	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.999895765
8ed983c7e8e5e1f64761bce0726dadbb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__uncultured	0.711422871
91edc8b333ec6570ec3665b82b1b7235	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Lechevalieria	0.989307684
fb01659fc22046e5b94fb7ae9e8fff14	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999996231
ae02ee5cc7346e39070c32bae8a54a15	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999998316
a0c0d11a2eef1626bb0e227bf9ab0780	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999585226
0be59b9cb09cc83582ee7d372c01205b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.987515535
753d5c9c554ac02dc9314d28ef3bf1de	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys; s__uncultured_Pseudolabrys	0.825681929
498411ba782bc131aa57c5b01d8a385a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter	0.901496577
6a58f5397d58fb483642883caa986423	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Oryzihumus; s__Oryzihumus_terrae	0.755408554
0b3ad0b2eddcecb516cce499f9e7c36f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured	0.772444881
d1147ce4bbd15c10c8e86f4e00ab3d28	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Terrabacter	0.972417336
c7ff80edfb2e589110386cd0b4e71257	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis; s__uncultured_bacterium	0.813278172
5cc243f273b1abc9041f347be7796b05	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.997229481
86872b78df78c5923c19243d7b5e5e3d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.999996539
7e758cb7fb8c9b2a5136ba15a68f4354	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Dechloromonas	0.805172637
9180e0b126deddfdd4862ca4354949bb	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Lapillicoccus	0.852263072
7ae77029febf36fba9c8a1a381a74417	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio; s__uncultured_gamma	0.74530078
5517726e45f5349bac20d178efcecf9e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.999417116
6c19fd1d6b84c09164a3e07af512697e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999958915
5742ccb273856227cc2e715eaf707cfe	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__uncultured; s__uncultured_Prosthecomicrobium	0.966753085
199109aefc10d6da433c790557208e6f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ensifer	0.805405116
97d455f940643a164bd9507ab46808ea	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999997996
6feb7dc738de1785a496d2cd7a57d19c	d__Bacteria; p__Actinobacteriota; c__MB-A2-108; o__MB-A2-108; f__MB-A2-108; g__MB-A2-108; s__uncultured_actinobacterium	0.893700473
f1f0559be228307164c3a83dede4c30d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.877279048
32943981454e53a38f848e2edf6d71fc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	0.994079299
2ab37ad0253a857563e780f440581449	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999998058
5bac48e7cef96d7733739eca6de321e4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter	0.980258229
1d238c3a3891dce5239df8570f35405c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio	0.999961235
d446e9817e00d125e639106c5240b1c5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999998425
81d0b0ff83721d49e21944d04b370726	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999999872
24668022dd88c559f94b61304f7a057d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Streptosporangiaceae; g__Nonomuraea	0.983737834
a8522c42509a0b58a5fb567082c76d05	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter	0.732059533
233ce7324b37d30b32314f7162fc9209	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Oryzihumus; s__Oryzihumus_terrae	0.747081174
