"","ASVid","NPK_Lj_ccamk_1_endo","NPK_Lj_ccamk_1_rhizo","NPK_Lj_ccamk_2_endo","NPK_Lj_ccamk_2_rhizo","NPK_Lj_ccamk_3_endo","NPK_Lj_ccamk_3_rhizo","NPK_Lj_ccamk_4_endo","NPK_Lj_ccamk_4_rhizo","NPK_Lj_ccamk_5_endo","NPK_Lj_ccamk_5_rhizo","NPK_Lj_ccamk_6_endo","NPK_Lj_ccamk_6_rhizo","NPK_Lj_nsp_2_rhizo","NPK_Lj_nsp1_1_endo","NPK_Lj_nsp1_1_rhizo","NPK_Lj_nsp1_2_endo","NPK_Lj_nsp1_2_rhizo","NPK_Lj_nsp1_3_endo","NPK_Lj_nsp1_3_rhizo","NPK_Lj_nsp1_4_endo","NPK_Lj_nsp1_4_rhizo","NPK_Lj_nsp1_5_endo","NPK_Lj_nsp1_5_rhizo","NPK_Lj_nsp1_6_endo","NPK_Lj_nsp1_6_rhizo","NPK_Lj_nsp2_1_endo","NPK_Lj_nsp2_1_rhizo","NPK_Lj_nsp2_2_endo","NPK_Lj_nsp2_3_endo","NPK_Lj_nsp2_3_rhizo","NPK_Lj_nsp2_4_endo","NPK_Lj_nsp2_4_rhizo","NPK_Lj_nsp2_5_endo","NPK_Lj_nsp2_5_rhizo","NPK_Lj_nsp2_6_endo","NPK_Lj_nsp2_6_rhizo","NPK_Lj_symrk_1_endo","NPK_Lj_symrk_1_rhizo","NPK_Lj_symrk_2_endo","NPK_Lj_symrk_2_rhizo","NPK_Lj_symrk_3_endo","NPK_Lj_symrk_3_rhizo","NPK_Lj_symrk_4_endo","NPK_Lj_symrk_4_rhizo","NPK_Lj_symrk_5_endo","NPK_Lj_symrk_5_rhizo","NPK_Lj_symrk_6_endo","NPK_Lj_symrk_6_rhizo","NPK_Lj_WT_1_endo","NPK_Lj_WT_1_nod","NPK_Lj_WT_1_rhizo","NPK_Lj_WT_2_endo","NPK_Lj_WT_2_nod","NPK_Lj_WT_2_rhizo","NPK_Lj_WT_3_endo","NPK_Lj_WT_3_nod","NPK_Lj_WT_3_rhizo","NPK_Lj_WT_4_endo","NPK_Lj_WT_4_nod","NPK_Lj_WT_4_rhizo","NPK_Lj_WT_5_endo","NPK_Lj_WT_5_nod","NPK_Lj_WT_5_rhizo","NPK_Lj_WT_6_endo","NPK_Lj_WT_6_nod","NPK_Lj_WT_6_rhizo","PK_Lj_ccamk_1_endo","PK_Lj_ccamk_1_rhizo","PK_Lj_ccamk_2_endo","PK_Lj_ccamk_2_rhizo","PK_Lj_ccamk_3_rhizo","PK_Lj_ccamk_4_endo","PK_Lj_ccamk_4_rhizo","PK_Lj_ccamk_5_endo","PK_Lj_ccamk_5_rhizo","PK_Lj_ccamk_6_endo","PK_Lj_ccamk_6_rhizo","PK_Lj_nsp1_1_endo","PK_Lj_nsp1_1_rhizo","PK_Lj_nsp1_2_endo","PK_Lj_nsp1_2_rhizo","PK_Lj_nsp1_3_endo","PK_Lj_nsp1_3_rhizo","PK_Lj_nsp1_4_endo","PK_Lj_nsp1_4_rhizo","PK_Lj_nsp1_5_endo","PK_Lj_nsp1_5_rhizo","PK_Lj_nsp1_6_endo","PK_Lj_nsp1_6_rhizo","PK_Lj_nsp2_1_endo","PK_Lj_nsp2_1_rhizo","PK_Lj_nsp2_2_rhizo","PK_Lj_nsp2_3_endo","PK_Lj_nsp2_3_rhizo","PK_Lj_nsp2_4_endo","PK_Lj_nsp2_4_rhizo","PK_Lj_nsp2_5_endo","PK_Lj_nsp2_5_rhizo","PK_Lj_nsp2_6_endo","PK_Lj_nsp2_6_rhizo","PK_Lj_symrk_1_endo","PK_Lj_symrk_1_rhizo","PK_Lj_symrk_2_endo","PK_Lj_symrk_2_rhizo","PK_Lj_symrk_3_endo","PK_Lj_symrk_3_rhizo","PK_Lj_symrk_4_endo","PK_Lj_symrk_4_rhizo","PK_Lj_symrk_5_endo","PK_Lj_symrk_5_rhizo","PK_Lj_symrk_6_endo","PK_Lj_symrk_6_rhizo","PK_Lj_WT_1_endo","PK_Lj_WT_1_nod","PK_Lj_WT_1_rhizo","PK_Lj_WT_2_endo","PK_Lj_WT_2_nod","PK_Lj_WT_2_rhizo","PK_Lj_WT_3_endo","PK_Lj_WT_3_nod","PK_Lj_WT_3_rhizo","PK_Lj_WT_4_endo","PK_Lj_WT_4_nod","PK_Lj_WT_4_rhizo","PK_Lj_WT_5_endo","PK_Lj_WT_5_nod","PK_Lj_WT_5_rhizo","PK_Lj_WT_6_endo","PK_Lj_WT_6_nod","PK_Lj_WT_6_rhizo","UF_Lj_ccamk_1_endo","UF_Lj_ccamk_1_rhizo","UF_Lj_ccamk_2_endo","UF_Lj_ccamk_2_rhizo","UF_Lj_ccamk_3_endo","UF_Lj_ccamk_3_rhizo","UF_Lj_ccamk_4_endo","UF_Lj_ccamk_4_rhizo","UF_Lj_ccamk_5_endo","UF_Lj_ccamk_5_rhizo","UF_Lj_ccamk_6_endo","UF_Lj_ccamk_6_rhizo","UF_Lj_nsp1_1_endo","UF_Lj_nsp1_1_rhizo","UF_Lj_nsp1_2_endo","UF_Lj_nsp1_2_rhizo","UF_Lj_nsp1_3_endo","UF_Lj_nsp1_3_rhizo","UF_Lj_nsp1_4_endo","UF_Lj_nsp1_4_rhizo","UF_Lj_nsp1_5_endo","UF_Lj_nsp1_5_rhizo","UF_Lj_nsp1_6_endo","UF_Lj_nsp1_6_rhizo","UF_Lj_nsp2_1_endo","UF_Lj_nsp2_1_rhizo","UF_Lj_nsp2_2_endo","UF_Lj_nsp2_2_rhizo","UF_Lj_nsp2_3_endo","UF_Lj_nsp2_3_rhizo","UF_Lj_nsp2_4_endo","UF_Lj_nsp2_4_rhizo","UF_Lj_nsp2_5_endo","UF_Lj_nsp2_5_rhizo","UF_Lj_nsp2_6_endo","UF_Lj_nsp2_6_rhizo","UF_Lj_symrk_1_endo","UF_Lj_symrk_1_rhizo","UF_Lj_symrk_2_endo","UF_Lj_symrk_2_rhizo","UF_Lj_symrk_3_endo","UF_Lj_symrk_3_rhizo","UF_Lj_symrk_4_endo","UF_Lj_symrk_4_rhizo","UF_Lj_symrk_5_endo","UF_Lj_symrk_5_rhizo","UF_Lj_symrk_6_endo","UF_Lj_symrk_6_rhizo","UF_Lj_WT_1_endo","UF_Lj_WT_1_nod","UF_Lj_WT_1_rhizo","UF_Lj_WT_2_endo","UF_Lj_WT_2_nod","UF_Lj_WT_2_rhizo","UF_Lj_WT_3_endo","UF_Lj_WT_3_nod","UF_Lj_WT_3_rhizo","UF_Lj_WT_4_endo","UF_Lj_WT_4_nod","UF_Lj_WT_4_rhizo","UF_Lj_WT_5_endo","UF_Lj_WT_5_nod","UF_Lj_WT_5_rhizo","UF_Lj_WT_6_endo","UF_Lj_WT_6_nod","UF_Lj_WT_6_rhizo"
"fd20bdf653287dd3de85661cd7eb5cc8","fd20bdf653287dd3de85661cd7eb5cc8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,1,565,1798,12,37,593,0,474,1440,5,321,1400,5,170,962,4,339,2079,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,3,0,3,0,1,0,0,0,0,145,1412,9,420,1463,756,234,1322,96,106,1306,0,186,1370,6,229,1200,97,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,6,0,0,7,0,5,0,0,0,0,0,88,1003,164,27,560,0,234,1592,0,170,1336,1,429,1308,16,367,965,18
"36d152ade5576217b77b12bc9329f447","36d152ade5576217b77b12bc9329f447",0,37,300,14,378,106,22,31,509,31,333,32,24,410,83,424,206,0,41,481,98,0,35,374,159,232,21,271,9,51,0,19,351,125,0,34,549,30,380,63,465,30,29,65,543,76,16,28,0,35,60,406,1382,46,363,61,16,381,41,57,529,84,123,357,0,152,141,109,0,0,80,0,70,0,91,5,81,426,65,0,85,0,39,25,121,0,48,0,23,282,78,115,1089,45,15,59,0,35,297,79,440,74,657,74,408,34,401,67,27,192,363,119,0,0,117,192,32,92,216,0,45,42,18,71,0,36,89,212,17,75,0,134,481,98,620,16,1197,116,29,88,0,110,342,11,21,37,0,125,243,158,251,114,323,90,420,59,0,44,613,66,497,59,559,62,0,61,0,115,0,79,0,135,9,85,29,55,595,77,363,91,191,0,581,125,0,2,138,405,67,0,289,39,158,206,55,102
"ece0eb0811bd064e537f49c346b29ddf","ece0eb0811bd064e537f49c346b29ddf",26,103,141,75,89,199,92,93,82,119,73,166,140,41,33,30,88,91,53,45,26,133,62,58,57,428,164,136,286,104,53,187,292,173,64,45,60,251,112,252,100,259,97,84,96,73,492,103,207,4,77,79,0,83,128,4,64,95,1,42,73,0,70,104,0,38,30,199,102,104,121,60,177,165,211,128,97,90,26,120,30,95,65,128,142,223,36,121,145,29,34,146,34,52,0,54,41,88,44,22,41,106,30,103,20,52,26,40,60,80,40,51,38,8,93,67,0,44,22,0,35,57,0,59,43,0,86,20,0,55,89,166,97,50,43,195,60,85,153,80,75,42,35,65,33,65,43,155,27,117,27,117,43,37,63,26,63,15,48,89,38,70,99,136,115,74,65,84,81,63,123,96,812,155,71,160,617,38,30,0,139,38,0,134,59,0,75,76,0,179,87,0,142,30,0,63
"acf01e53700dc702dc4f487d1848974b","acf01e53700dc702dc4f487d1848974b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,3,76,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,30,99,30,0,267,0,8,571,0,0,217,0,0,288,0,26,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,479,17,80,1377,0,272,753,0,15,846,0,60,249,0,35,591,0
"25f50286877b75132ef5ec0dc684eb73","25f50286877b75132ef5ec0dc684eb73",472,12,424,82,369,59,450,50,281,17,459,26,51,421,80,429,61,485,63,353,50,384,48,479,60,316,71,146,232,41,231,17,227,0,288,121,412,39,322,59,331,29,204,26,295,25,346,37,0,114,56,389,75,116,293,478,97,381,120,61,478,81,53,444,34,38,65,56,196,40,24,67,39,131,30,112,37,64,48,37,38,26,24,37,12,65,36,107,36,58,51,19,97,34,2588,20,37,11,44,27,243,50,239,33,224,75,245,49,363,61,315,59,195,0,49,116,0,48,135,0,43,257,0,38,177,0,28,187,0,95,98,0,73,15,62,29,76,18,0,0,38,0,0,0,75,0,50,0,0,17,39,0,0,0,32,0,67,0,318,14,29,0,0,0,34,0,87,21,33,0,20,7,149,12,108,0,50,8,55,20,44,16,60,27,16,21,18,34,18,0,0,0,0,16,20,32
"f72458be6bb0cea2b3ef87c0906a980e","f72458be6bb0cea2b3ef87c0906a980e",95,107,46,30,28,21,17,8,44,22,29,13,9,6,140,9,11,11,11,17,50,69,45,45,162,0,0,13,0,0,59,58,26,18,87,306,13,29,5,8,40,74,11,43,16,32,16,39,46,3,60,33,3,73,6,0,8,19,0,12,13,0,47,6,0,10,58,162,137,98,166,258,152,170,166,123,144,106,460,309,483,112,511,131,320,149,404,183,282,164,455,191,186,433,25,543,244,391,182,566,89,202,115,244,151,376,120,432,168,315,76,312,320,5,211,240,8,206,127,4,432,218,0,501,207,6,335,144,0,310,41,84,42,140,81,79,19,79,57,33,47,116,54,83,49,146,113,47,98,41,66,43,113,131,60,217,60,168,41,140,50,164,31,229,72,196,61,115,40,210,24,149,58,125,65,109,28,261,83,0,59,112,3,72,61,4,55,65,2,69,55,0,92,91,0,63
"af339a1741e3d5d849c798ada8b7ea05","af339a1741e3d5d849c798ada8b7ea05",38,195,11,122,34,70,37,124,16,159,10,93,129,16,256,20,41,30,123,15,81,35,79,54,185,29,66,27,26,36,33,92,80,150,39,161,33,182,25,239,30,189,49,158,48,152,117,204,43,0,315,23,0,149,15,0,129,13,0,119,12,0,104,23,0,41,16,250,51,355,401,60,284,67,462,126,405,46,77,68,119,155,179,39,197,67,114,72,241,25,280,296,57,468,16,137,43,197,80,224,49,374,119,362,110,313,110,329,32,242,36,149,85,0,405,73,5,302,45,0,253,43,0,287,40,0,201,44,2,221,26,127,15,85,47,229,21,112,24,73,64,53,33,88,14,133,42,147,12,113,19,99,17,85,50,142,27,63,29,196,30,264,44,196,41,106,61,265,45,180,74,187,20,234,121,118,36,162,28,0,260,39,1,155,22,0,153,24,0,269,18,0,177,48,0,217
"291a58ac54b2011dacb098ccf128aea9","291a58ac54b2011dacb098ccf128aea9",0,7,0,8,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,8,0,3,0,4,1,0,7,0,0,0,0,0,0,0,4,5,3,4,2,0,0,0,5,174,338,0,24,204,0,104,408,0,132,195,12,78,418,0,81,304,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,957,0,27,852,32,0,598,0,285,827,0,50,431,0,165,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,263,0,0,99,0,0,62,0,0,231,0,120,777,0,0,901,0
"6983af9387085b361df4d6ec10d8a801","6983af9387085b361df4d6ec10d8a801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,335,0,26,268,2,70,281,0,39,260,5,55,1233,0,170,405,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,309,5,22,122,0,7,251,0,0,114,0,15,204,0,10,381,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,6,0,0,0,0,12,0,0,17,0,0,0,0,0,0,5,0,0,5,0,0,0,2,16,884,0,5,83,9,207,377,0,64,322,0,135,456,0,93,283,0
"7561b7cae1fca93bac59989bc456c185","7561b7cae1fca93bac59989bc456c185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
