	NPK_Lj_ccamk_1_endo	NPK_Lj_ccamk_1_rhizo	NPK_Lj_ccamk_2_endo	NPK_Lj_ccamk_2_rhizo	NPK_Lj_ccamk_3_endo	NPK_Lj_ccamk_3_rhizo	NPK_Lj_ccamk_4_endo	NPK_Lj_ccamk_4_rhizo	NPK_Lj_ccamk_5_endo	NPK_Lj_ccamk_5_rhizo	NPK_Lj_ccamk_6_endo	NPK_Lj_ccamk_6_rhizo	NPK_Lj_nsp_2_rhizo	NPK_Lj_nsp1_1_endo	NPK_Lj_nsp1_1_rhizo	NPK_Lj_nsp1_2_endo	NPK_Lj_nsp1_2_rhizo	NPK_Lj_nsp1_3_endo	NPK_Lj_nsp1_3_rhizo	NPK_Lj_nsp1_4_endo	NPK_Lj_nsp1_4_rhizo	NPK_Lj_nsp1_5_endo	NPK_Lj_nsp1_5_rhizo	NPK_Lj_nsp1_6_endo	NPK_Lj_nsp1_6_rhizo	NPK_Lj_nsp2_1_endo	NPK_Lj_nsp2_1_rhizo	NPK_Lj_nsp2_2_endo	NPK_Lj_nsp2_3_endo	NPK_Lj_nsp2_3_rhizo	NPK_Lj_nsp2_4_endo	NPK_Lj_nsp2_4_rhizo	NPK_Lj_nsp2_5_endo	NPK_Lj_nsp2_5_rhizo	NPK_Lj_nsp2_6_endo	NPK_Lj_nsp2_6_rhizo	NPK_Lj_symrk_1_endo	NPK_Lj_symrk_1_rhizo	NPK_Lj_symrk_2_endo	NPK_Lj_symrk_2_rhizo	NPK_Lj_symrk_3_endo	NPK_Lj_symrk_3_rhizo	NPK_Lj_symrk_4_endo	NPK_Lj_symrk_4_rhizo	NPK_Lj_symrk_5_endo	NPK_Lj_symrk_5_rhizo	NPK_Lj_symrk_6_endo	NPK_Lj_symrk_6_rhizo	NPK_Lj_WT_1_endo	NPK_Lj_WT_1_nod	NPK_Lj_WT_1_rhizo	NPK_Lj_WT_2_endo	NPK_Lj_WT_2_nod	NPK_Lj_WT_2_rhizo	NPK_Lj_WT_3_endo	NPK_Lj_WT_3_nod	NPK_Lj_WT_3_rhizo	NPK_Lj_WT_4_endo	NPK_Lj_WT_4_nod	NPK_Lj_WT_4_rhizo	NPK_Lj_WT_5_endo	NPK_Lj_WT_5_nod	NPK_Lj_WT_5_rhizo	NPK_Lj_WT_6_endo	NPK_Lj_WT_6_nod	NPK_Lj_WT_6_rhizo	PK_Lj_ccamk_1_endo	PK_Lj_ccamk_1_rhizo	PK_Lj_ccamk_2_endo	PK_Lj_ccamk_2_rhizo	PK_Lj_ccamk_3_rhizo	PK_Lj_ccamk_4_endo	PK_Lj_ccamk_4_rhizo	PK_Lj_ccamk_5_endo	PK_Lj_ccamk_5_rhizo	PK_Lj_ccamk_6_endo	PK_Lj_ccamk_6_rhizo	PK_Lj_nsp1_1_endo	PK_Lj_nsp1_1_rhizo	PK_Lj_nsp1_2_endo	PK_Lj_nsp1_2_rhizo	PK_Lj_nsp1_3_endo	PK_Lj_nsp1_3_rhizo	PK_Lj_nsp1_4_endo	PK_Lj_nsp1_4_rhizo	PK_Lj_nsp1_5_endo	PK_Lj_nsp1_5_rhizo	PK_Lj_nsp1_6_endo	PK_Lj_nsp1_6_rhizo	PK_Lj_nsp2_1_endo	PK_Lj_nsp2_1_rhizo	PK_Lj_nsp2_2_rhizo	PK_Lj_nsp2_3_endo	PK_Lj_nsp2_3_rhizo	PK_Lj_nsp2_4_endo	PK_Lj_nsp2_4_rhizo	PK_Lj_nsp2_5_endo	PK_Lj_nsp2_5_rhizo	PK_Lj_nsp2_6_endo	PK_Lj_nsp2_6_rhizo	PK_Lj_symrk_1_endo	PK_Lj_symrk_1_rhizo	PK_Lj_symrk_2_endo	PK_Lj_symrk_2_rhizo	PK_Lj_symrk_3_endo	PK_Lj_symrk_3_rhizo	PK_Lj_symrk_4_endo	PK_Lj_symrk_4_rhizo	PK_Lj_symrk_5_endo	PK_Lj_symrk_5_rhizo	PK_Lj_symrk_6_endo	PK_Lj_symrk_6_rhizo	PK_Lj_WT_1_endo	PK_Lj_WT_1_nod	PK_Lj_WT_1_rhizo	PK_Lj_WT_2_endo	PK_Lj_WT_2_nod	PK_Lj_WT_2_rhizo	PK_Lj_WT_3_endo	PK_Lj_WT_3_nod	PK_Lj_WT_3_rhizo	PK_Lj_WT_4_endo	PK_Lj_WT_4_nod	PK_Lj_WT_4_rhizo	PK_Lj_WT_5_endo	PK_Lj_WT_5_nod	PK_Lj_WT_5_rhizo	PK_Lj_WT_6_endo	PK_Lj_WT_6_nod	PK_Lj_WT_6_rhizo	UF_Lj_ccamk_1_endo	UF_Lj_ccamk_1_rhizo	UF_Lj_ccamk_2_endo	UF_Lj_ccamk_2_rhizo	UF_Lj_ccamk_3_endo	UF_Lj_ccamk_3_rhizo	UF_Lj_ccamk_4_endo	UF_Lj_ccamk_4_rhizo	UF_Lj_ccamk_5_endo	UF_Lj_ccamk_5_rhizo	UF_Lj_ccamk_6_endo	UF_Lj_ccamk_6_rhizo	UF_Lj_nsp1_1_endo	UF_Lj_nsp1_1_rhizo	UF_Lj_nsp1_2_endo	UF_Lj_nsp1_2_rhizo	UF_Lj_nsp1_3_endo	UF_Lj_nsp1_3_rhizo	UF_Lj_nsp1_4_endo	UF_Lj_nsp1_4_rhizo	UF_Lj_nsp1_5_endo	UF_Lj_nsp1_5_rhizo	UF_Lj_nsp1_6_endo	UF_Lj_nsp1_6_rhizo	UF_Lj_nsp2_1_endo	UF_Lj_nsp2_1_rhizo	UF_Lj_nsp2_2_endo	UF_Lj_nsp2_2_rhizo	UF_Lj_nsp2_3_endo	UF_Lj_nsp2_3_rhizo	UF_Lj_nsp2_4_endo	UF_Lj_nsp2_4_rhizo	UF_Lj_nsp2_5_endo	UF_Lj_nsp2_5_rhizo	UF_Lj_nsp2_6_endo	UF_Lj_nsp2_6_rhizo	UF_Lj_symrk_1_endo	UF_Lj_symrk_1_rhizo	UF_Lj_symrk_2_endo	UF_Lj_symrk_2_rhizo	UF_Lj_symrk_3_endo	UF_Lj_symrk_3_rhizo	UF_Lj_symrk_4_endo	UF_Lj_symrk_4_rhizo	UF_Lj_symrk_5_endo	UF_Lj_symrk_5_rhizo	UF_Lj_symrk_6_endo	UF_Lj_symrk_6_rhizo	UF_Lj_WT_1_endo	UF_Lj_WT_1_nod	UF_Lj_WT_1_rhizo	UF_Lj_WT_2_endo	UF_Lj_WT_2_nod	UF_Lj_WT_2_rhizo	UF_Lj_WT_3_endo	UF_Lj_WT_3_nod	UF_Lj_WT_3_rhizo	UF_Lj_WT_4_endo	UF_Lj_WT_4_nod	UF_Lj_WT_4_rhizo	UF_Lj_WT_5_endo	UF_Lj_WT_5_nod	UF_Lj_WT_5_rhizo	UF_Lj_WT_6_endo	UF_Lj_WT_6_nod	UF_Lj_WT_6_rhizo
fd20bdf653287dd3de85661cd7eb5cc8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	19	0	40	1196	126791	76	217	34460	0	2915	22463	46	1395	120476	53	464	2209	21	1402	7264	106	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	49	0	0	0	0	0	0	30	0	0	30	0	20	0	29	0	0	0	0	609	2925	39	2624	6452	4170	1060	3482	428	157	4741	0	842	6831	34	416	5712	247	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	15	0	0	0	0	0	12	0	0	17	0	325	0	0	0	0	0	312	4397	893	141	57260	0	730	4744	0	584	6414	10	1021	4463	25	1013	4714	44
36d152ade5576217b77b12bc9329f447	0	205	5390	97	1377	887	59	195	3150	210	1471	171	118	2541	453	2326	3103	0	282	2645	649	0	237	1669	1294	2116	206	768	31	368	0	135	444	1499	0	160	1169	181	2568	658	2934	239	121	447	2875	527	36	1017	0	2540	540	1922	83113	242	2199	882	181	1542	2786	286	1476	180	899	1473	0	915	1612	1181	0	42	625	0	481	0	576	40	463	3728	628	0	577	0	358	135	566	0	256	0	108	2839	542	1840	4475	345	20	421	0	284	2095	608	3301	634	2688	572	1281	264	1324	664	80	1344	2013	892	0	0	858	1327	109	573	918	0	210	66	72	464	0	166	323	449	103	177	0	185	512	542	1191	26	2241	568	49	451	0	324	534	24	98	38	0	319	444	371	1228	245	476	286	700	156	0	114	3186	327	768	124	613	80	0	165	0	283	0	141	0	685	558	370	33	277	1429	644	1456	424	1097	0	66035	374	0	15	468	1306	371	0	643	134	223	534	221	287
ece0eb0811bd064e537f49c346b29ddf	73	567	2743	624	305	1440	256	864	588	626	378	810	726	209	229	171	1170	264	340	241	183	403	505	238	422	3801	1711	425	1123	708	220	1488	367	1527	178	211	142	1427	742	3004	751	1772	416	705	513	705	1077	3852	485	141	534	392	68	411	742	45	472	462	107	222	216	0	551	367	0	380	421	2610	482	1322	862	614	1160	685	1287	724	632	720	284	959	185	986	507	684	703	1686	193	414	441	233	315	2396	167	525	0	393	134	624	334	212	278	1002	140	665	66	315	79	296	180	675	173	454	180	13	897	490	0	261	126	0	165	80	0	347	219	0	296	37	0	140	229	241	103	270	82	539	99	398	270	312	83	131	47	226	218	74	68	462	57	282	134	256	60	120	106	90	64	37	265	484	67	143	91	161	347	184	117	203	165	103	309	421	73744	649	67	696	1517	353	133	0	930	167	27	464	173	0	285	236	0	448	200	0	238	89	0	138
acf01e53700dc702dc4f487d1848974b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2822	0	0	0	0	35	1431	0	43	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	108	214	221	0	1119	0	44	1637	0	0	751	0	0	1470	0	52	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	36	2166	105	456	136897	0	768	2230	0	46	4038	0	157	726	0	94	2853	0
25f50286877b75132ef5ec0dc684eb73	1426	52	7390	771	1271	516	1459	340	1898	91	2065	111	222	2512	572	2437	975	1548	390	1872	336	1187	552	1953	472	2935	658	429	882	292	809	142	297	0	857	549	943	311	1984	689	2041	243	921	180	1753	136	732	1409	0	10199	453	1910	4575	590	1821	7784	773	1482	12004	309	1245	195	404	1879	126	241	667	588	685	523	198	631	193	505	147	644	195	638	522	279	223	195	205	217	84	462	159	341	140	564	392	411	428	279	3748	165	152	65	353	294	1699	596	945	221	699	479	743	464	1197	533	1599	473	732	0	413	801	0	271	581	0	218	390	0	266	701	0	96	305	0	254	286	0	73	109	99	58	141	72	0	0	45	0	0	0	533	0	78	0	0	52	109	0	0	0	68	0	93	0	1849	84	58	0	0	0	83	0	175	52	82	0	87	61	13662	51	101	0	143	90	168	123	300	139	6744	106	68	76	63	100	87	0	0	0	0	60	83	73
f72458be6bb0cea2b3ef87c0906a980e	263	599	794	432	83	117	42	91	299	99	97	74	49	31	1024	52	88	32	139	98	315	170	308	164	1114	0	0	25	0	26	217	618	26	120	270	1564	35	188	17	55	244	382	99	262	80	234	48	1766	109	105	371	171	169	388	60	0	50	56	8	44	34	0	260	25	0	71	532	2278	576	1503	1106	2397	1074	699	880	870	868	939	4192	2209	2824	921	3685	778	1627	1207	2089	697	829	1695	3026	3508	746	4209	48	4273	878	3279	1239	4716	621	1884	495	1729	481	2537	397	3677	493	2509	443	2960	1213	14	1834	1543	20	1088	575	10	1971	304	0	3022	779	17	1215	263	0	837	115	123	61	688	127	187	42	385	124	142	82	307	87	265	384	159	214	123	137	108	309	104	149	445	108	563	91	447	207	623	82	308	40	272	184	529	123	288	91	363	104	721	5661	489	72	443	77	2051	349	0	399	694	356	217	191	20	267	175	18	169	134	0	139	282	0	164
af339a1741e3d5d849c798ada8b7ea05	101	1198	390	1194	102	578	119	985	109	962	66	442	582	89	1830	98	669	108	819	85	616	115	834	238	1406	258	681	103	156	274	103	720	92	1493	96	756	92	1075	145	2503	168	1267	188	1105	256	1434	218	8882	88	54	2163	144	17	869	91	0	1034	48	24	619	35	0	631	66	0	260	171	3105	196	4280	2496	635	1783	305	2916	655	2425	438	733	499	679	1171	1269	246	951	382	591	241	795	220	1822	5114	206	4611	15	1023	131	1688	546	1850	424	3371	447	2506	347	2337	309	2594	127	1984	192	1374	415	0	3345	420	24	1623	199	0	1114	66	0	1681	169	0	727	87	7	608	73	204	33	428	70	684	32	629	64	349	76	192	64	267	112	148	59	378	26	230	69	200	29	268	75	363	36	163	139	915	55	481	34	220	103	274	112	657	90	267	181	1088	1632	996	106	461	98	1505	114	0	1482	238	54	493	59	0	537	113	0	794	47	0	298	120	0	498
291a58ac54b2011dacb098ccf128aea9	0	21	0	36	0	21	0	23	0	20	0	18	0	0	0	0	0	0	0	0	0	0	18	0	29	0	27	0	12	19	0	38	0	0	0	0	0	0	0	34	15	28	10	15	0	0	0	68	400	24696	0	129	11826	0	677	6446	0	485	15967	70	238	765	0	348	1088	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	2011	0	227	3614	205	0	1641	0	454	2946	0	194	2193	0	294	3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	1134	0	0	8221	0	0	191	0	0	992	0	282	2380	0	0	4346	0
6983af9387085b361df4d6ec10d8a801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	22567	0	113	15595	23	445	4635	0	174	24561	29	190	2664	0	613	1453	15	0	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	83	564	44	149	590	0	33	641	0	0	411	0	44	893	0	24	2082	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	25	0	16	0	23	0	0	0	0	14	0	0	19	0	0	0	0	0	0	27	0	140	19	0	0	0	43	73	3757	0	33	7538	26	570	1184	0	196	1598	0	317	1681	0	210	1322	0
7561b7cae1fca93bac59989bc456c185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	67686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
335241f9cdeb4a16e3f395cb7809d30e	467	229	2422	218	435	312	514	278	833	257	598	244	268	649	237	540	740	575	251	494	250	343	377	424	171	978	589	352	596	484	482	346	149	376	289	126	344	200	779	336	611	205	913	207	787	235	260	1005	230	47	314	632	74	229	497	13	299	492	31	256	344	12	325	609	0	337	492	724	575	519	283	1507	243	478	256	640	196	804	165	999	110	913	231	751	238	702	93	543	130	954	144	480	265	192	0	191	399	138	897	189	473	138	165	150	209	164	276	143	239	151	318	172	326	12	286	520	0	130	481	0	132	172	0	161	476	0	117	186	0	54	288	87	150	80	82	77	139	117	169	84	137	55	160	60	437	21	122	68	97	105	272	67	106	72	195	57	126	41	381	92	144	43	147	34	365	77	257	57	277	49	303	148	6928	97	110	79	181	162	233	0	219	499	36	68	191	0	60	330	6	84	160	0	68	189	0	45
