Fresh_weight	Plant_species	Genotype	Soil_type	Experiment
0.1403	Barley	nsp2	UF	Barley_CSSP
0.4382	Barley	nsp2	UF	Barley_CSSP
0.1105	Barley	nsp2	UF	Barley_CSSP
0.3115	Barley	nsp2	UF	Barley_CSSP
0.192	Barley	nsp2	UF	Barley_CSSP
0.188	Barley	nsp2	UF	Barley_CSSP
0.2287	Barley	nsp2	UF	Barley_CSSP
0.2556	Barley	nsp2	UF	Barley_CSSP
0.2603	Barley	nsp2	UF	Barley_CSSP
0.353	Barley	nsp2	UF	Barley_CSSP
0.1384	Barley	nsp2	UF	Barley_CSSP
0.2926	Barley	nsp2	UF	Barley_CSSP
0.2825	Barley	nsp2	UF	Barley_CSSP
0.4112	Barley	nsp2	UF	Barley_CSSP
0.3401	Barley	nsp2	UF	Barley_CSSP
0.3455	Barley	nsp2	UF	Barley_CSSP
0.2777	Barley	nsp2	UF	Barley_CSSP
0.2684	Barley	nsp2	UF	Barley_CSSP
0.4045	Barley	nsp1	UF	Barley_CSSP
0.303	Barley	nsp1	UF	Barley_CSSP
0.3155	Barley	nsp1	UF	Barley_CSSP
0.3075	Barley	nsp1	UF	Barley_CSSP
0.3337	Barley	nsp1	UF	Barley_CSSP
0.4586	Barley	nsp1	UF	Barley_CSSP
0.2881	Barley	nsp1	UF	Barley_CSSP
0.3952	Barley	nsp1	UF	Barley_CSSP
0.2646	Barley	nsp1	UF	Barley_CSSP
0.3986	Barley	nsp1	UF	Barley_CSSP
0.2453	Barley	nsp1	UF	Barley_CSSP
0.2171	Barley	nsp1	UF	Barley_CSSP
0.3854	Barley	nsp1	UF	Barley_CSSP
0.3336	Barley	nsp1	UF	Barley_CSSP
0.2513	Barley	nsp1	UF	Barley_CSSP
0.3243	Barley	nsp1	UF	Barley_CSSP
0.2282	Barley	nsp1	UF	Barley_CSSP
0.3351	Barley	nsp1	UF	Barley_CSSP
0.3546	Barley	WT	UF	Barley_CSSP
0.4769	Barley	WT	UF	Barley_CSSP
0.3791	Barley	WT	UF	Barley_CSSP
0.4908	Barley	WT	UF	Barley_CSSP
0.3916	Barley	WT	UF	Barley_CSSP
0.4698	Barley	WT	UF	Barley_CSSP
0.4869	Barley	WT	UF	Barley_CSSP
0.3512	Barley	WT	UF	Barley_CSSP
0.4694	Barley	WT	UF	Barley_CSSP
0.4608	Barley	WT	UF	Barley_CSSP
0.4469	Barley	WT	UF	Barley_CSSP
0.4316	Barley	WT	UF	Barley_CSSP
0.467	Barley	WT	UF	Barley_CSSP
0.376	Barley	WT	UF	Barley_CSSP
0.0827	Barley	WT	UF	Barley_CSSP
0.1885	Barley	WT	UF	Barley_CSSP
0.376	Barley	WT	UF	Barley_CSSP
0.0958	Barley	WT	UF	Barley_CSSP
0.3951	Barley	symrk	UF	Barley_CSSP
0.3463	Barley	symrk	UF	Barley_CSSP
0.2855	Barley	symrk	UF	Barley_CSSP
0.4322	Barley	symrk	UF	Barley_CSSP
0.4066	Barley	symrk	UF	Barley_CSSP
0.3409	Barley	symrk	UF	Barley_CSSP
0.4177	Barley	symrk	UF	Barley_CSSP
0.36	Barley	symrk	UF	Barley_CSSP
0.3215	Barley	symrk	UF	Barley_CSSP
0.2397	Barley	symrk	UF	Barley_CSSP
0.301	Barley	symrk	UF	Barley_CSSP
0.2271	Barley	symrk	UF	Barley_CSSP
0.4436	Barley	symrk	UF	Barley_CSSP
0.2976	Barley	symrk	UF	Barley_CSSP
0.2838	Barley	symrk	UF	Barley_CSSP
0.2856	Barley	symrk	UF	Barley_CSSP
0.3052	Barley	symrk	UF	Barley_CSSP
0.286	Barley	symrk	UF	Barley_CSSP
0.1563	Barley	ccamk	UF	Barley_CSSP
0.2122	Barley	ccamk	UF	Barley_CSSP
0.3268	Barley	ccamk	UF	Barley_CSSP
0.2065	Barley	ccamk	UF	Barley_CSSP
0.2804	Barley	ccamk	UF	Barley_CSSP
0.2526	Barley	ccamk	UF	Barley_CSSP
0.2028	Barley	ccamk	UF	Barley_CSSP
0.2415	Barley	ccamk	UF	Barley_CSSP
0.1824	Barley	ccamk	UF	Barley_CSSP
0.1978	Barley	ccamk	UF	Barley_CSSP
0.197	Barley	ccamk	UF	Barley_CSSP
0.3039	Barley	ccamk	UF	Barley_CSSP
0.199	Barley	ccamk	UF	Barley_CSSP
0.2504	Barley	ccamk	UF	Barley_CSSP
0.2189	Barley	ccamk	UF	Barley_CSSP
0.1305	Barley	ccamk	UF	Barley_CSSP
0.5085	Barley	nsp1	PK	Barley_CSSP
0.4257	Barley	nsp1	PK	Barley_CSSP
0.778	Barley	nsp1	PK	Barley_CSSP
0.3687	Barley	nsp1	PK	Barley_CSSP
0.8177	Barley	nsp1	PK	Barley_CSSP
0.5916	Barley	nsp1	PK	Barley_CSSP
0.722	Barley	nsp1	PK	Barley_CSSP
0.3943	Barley	nsp1	PK	Barley_CSSP
0.5775	Barley	nsp1	PK	Barley_CSSP
0.6262	Barley	nsp1	PK	Barley_CSSP
0.5285	Barley	nsp1	PK	Barley_CSSP
0.6779	Barley	nsp1	PK	Barley_CSSP
0.4736	Barley	nsp1	PK	Barley_CSSP
0.656	Barley	nsp1	PK	Barley_CSSP
0.6427	Barley	nsp1	PK	Barley_CSSP
0.6552	Barley	nsp1	PK	Barley_CSSP
0.7234	Barley	nsp1	PK	Barley_CSSP
0.569	Barley	nsp1	PK	Barley_CSSP
0.7294	Barley	nsp2	PK	Barley_CSSP
0.4896	Barley	nsp2	PK	Barley_CSSP
0.4695	Barley	nsp2	PK	Barley_CSSP
0.5729	Barley	nsp2	PK	Barley_CSSP
0.6322	Barley	nsp2	PK	Barley_CSSP
0.6286	Barley	nsp2	PK	Barley_CSSP
0.4624	Barley	nsp2	PK	Barley_CSSP
0.3784	Barley	nsp2	PK	Barley_CSSP
0.6529	Barley	nsp2	PK	Barley_CSSP
0.4723	Barley	nsp2	PK	Barley_CSSP
0.4311	Barley	nsp2	PK	Barley_CSSP
0.3637	Barley	nsp2	PK	Barley_CSSP
0.5601	Barley	nsp2	PK	Barley_CSSP
0.5311	Barley	nsp2	PK	Barley_CSSP
0.5138	Barley	nsp2	PK	Barley_CSSP
0.6377	Barley	nsp2	PK	Barley_CSSP
0.6614	Barley	nsp2	PK	Barley_CSSP
0.6614	Barley	nsp2	PK	Barley_CSSP
0.3177	Barley	ccamk	PK	Barley_CSSP
0.3275	Barley	ccamk	PK	Barley_CSSP
0.3572	Barley	ccamk	PK	Barley_CSSP
0.3321	Barley	ccamk	PK	Barley_CSSP
0.3919	Barley	ccamk	PK	Barley_CSSP
0.4189	Barley	ccamk	PK	Barley_CSSP
0.4498	Barley	ccamk	PK	Barley_CSSP
0.4762	Barley	ccamk	PK	Barley_CSSP
0.5445	Barley	ccamk	PK	Barley_CSSP
0.3493	Barley	ccamk	PK	Barley_CSSP
0.3594	Barley	ccamk	PK	Barley_CSSP
0.528	Barley	ccamk	PK	Barley_CSSP
0.3866	Barley	ccamk	PK	Barley_CSSP
0.4559	Barley	ccamk	PK	Barley_CSSP
0.1645	Barley	ccamk	PK	Barley_CSSP
0.3779	Barley	ccamk	PK	Barley_CSSP
0.6052	Barley	WT	PK	Barley_CSSP
0.7252	Barley	WT	PK	Barley_CSSP
0.473	Barley	WT	PK	Barley_CSSP
0.6713	Barley	WT	PK	Barley_CSSP
0.543	Barley	WT	PK	Barley_CSSP
0.633	Barley	WT	PK	Barley_CSSP
0.7272	Barley	WT	PK	Barley_CSSP
0.7522	Barley	WT	PK	Barley_CSSP
0.572	Barley	WT	PK	Barley_CSSP
0.8037	Barley	WT	PK	Barley_CSSP
0.5831	Barley	WT	PK	Barley_CSSP
0.4756	Barley	WT	PK	Barley_CSSP
0.7294	Barley	WT	PK	Barley_CSSP
0.6726	Barley	WT	PK	Barley_CSSP
0.6685	Barley	WT	PK	Barley_CSSP
0.6911	Barley	WT	PK	Barley_CSSP
0.5479	Barley	WT	PK	Barley_CSSP
0.6542	Barley	WT	PK	Barley_CSSP
0.4401	Barley	symrk	PK	Barley_CSSP
0.5609	Barley	symrk	PK	Barley_CSSP
0.7238	Barley	symrk	PK	Barley_CSSP
0.7324	Barley	symrk	PK	Barley_CSSP
0.6146	Barley	symrk	PK	Barley_CSSP
0.6034	Barley	symrk	PK	Barley_CSSP
0.613	Barley	symrk	PK	Barley_CSSP
0.6028	Barley	symrk	PK	Barley_CSSP
0.5711	Barley	symrk	PK	Barley_CSSP
0.7449	Barley	symrk	PK	Barley_CSSP
0.658	Barley	symrk	PK	Barley_CSSP
0.6491	Barley	symrk	PK	Barley_CSSP
0.4473	Barley	symrk	PK	Barley_CSSP
0.7356	Barley	symrk	PK	Barley_CSSP
0.5401	Barley	symrk	PK	Barley_CSSP
0.64	Barley	symrk	PK	Barley_CSSP
0.7066	Barley	symrk	PK	Barley_CSSP
0.5142	Barley	symrk	PK	Barley_CSSP
1.2956	Barley	nsp1	NPK	Barley_CSSP
1.4015	Barley	nsp1	NPK	Barley_CSSP
1.4465	Barley	nsp1	NPK	Barley_CSSP
1.3165	Barley	nsp1	NPK	Barley_CSSP
1.0625	Barley	nsp1	NPK	Barley_CSSP
1.6183	Barley	nsp1	NPK	Barley_CSSP
1.7639	Barley	nsp1	NPK	Barley_CSSP
1.4154	Barley	nsp1	NPK	Barley_CSSP
1.249	Barley	nsp1	NPK	Barley_CSSP
1.605	Barley	nsp1	NPK	Barley_CSSP
1.2689	Barley	nsp1	NPK	Barley_CSSP
