	chao1
AM_S_1	1342.6979591836734
AM_S_10	748.6116504854369
AM_S_100	344.92857142857144
AM_S_101	200.66666666666666
AM_S_102	805.7628865979382
AM_S_103	559.171875
AM_S_104	868.010752688172
AM_S_105	590.3787878787879
AM_S_106	1503.0578512396694
AM_S_107	539.828125
AM_S_108	1337.5735294117646
AM_S_109	504.5
AM_S_11	1482.122950819672
AM_S_110	976.5
AM_S_111	638.3382352941177
AM_S_112	1118.086705202312
AM_S_113	550.2264150943396
AM_S_114	1139.5
AM_S_115	511.5576923076923
AM_S_116	1311.1138613861385
AM_S_117	1224.8666666666666
AM_S_118	472.0
AM_S_119	1359.061224489796
AM_S_12	586.9230769230769
AM_S_120	717.0285714285715
AM_S_121	1221.7793103448275
AM_S_122	706.5535714285714
AM_S_123	1412.7688442211056
AM_S_124	1025.5966386554621
AM_S_125	1493.5595238095239
AM_S_126	1292.203125
AM_S_127	694.2448979591836
AM_S_128	1440.403162055336
AM_S_129	633.1184210526316
AM_S_13	970.7922077922078
AM_S_130	1419.6653696498054
AM_S_131	632.5189873417721
AM_S_132	1419.4618834080718
AM_S_133	521.5
AM_S_134	1219.1846153846154
AM_S_135	662.6875
AM_S_136	1105.297435897436
AM_S_137	612.8829787234042
AM_S_138	1147.719298245614
AM_S_139	586.375
AM_S_14	622.1075268817204
AM_S_140	1398.6558704453441
AM_S_141	565.6307692307693
AM_S_142	1324.13
AM_S_143	656.5185185185185
AM_S_144	1258.5882352941176
AM_S_145	562.0422535211268
AM_S_146	1204.5106382978724
AM_S_147	668.6785714285714
AM_S_148	1131.15625
AM_S_149	451.5
AM_S_15	959.5428571428572
AM_S_150	748.0550458715596
AM_S_151	491.77966101694915
AM_S_152	1133.2694610778444
AM_S_153	440.125
AM_S_154	1018.8915662650602
AM_S_155	465.27272727272725
AM_S_156	1345.0
AM_S_157	372.4864864864865
AM_S_158	1352.0714285714287
AM_S_159	493.0
AM_S_16	450.25
AM_S_160	1225.2341463414634
AM_S_161	435.575
AM_S_162	1440.7396694214876
AM_S_163	736.3655913978495
AM_S_164	1270.1846153846154
AM_S_165	589.1216216216217
AM_S_166	1029.5882352941176
AM_S_167	496.7971014492754
AM_S_168	1136.5306122448978
AM_S_169	685.2178217821782
AM_S_17	1137.7565789473683
AM_S_170	1291.3977900552486
AM_S_171	509.17021276595744
AM_S_172	890.625
AM_S_173	511.25
AM_S_174	1279.5141509433963
AM_S_175	375.55882352941177
AM_S_176	1229.2774869109949
AM_S_177	563.5909090909091
AM_S_178	1173.0591715976332
AM_S_179	560.0
AM_S_18	473.94444444444446
AM_S_180	1479.1660516605166
AM_S_181	553.030303030303
AM_S_182	1141.5159574468084
AM_S_183	740.0451127819549
AM_S_184	1502.2454873646209
AM_S_185	475.0181818181818
AM_S_186	1366.45
AM_S_187	1348.5
AM_S_188	1492.6758893280632
AM_S_19	799.3846153846154
AM_S_2	574.3188405797101
AM_S_20	573.04
AM_S_21	1081.3395061728395
AM_S_22	543.1216216216217
AM_S_23	1254.6272727272726
AM_S_24	401.0
AM_S_25	1775.6536144578313
AM_S_26	357.12
AM_S_27	1322.8367346938776
AM_S_28	355.6
AM_S_29	1159.6935483870968
AM_S_30	301.96875
AM_S_31	1565.453781512605
AM_S_32	276.61538461538464
AM_S_33	1509.0210526315789
AM_S_34	388.22222222222223
AM_S_35	1392.25
AM_S_36	409.1333333333333
AM_S_37	1312.0269058295964
AM_S_38	488.1
AM_S_39	807.1515151515151
AM_S_4	358.6511627906977
AM_S_40	458.0
AM_S_41	1150.9717514124293
AM_S_42	390.50847457627117
AM_S_43	1362.018018018018
AM_S_44	562.3134328358209
AM_S_45	792.1851851851852
AM_S_46	995.0171428571429
AM_S_47	1305.0585774058577
AM_S_48	480.6111111111111
AM_S_49	922.6642335766423
AM_S_5	1331.525
AM_S_50	660.0111111111111
AM_S_51	961.5928571428572
AM_S_52	624.370786516854
AM_S_53	700.375
AM_S_54	415.59016393442624
AM_S_55	830.595041322314
AM_S_56	452.3333333333333
AM_S_57	709.047619047619
AM_S_58	403.9677419354839
AM_S_59	773.483870967742
AM_S_6	661.0625
AM_S_60	277.0
AM_S_61	1332.2157894736843
AM_S_62	1215.6489361702127
AM_S_63	1606.2020547945206
AM_S_64	1808.9303797468356
AM_S_65	492.83720930232556
AM_S_66	1300.7572815533981
AM_S_67	79.0
AM_S_68	1284.845132743363
AM_S_69	663.2027027027027
AM_S_7	1401.8771186440679
AM_S_70	1440.6136363636365
AM_S_71	687.7619047619048
AM_S_72	1593.0032573289902
AM_S_73	667.0103092783505
AM_S_74	1056.4166666666667
AM_S_75	311.75
AM_S_76	1268.041237113402
AM_S_77	560.8684210526316
AM_S_78	948.5555555555555
AM_S_79	895.608
AM_S_8	485.66129032258067
AM_S_80	1334.3636363636363
AM_S_81	619.0722891566265
AM_S_82	1057.3793103448277
AM_S_83	711.7758620689656
AM_S_84	1373.9906542056074
AM_S_85	641.5
AM_S_86	1243.0150753768844
AM_S_87	634.0
AM_S_88	1156.606936416185
AM_S_89	444.9672131147541
AM_S_9	2080.727272727273
AM_S_90	1413.5205479452054
AM_S_91	503.34615384615387
AM_S_92	1469.579766536965
AM_S_93	241.0
AM_S_94	1855.9174311926606
AM_S_95	437.8
AM_S_96	929.4471544715448
AM_S_97	499.015873015873
AM_S_98	998.0145985401459
AM_S_99	285.4
