	chao1
NPK_Lj_ccamk_1_endo	132.875
NPK_Lj_ccamk_1_rhizo	416.8490566037736
NPK_Lj_ccamk_2_endo	285.6666666666667
NPK_Lj_ccamk_2_rhizo	629.3543307086615
NPK_Lj_ccamk_3_endo	150.0
NPK_Lj_ccamk_3_rhizo	500.3478260869565
NPK_Lj_ccamk_4_endo	156.77777777777777
NPK_Lj_ccamk_4_rhizo	509.6470588235294
NPK_Lj_ccamk_5_endo	169.12
NPK_Lj_ccamk_5_rhizo	421.51612903225805
NPK_Lj_ccamk_6_endo	157.125
NPK_Lj_ccamk_6_rhizo	364.10869565217394
NPK_Lj_nsp_2_rhizo	379.52173913043475
NPK_Lj_nsp1_1_endo	155.6
NPK_Lj_nsp1_1_rhizo	410.5245901639344
NPK_Lj_nsp1_2_endo	145.6
NPK_Lj_nsp1_2_rhizo	562.2952380952381
NPK_Lj_nsp1_3_endo	128.42857142857142
NPK_Lj_nsp1_3_rhizo	423.22388059701495
NPK_Lj_nsp1_4_endo	164.53333333333333
NPK_Lj_nsp1_4_rhizo	481.35051546391753
NPK_Lj_nsp1_5_endo	127.1
NPK_Lj_nsp1_5_rhizo	552.8446601941747
NPK_Lj_nsp1_6_endo	152.31578947368422
NPK_Lj_nsp1_6_rhizo	476.3544303797468
NPK_Lj_nsp2_1_endo	179.8846153846154
NPK_Lj_nsp2_1_rhizo	469.2068965517241
NPK_Lj_nsp2_2_endo	122.5
NPK_Lj_nsp2_3_endo	139.0
NPK_Lj_nsp2_3_rhizo	486.55882352941177
NPK_Lj_nsp2_4_endo	136.66666666666666
NPK_Lj_nsp2_4_rhizo	469.37333333333333
NPK_Lj_nsp2_5_endo	72.0
NPK_Lj_nsp2_5_rhizo	596.2803738317757
NPK_Lj_nsp2_6_endo	123.125
NPK_Lj_nsp2_6_rhizo	318.0232558139535
NPK_Lj_symrk_1_endo	96.66666666666667
NPK_Lj_symrk_1_rhizo	361.0
NPK_Lj_symrk_2_endo	154.04
NPK_Lj_symrk_2_rhizo	473.0
NPK_Lj_symrk_3_endo	150.43478260869566
NPK_Lj_symrk_3_rhizo	359.51851851851853
NPK_Lj_symrk_4_endo	154.04761904761904
NPK_Lj_symrk_4_rhizo	410.7763157894737
NPK_Lj_symrk_5_endo	140.4
NPK_Lj_symrk_5_rhizo	553.421875
NPK_Lj_symrk_6_endo	108.21428571428571
NPK_Lj_symrk_6_rhizo	987.8607594936709
NPK_Lj_WT_1_endo	75.0
NPK_Lj_WT_1_nod	59.2
NPK_Lj_WT_1_rhizo	410.62820512820514
NPK_Lj_WT_2_endo	153.35294117647058
NPK_Lj_WT_2_nod	46.0
NPK_Lj_WT_2_rhizo	373.10869565217394
NPK_Lj_WT_3_endo	146.4
NPK_Lj_WT_3_nod	34.0
NPK_Lj_WT_3_rhizo	483.53061224489795
NPK_Lj_WT_4_endo	132.75
NPK_Lj_WT_4_nod	104.0
NPK_Lj_WT_4_rhizo	394.4666666666667
NPK_Lj_WT_5_endo	90.875
NPK_Lj_WT_5_nod	12.333333333333334
NPK_Lj_WT_5_rhizo	375.04615384615386
NPK_Lj_WT_6_endo	112.0
NPK_Lj_WT_6_nod	8.0
NPK_Lj_WT_6_rhizo	475.5394736842105
PK_Lj_ccamk_1_endo	693.141592920354
PK_Lj_ccamk_1_rhizo	523.7826086956521
PK_Lj_ccamk_2_endo	151.54545454545453
PK_Lj_ccamk_2_rhizo	648.3396226415094
PK_Lj_ccamk_3_rhizo	344.36842105263156
PK_Lj_ccamk_4_endo	246.42857142857142
PK_Lj_ccamk_4_rhizo	399.0921052631579
PK_Lj_ccamk_5_endo	158.23076923076923
PK_Lj_ccamk_5_rhizo	290.67857142857144
PK_Lj_ccamk_6_endo	216.85714285714286
PK_Lj_ccamk_6_rhizo	385.8076923076923
PK_Lj_nsp1_1_endo	201.85714285714286
PK_Lj_nsp1_1_rhizo	630.4444444444445
PK_Lj_nsp1_2_endo	181.5
PK_Lj_nsp1_2_rhizo	430.8
PK_Lj_nsp1_3_endo	223.0
PK_Lj_nsp1_3_rhizo	345.6875
PK_Lj_nsp1_4_endo	188.77272727272728
PK_Lj_nsp1_4_rhizo	320.8867924528302
PK_Lj_nsp1_5_endo	207.10344827586206
PK_Lj_nsp1_5_rhizo	396.7910447761194
PK_Lj_nsp1_6_endo	152.33333333333334
PK_Lj_nsp1_6_rhizo	259.9032258064516
PK_Lj_nsp2_1_endo	232.03225806451613
PK_Lj_nsp2_1_rhizo	368.1186440677966
PK_Lj_nsp2_2_rhizo	731.952380952381
PK_Lj_nsp2_3_endo	117.6
PK_Lj_nsp2_3_rhizo	431.6216216216216
PK_Lj_nsp2_4_endo	12.0
PK_Lj_nsp2_4_rhizo	432.92857142857144
PK_Lj_nsp2_5_endo	150.0
PK_Lj_nsp2_5_rhizo	472.5394736842105
PK_Lj_nsp2_6_endo	218.66666666666666
PK_Lj_nsp2_6_rhizo	397.28
PK_Lj_symrk_1_endo	186.85714285714286
PK_Lj_symrk_1_rhizo	475.4366197183099
PK_Lj_symrk_2_endo	129.05263157894737
PK_Lj_symrk_2_rhizo	370.0
PK_Lj_symrk_3_endo	116.55555555555556
PK_Lj_symrk_3_rhizo	299.7
PK_Lj_symrk_4_endo	107.0
PK_Lj_symrk_4_rhizo	380.25
PK_Lj_symrk_5_endo	118.33333333333333
PK_Lj_symrk_5_rhizo	320.4918032786885
PK_Lj_symrk_6_endo	163.91666666666666
PK_Lj_symrk_6_rhizo	446.63157894736844
PK_Lj_WT_1_endo	140.0
PK_Lj_WT_1_nod	14.0
PK_Lj_WT_1_rhizo	400.56060606060606
PK_Lj_WT_2_endo	166.0
PK_Lj_WT_2_nod	18.333333333333332
PK_Lj_WT_2_rhizo	258.38461538461536
PK_Lj_WT_3_endo	147.5
PK_Lj_WT_3_nod	11.0
PK_Lj_WT_3_rhizo	234.1290322580645
PK_Lj_WT_4_endo	73.0
PK_Lj_WT_4_nod	12.0
PK_Lj_WT_4_rhizo	323.6842105263158
PK_Lj_WT_5_endo	146.75
PK_Lj_WT_5_nod	16.5
PK_Lj_WT_5_rhizo	217.35294117647058
PK_Lj_WT_6_endo	91.0
PK_Lj_WT_6_nod	15.0
PK_Lj_WT_6_rhizo	177.35294117647058
UF_Lj_ccamk_1_endo	128.16666666666666
UF_Lj_ccamk_1_rhizo	144.33333333333334
UF_Lj_ccamk_2_endo	85.0
UF_Lj_ccamk_2_rhizo	371.82608695652175
UF_Lj_ccamk_3_endo	96.0
UF_Lj_ccamk_3_rhizo	222.0
UF_Lj_ccamk_4_endo	73.33333333333333
UF_Lj_ccamk_4_rhizo	372.3658536585366
UF_Lj_ccamk_5_endo	132.2
UF_Lj_ccamk_5_rhizo	344.02564102564105
UF_Lj_ccamk_6_endo	86.0
UF_Lj_ccamk_6_rhizo	265.6875
UF_Lj_nsp1_1_endo	106.2
UF_Lj_nsp1_1_rhizo	281.5
UF_Lj_nsp1_2_endo	194.19354838709677
UF_Lj_nsp1_2_rhizo	130.6
UF_Lj_nsp1_3_endo	111.0
UF_Lj_nsp1_3_rhizo	240.33333333333334
UF_Lj_nsp1_4_endo	102.5
UF_Lj_nsp1_4_rhizo	170.6153846153846
UF_Lj_nsp1_5_endo	175.1764705882353
UF_Lj_nsp1_5_rhizo	205.8
UF_Lj_nsp1_6_endo	108.75
UF_Lj_nsp1_6_rhizo	259.037037037037
UF_Lj_nsp2_1_endo	108.2
UF_Lj_nsp2_1_rhizo	265.5
UF_Lj_nsp2_2_endo	107.42857142857143
UF_Lj_nsp2_2_rhizo	244.52631578947367
UF_Lj_nsp2_3_endo	132.1818181818182
UF_Lj_nsp2_3_rhizo	342.1224489795918
