	chao1
NPK_Lj_ccamk_1_endo	137.625
NPK_Lj_ccamk_1_rhizo	390.2857142857143
NPK_Lj_ccamk_2_endo	305.7631578947368
NPK_Lj_ccamk_2_rhizo	625.1826086956522
NPK_Lj_ccamk_3_endo	135.6
NPK_Lj_ccamk_3_rhizo	492.44776119402985
NPK_Lj_ccamk_4_endo	158.88235294117646
NPK_Lj_ccamk_4_rhizo	489.5131578947368
NPK_Lj_ccamk_5_endo	179.31578947368422
NPK_Lj_ccamk_5_rhizo	419.3529411764706
NPK_Lj_ccamk_6_endo	152.52631578947367
NPK_Lj_ccamk_6_rhizo	358.5
NPK_Lj_nsp_2_rhizo	383.6304347826087
NPK_Lj_nsp1_1_endo	170.35294117647058
NPK_Lj_nsp1_1_rhizo	376.14925373134326
NPK_Lj_nsp1_2_endo	150.52631578947367
NPK_Lj_nsp1_2_rhizo	582.3461538461538
NPK_Lj_nsp1_3_endo	125.0
NPK_Lj_nsp1_3_rhizo	420.089552238806
NPK_Lj_nsp1_4_endo	174.5
NPK_Lj_nsp1_4_rhizo	488.0659340659341
NPK_Lj_nsp1_5_endo	119.0
NPK_Lj_nsp1_5_rhizo	549.2117647058824
NPK_Lj_nsp1_6_endo	148.28571428571428
NPK_Lj_nsp1_6_rhizo	448.1111111111111
NPK_Lj_nsp2_1_endo	180.6153846153846
NPK_Lj_nsp2_1_rhizo	496.8333333333333
NPK_Lj_nsp2_2_endo	121.75
NPK_Lj_nsp2_3_endo	129.5
NPK_Lj_nsp2_3_rhizo	519.0869565217391
NPK_Lj_nsp2_4_endo	144.5
NPK_Lj_nsp2_4_rhizo	452.6796116504854
NPK_Lj_nsp2_5_endo	69.16666666666667
NPK_Lj_nsp2_5_rhizo	591.0654205607477
NPK_Lj_nsp2_6_endo	118.42857142857143
NPK_Lj_nsp2_6_rhizo	311.19565217391306
NPK_Lj_symrk_1_endo	95.25
NPK_Lj_symrk_1_rhizo	362.89285714285717
NPK_Lj_symrk_2_endo	165.28571428571428
NPK_Lj_symrk_2_rhizo	433.2
NPK_Lj_symrk_3_endo	167.0
NPK_Lj_symrk_3_rhizo	356.5192307692308
NPK_Lj_symrk_4_endo	153.58823529411765
NPK_Lj_symrk_4_rhizo	416.6388888888889
NPK_Lj_symrk_5_endo	145.46153846153845
NPK_Lj_symrk_5_rhizo	481.0352941176471
NPK_Lj_symrk_6_endo	106.36363636363636
NPK_Lj_symrk_6_rhizo	981.4621212121212
NPK_Lj_WT_1_endo	77.16666666666667
NPK_Lj_WT_1_nod	45.6
NPK_Lj_WT_1_rhizo	398.7377049180328
NPK_Lj_WT_2_endo	141.11764705882354
NPK_Lj_WT_2_nod	42.4
NPK_Lj_WT_2_rhizo	346.5681818181818
NPK_Lj_WT_3_endo	140.14285714285714
NPK_Lj_WT_3_nod	55.5
NPK_Lj_WT_3_rhizo	467.125
NPK_Lj_WT_4_endo	125.27272727272727
NPK_Lj_WT_4_nod	25.25
NPK_Lj_WT_4_rhizo	370.8490566037736
NPK_Lj_WT_5_endo	93.0
NPK_Lj_WT_5_nod	11.0
NPK_Lj_WT_5_rhizo	390.7755102040816
NPK_Lj_WT_6_endo	117.58333333333333
NPK_Lj_WT_6_nod	8.0
NPK_Lj_WT_6_rhizo	468.632183908046
PK_Lj_ccamk_1_endo	664.578947368421
PK_Lj_ccamk_1_rhizo	457.2352941176471
PK_Lj_ccamk_2_endo	189.27272727272728
PK_Lj_ccamk_2_rhizo	624.7410714285714
PK_Lj_ccamk_3_rhizo	340.4117647058824
PK_Lj_ccamk_4_endo	260.8965517241379
PK_Lj_ccamk_4_rhizo	408.7627118644068
PK_Lj_ccamk_5_endo	152.8125
PK_Lj_ccamk_5_rhizo	299.5
PK_Lj_ccamk_6_endo	212.31578947368422
PK_Lj_ccamk_6_rhizo	362.55
PK_Lj_nsp1_1_endo	226.04545454545456
PK_Lj_nsp1_1_rhizo	518.5588235294117
PK_Lj_nsp1_2_endo	183.5
PK_Lj_nsp1_2_rhizo	415.0
PK_Lj_nsp1_3_endo	227.66666666666666
