	chao1
NPK_Lj_ccamk_1_endo	3.0
NPK_Lj_ccamk_1_rhizo	3.0
NPK_Lj_ccamk_2_endo	1.0
NPK_Lj_ccamk_2_rhizo	3.0
NPK_Lj_ccamk_3_endo	3.0
NPK_Lj_ccamk_3_rhizo	1.0
NPK_Lj_ccamk_4_endo	3.0
NPK_Lj_ccamk_4_rhizo	3.0
NPK_Lj_ccamk_5_endo	3.0
NPK_Lj_ccamk_5_rhizo	3.0
NPK_Lj_ccamk_6_endo	3.0
NPK_Lj_ccamk_6_rhizo	3.0
NPK_Lj_nsp_2_rhizo	3.0
NPK_Lj_nsp1_1_endo	3.0
NPK_Lj_nsp1_1_rhizo	1.0
NPK_Lj_nsp1_2_endo	3.0
NPK_Lj_nsp1_2_rhizo	3.0
NPK_Lj_nsp1_3_endo	3.0
NPK_Lj_nsp1_3_rhizo	3.0
NPK_Lj_nsp1_4_endo	3.0
NPK_Lj_nsp1_4_rhizo	3.0
NPK_Lj_nsp1_5_endo	3.0
NPK_Lj_nsp1_5_rhizo	3.0
NPK_Lj_nsp1_6_endo	3.0
NPK_Lj_nsp1_6_rhizo	3.0
NPK_Lj_nsp2_1_endo	3.0
NPK_Lj_nsp2_1_rhizo	3.0
NPK_Lj_nsp2_2_endo	3.0
NPK_Lj_nsp2_3_endo	3.0
NPK_Lj_nsp2_3_rhizo	3.0
NPK_Lj_nsp2_4_endo	3.0
NPK_Lj_nsp2_4_rhizo	3.0
NPK_Lj_nsp2_5_endo	3.0
NPK_Lj_nsp2_5_rhizo	3.0
NPK_Lj_nsp2_6_endo	3.0
NPK_Lj_nsp2_6_rhizo	3.0
NPK_Lj_symrk_1_endo	3.0
NPK_Lj_symrk_1_rhizo	3.0
NPK_Lj_symrk_2_endo	3.0
NPK_Lj_symrk_2_rhizo	3.0
NPK_Lj_symrk_3_endo	3.0
NPK_Lj_symrk_3_rhizo	3.0
NPK_Lj_symrk_4_endo	3.0
NPK_Lj_symrk_4_rhizo	3.0
NPK_Lj_symrk_5_endo	3.0
NPK_Lj_symrk_5_rhizo	3.0
NPK_Lj_symrk_6_endo	3.0
NPK_Lj_symrk_6_rhizo	3.0
NPK_Lj_unplanted_1	3.0
NPK_Lj_unplanted_2	3.0
NPK_Lj_unplanted_3	3.0
NPK_Lj_WT_1_endo	3.0
NPK_Lj_WT_1_nod	3.0
NPK_Lj_WT_1_rhizo	3.0
NPK_Lj_WT_2_endo	3.0
NPK_Lj_WT_2_nod	3.0
NPK_Lj_WT_2_rhizo	3.0
NPK_Lj_WT_3_endo	3.0
NPK_Lj_WT_3_nod	3.0
NPK_Lj_WT_3_rhizo	3.0
NPK_Lj_WT_4_endo	3.0
NPK_Lj_WT_4_nod	3.0
NPK_Lj_WT_4_rhizo	3.0
NPK_Lj_WT_5_endo	3.0
NPK_Lj_WT_5_nod	3.0
NPK_Lj_WT_5_rhizo	3.0
NPK_Lj_WT_6_endo	3.0
NPK_Lj_WT_6_nod	1.0
NPK_Lj_WT_6_rhizo	3.0
PK_Lj_ccamk_1_endo	3.0
PK_Lj_ccamk_1_rhizo	3.0
PK_Lj_ccamk_2_endo	3.0
PK_Lj_ccamk_2_rhizo	3.0
PK_Lj_ccamk_3_rhizo	3.0
PK_Lj_ccamk_4_endo	3.0
PK_Lj_ccamk_4_rhizo	3.0
PK_Lj_ccamk_5_endo	3.0
PK_Lj_ccamk_5_rhizo	3.0
PK_Lj_ccamk_6_endo	3.0
PK_Lj_ccamk_6_rhizo	3.0
PK_Lj_nsp1_1_endo	3.0
PK_Lj_nsp1_1_rhizo	3.0
PK_Lj_nsp1_2_endo	3.0
PK_Lj_nsp1_2_rhizo	3.0
PK_Lj_nsp1_3_endo	3.0
PK_Lj_nsp1_3_rhizo	3.0
PK_Lj_nsp1_4_endo	3.0
PK_Lj_nsp1_4_rhizo	3.0
PK_Lj_nsp1_5_endo	3.0
PK_Lj_nsp1_5_rhizo	3.0
PK_Lj_nsp1_6_endo	3.0
PK_Lj_nsp1_6_rhizo	3.0
PK_Lj_nsp2_1_endo	3.0
PK_Lj_nsp2_1_rhizo	3.0
PK_Lj_nsp2_2_rhizo	3.0
PK_Lj_nsp2_3_endo	1.0
PK_Lj_nsp2_3_rhizo	3.0
PK_Lj_nsp2_4_endo	1.0
PK_Lj_nsp2_4_rhizo	3.0
PK_Lj_nsp2_5_endo	3.0
PK_Lj_nsp2_5_rhizo	3.0
PK_Lj_nsp2_6_endo	3.0
PK_Lj_nsp2_6_rhizo	3.0
PK_Lj_symrk_1_endo	3.0
PK_Lj_symrk_1_rhizo	3.0
PK_Lj_symrk_2_endo	3.0
PK_Lj_symrk_2_rhizo	3.0
PK_Lj_symrk_3_endo	3.0
PK_Lj_symrk_3_rhizo	3.0
PK_Lj_symrk_4_endo	3.0
PK_Lj_symrk_4_rhizo	3.0
PK_Lj_symrk_5_endo	3.0
PK_Lj_symrk_5_rhizo	3.0
PK_Lj_symrk_6_endo	3.0
PK_Lj_symrk_6_rhizo	3.0
PK_Lj_unplanted_1	3.0
PK_Lj_unplanted_2	3.0
PK_Lj_unplanted_3	3.0
PK_Lj_WT_1_endo	3.0
PK_Lj_WT_1_nod	3.0
PK_Lj_WT_1_rhizo	3.0
PK_Lj_WT_2_endo	3.0
PK_Lj_WT_2_nod	1.0
PK_Lj_WT_2_rhizo	3.0
PK_Lj_WT_3_endo	3.0
PK_Lj_WT_3_nod	3.0
PK_Lj_WT_3_rhizo	3.0
PK_Lj_WT_4_endo	3.0
PK_Lj_WT_4_nod	3.0
PK_Lj_WT_4_rhizo	3.0
PK_Lj_WT_5_endo	3.0
PK_Lj_WT_5_nod	3.0
PK_Lj_WT_5_rhizo	3.0
PK_Lj_WT_6_endo	3.0
PK_Lj_WT_6_nod	3.0
PK_Lj_WT_6_rhizo	3.0
UF_Lj_ccamk_1_endo	3.0
UF_Lj_ccamk_1_rhizo	3.0
UF_Lj_ccamk_2_endo	3.0
UF_Lj_ccamk_2_rhizo	3.0
UF_Lj_ccamk_3_endo	1.0
UF_Lj_ccamk_3_rhizo	3.0
UF_Lj_ccamk_4_endo	3.0
UF_Lj_ccamk_4_rhizo	3.0
UF_Lj_ccamk_5_endo	3.0
UF_Lj_ccamk_5_rhizo	3.0
UF_Lj_ccamk_6_endo	3.0
UF_Lj_ccamk_6_rhizo	3.0
UF_Lj_nsp1_1_endo	3.0
UF_Lj_nsp1_1_rhizo	3.0
UF_Lj_nsp1_2_endo	3.0
UF_Lj_nsp1_2_rhizo	3.0
UF_Lj_nsp1_3_endo	3.0
UF_Lj_nsp1_3_rhizo	3.0
UF_Lj_nsp1_4_endo	3.0
UF_Lj_nsp1_4_rhizo	3.0
UF_Lj_nsp1_5_endo	3.0
UF_Lj_nsp1_5_rhizo	3.0
UF_Lj_nsp1_6_endo	3.0
UF_Lj_nsp1_6_rhizo	3.0
UF_Lj_nsp2_1_endo	3.0
UF_Lj_nsp2_1_rhizo	3.0
UF_Lj_nsp2_2_endo	3.0
UF_Lj_nsp2_2_rhizo	3.0
UF_Lj_nsp2_3_endo	1.0
UF_Lj_nsp2_3_rhizo	3.0
UF_Lj_nsp2_4_endo	3.0
UF_Lj_nsp2_4_rhizo	3.0
UF_Lj_nsp2_5_endo	3.0
UF_Lj_nsp2_5_rhizo	3.0
UF_Lj_nsp2_6_endo	3.0
UF_Lj_nsp2_6_rhizo	3.0
UF_Lj_symrk_1_endo	3.0
UF_Lj_symrk_1_rhizo	3.0
UF_Lj_symrk_2_endo	3.0
UF_Lj_symrk_2_rhizo	3.0
UF_Lj_symrk_3_endo	3.0
UF_Lj_symrk_3_rhizo	3.0
UF_Lj_symrk_4_endo	3.0
UF_Lj_symrk_4_rhizo	3.0
UF_Lj_symrk_5_endo	3.0
UF_Lj_symrk_5_rhizo	3.0
UF_Lj_symrk_6_endo	3.0
UF_Lj_symrk_6_rhizo	3.0
UF_Lj_unplanted_1	1.0
UF_Lj_unplanted_2	3.0
UF_Lj_WT_1_endo	3.0
UF_Lj_WT_1_nod	3.0
UF_Lj_WT_1_rhizo	3.0
UF_Lj_WT_2_endo	3.0
UF_Lj_WT_2_nod	3.0
UF_Lj_WT_2_rhizo	3.0
UF_Lj_WT_3_endo	3.0
UF_Lj_WT_3_nod	1.0
UF_Lj_WT_3_rhizo	3.0
UF_Lj_WT_4_endo	3.0
UF_Lj_WT_4_nod	3.0
UF_Lj_WT_4_rhizo	3.0
UF_Lj_WT_5_endo	3.0
UF_Lj_WT_5_nod	1.0
UF_Lj_WT_5_rhizo	3.0
UF_Lj_WT_6_endo	3.0
UF_Lj_WT_6_nod	1.0
UF_Lj_WT_6_rhizo	3.0
