	NPK_Lj_ccamk_1_endo	NPK_Lj_ccamk_1_rhizo	NPK_Lj_ccamk_2_endo	NPK_Lj_ccamk_2_rhizo	NPK_Lj_ccamk_3_endo	NPK_Lj_ccamk_3_rhizo	NPK_Lj_ccamk_4_endo	NPK_Lj_ccamk_4_rhizo	NPK_Lj_ccamk_5_endo	NPK_Lj_ccamk_5_rhizo	NPK_Lj_ccamk_6_endo	NPK_Lj_ccamk_6_rhizo	NPK_Lj_nsp_2_rhizo	NPK_Lj_nsp1_1_endo	NPK_Lj_nsp1_1_rhizo	NPK_Lj_nsp1_2_endo	NPK_Lj_nsp1_2_rhizo	NPK_Lj_nsp1_3_endo	NPK_Lj_nsp1_3_rhizo	NPK_Lj_nsp1_4_endo	NPK_Lj_nsp1_4_rhizo	NPK_Lj_nsp1_5_endo	NPK_Lj_nsp1_5_rhizo	NPK_Lj_nsp1_6_endo	NPK_Lj_nsp1_6_rhizo	NPK_Lj_nsp2_1_endo	NPK_Lj_nsp2_1_rhizo	NPK_Lj_nsp2_2_endo	NPK_Lj_nsp2_3_endo	NPK_Lj_nsp2_3_rhizo	NPK_Lj_nsp2_4_endo	NPK_Lj_nsp2_4_rhizo	NPK_Lj_nsp2_5_endo	NPK_Lj_nsp2_5_rhizo	NPK_Lj_nsp2_6_endo	NPK_Lj_nsp2_6_rhizo	NPK_Lj_symrk_1_endo	NPK_Lj_symrk_1_rhizo	NPK_Lj_symrk_2_endo	NPK_Lj_symrk_2_rhizo	NPK_Lj_symrk_3_endo	NPK_Lj_symrk_3_rhizo	NPK_Lj_symrk_4_endo	NPK_Lj_symrk_4_rhizo	NPK_Lj_symrk_5_endo	NPK_Lj_symrk_5_rhizo	NPK_Lj_symrk_6_endo	NPK_Lj_symrk_6_rhizo	NPK_Lj_WT_1_endo	NPK_Lj_WT_1_nod	NPK_Lj_WT_1_rhizo	NPK_Lj_WT_2_endo	NPK_Lj_WT_2_nod	NPK_Lj_WT_2_rhizo	NPK_Lj_WT_3_endo	NPK_Lj_WT_3_nod	NPK_Lj_WT_3_rhizo	NPK_Lj_WT_4_endo	NPK_Lj_WT_4_nod	NPK_Lj_WT_4_rhizo	NPK_Lj_WT_5_endo	NPK_Lj_WT_5_nod	NPK_Lj_WT_5_rhizo	NPK_Lj_WT_6_endo	NPK_Lj_WT_6_nod	NPK_Lj_WT_6_rhizo	PK_Lj_ccamk_1_endo	PK_Lj_ccamk_1_rhizo	PK_Lj_ccamk_2_endo	PK_Lj_ccamk_2_rhizo	PK_Lj_ccamk_3_rhizo	PK_Lj_ccamk_4_endo	PK_Lj_ccamk_4_rhizo	PK_Lj_ccamk_5_endo	PK_Lj_ccamk_5_rhizo	PK_Lj_ccamk_6_endo	PK_Lj_ccamk_6_rhizo	PK_Lj_nsp1_1_endo	PK_Lj_nsp1_1_rhizo	PK_Lj_nsp1_2_endo	PK_Lj_nsp1_2_rhizo	PK_Lj_nsp1_3_endo	PK_Lj_nsp1_3_rhizo	PK_Lj_nsp1_4_endo	PK_Lj_nsp1_4_rhizo	PK_Lj_nsp1_5_endo	PK_Lj_nsp1_5_rhizo	PK_Lj_nsp1_6_endo	PK_Lj_nsp1_6_rhizo	PK_Lj_nsp2_1_endo	PK_Lj_nsp2_1_rhizo	PK_Lj_nsp2_2_rhizo	PK_Lj_nsp2_3_endo	PK_Lj_nsp2_3_rhizo	PK_Lj_nsp2_4_endo	PK_Lj_nsp2_4_rhizo	PK_Lj_nsp2_5_endo	PK_Lj_nsp2_5_rhizo	PK_Lj_nsp2_6_endo	PK_Lj_nsp2_6_rhizo	PK_Lj_symrk_1_endo	PK_Lj_symrk_1_rhizo	PK_Lj_symrk_2_endo	PK_Lj_symrk_2_rhizo	PK_Lj_symrk_3_endo	PK_Lj_symrk_3_rhizo	PK_Lj_symrk_4_endo	PK_Lj_symrk_4_rhizo	PK_Lj_symrk_5_endo	PK_Lj_symrk_5_rhizo	PK_Lj_symrk_6_endo	PK_Lj_symrk_6_rhizo	PK_Lj_WT_1_endo	PK_Lj_WT_1_nod	PK_Lj_WT_1_rhizo	PK_Lj_WT_2_endo	PK_Lj_WT_2_nod	PK_Lj_WT_2_rhizo	PK_Lj_WT_3_endo	PK_Lj_WT_3_nod	PK_Lj_WT_3_rhizo	PK_Lj_WT_4_endo	PK_Lj_WT_4_nod	PK_Lj_WT_4_rhizo	PK_Lj_WT_5_endo	PK_Lj_WT_5_nod	PK_Lj_WT_5_rhizo	PK_Lj_WT_6_endo	PK_Lj_WT_6_nod	PK_Lj_WT_6_rhizo	UF_Lj_ccamk_1_endo	UF_Lj_ccamk_1_rhizo	UF_Lj_ccamk_2_endo	UF_Lj_ccamk_2_rhizo	UF_Lj_ccamk_3_endo	UF_Lj_ccamk_3_rhizo	UF_Lj_ccamk_4_endo	UF_Lj_ccamk_4_rhizo	UF_Lj_ccamk_5_endo	UF_Lj_ccamk_5_rhizo	UF_Lj_ccamk_6_endo	UF_Lj_ccamk_6_rhizo	UF_Lj_nsp1_1_endo	UF_Lj_nsp1_1_rhizo	UF_Lj_nsp1_2_endo	UF_Lj_nsp1_2_rhizo	UF_Lj_nsp1_3_endo	UF_Lj_nsp1_3_rhizo	UF_Lj_nsp1_4_endo	UF_Lj_nsp1_4_rhizo	UF_Lj_nsp1_5_endo	UF_Lj_nsp1_5_rhizo	UF_Lj_nsp1_6_endo	UF_Lj_nsp1_6_rhizo	UF_Lj_nsp2_1_endo	UF_Lj_nsp2_1_rhizo	UF_Lj_nsp2_2_endo	UF_Lj_nsp2_2_rhizo	UF_Lj_nsp2_3_endo	UF_Lj_nsp2_3_rhizo	UF_Lj_nsp2_4_endo	UF_Lj_nsp2_4_rhizo	UF_Lj_nsp2_5_endo	UF_Lj_nsp2_5_rhizo	UF_Lj_nsp2_6_endo	UF_Lj_nsp2_6_rhizo	UF_Lj_symrk_1_endo	UF_Lj_symrk_1_rhizo	UF_Lj_symrk_2_endo	UF_Lj_symrk_2_rhizo	UF_Lj_symrk_3_endo	UF_Lj_symrk_3_rhizo	UF_Lj_symrk_4_endo	UF_Lj_symrk_4_rhizo	UF_Lj_symrk_5_endo	UF_Lj_symrk_5_rhizo	UF_Lj_symrk_6_endo	UF_Lj_symrk_6_rhizo	UF_Lj_WT_1_endo	UF_Lj_WT_1_nod	UF_Lj_WT_1_rhizo	UF_Lj_WT_2_endo	UF_Lj_WT_2_nod	UF_Lj_WT_2_rhizo	UF_Lj_WT_3_endo	UF_Lj_WT_3_nod	UF_Lj_WT_3_rhizo	UF_Lj_WT_4_endo	UF_Lj_WT_4_nod	UF_Lj_WT_4_rhizo	UF_Lj_WT_5_endo	UF_Lj_WT_5_nod	UF_Lj_WT_5_rhizo	UF_Lj_WT_6_endo	UF_Lj_WT_6_nod	UF_Lj_WT_6_rhizo
fd20bdf653287dd3de85661cd7eb5cc8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	553	1786	10	46	604	0	444	1403	2	329	1344	8	157	999	4	377	2081	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	6	0	0	6	0	4	0	3	0	0	0	0	159	1467	6	422	1509	735	247	1314	108	119	1355	0	210	1318	9	233	1199	80	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	13	0	0	0	0	0	5	0	0	7	0	7	0	0	0	0	0	78	1002	166	21	532	0	253	1577	0	173	1303	5	389	1321	17	368	998	21
36d152ade5576217b77b12bc9329f447	0	53	277	12	397	111	17	27	474	41	310	37	24	428	60	437	225	0	48	469	90	0	26	391	185	248	16	237	7	47	0	10	361	139	0	38	499	18	438	75	441	37	28	66	555	73	14	27	0	31	67	418	1423	46	345	40	26	398	23	45	553	89	136	355	0	128	131	91	0	6	93	0	83	0	94	5	85	455	65	0	109	0	45	25	114	0	38	0	27	289	89	101	1056	30	18	53	0	29	294	53	471	69	693	79	428	28	416	80	26	186	380	109	0	0	106	200	27	99	206	0	34	47	15	68	0	41	103	246	23	71	0	136	464	97	618	7	1233	97	23	110	0	96	316	8	12	34	0	126	261	145	269	124	328	100	405	63	0	47	597	66	498	69	586	64	0	57	0	116	0	86	0	140	4	81	20	65	611	66	391	97	185	0	643	114	0	8	136	419	61	0	274	30	131	197	33	132
ece0eb0811bd064e537f49c346b29ddf	26	90	175	64	100	200	77	128	97	115	74	170	164	37	36	41	92	93	50	44	25	123	56	50	54	458	160	147	289	79	50	150	294	141	58	40	83	215	114	301	118	271	100	109	92	87	504	84	222	1	69	83	1	75	118	3	52	112	1	37	73	0	88	100	0	53	37	209	120	112	132	54	202	179	248	144	118	93	33	112	35	118	67	105	127	231	27	109	134	26	41	130	39	40	0	47	41	71	55	12	36	117	35	91	20	42	31	33	53	96	18	40	55	8	115	80	0	46	30	0	47	60	0	59	49	0	93	24	0	47	89	165	94	46	52	203	53	72	145	73	53	43	37	72	26	79	46	185	36	110	37	141	36	30	57	30	52	9	39	94	35	77	98	134	111	83	44	59	80	60	113	88	796	138	67	152	637	53	41	0	144	35	0	151	75	0	71	69	0	188	103	0	151	38	0	65
acf01e53700dc702dc4f487d1848974b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	7	113	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	26	95	29	0	271	0	8	594	0	0	199	0	0	302	0	31	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	482	15	70	1374	0	269	780	0	20	874	0	71	249	0	24	620	0
25f50286877b75132ef5ec0dc684eb73	474	4	439	79	327	60	433	51	314	21	448	27	51	391	77	446	80	491	50	328	52	402	64	427	56	304	54	152	246	36	225	16	222	0	288	97	432	54	341	62	334	32	201	33	333	18	378	37	0	163	84	373	71	104	258	479	91	375	141	58	452	90	67	417	46	39	65	53	191	41	27	66	33	127	19	118	20	87	54	57	53	28	23	37	19	60	26	96	36	49	56	21	102	22	2557	12	46	9	39	39	237	52	240	36	192	55	228	61	388	72	313	74	192	0	58	124	0	53	147	0	42	274	0	55	183	0	32	140	0	82	92	0	67	28	52	32	65	16	0	0	34	0	0	0	86	0	53	0	0	16	26	0	0	0	34	0	80	0	321	22	40	0	0	0	30	0	95	25	51	0	32	6	144	12	101	0	64	15	41	20	45	23	64	32	26	25	17	28	22	0	0	0	0	24	16	29
f72458be6bb0cea2b3ef87c0906a980e	95	98	35	41	21	14	7	4	52	21	14	22	9	5	154	10	9	11	25	23	44	61	36	36	149	0	0	6	0	3	54	75	13	7	91	310	22	34	2	4	45	62	21	41	9	33	24	44	50	4	54	29	0	70	7	0	7	13	0	7	20	0	37	5	0	15	48	163	127	129	165	263	177	168	147	159	144	90	452	314	488	113	545	140	318	177	403	189	245	186	449	221	171	427	29	537	249	411	187	616	78	210	109	238	109	340	135	457	155	331	89	344	285	9	208	238	8	206	123	0	494	198	0	513	191	2	370	165	0	306	42	77	52	149	80	65	20	77	73	21	61	113	59	90	44	142	153	57	90	34	69	53	109	143	53	186	53	187	39	139	49	129	31	219	65	205	73	136	40	246	39	133	48	113	64	108	28	245	88	0	67	118	5	65	68	6	73	51	3	76	48	0	89	93	0	68
af339a1741e3d5d849c798ada8b7ea05	38	186	23	118	27	78	32	138	10	154	19	111	104	16	278	22	47	38	135	21	90	50	106	48	191	26	73	41	41	37	30	91	86	151	35	152	44	179	24	222	24	174	52	153	42	150	110	240	36	1	339	28	0	160	6	0	147	19	0	108	14	0	87	20	0	33	14	246	40	334	374	67	284	59	509	108	392	50	75	64	105	160	192	40	171	45	108	75	234	25	259	315	50	433	9	130	37	227	92	194	51	381	106	345	97	340	122	331	41	270	42	159	119	0	440	79	7	299	55	0	232	47	0	271	55	0	193	48	1	222	31	123	26	91	43	225	33	130	29	80	61	76	32	101	24	121	41	136	12	90	12	78	16	73	43	153	29	71	25	181	27	264	22	165	37	123	56	273	43	171	59	229	21	210	107	116	50	163	37	0	262	39	0	142	20	0	140	33	0	271	18	0	198	36	0	194
291a58ac54b2011dacb098ccf128aea9	0	2	0	2	0	6	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	1	0	2	1	0	4	0	0	0	0	0	0	0	4	3	6	4	4	0	0	0	2	196	353	0	22	192	0	124	422	0	113	206	12	85	336	0	78	291	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	978	0	42	813	23	0	615	0	311	832	0	42	420	0	159	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	246	0	0	75	0	0	55	0	0	217	0	120	710	0	0	888	0
6983af9387085b361df4d6ec10d8a801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	298	0	16	271	6	92	290	0	33	269	5	69	1280	0	154	417	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	21	253	6	26	131	0	6	215	0	0	103	0	9	201	0	18	449	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	0	7	0	0	0	0	5	0	0	17	0	0	0	0	0	0	6	0	0	6	0	0	0	4	20	881	0	3	66	6	181	377	0	54	344	0	138	526	0	49	271	0
7561b7cae1fca93bac59989bc456c185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
