	chao1
NPK_Lj_ccamk_1_endo	137.625
NPK_Lj_ccamk_1_rhizo	399.6470588235294
NPK_Lj_ccamk_2_endo	304.1333333333333
NPK_Lj_ccamk_2_rhizo	663.3130434782609
NPK_Lj_ccamk_3_endo	140.75
NPK_Lj_ccamk_3_rhizo	464.51724137931035
NPK_Lj_ccamk_4_endo	165.66666666666666
NPK_Lj_ccamk_4_rhizo	501.32941176470587
NPK_Lj_ccamk_5_endo	174.2173913043478
NPK_Lj_ccamk_5_rhizo	412.72972972972974
NPK_Lj_ccamk_6_endo	158.5
NPK_Lj_ccamk_6_rhizo	362.0
NPK_Lj_nsp_2_rhizo	396.0188679245283
NPK_Lj_nsp1_1_endo	161.0
NPK_Lj_nsp1_1_rhizo	385.67857142857144
NPK_Lj_nsp1_2_endo	145.875
NPK_Lj_nsp1_2_rhizo	564.6020408163265
NPK_Lj_nsp1_3_endo	128.76923076923077
NPK_Lj_nsp1_3_rhizo	444.3333333333333
NPK_Lj_nsp1_4_endo	175.14285714285714
NPK_Lj_nsp1_4_rhizo	509.0689655172414
NPK_Lj_nsp1_5_endo	120.27272727272727
NPK_Lj_nsp1_5_rhizo	537.1734693877551
NPK_Lj_nsp1_6_endo	145.33333333333334
NPK_Lj_nsp1_6_rhizo	486.91764705882355
NPK_Lj_nsp2_1_endo	179.19354838709677
NPK_Lj_nsp2_1_rhizo	476.08791208791206
NPK_Lj_nsp2_2_endo	123.0
NPK_Lj_nsp2_3_endo	133.0
NPK_Lj_nsp2_3_rhizo	497.51162790697674
NPK_Lj_nsp2_4_endo	139.21428571428572
NPK_Lj_nsp2_4_rhizo	475.36842105263156
NPK_Lj_nsp2_5_endo	69.0
NPK_Lj_nsp2_5_rhizo	561.421052631579
NPK_Lj_nsp2_6_endo	117.54545454545455
NPK_Lj_nsp2_6_rhizo	327.27027027027026
NPK_Lj_symrk_1_endo	98.75
NPK_Lj_symrk_1_rhizo	347.0181818181818
NPK_Lj_symrk_2_endo	157.24
NPK_Lj_symrk_2_rhizo	460.71830985915494
NPK_Lj_symrk_3_endo	163.05263157894737
NPK_Lj_symrk_3_rhizo	358.5483870967742
NPK_Lj_symrk_4_endo	153.95652173913044
NPK_Lj_symrk_4_rhizo	423.2
NPK_Lj_symrk_5_endo	135.0
NPK_Lj_symrk_5_rhizo	488.03614457831327
NPK_Lj_symrk_6_endo	107.14285714285714
NPK_Lj_symrk_6_rhizo	953.71875
NPK_Lj_WT_1_endo	79.5
NPK_Lj_WT_1_nod	48.0
NPK_Lj_WT_1_rhizo	404.59322033898303
NPK_Lj_WT_2_endo	144.23529411764707
NPK_Lj_WT_2_nod	51.36363636363636
NPK_Lj_WT_2_rhizo	362.6923076923077
NPK_Lj_WT_3_endo	149.27272727272728
NPK_Lj_WT_3_nod	38.857142857142854
NPK_Lj_WT_3_rhizo	496.05882352941177
NPK_Lj_WT_4_endo	130.58333333333334
NPK_Lj_WT_4_nod	47.0
NPK_Lj_WT_4_rhizo	409.0
NPK_Lj_WT_5_endo	93.42857142857143
NPK_Lj_WT_5_nod	11.0
NPK_Lj_WT_5_rhizo	378.10526315789474
NPK_Lj_WT_6_endo	112.0909090909091
NPK_Lj_WT_6_nod	7.0
NPK_Lj_WT_6_rhizo	483.0851063829787
PK_Lj_ccamk_1_endo	672.9285714285714
PK_Lj_ccamk_1_rhizo	456.06315789473683
PK_Lj_ccamk_2_endo	154.33333333333334
PK_Lj_ccamk_2_rhizo	653.9158878504672
PK_Lj_ccamk_3_rhizo	361.8723404255319
PK_Lj_ccamk_4_endo	242.03703703703704
PK_Lj_ccamk_4_rhizo	411.04
PK_Lj_ccamk_5_endo	162.07692307692307
PK_Lj_ccamk_5_rhizo	298.025
PK_Lj_ccamk_6_endo	194.93548387096774
PK_Lj_ccamk_6_rhizo	391.9516129032258
PK_Lj_nsp1_1_endo	202.75
PK_Lj_nsp1_1_rhizo	549.5087719298245
PK_Lj_nsp1_2_endo	183.47619047619048
PK_Lj_nsp1_2_rhizo	439.9090909090909
PK_Lj_nsp1_3_endo	212.60714285714286
PK_Lj_nsp1_3_rhizo	328.22222222222223
PK_Lj_nsp1_4_endo	202.0
PK_Lj_nsp1_4_rhizo	337.0232558139535
PK_Lj_nsp1_5_endo	215.65217391304347
PK_Lj_nsp1_5_rhizo	393.04918032786884
PK_Lj_nsp1_6_endo	153.21428571428572
PK_Lj_nsp1_6_rhizo	260.7
PK_Lj_nsp2_1_endo	291.0
PK_Lj_nsp2_1_rhizo	354.04615384615386
PK_Lj_nsp2_2_rhizo	724.568
PK_Lj_nsp2_3_endo	119.6
PK_Lj_nsp2_3_rhizo	447.1111111111111
PK_Lj_nsp2_4_endo	14.0
PK_Lj_nsp2_4_rhizo	456.3544303797468
PK_Lj_nsp2_5_endo	153.5
PK_Lj_nsp2_5_rhizo	452.69620253164555
PK_Lj_nsp2_6_endo	227.2173913043478
PK_Lj_nsp2_6_rhizo	401.24657534246575
PK_Lj_symrk_1_endo	192.77272727272728
PK_Lj_symrk_1_rhizo	444.0
PK_Lj_symrk_2_endo	121.57142857142857
PK_Lj_symrk_2_rhizo	370.08196721311475
PK_Lj_symrk_3_endo	120.0
PK_Lj_symrk_3_rhizo	302.7659574468085
PK_Lj_symrk_4_endo	104.6
PK_Lj_symrk_4_rhizo	360.734375
PK_Lj_symrk_5_endo	119.2
PK_Lj_symrk_5_rhizo	339.5090909090909
PK_Lj_symrk_6_endo	161.05263157894737
PK_Lj_symrk_6_rhizo	437.5121951219512
PK_Lj_WT_1_endo	136.0
PK_Lj_WT_1_nod	12.0
PK_Lj_WT_1_rhizo	401.88235294117646
PK_Lj_WT_2_endo	156.52631578947367
PK_Lj_WT_2_nod	16.0
PK_Lj_WT_2_rhizo	258.0
PK_Lj_WT_3_endo	150.75
PK_Lj_WT_3_nod	10.0
PK_Lj_WT_3_rhizo	236.27777777777777
PK_Lj_WT_4_endo	72.0
PK_Lj_WT_4_nod	11.0
PK_Lj_WT_4_rhizo	302.1333333333333
PK_Lj_WT_5_endo	144.8125
PK_Lj_WT_5_nod	15.5
PK_Lj_WT_5_rhizo	227.1578947368421
PK_Lj_WT_6_endo	87.5
PK_Lj_WT_6_nod	15.5
PK_Lj_WT_6_rhizo	181.46153846153845
UF_Lj_ccamk_1_endo	119.66666666666667
UF_Lj_ccamk_1_rhizo	146.33333333333334
UF_Lj_ccamk_2_endo	84.0
UF_Lj_ccamk_2_rhizo	373.0
UF_Lj_ccamk_3_endo	94.0
UF_Lj_ccamk_3_rhizo	217.13636363636363
UF_Lj_ccamk_4_endo	78.0
UF_Lj_ccamk_4_rhizo	366.5208333333333
UF_Lj_ccamk_5_endo	128.25
UF_Lj_ccamk_5_rhizo	336.46666666666664
UF_Lj_ccamk_6_endo	85.0
UF_Lj_ccamk_6_rhizo	272.625
UF_Lj_nsp1_1_endo	105.0
UF_Lj_nsp1_1_rhizo	274.84
UF_Lj_nsp1_2_endo	195.1818181818182
UF_Lj_nsp1_2_rhizo	129.0
UF_Lj_nsp1_3_endo	112.5
UF_Lj_nsp1_3_rhizo	236.92857142857142
UF_Lj_nsp1_4_endo	105.5
UF_Lj_nsp1_4_rhizo	169.625
UF_Lj_nsp1_5_endo	189.27272727272728
UF_Lj_nsp1_5_rhizo	207.6
UF_Lj_nsp1_6_endo	106.0
UF_Lj_nsp1_6_rhizo	276.5882352941176
UF_Lj_nsp2_1_endo	107.2
UF_Lj_nsp2_1_rhizo	259.14285714285717
UF_Lj_nsp2_2_endo	107.75
UF_Lj_nsp2_2_rhizo	241.04545454545453
UF_Lj_nsp2_3_endo	156.0
UF_Lj_nsp2_3_rhizo	349.5
UF_Lj_nsp2_4_endo	95.0
UF_Lj_nsp2_4_rhizo	163.86666666666667
UF_Lj_nsp2_5_endo	74.0
UF_Lj_nsp2_5_rhizo	117.125
UF_Lj_nsp2_6_endo	147.15384615384616
UF_Lj_nsp2_6_rhizo	196.5
UF_Lj_symrk_1_endo	120.5
UF_Lj_symrk_1_rhizo	208.3684210526316
UF_Lj_symrk_2_endo	103.0
UF_Lj_symrk_2_rhizo	136.66666666666666
UF_Lj_symrk_3_endo	138.0
UF_Lj_symrk_3_rhizo	316.3958333333333
UF_Lj_symrk_4_endo	463.06
UF_Lj_symrk_4_rhizo	207.91304347826087
UF_Lj_symrk_5_endo	83.0
UF_Lj_symrk_5_rhizo	323.09090909090907
UF_Lj_symrk_6_endo	92.2
UF_Lj_symrk_6_rhizo	414.8730158730159
UF_Lj_WT_1_endo	156.4
UF_Lj_WT_1_nod	13.5
UF_Lj_WT_1_rhizo	333.0
UF_Lj_WT_2_endo	238.8
UF_Lj_WT_2_nod	47.54545454545455
UF_Lj_WT_2_rhizo	267.8
UF_Lj_WT_3_endo	129.6
UF_Lj_WT_3_nod	9.0
UF_Lj_WT_3_rhizo	306.14285714285717
UF_Lj_WT_4_endo	153.66666666666666
UF_Lj_WT_4_nod	13.0
UF_Lj_WT_4_rhizo	250.28571428571428
UF_Lj_WT_5_endo	115.0
UF_Lj_WT_5_nod	6.0
UF_Lj_WT_5_rhizo	163.375
UF_Lj_WT_6_endo	137.0
UF_Lj_WT_6_nod	11.333333333333334
UF_Lj_WT_6_rhizo	211.75
