	chao1
NPK_Lj_ccamk_1_endo	137.625
NPK_Lj_ccamk_1_rhizo	399.6470588
NPK_Lj_ccamk_2_endo	304.1333333
NPK_Lj_ccamk_2_rhizo	663.3130435
NPK_Lj_ccamk_3_endo	140.75
NPK_Lj_ccamk_3_rhizo	464.5172414
NPK_Lj_ccamk_4_endo	165.6666667
NPK_Lj_ccamk_4_rhizo	501.3294118
NPK_Lj_ccamk_5_endo	174.2173913
NPK_Lj_ccamk_5_rhizo	412.7297297
NPK_Lj_ccamk_6_endo	158.5
NPK_Lj_ccamk_6_rhizo	362
NPK_Lj_nsp_2_rhizo	396.0188679
NPK_Lj_nsp1_1_endo	161
NPK_Lj_nsp1_1_rhizo	385.6785714
NPK_Lj_nsp1_2_endo	145.875
NPK_Lj_nsp1_2_rhizo	564.6020408
NPK_Lj_nsp1_3_endo	128.7692308
NPK_Lj_nsp1_3_rhizo	444.3333333
NPK_Lj_nsp1_4_endo	175.1428571
NPK_Lj_nsp1_4_rhizo	509.0689655
NPK_Lj_nsp1_5_endo	120.2727273
NPK_Lj_nsp1_5_rhizo	537.1734694
NPK_Lj_nsp1_6_endo	145.3333333
NPK_Lj_nsp1_6_rhizo	486.9176471
NPK_Lj_nsp2_1_endo	179.1935484
NPK_Lj_nsp2_1_rhizo	476.0879121
NPK_Lj_nsp2_2_endo	123
NPK_Lj_nsp2_3_endo	133
NPK_Lj_nsp2_3_rhizo	497.5116279
NPK_Lj_nsp2_4_endo	139.2142857
NPK_Lj_nsp2_4_rhizo	475.3684211
NPK_Lj_nsp2_5_endo	69
NPK_Lj_nsp2_5_rhizo	561.4210526
NPK_Lj_nsp2_6_endo	117.5454545
NPK_Lj_nsp2_6_rhizo	327.2702703
NPK_Lj_symrk_1_endo	98.75
NPK_Lj_symrk_1_rhizo	347.0181818
NPK_Lj_symrk_2_endo	157.24
NPK_Lj_symrk_2_rhizo	460.7183099
NPK_Lj_symrk_3_endo	163.0526316
NPK_Lj_symrk_3_rhizo	358.5483871
