"Order","P_Value","NPK_Letters","PK_Letters","UF_Letters"
"Acidobacteriales",0.030022425602338,"ab","a","b"
"Bacillales",0.00123424476450045,"b","a","a"
"Burkholderiales",0.304586790513982,"a","a","a"
"Chloroflexales",0.0499753318561983,"a","a","a"
"Corynebacteriales",0.066288908792934,"a","a","a"
"Frankiales",0.0745835417169191,"a","a","a"
"Gaiellales",0.00406749395869059,"b","a","a"
"Gemmatimonadales",0.239270538716541,"a","a","a"
"MB-A2-108",0.0988244196955815,"a","a","a"
"Micrococcales",0.0251001997736946,"b","ab","a"
"Nitrospirales",0.000145214852882824,"c","a","b"
"Pedosphaerales",0.000735922002775686,"b","a","a"
"Propionibacteriales",0.0236962104073861,"a","a","b"
"Pseudomonadales",0.000309079106178546,"a","a","b"
"Pseudonocardiales",0.187874470265355,"a","a","a"
"Rhizobiales",0.00227492007201524,"a","a","b"
"S085",0.0441392998464587,"b","ab","a"
"Solibacterales",0.0633513723392716,"a","a","a"
"Solirubrobacterales",0.168024306765656,"a","a","a"
"Sphingomonadales",0.0245968260386026,"b","a","ab"
"Subgroup_5",0.000942634462779046,"c","a","b"
"Subgroup_7",0.000131524170357751,"b","a","a"
"TK10",0.069205984310598,"a","a","a"
"Xanthomonadales",0.000243410828578282,"b","a","a"
