Fresh_weight	Plant_species	Genotype	Soil_type
0.1403	Hordeum	nsp2	UF
0.4382	Hordeum	nsp2	UF
0.1105	Hordeum	nsp2	UF
0.3115	Hordeum	nsp2	UF
0.192	Hordeum	nsp2	UF
0.188	Hordeum	nsp2	UF
0.2287	Hordeum	nsp2	UF
0.2556	Hordeum	nsp2	UF
0.2603	Hordeum	nsp2	UF
0.353	Hordeum	nsp2	UF
0.1384	Hordeum	nsp2	UF
0.2926	Hordeum	nsp2	UF
0.2825	Hordeum	nsp2	UF
0.4112	Hordeum	nsp2	UF
0.3401	Hordeum	nsp2	UF
0.3455	Hordeum	nsp2	UF
0.2777	Hordeum	nsp2	UF
0.2684	Hordeum	nsp2	UF
0.4045	Hordeum	nsp1	UF
0.303	Hordeum	nsp1	UF
0.3155	Hordeum	nsp1	UF
0.3075	Hordeum	nsp1	UF
0.3337	Hordeum	nsp1	UF
0.4586	Hordeum	nsp1	UF
0.2881	Hordeum	nsp1	UF
0.3952	Hordeum	nsp1	UF
0.2646	Hordeum	nsp1	UF
0.3986	Hordeum	nsp1	UF
0.2453	Hordeum	nsp1	UF
0.2171	Hordeum	nsp1	UF
0.3854	Hordeum	nsp1	UF
0.3336	Hordeum	nsp1	UF
0.2513	Hordeum	nsp1	UF
0.3243	Hordeum	nsp1	UF
0.2282	Hordeum	nsp1	UF
0.3351	Hordeum	nsp1	UF
0.3546	Hordeum	WT	UF
0.4769	Hordeum	WT	UF
0.3791	Hordeum	WT	UF
0.4908	Hordeum	WT	UF
0.3916	Hordeum	WT	UF
0.4698	Hordeum	WT	UF
0.4869	Hordeum	WT	UF
0.3512	Hordeum	WT	UF
0.4694	Hordeum	WT	UF
0.4608	Hordeum	WT	UF
0.4469	Hordeum	WT	UF
0.4316	Hordeum	WT	UF
0.467	Hordeum	WT	UF
0.376	Hordeum	WT	UF
0.0827	Hordeum	WT	UF
0.1885	Hordeum	WT	UF
0.376	Hordeum	WT	UF
0.0958	Hordeum	WT	UF
0.3951	Hordeum	symrk	UF
0.3463	Hordeum	symrk	UF
0.2855	Hordeum	symrk	UF
0.4322	Hordeum	symrk	UF
0.4066	Hordeum	symrk	UF
0.3409	Hordeum	symrk	UF
0.4177	Hordeum	symrk	UF
0.36	Hordeum	symrk	UF
0.3215	Hordeum	symrk	UF
0.2397	Hordeum	symrk	UF
0.301	Hordeum	symrk	UF
0.2271	Hordeum	symrk	UF
0.4436	Hordeum	symrk	UF
0.2976	Hordeum	symrk	UF
0.2838	Hordeum	symrk	UF
0.2856	Hordeum	symrk	UF
0.3052	Hordeum	symrk	UF
0.286	Hordeum	symrk	UF
0.1563	Hordeum	ccamk	UF
0.2122	Hordeum	ccamk	UF
0.3268	Hordeum	ccamk	UF
0.2065	Hordeum	ccamk	UF
0.2804	Hordeum	ccamk	UF
0.2526	Hordeum	ccamk	UF
0.2028	Hordeum	ccamk	UF
0.2415	Hordeum	ccamk	UF
0.1824	Hordeum	ccamk	UF
0.1978	Hordeum	ccamk	UF
0.197	Hordeum	ccamk	UF
0.3039	Hordeum	ccamk	UF
0.199	Hordeum	ccamk	UF
0.2504	Hordeum	ccamk	UF
0.2189	Hordeum	ccamk	UF
0.1305	Hordeum	ccamk	UF
0.5085	Hordeum	nsp1	PK
0.4257	Hordeum	nsp1	PK
0.778	Hordeum	nsp1	PK
0.3687	Hordeum	nsp1	PK
0.8177	Hordeum	nsp1	PK
0.5916	Hordeum	nsp1	PK
0.722	Hordeum	nsp1	PK
0.3943	Hordeum	nsp1	PK
0.5775	Hordeum	nsp1	PK
0.6262	Hordeum	nsp1	PK
0.5285	Hordeum	nsp1	PK
0.6779	Hordeum	nsp1	PK
0.4736	Hordeum	nsp1	PK
0.656	Hordeum	nsp1	PK
0.6427	Hordeum	nsp1	PK
0.6552	Hordeum	nsp1	PK
0.7234	Hordeum	nsp1	PK
0.569	Hordeum	nsp1	PK
0.7294	Hordeum	nsp2	PK
0.4896	Hordeum	nsp2	PK
0.4695	Hordeum	nsp2	PK
0.5729	Hordeum	nsp2	PK
0.6322	Hordeum	nsp2	PK
0.6286	Hordeum	nsp2	PK
0.4624	Hordeum	nsp2	PK
0.3784	Hordeum	nsp2	PK
0.6529	Hordeum	nsp2	PK
0.4723	Hordeum	nsp2	PK
0.4311	Hordeum	nsp2	PK
0.3637	Hordeum	nsp2	PK
0.5601	Hordeum	nsp2	PK
0.5311	Hordeum	nsp2	PK
0.5138	Hordeum	nsp2	PK
0.6377	Hordeum	nsp2	PK
0.6614	Hordeum	nsp2	PK
0.6614	Hordeum	nsp2	PK
0.3177	Hordeum	ccamk	PK
0.3275	Hordeum	ccamk	PK
0.3572	Hordeum	ccamk	PK
0.3321	Hordeum	ccamk	PK
0.3919	Hordeum	ccamk	PK
0.4189	Hordeum	ccamk	PK
0.4498	Hordeum	ccamk	PK
0.4762	Hordeum	ccamk	PK
0.5445	Hordeum	ccamk	PK
0.3493	Hordeum	ccamk	PK
0.3594	Hordeum	ccamk	PK
0.528	Hordeum	ccamk	PK
0.3866	Hordeum	ccamk	PK
0.4559	Hordeum	ccamk	PK
0.1645	Hordeum	ccamk	PK
0.3779	Hordeum	ccamk	PK
0.6052	Hordeum	WT	PK
0.7252	Hordeum	WT	PK
0.473	Hordeum	WT	PK
0.6713	Hordeum	WT	PK
0.543	Hordeum	WT	PK
0.633	Hordeum	WT	PK
0.7272	Hordeum	WT	PK
0.7522	Hordeum	WT	PK
0.572	Hordeum	WT	PK
0.8037	Hordeum	WT	PK
0.5831	Hordeum	WT	PK
0.4756	Hordeum	WT	PK
0.7294	Hordeum	WT	PK
0.6726	Hordeum	WT	PK
0.6685	Hordeum	WT	PK
0.6911	Hordeum	WT	PK
0.5479	Hordeum	WT	PK
0.6542	Hordeum	WT	PK
0.4401	Hordeum	symrk	PK
0.5609	Hordeum	symrk	PK
0.7238	Hordeum	symrk	PK
0.7324	Hordeum	symrk	PK
0.6146	Hordeum	symrk	PK
0.6034	Hordeum	symrk	PK
0.613	Hordeum	symrk	PK
0.6028	Hordeum	symrk	PK
0.5711	Hordeum	symrk	PK
0.7449	Hordeum	symrk	PK
0.658	Hordeum	symrk	PK
0.6491	Hordeum	symrk	PK
0.4473	Hordeum	symrk	PK
0.7356	Hordeum	symrk	PK
0.5401	Hordeum	symrk	PK
0.64	Hordeum	symrk	PK
0.7066	Hordeum	symrk	PK
0.5142	Hordeum	symrk	PK
1.2956	Hordeum	nsp1	NPK
1.4015	Hordeum	nsp1	NPK
1.4465	Hordeum	nsp1	NPK
1.3165	Hordeum	nsp1	NPK
1.0625	Hordeum	nsp1	NPK
1.6183	Hordeum	nsp1	NPK
1.7639	Hordeum	nsp1	NPK
1.4154	Hordeum	nsp1	NPK
1.249	Hordeum	nsp1	NPK
1.605	Hordeum	nsp1	NPK
1.2689	Hordeum	nsp1	NPK
1.6547	Hordeum	nsp1	NPK
1.2044	Hordeum	nsp1	NPK
1.4017	Hordeum	nsp1	NPK
1.3332	Hordeum	nsp1	NPK
1.3211	Hordeum	nsp1	NPK
1.2255	Hordeum	nsp1	NPK
1.2912	Hordeum	nsp1	NPK
1.5687	Hordeum	nsp2	NPK
1.5365	Hordeum	nsp2	NPK
1.257	Hordeum	nsp2	NPK
1.5907	Hordeum	nsp2	NPK
1.9832	Hordeum	nsp2	NPK
1.3757	Hordeum	nsp2	NPK
1.5765	Hordeum	nsp2	NPK
1.2928	Hordeum	nsp2	NPK
1.7374	Hordeum	nsp2	NPK
1.6275	Hordeum	nsp2	NPK
1.5032	Hordeum	nsp2	NPK
1.2628	Hordeum	nsp2	NPK
1.1533	Hordeum	nsp2	NPK
1.3306	Hordeum	nsp2	NPK
1.0332	Hordeum	nsp2	NPK
1.3558	Hordeum	nsp2	NPK
1.4055	Hordeum	nsp2	NPK
1.5262	Hordeum	nsp2	NPK
1.0779	Hordeum	ccamk	NPK
0.9388	Hordeum	ccamk	NPK
0.9172	Hordeum	ccamk	NPK
0.9053	Hordeum	ccamk	NPK
0.6877	Hordeum	ccamk	NPK
0.8654	Hordeum	ccamk	NPK
0.828	Hordeum	ccamk	NPK
0.7664	Hordeum	ccamk	NPK
0.6096	Hordeum	ccamk	NPK
0.8317	Hordeum	ccamk	NPK
0.7262	Hordeum	ccamk	NPK
0.4452	Hordeum	ccamk	NPK
0.7762	Hordeum	ccamk	NPK
0.7567	Hordeum	ccamk	NPK
0.5948	Hordeum	ccamk	NPK
0.6018	Hordeum	ccamk	NPK
0.6592	Hordeum	ccamk	NPK
0.8089	Hordeum	ccamk	NPK
1.9015	Hordeum	WT	NPK
1.274	Hordeum	WT	NPK
1.7406	Hordeum	WT	NPK
1.5544	Hordeum	WT	NPK
1.8487	Hordeum	WT	NPK
1.0891	Hordeum	WT	NPK
1.6724	Hordeum	WT	NPK
1.5147	Hordeum	WT	NPK
1.4075	Hordeum	WT	NPK
1.3004	Hordeum	WT	NPK
1.5426	Hordeum	WT	NPK
1.6741	Hordeum	WT	NPK
1.5315	Hordeum	WT	NPK
1.4235	Hordeum	WT	NPK
1.5648	Hordeum	WT	NPK
1.5431	Hordeum	WT	NPK
1.3577	Hordeum	WT	NPK
1.4777	Hordeum	WT	NPK
1.1883	Hordeum	symrk	NPK
1.7621	Hordeum	symrk	NPK
1.355	Hordeum	symrk	NPK
1.3041	Hordeum	symrk	NPK
1.6074	Hordeum	symrk	NPK
1.7496	Hordeum	symrk	NPK
1.974	Hordeum	symrk	NPK
1.34	Hordeum	symrk	NPK
1.3567	Hordeum	symrk	NPK
1.5944	Hordeum	symrk	NPK
1.6468	Hordeum	symrk	NPK
1.263	Hordeum	symrk	NPK
1.3229	Hordeum	symrk	NPK
1.5901	Hordeum	symrk	NPK
1.4685	Hordeum	symrk	NPK
1.3633	Hordeum	symrk	NPK
1.4378	Hordeum	symrk	NPK
1.4479	Hordeum	symrk	NPK
0.0486	Lotus	nsp1	NPK
0.0473	Lotus	nsp1	NPK
0.052	Lotus	nsp1	NPK
0.0472	Lotus	nsp1	NPK
0.0403	Lotus	nsp1	NPK
0.0594	Lotus	nsp1	NPK
0.0436	Lotus	nsp1	NPK
0.0327	Lotus	nsp1	NPK
0.0594	Lotus	nsp1	NPK
0.0293	Lotus	nsp1	NPK
0.0596	Lotus	nsp1	NPK
0.0643	Lotus	nsp1	NPK
0.0516	Lotus	nsp1	NPK
0.0565	Lotus	nsp1	NPK
0.059	Lotus	nsp1	NPK
0.0502	Lotus	nsp1	NPK
0.0642	Lotus	nsp1	NPK
