Genotype	Substrate	Nutrients	Replicate	Shoot_fw
WT	leca_sand	SLA_medium	1	0.429
WT	leca_sand	SLA_medium	2	0.35
WT	leca_sand	SLA_medium	3	0.3429
WT	leca_sand	SLA_medium	4	0.3114
WT	leca_sand	SLA_medium	5	0.276
WT	leca_sand	SLA_medium	6	0.4993
WT	leca_sand	SLA_medium	7	0.6603
WT	leca_sand	SLA_medium	8	0.554
WT	leca_sand	SLA_medium	9	0.543
WT	leca_sand	SLA_medium	10	0.692
symrk	leca_sand	SLA_medium	1	0.446
symrk	leca_sand	SLA_medium	2	0.723
symrk	leca_sand	SLA_medium	3	0.346
symrk	leca_sand	SLA_medium	4	0.4166
symrk	leca_sand	SLA_medium	5	0.399
symrk	leca_sand	SLA_medium	6	0.3709
symrk	leca_sand	SLA_medium	7	0.5007
symrk	leca_sand	SLA_medium	8	0.6399
symrk	leca_sand	SLA_medium	9	0.68
symrk	leca_sand	SLA_medium	10	0.448
ccamk	leca_sand	SLA_medium	1	0.43
ccamk	leca_sand	SLA_medium	2	0.556
ccamk	leca_sand	SLA_medium	3	0.5478
ccamk	leca_sand	SLA_medium	4	0.458
ccamk	leca_sand	SLA_medium	5	0.3344
ccamk	leca_sand	SLA_medium	6	0.389
ccamk	leca_sand	SLA_medium	7	0.389
ccamk	leca_sand	SLA_medium	8	0.3212
ccamk	leca_sand	SLA_medium	9	0.2855
ccamk	leca_sand	SLA_medium	10	0.3058
nsp1	leca_sand	SLA_medium	1	0.4951
nsp1	leca_sand	SLA_medium	2	0.3185
nsp1	leca_sand	SLA_medium	3	0.3609
nsp1	leca_sand	SLA_medium	4	0.427
nsp1	leca_sand	SLA_medium	5	0.394
nsp1	leca_sand	SLA_medium	6	0.342
nsp1	leca_sand	SLA_medium	7	0.5137
nsp1	leca_sand	SLA_medium	8	0.5579
nsp1	leca_sand	SLA_medium	9	0.3434
nsp1	leca_sand	SLA_medium	10	0.4454
nsp2	leca_sand	SLA_medium	1	0.4142
nsp2	leca_sand	SLA_medium	2	0.2996
nsp2	leca_sand	SLA_medium	3	0.387
nsp2	leca_sand	SLA_medium	4	0.545
nsp2	leca_sand	SLA_medium	5	0.3747
nsp2	leca_sand	SLA_medium	6	0.3641
nsp2	leca_sand	SLA_medium	7	0.4889
nsp2	leca_sand	SLA_medium	8	0.4371
nsp2	leca_sand	SLA_medium	9	0.4832
nsp2	leca_sand	SLA_medium	10	0.4217
