"","Genotype","Mean","Max","Min","Median","Std","Letters","y_position","Soil","Compartment"
"1","WT",407.114606242019,468.632183908046,346.568181818182,394.756607561057,50.4060668116206,"a",669.712124619508,"NPK","Rhizosphere"
"2","symrk",505.291398688458,981.462121212121,356.519230769231,424.919444444444,237.820880259905,"a",1182.54206192358,"NPK","Rhizosphere"
"3","ccamk",462.547030541101,625.182608695652,358.5,454.433049535604,95.9007494726899,"a",826.262549407115,"NPK","Rhizosphere"
"4","nsp1",477.328961616538,582.346153846154,376.149253731343,468.088522588523,78.3305772772741,"a",783.426094557616,"NPK","Rhizosphere"
"5","nsp2",459.081901503805,591.065420560748,311.195652173913,474.756472491909,100.04967008656,"a",792.14536127221,"NPK","Rhizosphere"
"6","WT",115.713871912401,141.117647058824,77.1666666666667,121.42803030303,25.8410554056662,"a",212.096594427245,"NPK","Root"
"7","symrk",138.824854067501,167,95.25,149.524886877828,30.6871880061227,"a",237.978947368421,"NPK","Root"
"8","ccamk",178.285436016512,305.763157894737,135.6,155.704334365325,64.4468162381676,"a",376.742105263158,"NPK","Root"
"9","nsp1",147.944161875276,174.5,119,149.406015037594,22.7083648728081,"a",245.478947368421,"NPK","Root"
"10","nsp2",127.32677045177,180.615384615385,69.1666666666667,125.625,36.420310613959,"a",251.594331983806,"NPK","Root"
"11","WT",263.463535005024,391.581081081081,182.066666666667,236.066731141199,77.7089563589744,"ab",542.817837837838,"PK","Rhizosphere"
"12","symrk",378.283410960387,456.8,298,363.705016722408,63.4276474107475,"ab",608.036756756757,"PK","Rhizosphere"
"13","ccamk",415.533473686085,624.741071428571,299.5,385.656355932203,116.161086991939,"a",775.977828185328,"PK","Rhizosphere"
"14","nsp1",378.974603269128,518.558823529412,264.625,369.306474313864,86.4841610176993,"ab",669.795580286169,"PK","Rhizosphere"
"15","nsp2",474.619535348638,686.189189189189,359.882352941176,461.776276276276,114.751146108231,"b",837.425945945946,"PK","Rhizosphere"
"16","WT",129.454288766789,183,71,142.467032967033,41.8448183070775,"a",377.873684210526,"PK","Root"
"17","symrk",139.414502164502,196.333333333333,106.5,126.969696969697,33.8308690054377,"a",391.20701754386,"PK","Root"
"18","ccamk",295.975303167794,664.578947368421,152.8125,212.315789473684,209.749319108469,"a",859.452631578947,"PK","Root"
"19","nsp1",204.605429292929,227.666666666667,162.5,213.960227272727,26.2572492522701,"a",422.540350877193,"PK","Root"
"20","nsp2",149.105476190476,243.285714285714,15,146.866666666667,90.9314188696169,"a",438.159398496241,"PK","Root"
"21","WT",249.567567479802,319.063829787234,164.142857142857,253.332692307692,55.9020963587247,"a",411.321894303363,"UF","Rhizosphere"
"22","symrk",272.407074465985,426.693548387097,139,269.507343941248,103.903175917976,"a",518.951612903226,"UF","Rhizosphere"
"23","ccamk",283.692198142415,386.06,141.2,297.117647058824,94.1112380408706,"a",478.318064516129,"UF","Rhizosphere"
"24","nsp1",214.214514652015,277.47619047619,129,220.057692307692,57.8101761374788,"a",369.73425499232,"UF","Rhizosphere"
"25","nsp2",219.171249055178,340.34693877551,119.166666666667,219.3125,77.9720463781111,"a",432.605003291639,"UF","Rhizosphere"
"26","WT",154.13682581786,233.551724137931,125,141.384615384615,40.4831742102765,"a",319.689224137931,"UF","Root"
"27","symrk",149.445833333333,361.125,83,112.225,105.537704656519,"a",447.2625,"UF","Root"
"28","ccamk",97.9960317460317,131,75.3333333333333,89.75,21.8025795591856,"a",217.1375,"UF","Root"
"29","nsp1",131.445238095238,189,102,107.75,40.4002934083775,"a",275.1375,"UF","Root"
"30","nsp2",112.12735042735,148.333333333333,74,106.1,27.9753165206241,"a",234.470833333333,"UF","Root"
