feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
adfb4894c9f494aa55889690210b7f8a	Genotype	nsp2	-1.94874930553076	0.376817062805677	30	27	2.39217569472209e-05	0.10706607593411
X223660879b43489f7d91abced048328f	Genotype	nsp2	-2.45876185178964	0.511613990189617	30	29	6.16168319532457e-05	0.10706607593411
e7cc364b41bdf7191c4c99e5042e4083	Genotype	nsp2	1.19673765401442	0.2424170058813	30	30	4.39071711106735e-05	0.10706607593411
d7b5ed926fa6f4622630366860c30e97	Genotype	nsp2	2.04600489907874	0.415748861718163	30	22	4.56979240011372e-05	0.10706607593411
fa9386d0649076c21bbe07fd56218f1f	Genotype	symrk	-2.10019308313352	0.439413667817386	30	8	6.5973814396018e-05	0.10706607593411
fa9386d0649076c21bbe07fd56218f1f	Genotype	ccamk	-2.10019308313352	0.439413667817386	30	8	6.59738143960183e-05	0.10706607593411
X3254a19288d5c5fd8d3aa9d157965d31	Genotype	ccamk	-2.55741656340661	0.48227831507334	30	13	1.70600301401521e-05	0.10706607593411
X4a3b0a5177dae4f9df35f09285a5a253	Genotype	symrk	-1.62592124757146	0.351916264269779	30	5	9.97259442079382e-05	0.113288672620218
X4a3b0a5177dae4f9df35f09285a5a253	Genotype	nsp1	-1.62592124757146	0.351916264269779	30	5	9.97259442079377e-05	0.113288672620218
X4a3b0a5177dae4f9df35f09285a5a253	Genotype	nsp2	-1.62592124757146	0.351916264269779	30	5	9.97259442079377e-05	0.113288672620218
f5df2b63e1791111b2fc34f168a8104e	Genotype	nsp2	-1.40341388675595	0.310354730204436	30	30	0.00012865176547458	0.127692584400273
X99b1c84845cf1e5dc807d7a7e028856c	Genotype	symrk	1.05715143386695	0.234728998424429	30	4	0.00013488653281719	0.127692584400273
X72fb65f084207de420718aff288b277a	Genotype	nsp2	-1.04411087128125	0.236501527524732	30	30	0.0001698258306695	0.128685596616945
X81d0b0ff83721d49e21944d04b370726	Genotype	nsp1	-0.840646663258762	0.190424023683425	30	30	0.000169919361730121	0.128685596616945
af3cd6dccc4489c1a07d844a113dc145	Genotype	nsp2	-2.42353702472108	0.546254326545396	30	12	0.0001604890849958	0.128685596616945
X81d0b0ff83721d49e21944d04b370726	Genotype	nsp2	-0.825167033166026	0.190424023683425	30	30	0.000209721513946991	0.146993756585127
X34d2e8aa01ba3a6cffcbeb6b55f6815f	Genotype	ccamk	-3.22492750663858	0.750926195727332	30	22	0.000231812455696457	0.146993756585127
X02ea33968083fce503429cc5009fae7a	Genotype	symrk	1.19144333740915	0.277546579663273	30	6	0.000232912642476434	0.146993756585127
X246164ca494aabfd5a6ac41cc49de141	Genotype	nsp2	1.59178900269788	0.375696497395488	30	9	0.000269096748438362	0.160891529592621
d7b5ed926fa6f4622630366860c30e97	Genotype	nsp1	1.75165168053097	0.415748861718163	30	22	0.000286052356990354	0.162477738770521
X5ec9cf282e3911258785c3727e144a5d	Genotype	nsp1	-1.34441192172613	0.322445049944184	30	8	0.00032030358292	0.165393122816873
X5ec9cf282e3911258785c3727e144a5d	Genotype	nsp2	-1.34441192172613	0.322445049944184	30	8	0.00032030358292	0.165393122816873
X4a3b0a5177dae4f9df35f09285a5a253	Genotype	ccamk	-1.4592545809048	0.35191626426978	30	5	0.000339734190064708	0.167799147788482
X7485d72a4ef23dd50b5cdbba3b19d2ce	Genotype	ccamk	1.77350780006106	0.43356559273909	30	7	0.000392551561008741	0.185807738877471
X42400cacfab2351a1ef19f69449888a6	Genotype	ccamk	2.30021159745699	0.566651234039589	30	10	0.000425387490279711	0.193296075583101
X5e40c8d89cabbd36c258095795d72986	Genotype	ccamk	1.02124266565123	0.254241024462747	30	30	0.00047448123709755	0.194791174382852
