Genotype,Compartment,Soil,TOtal_ASVs,DA_ASVs
symrk,Root,NPK,271,27
ccamk,Root,NPK,271,32
nsp1,Root,NPK,271,38
nsp2,Root,NPK,271,28
symrk,Rhizosphere,NPK,1018,46
nsp2,Rhizosphere,NPK,1018,34
nsp1,Rhizosphere,NPK,1018,67
ccamk,Rhizosphere,NPK,1018,38
nsp1,Root,PK,380,35
symrk,Root,PK,380,16
ccamk,Root,PK,380,36
nsp2,Root,PK,380,16
ccamk,Rhizosphere,PK,883,64
nsp1,Rhizosphere,PK,883,59
nsp2,Rhizosphere,PK,883,74
symrk,Rhizosphere,PK,883,41
nsp1,Root,UF,274,21
ccamk,Root,UF,274,28
nsp2,Root,UF,274,32
symrk,Root,UF,274,16
nsp1,Rhizosphere,UF,556,22
symrk,Rhizosphere,UF,556,19
ccamk,Rhizosphere,UF,556,34
nsp2,Rhizosphere,UF,556,18
