Genotype,Compartment,Soil,TOtal_ASVs,DA_ASVs
symrk,Rhizosphere,NPK,2717,156
ccamk,Rhizosphere,NPK,2717,113
nsp1,Rhizosphere,NPK,2717,123
nsp2,Rhizosphere,NPK,2717,238
symrk,Root,NPK,1107,42
ccamk,Root,NPK,1107,99
nsp1,Root,NPK,1107,60
nsp2,Root,NPK,1107,60
symrk,Rhizosphere,PK,2898,129
ccamk,Rhizosphere,PK,2898,132
nsp1,Rhizosphere,PK,2898,175
nsp2,Rhizosphere,PK,2898,154
symrk,Root,PK,1444,63
ccamk,Root,PK,1444,45
nsp1,Root,PK,1444,59
nsp2,Root,PK,1444,72
symrk,Rhizosphere,UF,2840,95
ccamk,Rhizosphere,UF,2840,114
nsp1,Rhizosphere,UF,2840,105
nsp2,Rhizosphere,UF,2840,120
symrk,Root,UF,1146,46
ccamk,Root,UF,1146,77
nsp1,Root,UF,1146,45
nsp2,Root,UF,1146,50
