ASV,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero
00ef5100a16be928b95d049b068221ba,NPK,Rhizosphere,symrk,-1.34040592033395,FALSE,TRUE
03278c89bfe5e7c211d2e8b02f9163ea,NPK,Rhizosphere,symrk,-0.738892225145233,FALSE,TRUE
055503b1823b15b59e45f6d3257e3bc4,NPK,Rhizosphere,symrk,-1.42597644834218,FALSE,TRUE
0ae09879cc3823d6cef7e698a8f5bd05,NPK,Rhizosphere,symrk,0.978370514759215,FALSE,TRUE
0bc6fe9c0102c8552404218cd5cdbd76,NPK,Rhizosphere,symrk,-0.751802076764848,FALSE,TRUE
152ea4dc0dbaf082a5411fd9c49f7169,NPK,Rhizosphere,symrk,-1.11114902859463,FALSE,TRUE
156af2c205db8cfffaef451f47fb77e3,NPK,Rhizosphere,symrk,-1.73164044785019,FALSE,TRUE
161ca325008797f413b361a54b5d634d,NPK,Rhizosphere,symrk,-0.804957731700833,FALSE,TRUE
1c799333d2060bfb88d105a115357828,NPK,Rhizosphere,symrk,-1.103640699248,FALSE,TRUE
1c8e822d87df798c4dce957c14fbcfa4,NPK,Rhizosphere,symrk,-0.680054532490323,FALSE,TRUE
1e37c8c5c07203c4e0b908900a399d97,NPK,Rhizosphere,symrk,0.940320456287058,FALSE,TRUE
1fb8d7353bc9c3af4ffec46469b8a124,NPK,Rhizosphere,symrk,-0.529482342457084,FALSE,TRUE
205044f4ecbc7c2079f6d8ac0e7f3e13,NPK,Rhizosphere,symrk,-1.23320175687494,FALSE,TRUE
224e6402576763cf0ba9cebf7fa6ea85,NPK,Rhizosphere,symrk,-0.632198835007896,FALSE,TRUE
2412ececeddde65cb42df014f1319ec0,NPK,Rhizosphere,symrk,-0.59693568907623,FALSE,TRUE
24798dde4ae03d58a9c2919443cd8975,NPK,Rhizosphere,symrk,-0.610081404266255,FALSE,TRUE
26c6c532d9ee9b8d8219689c9c6f0f1f,NPK,Rhizosphere,symrk,-1.23380441651959,FALSE,TRUE
278008fdf89d98135316b7a58a0a40b0,NPK,Rhizosphere,symrk,1.17307329276218,FALSE,TRUE
2a0a4771279d82f99cacf6624821c3bd,NPK,Rhizosphere,symrk,-1.06423411908454,FALSE,TRUE
2b138d9dcac6298e50e7d2e918247c84,NPK,Rhizosphere,symrk,-1.32416586948646,FALSE,TRUE
