"Structure","Genotype","y_pos","label","anova_label"
"spores","WT",4.25347222222222,"a","ns"
"spores","symrk",1.76609848484849,"a","ns"
"spores","ccamk",1.04166666666667,"a","ns"
"spores","nsp1",2.08333333333333,"a","ns"
"spores","nsp2",4.40340909090909,"a","ns"
"extraradical_hyphae","WT",14.4649621212121,"a","ns"
"extraradical_hyphae","symrk",38.7376568488701,"a","ns"
"extraradical_hyphae","ccamk",26.4053394522145,"a","ns"
"extraradical_hyphae","nsp1",13.3159722222222,"a","ns"
"extraradical_hyphae","nsp2",18.1991792929293,"a","ns"
"intraradical_hyphae","WT",3.51957070707071,"a","ns"
"intraradical_hyphae","symrk",4.64915293040293,"a","ns"
"intraradical_hyphae","ccamk",4.92715617715618,"a","ns"
"intraradical_hyphae","nsp1",3.64583333333333,"a","ns"
"intraradical_hyphae","nsp2",7.53472222222222,"a","ns"
"intracellular_hyphae","WT",0,"a","ns"
"intracellular_hyphae","symrk",0,"a","ns"
"intracellular_hyphae","ccamk",0.520833333333333,"a","ns"
"intracellular_hyphae","nsp1",0,"a","ns"
"intracellular_hyphae","nsp2",0,"a","ns"
"vesicles","WT",2.25694444444445,"a","ns"
"vesicles","symrk",0.863095238095238,"a","ns"
"vesicles","ccamk",0.520833333333333,"a","ns"
"vesicles","nsp1",0,"a","ns"
"vesicles","nsp2",1.31944444444444,"a","ns"
"arbuscules","WT",0,"a","ns"
"arbuscules","symrk",0,"a","ns"
"arbuscules","ccamk",0.520833333333333,"a","ns"
"arbuscules","nsp1",0,"a","ns"
"arbuscules","nsp2",0,"a","ns"
