ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
00a97aade5ade93df592f942fc33748e,PK,Rhizosphere,ccamk,1.11591854065787,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,Unknown,0.856770972659584
00a97aade5ade93df592f942fc33748e,PK,Rhizosphere,nsp1,1.47260707908387,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,Unknown,0.856770972659584
00a97aade5ade93df592f942fc33748e,PK,Rhizosphere,nsp2,0.879489680059475,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,Unknown,0.856770972659584
0145d96ab88695c4ca7badc4668a29e9,UF,Rhizosphere,nsp1,-1.82508522901411,FALSE,TRUE,Bacteria,RCP2-54,RCP2-54,RCP2-54,RCP2-54,RCP2-54,uncultured_Desulfuromonadales,0.935849656142747
015cbc6fc3bca922b4ea5db0f2717512,UF,Root,nsp1,-1.66979290229799,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Unknown,0.999992899882265
0173e516cbbc6cc4f85bdec7c29b7c52,UF,Rhizosphere,symrk,0.845981574320563,FALSE,TRUE,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,0.752969726396633
0187959d7096fc35a87a26ad3b7227b9,NPK,Root,symrk,-0.660046734847069,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.988424206657251
0195f8481d0947f0247ae6c978ea57c5,PK,Root,nsp1,1.40599204869367,TRUE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unknown,0.999951071522657
01d1e849ca3acddc971257f36d4ae400,NPK,Rhizosphere,symrk,0.780830918904086,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.889685920870194
01d1e849ca3acddc971257f36d4ae400,PK,Rhizosphere,symrk,0.871014048679407,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.889685920870194
01d1e849ca3acddc971257f36d4ae400,PK,Rhizosphere,nsp1,0.962801134571448,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.889685920870194
01d1e849ca3acddc971257f36d4ae400,PK,Root,symrk,1.64529922780166,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.889685920870194
02227285bdb9537b5c6c3758187996de,PK,Rhizosphere,ccamk,1.17795064389517,FALSE,TRUE,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,metagenome,0.940076056623308
02227285bdb9537b5c6c3758187996de,PK,Rhizosphere,nsp1,1.79626300853277,FALSE,TRUE,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,metagenome,0.940076056623308
02227285bdb9537b5c6c3758187996de,PK,Rhizosphere,nsp2,1.32970308369776,FALSE,TRUE,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,metagenome,0.940076056623308
