ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
004276cc00420d734923565478bfaa3f,UF,Root,symrk,0.67283667113989,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Paraburkholderia_hospita,0.805783504936384
0046d932ac5a5c720a9eb30de2661133,NPK,Root,symrk,-0.691772104003619,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,uncultured_Bacteroidetes,0.759131626941563
0046d932ac5a5c720a9eb30de2661133,NPK,Root,ccamk,-0.691772104003619,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,uncultured_Bacteroidetes,0.759131626941563
0046d932ac5a5c720a9eb30de2661133,NPK,Root,nsp1,-0.691772104003619,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,uncultured_Bacteroidetes,0.759131626941563
004a014a951c20c3af412e16b3e36bef,NPK,Rhizosphere,ccamk,0.682455789546611,FALSE,TRUE,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Unknown,0.99904443471463
004a014a951c20c3af412e16b3e36bef,NPK,Rhizosphere,nsp1,1.65250981850814,FALSE,TRUE,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Unknown,0.99904443471463
006028984557e57ede6baa8e09859b57,PK,Rhizosphere,nsp2,0.578643967050034,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Unknown,0.998645485451422
009c0185a1342650ba1aa6ab44e60e24,NPK,Rhizosphere,nsp2,-1.56616442277933,FALSE,TRUE,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured,Unknown,0.717781103991509
00a5f3ccddd70ea572ed4d88fa0d0c39,UF,Rhizosphere,ccamk,0.782037235051142,FALSE,TRUE,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Unknown,0.999999980251158
00ef5100a16be928b95d049b068221ba,NPK,Rhizosphere,symrk,-1.34040592033395,FALSE,TRUE,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,uncultured_Syntrophobacterales,0.971251809893664
010e024564de6af9e0fe8404a4e765c1,PK,Rhizosphere,symrk,-0.895885917761157,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,0.998441423895059
010e024564de6af9e0fe8404a4e765c1,PK,Rhizosphere,ccamk,-0.895885917761157,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,0.998441423895059
010e024564de6af9e0fe8404a4e765c1,PK,Rhizosphere,nsp2,-0.895885917761157,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,0.998441423895059
01c23d6217cf49d2396563cc2e2c0bb1,NPK,Root,nsp2,0.559333566444089,FALSE,TRUE,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,Unknown,0.9999995836268
01d9c54f97ad4cb2fd57d663a9cc04f4,PK,Rhizosphere,symrk,-1.24144864717184,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999997828765913
0212895b79c9a33bf2d7bc024987d614,PK,Rhizosphere,symrk,1.72411544053392,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,Unknown,0.999476876472557
02276b15737f2dbedd6b1eddef9f97c3,UF,Root,ccamk,1.18928288080116,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unknown,0.996337452079961
0239bab12b31f75dc45edd9fd6f3077a,NPK,Root,nsp2,-1.19639115943861,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unknown,Unknown,0.998560523544855
