name	Anna_info	links	formulaId	alignedFeatureId	compoundId	mappingFeatureId
2-(P-Coumaroyl)Malic Acid	Phenylpropanoid_pw	"COCONUT:(CNP0123794);HMDB:(HMDB0303755);CHEBI:(134253 139431);SUPERNATURAL:(SN0316390);FooDB:(FDB020639);PUBCHEM:(101957850 162860758 162860759 45359757 26176222 25796461 68721301);DSSTox:(DTXSID70738909);LOTUS:(Q105228813 Q105228815);PUBMED:(null)"	832570759209293036	832570086040172796	832570086040172795	984
2-(P-Coumaroyl)Malic Acid	Phenylpropanoid_pw	"COCONUT:(CNP0123794);HMDB:(HMDB0303755);CHEBI:(134253 139431);SUPERNATURAL:(SN0316390);FooDB:(FDB020639);PUBCHEM:(101957850 162860758 162860759 45359757 26176222 25796461 68721301);DSSTox:(DTXSID70738909);LOTUS:(Q105228813 Q105228815);PUBMED:(null)"	832570794718275920	832570086082115841	832570086082115840	985
Acacetin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5280442);LIPIDMAPS:(LMPK12110468);SUPERNATURAL:(SN0060595);MESH:(5280442);FooDB:(FDB002766 FDB016713);PUBCHEM:(5280442 25202697);GNPS:(CCMSLIB00003137577 CCMSLIB00000077212);COCONUT:(CNP0248340);NORMAN:(NS00031752);METACYC:(CPD-1095);PLANTCYC:(CPD-1095);CHEBI:(15335 57284);KEGG:(C01470);DSSTox:(DTXSID00197383);LOTUS:(Q2822213);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(DANYIYRPLHHOCZ-UHFFFAOYSA-N)"	832572090213069767	832570086698678614	832570086694484309	1002
Avaroferrin	Siderophore	"COCONUT:(CNP0278723);SUPERNATURAL:(SN0435635);MESH:(102234583);PUBCHEM:(102234583);LOTUS:(Q77498326);PUBMED:(null)"	832570582696179947	832570118210487938	832570118210487937	1664
Avaroferrin	Siderophore	"COCONUT:(CNP0278723);SUPERNATURAL:(SN0435635);MESH:(102234583);PUBCHEM:(102234583);LOTUS:(Q77498326);PUBMED:(null)"	832570616699408065	832570118147573373	832570118147573372	1663
Brandisianin F	Isoflavonoids	"COCONUT:(CNP0152909);SUPERNATURAL:(SN0374945);PUBCHEM:(162886374 24763561);LOTUS:(Q105275963);PUBMED:(null);KNAPSACK:(UNGFLSFPWQKVTG-UHFFFAOYSA-N)"	832571906431225075	832570111013061466	832570111013061465	1504
Butin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0249463);BloodExposome:(92775);LIPIDMAPS:(LMPK12140075);SUPERNATURAL:(SN0227054);MESH:(92775);FooDB:(FDB001471);PUBCHEM:(28125525 3496769 92775);GNPS:(CCMSLIB00000848799);COCONUT:(CNP0170493);METACYC:(CPD-19294);CHEBI:(183341 27725);KEGG:(C09614);DSSTox:(DTXSID301162721 DTXSID60197708);LOTUS:(Q105165331 Q5002528);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(MJBPUQUGJNAPAZ-UHFFFAOYSA-N)"	832570874858854666	832570083699750889	832570083699750888	929
Buxuletin	Coumarins/defense related metabolite	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0034344);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5280460);SUPERNATURAL:(SN0330705);MESH:(5280460);FooDB:(FDB012705);PUBCHEM:(5280460 90972240 139025753 91140160 91440104);GNPS:(CCMSLIB00000080100);COCONUT:(CNP0184442);NORMAN:(NS00007731);METACYC:(SCOPOLETIN);PLANTCYC:(SCOPOLETIN);CHEBI:(17488);KEGG:(C01752);DSSTox:(DTXSID0075368);LOTUS:(Q2472366);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(RODXRVNMMDRFIK-UHFFFAOYSA-N)"	832570864431813610	832570065156730440	832570065156730439	439
Coumaric Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002035 HMDB0030677);MiMeDB:(MMDBc0000581 MMDBc0054083);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(322 637542 54708745);SUPERNATURAL:(SN0245076);MESH:(637542);FooDB:(FDB002592 FDB002593 FDB002594 FDB004146 FDB030490);PUBCHEM:(16109932 124202750 637542 131708669 131871182 1549106 11116469 322 117064649 54708745 54721280 54729371 71310960);GNPS:(CCMSLIB00003138651 CCMSLIB00000078887);COCONUT:(CNP0255341);NORMAN:(NS00004354 NS00068187 NS00082097);METACYC:(CIS-P-COUMARATE COUMARATE);PLANTCYC:(COUMARATE);CHEBI:(32373 12876 32374 58152 36090 17450);KEGG:(C00811 C06738);DSSTox:(DTXSID00746416 DTXSID30901076 DTXSID6064660 DTXSID901315564);LOTUS:(Q27104329 Q99374 Q27102404);YMDB:(YMDB00498);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGSWKAQJJWESNS-UHFFFAOYSA-N)"	832570728020444404	832570059339229942	832570059339229941	269
Coumaric Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002035 HMDB0030677);MiMeDB:(MMDBc0000581 MMDBc0054083);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(322 637542 54708745);SUPERNATURAL:(SN0245076);MESH:(637542);FooDB:(FDB002592 FDB002593 FDB002594 FDB004146 FDB030490);PUBCHEM:(16109932 124202750 637542 131708669 131871182 1549106 11116469 322 117064649 54708745 54721280 54729371 71310960);GNPS:(CCMSLIB00003138651 CCMSLIB00000078887);COCONUT:(CNP0255341);NORMAN:(NS00004354 NS00068187 NS00082097);METACYC:(CIS-P-COUMARATE COUMARATE);PLANTCYC:(COUMARATE);CHEBI:(32373 12876 32374 58152 36090 17450);KEGG:(C00811 C06738);DSSTox:(DTXSID00746416 DTXSID30901076 DTXSID6064660 DTXSID901315564);LOTUS:(Q27104329 Q99374 Q27102404);YMDB:(YMDB00498);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGSWKAQJJWESNS-UHFFFAOYSA-N)"	832570748308295826	832570059410533120	832570059410533119	271
Coumaric Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002035 HMDB0030677);MiMeDB:(MMDBc0000581 MMDBc0054083);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(322 637542 54708745);SUPERNATURAL:(SN0245076);MESH:(637542);FooDB:(FDB002592 FDB002593 FDB002594 FDB004146 FDB030490);PUBCHEM:(16109932 124202750 637542 131708669 131871182 1549106 11116469 322 117064649 54708745 54721280 54729371 71310960);GNPS:(CCMSLIB00003138651 CCMSLIB00000078887);COCONUT:(CNP0255341);NORMAN:(NS00004354 NS00068187 NS00082097);METACYC:(CIS-P-COUMARATE COUMARATE);PLANTCYC:(COUMARATE);CHEBI:(32373 12876 32374 58152 36090 17450);KEGG:(C00811 C06738);DSSTox:(DTXSID00746416 DTXSID30901076 DTXSID6064660 DTXSID901315564);LOTUS:(Q27104329 Q99374 Q27102404);YMDB:(YMDB00498);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGSWKAQJJWESNS-UHFFFAOYSA-N)"	832570792352688057	832570059372784379	832570059372784378	270
Coumaric Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002035 HMDB0030677);MiMeDB:(MMDBc0000581 MMDBc0054083);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(322 637542 54708745);SUPERNATURAL:(SN0245076);MESH:(637542);FooDB:(FDB002592 FDB002593 FDB002594 FDB004146 FDB030490);PUBCHEM:(16109932 124202750 637542 131708669 131871182 1549106 11116469 322 117064649 54708745 54721280 54729371 71310960);GNPS:(CCMSLIB00003138651 CCMSLIB00000078887);COCONUT:(CNP0255341);NORMAN:(NS00004354 NS00068187 NS00082097);METACYC:(CIS-P-COUMARATE COUMARATE);PLANTCYC:(COUMARATE);CHEBI:(32373 12876 32374 58152 36090 17450);KEGG:(C00811 C06738);DSSTox:(DTXSID00746416 DTXSID30901076 DTXSID6064660 DTXSID901315564);LOTUS:(Q27104329 Q99374 Q27102404);YMDB:(YMDB00498);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGSWKAQJJWESNS-UHFFFAOYSA-N)"	832570798614785181	832570059309869809	832570059305675504	268
Cumostrol	Coumarins/defense related metabolite	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002326);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281707);LIPIDMAPS:(LMPK12090018);SUPERNATURAL:(SN0484370);MESH:(5281707);FooDB:(FDB011663);PUBCHEM:(101333000 5281707 12304242);GNPS:(CCMSLIB00000085539);COCONUT:(CNP0328371);NORMAN:(NS00004410);METACYC:(CPD-11779);PLANTCYC:(CPD-11779);CHEBI:(3908);KEGG:(C10205);DSSTox:(DTXSID6022399);LOTUS:(Q908865);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(ZZIALNLLNHEQPJ-UHFFFAOYSA-N)"	832571636552899580	832570082277881691	832570082277881690	902
