formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C5H12N4O3,[M - H]-,C5H11N4O3-,Amino acids and Peptides,0.999,Small peptides,1.000,Aminoacids,1.000,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.996,"Amino acids, peptides, and analogues",0.997,Amino acids and derivatives,0.997,Alpha amino acids,0.977,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",175.085,62,1.025,832178987716586317,832177615986229060,832177615986229059,363,
1,C3H10FN3O3,[M - H]-,C3H9FN3O3-,Fatty acids,0.319,Fatty Acids and Conjugates,0.395,Aminoacids,0.410,Organic acids and derivatives,0.974,Carboxylic acids and derivatives,0.968,"Amino acids, peptides, and analogues",0.906,Amino acids and derivatives,0.904,Alpha amino acids,0.648,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",154.064,62,1.033,832178992070274484,832177610810457184,832177610810457183,215,
1,C7H6MgN4O2,[M - H]-,C7H5MgN4O2-,Alkaloids,0.658,Histidine alkaloids,0.457,Imidazole alkaloids,0.456,Organoheterocyclic compounds,0.999,Azoles,0.930,,,,,Azoles,0.930,Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,201.027,62,1.035,832178994876264550,832177621396881975,832177621396881974,514,
1,C6H14N4O2,[M - H]-,C6H13N4O2-,Amino acids and Peptides,0.999,Small peptides,1.000,Aminoacids,1.000,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.999,Amino acids and derivatives,0.999,Alpha amino acids,0.988,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",173.105,63,1.042,832178982754723256,832177615608741640,832177615608741639,351,
1,C9H14N4O5,[M - H]-,C9H13N4O5-,Amino acids and Peptides,0.999,Small peptides,1.000,Aminoacids,1.000,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.998,"Amino acids, peptides, and analogues",0.999,Amino acids and derivatives,0.999,Alpha amino acids,0.990,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",257.088,63,1.049,832178983044130360,832177634407614761,832177634407614760,868,
1,C10H11N3O4,[M - H]-,C10H10N3O4-,Amino acids and Peptides,0.996,Small peptides,0.999,Aminoacids,0.993,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",1.000,Amino acids and derivatives,1.000,Histidine and derivatives,0.979,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",236.066,64,1.060,832178994221953025,832177629311534716,832177629311534715,731,
1,C12H10N2O6S2,[M - H]-,C12H9N2O6S2-,Amino acids and Peptides,0.831,β-lactams,0.197,Oxygenated hydrocarbons,0.049,"Organic 1,3-dipolar compounds",0.714,"Allyl-type 1,3-dipolar organic compounds",0.860,Organic nitro compounds,0.841,C-nitro compounds,0.806,Nitroaromatic compounds,0.723,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiophenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acid esters; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",340.992,64,1.070,832178996121973223,832177662488483134,832177662488483133,1473,
1,C8H12N4O14,[M - H]-,C8H11N4O14-,Carbohydrates,0.662,Small peptides,0.204,Pyrimidine nucleosides,0.216,"Organic 1,3-dipolar compounds",0.994,"Allyl-type 1,3-dipolar organic compounds",0.991,Organic nitro compounds,0.987,C-nitro compounds,0.985,Nitroaromatic compounds,0.942,"Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",387.028,65,1.084,832178991554374925,832177672726780299,832177672726780298,1690,
1,C16H11F15O4,[M - H]-,C16H10F15O4-,Terpenoids,0.262,Flavonoids,0.020,Chalcones,0.020,Benzenoids,0.920,Phenol ethers,0.628,,,,,Phenol ethers,0.628,Organic compounds; Ethers; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities,551.033,66,1.093,832178992275795459,832177681182498068,832177681182498067,1867,
1,C9H10N2O10,[M - H]-,C9H9N2O10-,Amino acids and Peptides,0.961,Small peptides,0.888,Aminoacids,0.930,Organic acids and derivatives,0.996,Carboxylic acids and derivatives,0.993,"Amino acids, peptides, and analogues",0.981,Amino acids and derivatives,0.980,Alpha amino acids,0.894,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Tricarboxylic acids and derivatives; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",305.025,66,1.094,832178982893135354,832177648215265107,832177648215265106,1179,
