formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C5H12N4O3	[M - H]-	C5H11N4O3-	Amino acids and Peptides	0.999	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.995	Amino acids and derivatives	0.995	Alpha amino acids	0.965	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	175.083	62	1.029	857713275068734894	857712771773217248	857712771773217247	360	
1	C6H9N3O2	[M - H]-	C6H8N3O2-	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	0.999	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	Histidine and derivatives	0.986	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	154.062	62	1.034	857713286129117220	857712766790383361	857712766790383360	213	
1	C6H14N4O2	[M - H]-	C6H13N4O2-	Amino acids and Peptides	0.999	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Arginine and derivatives	0.505	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Arginine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	173.104	63	1.042	857713280286450586	857712771387341220	857712771387341219	348	
1	C9H14N4O5	[M - H]-	C9H13N4O5-	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Alpha amino acids	0.992	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	257.087	63	1.049	857713275462999586	857712789464794023	857712789464794022	859	
2	C8H10F3N3O2	[M - H]-	C8H9F3N3O2-	Amino acids and Peptides	0.990	Small peptides	0.998	Aminoacids	0.988	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	Histidine and derivatives	0.988	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Organofluorides; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Alkyl halides; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	236.065	64	1.060	857713279841854166	857712784477765897	857712784477765896	725	
1	C12H10N2O6S2	[M - H]-	C12H9N2O6S2-	Amino acids and Peptides	0.256	β-lactams	0.009	Simple coumarins	0.008	Benzenoids	0.664							Benzenoids	0.664	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiophenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Benzenoids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	340.991	64	1.065	857713290717686798	857712817361112980	857712817361112979	1459	
3	C8H12N4O14	[M - H]-	C8H11N4O14-	Carbohydrates	0.585	Small peptides	0.309	Aminoacids	0.451	Organic acids and derivatives	0.986	Carboxylic acids and derivatives	0.968	Amino acids, peptides, and analogues	0.940	Amino acids and derivatives	0.937	Alpha amino acids	0.808	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Tricarboxylic acids and derivatives; Alpha amino acids; Amines; Primary amines; Organic 1,3-dipolar compounds; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	387.026	65	1.086	857713279808299717	857712827242894295	857712827242894294	1674	
1	C8H12N4O5P2	[M - H]-	C8H11N4O5P2-	Amino acids and Peptides	0.389	Small peptides	0.638	Aminoacids	0.471	Organoheterocyclic compounds	0.932	Diazines	0.527	Pyrimidines and pyrimidine derivatives	0.590	Aminopyrimidines and derivatives	0.650	Aminopyrimidines and derivatives	0.650	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Monoalkylamines; Aminopyrimidines and derivatives; Diazines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.023	65	1.091	857713283826443917	857712803364719047	857712803360524742	1168	
5	C17H9F17O	[M - H]-	C17H8F17O-	Terpenoids	0.459	Sesquiterpenoids	0.018	Chalcones	0.012	Benzenoids	0.996	Benzene and substituted derivatives	0.993	Trifluoromethylbenzenes	0.810			Trifluoromethylbenzenes	0.810	Organic compounds; Alcohols and polyols; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organic oxygen compounds; Chemical entities	551.032	66	1.093	857713288003971595	857712837388916566	857712837388916565	1850	
5	C11H10ClFN4O3S2	[M - H]-	C11H9ClFN4O3S2-	Amino acids and Peptides	0.854	Small peptides	0.082	Aminoacids	0.088	Benzenoids	0.980	Benzene and substituted derivatives	0.994	Halobenzenes	0.995	Chlorobenzenes	0.964	Chlorobenzenes	0.964	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Thiadiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Sulfonyls; Thioethers; Organochlorides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Aryl halides; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	362.981	66	1.094	857713297252414661	857712822637548045	857712822637548044	1584	
