formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H12N4O3	[M - H]-	C5H11N4O3-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	1,000	Organic acids and derivatives	0,998	Carboxylic acids and derivatives	0,997	Amino acids, peptides, and analogues	0,998	Amino acids and derivatives	0,998	Alpha amino acids	0,983	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	175,083	62	1,027	650278120133620738	650277889157481317	363	
1	C6H9N3O2	[M - H]-	C6H8N3O2-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	0,999	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	1,000	Amino acids and derivatives	1,000	Histidine and derivatives	0,983	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	154,062	62	1,034	650278120884401414	650277882077495435	215	
1	C6H14N4O2	[M - H]-	C6H13N4O2-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	1,000	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	0,999	Amino acids and derivatives	0,999	Arginine and derivatives	0,505	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Arginine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	173,104	63	1,042	650278120838264048	650277888670941988	349	
1	C9H14N4O5	[M - H]-	C9H13N4O5-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	0,999	Organic acids and derivatives	0,998	Carboxylic acids and derivatives	0,996	Amino acids, peptides, and analogues	0,997	Amino acids and derivatives	0,997	Alpha amino acids	0,971	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	257,087	63	1,044	650278143059693635	650277911026584975	894	
1	C8H9N6O3	[M - H]-	C8H8N6O3-	Amino acids and Peptides	0,991	Small peptides	0,998	Aminoacids	0,909	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	0,999	Amino acids and derivatives	0,999	Histidine and derivatives	0,996	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	236,065	64	1,060	650278131370165278	650277904680602324	753	
1	C12H10N2O6S2	[M - H]-	C12H9N2O6S2-	Amino acids and Peptides	0,256	β-lactams	0,009	Simple coumarins	0,008	Benzenoids	0,664							Benzenoids	0,664	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiophenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Benzenoids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	340,991	65	1,082	650278143353295077	650277958816487882	1517	
1	C11H14N2O4P2S2	[M - H]-	C11H13N2O4P2S2-	Amino acids and Peptides	0,903	Small peptides	0,145	Aminoacids	0,223	Organic acids and derivatives	0,992	Organic dithiophosphoric acids and derivatives	0,497	Dithiophosphate O-esters	0,542			Dithiophosphate O-esters	0,542	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Monocarboxylic acids and derivatives; Organothiophosphorus compounds; Carbonyl compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Dithiophosphate O-esters; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	362,981	66	1,096	650278152299746420	650277968173980808	1655	
1	C8H12N4O14	[M - H]-	C8H11N4O14-	Carbohydrates	0,485	Small peptides	0,655	Aminoacids	0,480	Organic acids and derivatives	0,951	Carboxylic acids and derivatives	0,943	Amino acids, peptides, and analogues	0,952	Amino acids and derivatives	0,949	Alpha amino acids	0,756	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	387,026	66	1,105	650278146700350144	650277976612920938	1749	
1	C5H8N2O8	[M - H]-	C5H7N2O8-	Amino acids and Peptides	0,992	Small peptides	0,995	Aminoacids	0,997	Organic acids and derivatives	0,998	Carboxylic acids and derivatives	0,998	Amino acids, peptides, and analogues	0,995	Amino acids and derivatives	0,995	Alpha amino acids	0,964	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223,020	67	1,110	650278124529253044	650277900830230793	660	
1	C3H12NO6P2S2	[M - H]-	C3H11NO6P2S2-	Amino acids and Peptides	0,574	Small peptides	0,307	Aminoacids	0,248	Organic acids and derivatives	0,992	Organic phosphoric acids and derivatives	0,539					Organic phosphoric acids and derivatives	0,539	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	282,949	67	1,113	650278138865388488	650277920476352640	1043	
