formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H12N4O3	[M - H]-	C5H11N4O3-		29,473	27,410	2,063	7	0,072	3,476	11,753	-2,626		175,083	62	1,027	650278120133620738	650277889157481317	363	
1	C6H9N3O2	[M - H]-	C6H8N3O2-		54,425	51,576	2,849	10	0,383	-2,130	6,529	-0,612		154,062	62	1,034	650278120884401414	650277882077495435	215	
1	C2NO5	[M - H]-	C2-HNO5-		-2,605	-2,605	0,000	0	0,000			18,225		116,973	62	1,040	650278128304127722	650277874271894966	69	
1	C6H14N4O2	[M - H]-	C6H13N4O2-		50,976	48,314	2,662	14	0,214	-3,666	10,852	-2,749		173,104	63	1,042	650278120838264048	650277888670941988	349	
1	C9H14N4O5	[M - H]-	C9H13N4O5-		66,585	63,717	2,868	22	0,707	1,491	3,633	-8,770		257,087	63	1,044	650278143059693635	650277911026584975	894	
1	C8H9N6O3	[M - H]-	C8H8N6O3-		76,109	74,491	1,618	18	0,623	4,164	6,043	-5,302		236,065	64	1,060	650278131370165278	650277904680602324	753	
1	C12H10N2O6S2	[M - H]-	C12H9N2O6S2-		49,796	49,027	0,769	26	0,413	-5,647	7,224	-0,728		340,991	65	1,082	650278143353295077	650277958816487882	1517	
1	C11H14N2O4P2S2	[M - H]-	C11H13N2O4P2S2-		36,855	36,855	0,000	22	0,737	-1,645	5,910	2,553		362,981	66	1,096	650278152299746420	650277968173980808	1655	
1	C8H12N4O14	[M - H]-	C8H11N4O14-		23,258	18,554	4,704	17	0,907	1,099	5,304	-3,763		387,026	66	1,105	650278146700350144	650277976612920938	1749	
1	C5H8N2O8	[M - H]-	C5H7N2O8-		73,146	68,916	4,230	18	0,616	-0,680	9,881	-4,847		223,020	67	1,110	650278124529253044	650277900830230793	660	
1	C3H12NO6P2S2	[M - H]-	C3H11NO6P2S2-		14,489	13,378	1,111	19	0,328	0,284	4,259	-5,369		282,949	67	1,113	650278138865388488	650277920476352640	1043	
1	C6H17N2O6P3	[M - H]-	C6H16N2O6P3-		32,760	28,306	4,454	22	0,938	-1,416	7,254	2,587		305,023	67	1,113	650278141826567609	650277934585992197	1222	
1	C16H14N4O10S2	[M - H]-	C16H13N4O10S2-		4,435	4,435	0,000	1	0,900	11,492	11,492	0,911		485,008	67	1,113	650278123430345086	650277990105997818	1908	
