structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	0.283	0.283	-29.845	1.000	1.000	27.917	C5H12N4O3	[M - H]-	C5H11N4O3-	FSBIGDSBMBYOPN	InChI=1S/C5H12N4O3/c6-3(4(10)11)1-2-12-9-5(7)8/h3H,1-2,6H2,(H,10,11)(H4,7,8,9)	Canavanine	C(CON=C(N)N)C(C(=O)O)N	-2.053	5256200;162914907;25243900;45934396;46224610;36688185;275;222546;439202	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002706);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(439202);SUPERNATURAL:(SN0094069 SN0428728);HSDB:(543-38-4);MESH:(439202);FooDB:(FDB000505);PUBCHEM:(5256200 162914907 25243900 45934396 46224610 36688185 275 222546 439202);COCONUT:(CNP0175642 CNP0184019);NORMAN:(NS00014863);METACYC:(CANAVANINE);PLANTCYC:(CANAVANINE);CHEBI:(609827 180947 78902 405237);KEGG:(C00308);DSSTox:(DTXSID5045041);LOTUS:(Q418408);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(FSBIGDSBMBYOPN-UHFFFAOYSA-N)	138369436542	175.083	62	1.029	857713275068734894	857712771773217248	857712771773217247	360	
1	1	0.385	0.368	-22.068	1.000	1.000	50.893	C6H9N3O2	[M - H]-	C6H8N3O2-	HNDVDQJCIGZPNO	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)	L-His	C1=C(NC=N1)CC(C(=O)O)N	-3.200	101100551;22058933;9815258;136768573;136768597;136768598;136802402;136951621;6971009;6971048;87528073;15556516;16056331;5247180;16217281;16217564;5288059;5288559;5460934;5460936;5460937;5460941;5460943;5460945;5460948;51342292;118264376;53885979;86580368;129716535;4629346;58203003;124202807;137333494;102176482;102462245;162642344;162642346;162642348;136205229;135705197;136264951;136264952;59048770;135897705;59373198;25240990;25241086;25241571;10261337;10313231;10329518;71725525;71777659;132472196;11159446;11159482;11194454;11378637;130346518;773;6274;71083;135379;46781699;3651426;3651721;3723250;122411932;90472119;71309184;71309586;71309659;71309677;73755104	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000177 HMDB0250763);MiMeDB:(MMDBc0000058 MMDBc0055866);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(21947049 6274 66091 71083 773);SUPERNATURAL:(SN0130145);HSDB:(71-00-1);MESH:(773 6274);FooDB:(FDB011856);PUBCHEM:(101100551 22058933 9815258 136768573 136768597 136768598 136802402 136951621 6971009 6971048 87528073 15556516 16056331 5247180 16217281 16217564 5288059 5288559 5460934 5460936 5460937 5460941 5460943 5460945 5460948 51342292 118264376 53885979 86580368 129716535 4629346 58203003 124202807 137333494 102176482 102462245 162642344 162642346 162642348 136205229 135705197 136264951 136264952 59048770 135897705 59373198 25240990 25241086 25241571 10261337 10313231 10329518 71725525 71777659 132472196 11159446 11159482 11194454 11378637 130346518 773 6274 71083 135379 46781699 3651426 3651721 3723250 122411932 90472119 71309184 71309586 71309659 71309677 73755104);GNPS:(CCMSLIB00003136042 CCMSLIB00000577965);COCONUT:(CNP0161367);NORMAN:(NS00005578 NS00079380 NS00079890 NS00079950 NS00081141 NS00081976 NS00082207 NS00089034);METACYC:(CPD-12151 HIS);PLANTCYC:(HIS);CHEBI:(27947 15971 32523 32531 32532 57595 27570 32529 32527 32512 32513 32526 32510 142967);KEGG:(C00768 C06419 C00135);DSSTox:(DTXSID00208089 DTXSID00901785 DTXSID10924465 DTXSID20884263 DTXSID3020700 DTXSID401014452 DTXSID701009143 DTXSID70413027 DTXSID70889344 DTXSID80199704 DTXSID9023126);LOTUS:(Q27103201 Q485277 Q27077043);YMDB:(YMDB00794 YMDB00369);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(HNDVDQJCIGZPNO-UHFFFAOYSA-N)	139577465726	154.062	62	1.034	857713286129117220	857712766790383361	857712766790383360	213	
1	1	0.250	0.280	-46.005	1.000	1.000	50.976	C6H14N4O2	[M - H]-	C6H13N4O2-	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	173.104	63	1.042	857713280286450586	857712771387341220	857712771387341219	348	
1	1	0.027	0.027	-240.001	1.000	1.000	40.681	C9H14N4O5	[M - H]-	C9H13N4O5-	FUEGYTKKNLPCPF	InChI=1S/C9H14N4O5/c1-12-5-10-7(13(16)17)8(12)11-6(9(14)15)3-4-18-2/h5-6,11H,3-4H2,1-2H3,(H,14,15)	4-Methoxy-2-[(3-methyl-5-nitroimidazol-4-yl)amino]butanoic acid	CN1C=NC(=C1NC(CCOC)C(=O)O)[N+](=O)[O-]	0.900	62478995	PUBCHEM:(62478995)	2	257.087	63	1.049	857713275462999586	857712789464794023	857712789464794022	859	
1	2	0.288	0.271	-72.773	0.318	0.866	84.906	C8H10F3N3O2	[M - H]-	C8H9F3N3O2-	JWUIFFAZNNZFNZ	InChI=1S/C8H10F3N3O2/c9-8(10,11)3-14-4-13-2-5(14)1-6(12)7(15)16/h2,4,6H,1,3,12H2,(H,15,16)	2-Amino-3-[3-(2,2,2-trifluoroethyl)imidazol-4-yl]propanoic acid	C1=C(N(C=N1)CC(F)(F)F)CC(C(=O)O)N	-2.200	145304932;129102201	PUBCHEM:(145304932 129102201)	2	236.065	64	1.060	857713279841854166	857712784477765897	857712784477765896	725	
1	1	0.028	0.028	-130.694	1.000	1.000	49.796	C12H10N2O6S2	[M - H]-	C12H9N2O6S2-	JFUXUBCKBNYNMR	InChI=1S/C12H10N2O6S2/c1-20-12(15)11-10(5-6-21-11)22(18,19)13-8-3-2-4-9(7-8)14(16)17/h2-7,13H,1H3	Methyl 3-[(3-nitrophenyl)sulfamoyl]thiophene-2-carboxylate	COC(=O)C1=C(C=CS1)S(=O)(=O)NC2=CC(=CC=C2)[N+](=O)[O-]	2.100	35859654	PUBCHEM:(35859654)	2	340.991	64	1.065	857713290717686798	857712817361112980	857712817361112979	1459	
1	3	-Infinity	-Infinity	-251.561	0.012	0.113	24.579	C8H12N4O14	[M - H]-	C8H11N4O14-	QYPGRKSZBRALBE	InChI=1S/C8H12N4O14/c1-2-21-8-7(26-12(19)20)6(25-11(17)18)5(24-10(15)16)4(23-8)3-22-9(13)14/h4-8H,2-3H2,1H3	Ethyl 2,3,4,6-tetra-O-nitrohexopyranoside	CCOC1C(C(C(C(O1)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]	1.600	23424459	PUBCHEM:(23424459)	2	387.026	65	1.086	857713279808299717	857712827242894295	857712827242894294	1674	
1	1	-Infinity	-Infinity	-201.438	0.995	0.852	31.037	C8H12N4O5P2	[M - H]-	C8H11N4O5P2-	ZZAXFDLWNUHSRD	InChI=1S/C8H12N4O5P2/c1-2-17-18(13,7-5-3-4-6-10-7)8(11-12-9)19(14,15)16/h3-6,8H,2H2,1H3,(H2,14,15,16)	[Azido-[ethoxy(pyridin-2-yl)phosphoryl]methyl]phosphonic acid	CCOP(=O)(C1=CC=CC=N1)C(N=[N+]=[N-])P(=O)(O)O	-0.100	21897902	PUBCHEM:(21897902)	2	305.023	65	1.091	857713283826443917	857712803364719047	857712803360524742	1168	
1	5	0.058	0.058	-154.704	0.096	0.185	11.104	C17H9F17O	[M - H]-	C17H8F17O-	FIKKDQZDISQACH	InChI=1S/C17H9F17O/c1-2-8-4-3-5-9(6-8)7-35-15(28,17(32,33)34)13(24,25)11(20,21)10(18,19)12(22,23)14(26,27)16(29,30)31/h2-6H,1,7H2	1-Ethenyl-3-(1,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctan-2-yloxymethyl)benzene	C=CC1=CC=CC(=C1)COC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F	8.300	150165990	PUBCHEM:(150165990)	2	551.032	66	1.093	857713288003971595	857712837388916566	857712837388916565	1850	
1	5	-Infinity	-Infinity	-187.312	0.012	0.010	17.297	C11H10ClFN4O3S2	[M - H]-	C11H9ClFN4O3S2-	GDNBMOCPNLNFJH	InChI=1S/C11H10ClFN4O3S2/c1-2-9(18)14-10-15-16-11(21-10)22(19,20)17-6-3-4-8(13)7(12)5-6/h3-5,17H,2H2,1H3,(H,14,15,18)	N-[5-[(3-chloro-4-fluorophenyl)sulfamoyl]-1,3,4-thiadiazol-2-yl]propanamide	CCC(=O)NC1=NN=C(S1)S(=O)(=O)NC2=CC(=C(C=C2)F)Cl	1.900	100264625	PUBCHEM:(100264625)	2	362.981	66	1.094	857713297252414661	857712822637548045	857712822637548044	1584	
