formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C30H22Cl2N6O12	[M - H]-	C30H21Cl2N6O12-	Alkaloids	0.306	Coumarins	0.111	Pyridine alkaloids	0.088	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.992	Glycosyl compounds	0.969	Phenolic glycosides	0.504	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Nitrobenzenes; Pyridines and derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Organic nitro compounds; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Pentoses; Organic oxoazanium compounds; Organochlorides; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; Glycosylamines; O-glycosyl compounds; Nicotinamides; Benzene and substituted derivatives; Polyols; Benzenoids; Aryl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	727.062	61	1.009	832639527853681059	832638668348500417	832638668348500416	3407	
1	C23H18N6O9S2	[M - H]-	C23H17N6O9S2-	Amino acids and Peptides	0.986	β-lactams	0.986	Cephalosporins	0.791	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.986	Amino acids and derivatives	0.985	N-acyl-alpha amino acids and derivatives	0.948	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Nitrobenzenes; Alpha amino acids and derivatives; Thiazines; Thiophenes; Azetidines; Lactams; Beta lactams; Cephems; Cephalosporins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Organic nitro compounds; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; 1,3-thiazines; Organic oxoazanium compounds; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Thiohemiaminal derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Dialkylthioethers; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	585.049	61	1.016	832639351474805341	832638663994812185	832638663994812184	3271	
2	C30H22N4O6S3	[M - H]-	C30H21N4O6S3-	Alkaloids	0.746	Histidine alkaloids	0.763	Imidazole alkaloids	0.767	Organic acids and derivatives	0.931	Carboxylic acids and derivatives	0.910	Amino acids, peptides, and analogues	0.556	Amino acids and derivatives	0.554	Alpha amino acids and derivatives	0.704	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid derivatives; Sulfonyls; Thioethers; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Tetrahydroisoquinolines; Alkylarylthioethers; Organic oxides; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	629.059	62	1.037	832638967930862499	832638666209405012	832638666209405011	3334	
3	C9H10ClNO4S2	[M - H]-	C9H9ClNO4S2-	Amino acids and Peptides	0.399	Small peptides	0.109	Aminoacids	0.038	Benzenoids	0.976	Benzene and substituted derivatives	0.944	Halobenzenes	0.942	Chlorobenzenes	0.920	Chlorobenzenes	0.920	Organic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfones; Aryl chlorides; Chlorobenzenes; Sulfonyls; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	293.967	62	1.038	832638974297816496	832638609670178748	832638609665984443	1683	
1	C11H12N4O7S	[M - H]-	C11H11N4O7S-	Amino acids and Peptides	0.384	Histidine alkaloids	0.276	Imidazole alkaloids	0.277	Organic 1,3-dipolar compounds	0.968	Allyl-type 1,3-dipolar organic compounds	0.972	Organic nitro compounds	0.971	C-nitro compounds	0.962	Nitroaromatic compounds	0.883	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acid esters; Organic oxoazanium compounds; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	343.037	64	1.072	832638953561174824	832638629010117433	832638629010117432	2266	
1	C19H14N6O6S3	[M - H]-	C19H13N6O6S3-	Amino acids and Peptides	0.875	β-lactams	0.928	Cephalosporins	0.523	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.853	Amino acids and derivatives	0.851	N-acyl-alpha amino acids and derivatives	0.549	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiazines; Thiazoles; Azetidines; Lactams; Beta lactams; Cephems; Cephalosporins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; 1,3-thiazines; Secondary carboxylic acid amides; Thiohemiaminal derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Dialkylthioethers; Alkylarylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	517.003	65	1.076	832638968216075210	832638659783730335	832638659783730334	3148	
1	C11H12N4O6S2	[M - H]-	C11H11N4O6S2-	Amino acids and Peptides	0.932	β-lactams	0.429	Cephalosporins	0.133	Organoheterocyclic compounds	0.999	Azoles	0.567					Azoles	0.567	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acid esters; Carbonyl compounds; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	359.014	65	1.078	832638959684859732	832638633888093715	832638633888093714	2412	
2	C6H7N2O5P	[M - H]-	C6H6N2O5P-	Amino acids and Peptides	0.414	Small peptides	0.555	Aminoacids	0.511	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.985	Amino acids, peptides, and analogues	0.716	Amino acids and derivatives	0.713	Alpha amino acids and derivatives	0.800	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	217.003	65	1.080	832638962591512714	832638588564437217	832638588564437216	928	
2	C17H15F3N4O4	[M - H]-	C17H14F3N4O4-	Alkaloids	0.886	Pseudoalkaloids (transamidation)	0.555	Purine alkaloids	0.433	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.646	Purines and purine derivatives	0.797	Xanthines	0.928	Xanthines	0.928	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alkyl aryl ethers; Lactams; Purines and purine derivatives; Xanthines; Ethers; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Purinones; Alkyl fluorides; Diazines; 6-oxopurines; Organofluorides; Imidazopyrimidines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Alkyl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	395.096	73	1.217	832639062952822825	832638641236515486	832638641236515485	2642	
1	C7H10N4O2	[M - H]-	C7H9N4O2-	Alkaloids	0.932	Histidine alkaloids	0.855	Imidazole alkaloids	0.855	Organoheterocyclic compounds	0.997	Azoles	0.806	Imidazoles	0.538			Imidazoles	0.538	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organonitrogen compounds; Azoles; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	181.072	73	1.221	832639041599620853	832638577994789167	832638577994789166	534	
