name	Anna_info	formulaId	alignedFeatureId	compoundId	mappingFeatureId
Caffeic Acid	Phenylpropanoid pw	832658112588438003	832638577277563058	832638577277563057	509
Danshensu	phenolic metabolism	832653717289142099	832638582411392109	832638582411392108	700
Danshensu	phenolic metabolism	832655165032870464	832638582528832641	832638582528832640	704
Embelin	defense-related?	832670852464170050	832638609183639404	832638609183639403	1667
Esculetin	Flavonoids/pp derivatives	832647057317308675	832638576698749036	832638576698749035	495
Esculetin	Flavonoids/pp derivatives	832647129610338852	832638576669388903	832638576669388902	494
Ferulic Acid	Phenylpropanoid pw	832659460860094917	832638581488645049	832638581488645048	664
Gibberellin A111	plant hormones	832662848423331253	832638631052743751	832638631052743750	2320
Gibberellin A72	plant hormones	832659398952163749	832638634982807234	832638634982807233	2447
Gibberellin F-I	plant hormones	832658802404664513	832638660727448875	832638660727448874	3176
Gingerol	defense-related?	832668081509735249	832638609150084967	832638609150084966	1666
M-Coumaric Acid	Phenylpropanoid pw	832652653336811161	832638573112618501	832638573112618500	372
M-Coumaric Acid	Phenylpropanoid pw	832655944170993246	832638573162950159	832638573162950158	374
P-Coumaraldehyde	Phenylpropanoid pw	832656367128807092	832638568956062542	832638568956062541	233
P-Coumaraldehyde	Phenylpropanoid pw	832658870910236378	832638568930896713	832638568930896712	232
Pinoresinol	Flavonoids/pp derivatives > cell wall & defense (rather pp derivative	832661229761693475	832638633669989872	832638633669989871	2405
Saponarin	Flavonoids/pp derivatives	832653502259755499	832638664519100265	832638664519100264	3287
Wiedelactone	defense-related?	832670151101000073	832638617488362612	832638617488362611	1922
