formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C17H26N5O15P3	[M - H]-	C17H25N5O15P3-	Carbohydrates	0,981	Nucleosides	0,899	Purine nucleotides	0,966	Nucleosides, nucleotides, and analogues	0,997	(5'->5')-dinucleotides	0,766					(5'->5')-dinucleotides	0,766	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Pyridines and derivatives; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Organic oxoanionic compounds; Aminopyrimidines and derivatives; Nicotinamide nucleotides; Purine nucleotide sugars; Pyridine nucleotides; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Diazines; Pentoses; Purine nucleotides; Monosaccharides; Monosaccharide phosphates; Purine ribonucleotides; Purine ribonucleoside monophosphates; Purine ribonucleoside diphosphates; Secondary alcohols; Pyridinium derivatives; Imidazopyrimidines; Organic pyrophosphates; Glycosyl compounds; Glycosylamines; Nicotinamides; Pentose phosphates; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Alkyl phosphates; Monoalkyl phosphates; (5'->5')-dinucleotides; Imidolactams; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	632,059	60	1,004	694879183608805624	694877464611054825	3338	
1	C23H20N6O7S3	[M - H]-	C23H19N6O7S3-	Amino acids and Peptides	0,741	β-lactams	0,236	Cephalosporins	0,166	Organic acids and derivatives	0,993	Carboxylic acids and derivatives	0,910	Amino acids, peptides, and analogues	0,530	Amino acids and derivatives	0,528	Amino acids and derivatives	0,528	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Nitrobenzenes; Alkyl aryl ethers; Anisoles; Lactams; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Organic nitro compounds; Thioethers; Organic oxoazanium compounds; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	587,048	61	1,016	694879292660722462	694877462396462003	3276	
1	C30H22Cl2N6O12	[M - H]-	C30H21Cl2N6O12-	Alkaloids	0,543	Coumarins	0,079	Pyridine alkaloids	0,078	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,894	Glycosyl compounds	0,756	Glycosyl compounds	0,756	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Nitrobenzenes; Pyridines and derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Organic nitro compounds; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Organic oxoazanium compounds; Organochlorides; Monosaccharides; Acetals; Secondary alcohols; Glycosyl compounds; Nicotinamides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	727,061	61	1,018	694879239321752168	694877466838230619	3412	
1	C22H14N6O14	[M - H]-	C22H13N6O14-	Alkaloids	0,594	Nucleosides	0,443	Purine nucleosides	0,119	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,918	Glycosyl compounds	0,773	Glycosylamines	0,849	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Nitrobenzenes; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Phenols; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic nitro compounds; Diazines; Pentoses; Organic oxoazanium compounds; Monosaccharides; Secondary alcohols; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Vinylogous amides; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	585,049	61	1,019	694879227430899413	694877462241272735	3272	
1	C28H20O17	[M - H]-	C28H19O17-	Shikimates and Phenylpropanoids	0,999	Flavonoids	0,843	Flavonols	0,327	Phenylpropanoids and polyketides	0,994	Flavonoids	0,892	Flavonoid glycosides	0,809	Flavonoid O-glycosides	0,828	Flavonoid O-glycosides	0,828	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Carboxylic acid esters; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	627,060	61	1,021	694879222645197807	694877464292287676	3329	
1	C24H22O20	[M - H]-	C24H21O20-	Shikimates and Phenylpropanoids	0,999	Flavonoids	0,976	Flavonols	0,897	Phenylpropanoids and polyketides	0,997	Flavonoids	0,979	Flavonoid glycosides	0,965	Flavonoid O-glycosides	0,971	Flavonoid-3-O-glycosides	0,782	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Carboxylic acids; Benzenediols; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Flavonoid-8-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	629,059	61	1,021	694879189896068749	694877464502002906	3335	
1	C12H22O17S2	[M - H]-	C12H21O17S2-	Carbohydrates	0,276	Saccharides	0,475	Monosaccharides	0,114	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,974	Monosaccharides	0,929	Hexoses	0,601	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Sugar acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Monocarboxylic acids and derivatives; Sulfuric acid monoesters; Thioacetals; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Monothioacetals; Thioglycosides; Polyols; Sulfenyl compounds; Sulfuric acid esters; Alkyl sulfates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	501,026	61	1,021	694879183889824081	694877455572328551	3109	
1	C26H17ClN4O14	[M - H]-	C26H16ClN4O14-	Carbohydrates	0,551	Nucleosides	0,180	Simple coumarins	0,101	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Ethers	0,796	Diarylethers	0,851	Diarylethers	0,851	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Nitrobenzenes; Pyrimidines and pyrimidine derivatives; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Phenoxyacetic acid derivatives; Aryl chlorides; Carboxylic acid derivatives; Organic nitro compounds; Carboxylic acid esters; Diazines; Benzoic acid esters; Organic oxoazanium compounds; Organochlorides; Monosaccharides; Glycosylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Diarylethers; Aryl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	643,038	61	1,023	694879203544335758	694877465215034701	3358	
1	C11H12N4O6S2	[M - H]-	C11H11N4O6S2-	Amino acids and Peptides	0,764	β-lactams	0,051	Imidazole alkaloids	0,038	Organosulfur compounds	0,973	Thioethers	0,900	Aryl thioethers	0,821	Alkylarylthioethers	0,834	Alkylarylthioethers	0,834	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Alkylarylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	359,015	61	1,024	694879212234934296	694877426635821730	2411	
1	C26H14O10	[M - H]-	C26H13O10-	Shikimates and Phenylpropanoids	0,951	Terphenyls	0,282	p-Terphenyls	0,290	Phenylpropanoids and polyketides	0,891	Coumarins and derivatives	0,672					Coumarins and derivatives	0,672	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Phenols; Coumarins and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Benzenoids; 1-benzopyrans; 2-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	485,049	61	1,024	694879185278139154	694877453697474388	3054	
