structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	-Infinity	-Infinity	-392.796	0.854	0.496	15.728	C30H22Cl2N6O12	[M - H]-	C30H21Cl2N6O12-	IKYJRKWNYMEKNT	InChI=1S/C30H22Cl2N6O12/c1-11(39)23(37-35-17-7-3-5-13(27(43)44)21(17)29(47)48)25(41)33-19-9-16(32)20(10-15(19)31)34-26(42)24(12(2)40)38-36-18-8-4-6-14(28(45)46)22(18)30(49)50/h3-10,23-24H,1-2H3,(H,33,41)(H,34,42)(H,43,44)(H,45,46)(H,47,48)(H,49,50)	3,3'-[(2,5-Dichloro-1,4-phenylene)bis[imino(1-acetyl-2-oxoethane-1,2-diyl)azo]]bisphthalic acid	CC(=O)C(C(=O)NC1=CC(=C(C=C1Cl)NC(=O)C(C(=O)C)N=NC2=CC=CC(=C2C(=O)O)C(=O)O)Cl)N=NC3=CC=CC(=C3C(=O)O)C(=O)O	4.500	93702	PUBCHEM:(93702);DSSTox:(DTXSID50886230)	137438953474	727.062	61	1.009	857738374399961379	857737021166482761	857737021166482760	3407	
1	1	0.275	0.292	-227.702	1.000	0.998	22.774	C23H18N6O9S2	[M - H]-	C23H17N6O9S2-	ZRJBXWLHTJDUKO	InChI=1S/C23H18N6O9S2/c1-2-7-38-27-16(14-9-40-23(25-14)24-11-30)19(32)26-17-20(33)28-18(15(31)10-39-21(17)28)22(34)37-8-12-3-5-13(6-4-12)29(35)36/h1,3-6,9,11,17,21,31H,7-8,10H2,(H,26,32)(H,24,25,30)	4-Nitrobenzyl 7-[2-(2-formamidothiazol-4-yl)-2-propargyloxyiminoacetamido]-3-hydroxy-3-cephem-4-carboxylate	C#CCON=C(C1=CSC(=N1)NC=O)C(=O)NC2C3N(C2=O)C(=C(CS3)O)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-]	2.100	131713057;88607867;88607869	PUBCHEM:(131713057 88607867 88607869)	2	585.049	61	1.011	857738046359245490	857737016712131233	857737016712131232	3271	
1	2	-Infinity	-Infinity	-291.486	0.471	0.005	8.196	C30H22N4O6S3	[M - H]-	C30H21N4O6S3-	BGZAPUVJLSBCOQ	InChI=1S/C30H22N4O6S3/c35-27(17-41-29-33-23-5-1-3-7-25(23)39-29)31-19-9-13-21(14-10-19)43(37,38)22-15-11-20(12-16-22)32-28(36)18-42-30-34-24-6-2-4-8-26(24)40-30/h1-16H,17-18H2,(H,31,35)(H,32,36)	2-(1,3-benzoxazol-2-ylsulfanyl)-N-[4-[4-[[2-(1,3-benzoxazol-2-ylsulfanyl)acetyl]amino]phenyl]sulfonylphenyl]acetamide	C1=CC=C2C(=C1)N=C(O2)SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=C(C=C4)NC(=O)CSC5=NC6=CC=CC=C6O5	5.900	4159795	PUBCHEM:(4159795)	2	629.059	62	1.037	857737785314149537	857737018930918364	857737018930918363	3334	
1	1	0.076	0.076	-305.387	1.000	0.929	25.099	C11H12N4O7S	[M - H]-	C11H11N4O7S-	WTFQNOWTBNPJRP	InChI=1S/C11H12N4O7S/c16-11(12-7-3-4-23(21,22)6-7)13-9-2-1-8(14(17)18)5-10(9)15(19)20/h1-2,5,7H,3-4,6H2,(H2,12,13,16)	1-(2,4-Dinitrophenyl)-3-(1,1-dioxothiolan-3-yl)urea	C1CS(=O)(=O)CC1NC(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]	0.700	3612884	PUBCHEM:(3612884)	2	343.037	62	1.037	857737853379316388	857736981207342790	857736981207342789	2266	
1	3	0.067	0.067	-123.553	0.251	0.258	71.314	C9H10ClNO4S2	[M - H]-	C9H9ClNO4S2-	GHKBWBLNSMCEOZ	InChI=1S/C9H10ClNO4S2/c1-17(14,15)6-5-16-8-4-2-3-7(10)9(8)11(12)13/h2-4H,5-6H2,1H3	1-Chloro-3-(2-methylsulfonylethylsulfanyl)-2-nitrobenzene	CS(=O)(=O)CCSC1=C(C(=CC=C1)Cl)[N+](=O)[O-]	2.300	104839265	PUBCHEM:(104839265)	2	293.967	62	1.038	857737864884292767	857736961728992073	857736961728992072	1683	
1	1	-Infinity	-Infinity	-393.220	1.000	0.611	21.561	C19H14N6O6S3	[M - H]-	C19H13N6O6S3-	AITJBXIWPVRIMP	InChI=1S/C19H14N6O6S3/c1-34(29,30)14(16-25-24-13(31-16)5-12-15(26)23-19(28)33-12)17-22-10-3-2-8(4-11(10)32-17)9-6-20-18(27)21-7-9/h2-4,6-7,14,26H,5H2,1H3,(H,23,28)(H,20,21,27)	4-hydroxy-5-[[5-[methylsulfonyl-[6-(2-oxo-1H-pyrimidin-5-yl)-1,3-benzothiazol-2-yl]methyl]-1,3,4-oxadiazol-2-yl]methyl]-3H-1,3-thiazol-2-one	CS(=O)(=O)C(C1=NN=C(O1)CC2=C(NC(=O)S2)O)C3=NC4=C(S3)C=C(C=C4)C5=CNC(=O)N=C5	0.300	123157447	PUBCHEM:(123157447)	2	517.003	65	1.079	857737773196804164	857737012408774700	857737012408774699	3148	
1	1	0.063	0.063	-198.082	1.000	0.901	46.878	C11H12N4O6S2	[M - H]-	C11H11N4O6S2-	ULOFBPJJSYOCSP	InChI=1S/C11H12N4O6S2/c1-2-21-8(16)3-6-5-22-11(13-6)15-23(19,20)7-4-12-10(18)14-9(7)17/h4-5H,2-3H2,1H3,(H,13,15)(H2,12,14,17,18)	Ethyl 2-(2-(2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-sulfonamido)thiazol-4-yl)acetate	CCOC(=O)CC1=CSC(=N1)NS(=O)(=O)C2=CNC(=O)NC2=O	-0.700	16874821	PUBCHEM:(16874821)	2	359.014	65	1.080	857737778938806723	857736986152427936	857736986152427935	2412	
1	2	0.009	0.009	-110.658	0.021	0.001	59.527	C6H7N2O5P	[M - H]-	C6H6N2O5P-	DJGIFHJAWDEPNS	InChI=1S/C6H7N2O5P/c9-8(10)6-3-1-5(2-4-6)7-14(11,12)13/h1-4H,(H3,7,11,12,13)	N-(4-Nitrophenyl)phosphoramidic acid	C1=CC(=CC=C1NP(=O)(O)O)[N+](=O)[O-]	0.100	154058817;71372484	PUBCHEM:(154058817 71372484);DSSTox:(DTXSID90795357)	137438953474	217.003	65	1.080	857737770248208217	857736940048630894	857736940048630893	928	
1	2	0.244	0.244	-212.759	0.021	0.021	53.185	C17H15F3N4O4	[M - H]-	C17H14F3N4O4-	GSNQKHGTMLZKEN	InChI=1S/C17H15F3N4O4/c1-22-14-13(15(26)23(2)16(22)27)24(9-21-14)7-12(25)28-8-10-4-3-5-11(6-10)17(18,19)20/h3-6,9H,7-8H2,1-2H3	[3-(Trifluoromethyl)phenyl]methyl 2-(1,3-dimethyl-2,6-dioxopurin-7-yl)acetate	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)OCC3=CC(=CC=C3)C(F)(F)F	2.413	3584362	PUBCHEM:(3584362)	2	395.096	73	1.217	857738100356716503	857736993672816171	857736993672816170	2642	
1	1	-Infinity	-Infinity	-45.594	1.000	0.968	20.264	C6H13ClO6	[M - H]-	C6H12ClO6-	WWCMKOONCCZFPC	InChI=1S/C6H13ClO6/c7-6(13)5(12)4(11)3(10)2(9)1-8/h2-6,8-13H,1H2	(2R,3S,4R,5R)-1-chlorohexane-1,2,3,4,5,6-hexol	C(C(C(C(C(C(O)Cl)O)O)O)O)O	-2.083	118497193;129647851;129705377;54452793	PUBCHEM:(118497193 129647851 129705377 54452793)	2	215.033	73	1.220	857738047986635643	857736939176215507	857736939176215506	897	
