Feature,Sample1,Sample2,Sample3,Sample5,Sample6,Sample7,Sample8,Sample9,Sample11,Sample12,Sample13,Sample14,Sample15,Sample17,Sample18,Sample19,Sample20,Sample21,Sample23,Sample24,Sample25,Sample26,Sample27,Sample29,Sample30,Sample49,Sample50,Sample51,Sample52,Sample54
Feature16,50476.805,35910.316,47877.414,43395.656,40384.3,55466.383,49455.703,39542.887,49596.83,38786.965,40638.395,42593.42,39716.74,45055.258,45228.305,48590.113,46740.71,39631.797,40864.69,48540.125,33757.62,33790.55,33104.082,37860.41,41666.8,25888.012,27292.639,26290.328,22383.459,26410.525
Feature17,0,0,0,0,8658.37,0,0,0,0,12928.312,5720.7085,12239.485,5991.227,0,6671.7383,0,0,0,6753.6343,6180.0645,0,5233.375,5101.2417,6031.269,9695.075,0,0,0,0,0
Feature65,2943.2388,2393.4666,1647.2365,2072.8333,0,0,0,0,0,0,1657.7563,1180.9934,1806.3818,1997.6368,2043.7136,12055.038,11623.443,12364.601,11303.483,10041.312,3125.138,2628.4812,6306.6797,7969.124,5072.099,0,0,0,0,0
Feature76,2338.5886,1076.002,6396.3906,1704.091,3350.622,3038.5642,1017.37714,2777.5886,4125.531,606.5049,840.86176,988.1865,933.3257,1332.7848,819.7884,829.07666,956.8912,594.10565,781.6544,0,1591.1466,906.46204,997.44293,1299.4385,627.6424,0,0,0,0,0
Feature77,1900.4388,2012.5945,2241.9358,2165.5916,765.2537,1854.381,0,1251.578,2823.0154,0,1111.1763,1023.6536,1150.4261,975.4944,0,1878.2836,2040.5374,1150.6426,4171.174,2141.5745,5986.635,0,0,0,0,0,0,0,0,0
Feature79,19403.123,14411.188,14525.56,20446.055,5634.0635,4221.077,2484.1873,2830.3406,3429.0818,2147.817,6955.8633,4477.7876,5812.6807,6930.269,4820.847,2468.9668,3484.1526,2167.8105,2721.2007,2313.3606,5330.8105,6221.22,7741.3984,9510.042,9676.201,0,0,0,0,0
Feature80,0,0,0,4031.3625,0,0,0,0,0,0,3092.8442,0,3646.141,2958.2644,4587.998,0,0,0,0,0,3072.429,6130.027,2789.1748,3451.214,4002.6267,0,0,0,0,0
Feature84,10007.662,8920.439,11741.284,10458.467,11158.263,9157.141,6940.9224,8693.091,9238.116,7906.5527,8609.514,6944.919,9884.207,11023.241,12783.879,7560.002,10010.374,10881.021,11287.234,15229.221,15102.158,15044.697,13662.528,16045.509,17148.604,6300.0854,11862.632,12488.518,6391.3354,12768.217
Feature96,11562.386,3712.9395,4178.2197,9101.289,4452.009,4102.7886,6888.1333,7863.3975,7773.446,3875.359,10430.916,8791.495,11799.477,11431.817,5115.009,11094.164,7295.9497,15827.631,8308.374,6309.32,12023.8545,10175.103,12002.365,11472.55,11143.108,5820.047,4296.919,2743.7168,3293.716,3233.8704
Feature100,83696.47,71850.1,73695.5,84991.14,29837.03,47609.145,21895.314,44607.855,33579.582,26042.238,46882.625,35671.938,46780.992,45884.688,38627.082,62569.848,45444.613,54922.484,42315.684,36962.812,41470.85,45279.21,38206.36,58277.605,41074.47,0,0,0,0,0
Feature101,86697.83,0,64550.203,77166.83,22151.525,33903.92,13384.604,0,29586.807,15010.652,33446.527,25538.291,0,40735.473,32388.959,50860.082,30589.928,42192.73,24899.387,23927.482,30375.604,0,23453.047,37506.824,28538.793,0,0,0,0,0
Feature114,22399.566,37774.4,0,30693.984,0,5542.489,0,4388.969,3315.783,3188.6343,17230.742,13640.152,10760.705,0,11415.896,6932.422,3375.971,7389.049,3019.7969,0,0,0,1267.2031,0,0,0,0,0,0,0
Feature115,0,0,20260.025,0,4393.2363,0,827.53406,0,0,0,0,0,0,9918.821,0,0,0,0,0,1039.7694,0,13636.335,0,7465.364,0,0,0,0,0,0
Feature116,3353.7583,2928.1025,3306.2263,3608.635,3007.6694,0,0,2249.9177,2587.2717,3058.8723,3817.5833,2890.0176,4551.1924,4585.3257,5398.135,5373.16,6465.754,6285.346,5493.2285,8030.5825,10677.003,7109.363,4432.242,4952.5005,12588.832,2218.8953,1536.96,2421.6975,1371.5054,1131.1527
Feature119,10893.907,8450.048,28374.166,17923.982,55698.09,90112.984,73590.19,70219.68,74801.11,65140.098,0,44012.258,10112.665,12282.036,18910.178,0,0,0,4765.0977,0,18848.898,0,7676.302,12590.51,0,0,0,0,0,0
Feature125,0,0,0,0,5529.658,0,7012.0537,0,0,8611.701,9794.383,5086.538,0,12323.621,19049.375,3084.2205,873.8873,957.26526,1767.6763,876.6123,1002.3684,684.28754,7643.417,0,778.5517,0,0,0,0,0
Feature126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15644.904,2103.9517,2970.1704,8769.641,2770.346,0,2928.65,60750.047,0,3325.0874,0,0,0,0,0
Feature127,150523.77,141674.81,153810.23,141489.3,52320.64,113388.1,64718.56,65802.87,101554.7,76370.39,93248.27,56489.37,60503.363,104130.79,142083.69,0,0,0,0,0,2597.6606,0,0,51474.797,0,0,0,0,0,0
Feature128,14999.193,5791.2847,40201.19,12438.207,14032.343,14108.756,8787.226,13692.415,20635.58,3708.7075,5396.5654,7483.4497,6763.385,14225.638,7389.497,7119.873,7304.8643,5363.259,5448.736,2113.495,9141.5,6013.892,6310.568,5015.999,6443.468,0,0,0,0,0
Feature131,11743.662,10795.148,9846.915,11985.428,2761.8232,5115.3945,2185.4272,4051.4163,5271.215,1777.6532,4522.159,4101.374,3849.1448,10249.511,9724.576,6288.13,8419.752,5340.591,4926.891,917.9376,0,0,6008.939,8844.216,476.02652,0,0,0,0,0
Feature134,4351.6304,8005.8486,6585.762,4514.33,2761.9946,1915.8778,891.271,891.716,1043.2693,938.62823,2121.9495,1576.9954,1346.8097,1728.4592,2491.8743,479.80783,1640.7671,625.64703,948.4297,623.517,1393.4104,2415.6223,5032.3843,3536.8198,2599.8562,0,0,0,0,0
Feature135,2382.3018,0,3962.1848,7962.247,1238.9541,3436.9783,3120.9766,0,16841.178,2147.9587,1142.0446,0,628.2795,639.54224,1624.7037,0,2399.5486,0,867.7095,0,0,0,0,0,0,0,0,0,0,0
Feature138,14150.385,11087.813,0,14600.789,0,6643.0728,0,4164.5034,6883.166,2885.7483,6891.7847,5102.669,5533.3564,0,5132.175,3767.6675,4568.561,3205.573,4480.331,0,2576.727,0,4104.4204,0,0,0,0,0,0,0
Feature139,7893.4717,5401.3613,7916.8374,8420.753,1992.433,3057.1682,1813.5259,2321.512,3734.7808,1651.6827,5629.463,3496.0454,5066.1533,7133.5537,4973.7666,1677.9553,2061.1182,1609.4854,2195.3499,2291.4368,1230.9528,3326.9016,4352.43,5961.9507,623.8358,0,0,0,0,0
