Feature,symrk_p_adj,ccamk_p_adj,nsp1_p_adj,nsp2_p_adj
Feature75,0.870424716015334,0.898561210517818,0.195252695417588,0.915721275958605
Feature163,0.740562681183379,0.255243258220936,0.749539148470749,0.305071872743157
Feature169,0.355718978428301,0.691028925039495,0.297131009734977,0.30741088831373
Feature215,0.252972065739192,1,0.0600396599015852,0.070068324197045
Feature232,1,0.893494958092015,0.766820978623169,0.935611612042838
Feature250,0.479965303204742,0.00444132492083848,0.019128171140685,0.00342336396461415
Feature264,0.838978943242869,0.686646056163105,0.0518558794932756,0.0966270133658888
Feature265,1,0.0482529437887544,0.720490468264916,0.00571329787836199
Feature273,0.160643747039084,0.448266008594918,0.323662306585023,0.495372377546353
Feature281,0.449689529910859,0.00945210857514583,0.0334904881992502,0.160215304769477
Feature282,0.245232015962601,0.00129284641337975,0.0010129518293704,0.00445649280865115
Feature287,0.255737306427878,0.62073652998735,0.809987881848272,0.801309906517865
Feature288,0.323268171121772,0.62073652998735,0.636607972131844,0.561519332668422
Feature333,0.260566680957332,0.525824272049541,0.223759786084833,0.435074402086809
Feature336,0.906474791431404,0.73429617218802,0.0672209621088838,0.052685900244672
Feature352,0.81628518579249,0.00196649587699493,0.00154745130899724,0.00139843748321409
Feature358,0.740180253995286,0.886617851927731,0.879866012414938,0.19239607872721
Feature359,0.344209885629787,0.0183984931326875,0.0960978019939671,0.157333842211554
Feature374,0.20280472418767,0.371118876750213,0.56493290235689,0.476070720926275
Feature384,0.835906276561423,1,0.456617138431288,0.218265678704055
Feature397,0.526412127464659,0.493106042413219,0.720490468264916,0.944663644762265
Feature400,0.81628518579249,0.446468188627869,0.0609435587272758,0.112513010166815
Feature406,0.408930296777871,1.53688437914967e-05,1.31732836472498e-05,7.61814964377925e-05
Feature410,0.613378960980151,0.149123934557062,0.0598518652860029,0.645430188598097
Feature414,0.506844153634314,0.64339946888138,0.521423073816626,0.836109907995151
Feature428,1,0.268821657586239,0.242381734408685,0.284424687964552
Feature441,0.673468806689491,1,0.190414210733596,0.473218384026835
Feature453,0.112715789929405,0.499866693697245,0.835933699882447,0.349041729165204
Feature454,0.112715789929405,0.39087184958634,0.895027823981669,0.43452660655386
Feature455,0.829666979248467,0.0188720565500559,0.0165522461685275,0.0152829000661621
Feature472,0.612779336578931,0.347814432440194,0.331282150485561,0.176556649410214
Feature481,0.426716722039645,1,0.358453903250217,0.0172898682467201
Feature483,1,0.38617018729137,0.499222476971864,0.0269807934766949
Feature488,0.112715789929405,0.000722352705010849,0.000456801865628608,0.000442884705630262
Feature494,0.645102059984748,0.035369436678487,0.0320089205533176,0.214252044042018
Feature497,0.334306612738712,0.0437092321634746,0.0156633019748579,0.321486948564287
Feature507,0.45211667648218,0.832127537578388,0.787570168700477,0.246125628130434
Feature513,0.597944419900596,0.993544336593064,0.119821314348966,0.128034274514488
Feature514,1,0.0591560836705979,0.0044230233617358,0.455674444597307
Feature515,0.740861119743211,0.0398619282514047,0.216477330998449,0.390888039402289
Feature516,0.949326140711297,0.340471092299767,0.138986708843714,0.0289658948029534
Feature519,0.130619278887411,0.000685521757382007,0.000429374671615163,0.000403248434112187
Feature524,0.564162226745889,0.548126855507992,0.70047518005088,0.142329540899515
Feature525,0.7458075616462,0.0640561923574103,0.563262391888486,0.0674464820170851
Feature531,0.667924240259197,0.0378784040792019,0.0340531488875345,0.0340723448848118
Feature533,1,0.485491110396168,0.588794837634994,0.112347960871382
Feature534,0.849981783002865,0.000903779306058986,0.00287333251663054,0.0120347342925468
Feature536,0.167938906467556,0.243132957749852,0.185367189631715,0.809278311636976
Feature537,0.478360645567785,0.0183984931326875,0.0901646115146439,0.174349786023197
Feature539,0.0238419690604693,0.0324263313690144,0.738838151227107,0.397290036348306
Feature551,0.856192872640268,0.0111182402491408,0.0974694532756314,0.863251547265281
Feature567,0.880191811683455,0.124649417113004,0.301206421547068,0.20753503169729
Feature573,1,0.0208677980575044,0.0845041631810114,0.542158597606654
Feature587,0.923519413568708,0.274954643756597,0.0664308419079865,0.021205887538798
Feature588,1,0.101526850321062,0.603268313717119,0.928866258491671
Feature591,0.229793889737387,0.443854637504827,0.767746111635432,0.912486243948238
Feature612,1,0.00138141540118426,0.00630545152571968,0.0125730989540313
Feature625,0.769445484882926,0.0348456215342976,0.0786736675353819,0.284424687964552
Feature630,0.684102442260479,0.398377567078006,0.0822875803275825,0.133152690165718
Feature631,0.57199207952049,0.0321671063507417,0.122073867595903,0.88624809458117
Feature632,1,0.0747522997603986,0.877394915934411,0.70786975970304
Feature635,1,0.196273251972346,0.231685412062542,0.635653091924929
Feature647,0.493648658557909,0.529817318751109,0.0724093812981123,0.305391114179764
Feature650,0.905607848558308,0.548126855507992,0.601341993111145,0.140980095836339
Feature655,0.155880165378978,0.0140701326813755,0.0122854961816985,0.0113133864451467
Feature656,0.174237820743936,0.362923491545729,0.768467025844206,0.495372377546353
Feature665,0.897771271539364,0.000722352705010849,0.000456801865628608,0.0109014604621979
Feature666,0.530428008177843,0.0274678744873563,0.027562170388389,0.108047783968178
Feature668,0.334306612738712,0.140649787902515,0.0206762711636043,0.137034428906031
Feature669,0.323268171121772,0.0366473580212092,0.0162803495131665,0.0951632945930939
Feature677,0.897602317354677,0.129916761174555,0.115524680193533,0.123277059951386
