Feature,symrk_p_adj,ccamk_p_adj,nsp1_p_adj,nsp2_p_adj
Feature16,0.729057194754646,1,1,0.0287399980261134
Feature17,0.904741437282028,0.264550124346564,0.800989907200773,0.272580058917936
Feature65,0.000613871388633828,0.786628392709324,4.11084148055352e-07,0.00152229491574596
Feature76,0.544949737183402,0.032579432268322,0.00118701801200966,0.0239536520462535
Feature77,0.499407073709287,0.316912608632756,0.762845616046184,0.102177426096686
Feature79,8.84852146665338e-07,0.00139955401736962,9.54067754429152e-08,0.0104270757685828
Feature80,0.286514382967571,0.225011970463392,0.209501515446546,0.038044913127555
Feature84,0.108717428763918,0.614500896009026,0.854949428798094,0.00421241582723787
Feature96,1,0.146256058246389,0.0778019741243408,0.0139161381088191
Feature100,0.00267948587232037,0.064344652277828,0.120635629322452,0.0536058407211421
Feature101,0.131611693041962,0.413653155060293,0.754751116527117,0.235572136284167
Feature114,0.518373314151562,0.9746656069011,0.551757548703288,0.0144448140936311
Feature115,0.455676561049743,0.629862359532899,0.384875868899164,1
Feature116,0.0922694136103702,0.303071481937645,0.00153916048694497,0.000438664117584462
Feature119,0.0225168667564269,0.509512676908079,0.000443290751301519,0.0504386347004577
Feature125,0.498326530114874,0.0459501516004586,0.248195579477877,0.331515868554558
Feature126,1,1,0.00912609682637569,0.0276437876674142
Feature127,0.678752566598651,0.711308461261798,6.82322491840637e-08,2.60262307936188e-05
Feature128,0.499407073709287,0.152620576797437,0.00497011212840474,0.0307712169629863
Feature131,0.256114487881204,0.693876930722196,0.322958059741338,0.00684395044292762
Feature134,1.75005336413308e-05,0.00383801448188924,4.90599497214218e-07,0.0390128733411498
Feature135,1,0.342577874554883,0.120635629322452,0.00480876114986151
Feature138,0.550448020861895,0.684956840417167,0.30664450226731,0.0419083447282888
Feature139,0.0418043081319551,0.872124216465175,0.00635407244284828,0.0227887992652263
Feature141,1,0.326180073753732,0.626833530427172,0.407395717022547
Feature142,0.00582009860610179,0.292289736171316,4.51235733192057e-06,0.0034509249772086
Feature146,0.864952657568059,0.0499288420033878,0.0233859531985141,0.0257829275991799
Feature148,0.64023480185892,0.072445495482583,0.0397711454346953,0.040566565003664
Feature149,0.19971255937155,0.27091041452664,0.027290151087795,0.0289622016483803
Feature153,0.000432237171507397,1,0.284105727299173,1
Feature154,0.651346217222857,0.993441408620616,0.864821514506961,0.505414213015575
Feature159,0.813766246475844,0.5605942144521,0.352966765484916,0.157925270363244
Feature160,0.232099042576356,0.0756361712899147,0.000936723837737591,0.0250875637772551
Feature161,0.383205559637765,0.271932170846748,0.201735714056435,0.177033387335875
Feature163,0.972329890034323,0.728924418045506,0.363547972773154,0.224492608027
Feature168,0.436193787561921,0.483377193789482,0.687009960206901,0.187792569057641
Feature174,1.05274570526781e-05,0.00484865491729782,0.493343058467306,0.000250968524908697
Feature176,0.00161954748645054,0.660762913878352,0.0189735948471471,0.0146544445440364
Feature177,0.0137039080239027,0.246306747567464,0.602089252075981,0.298220303146834
Feature178,1,1,0.0900342644150534,0.365693706918072
Feature180,0.890271080886645,1,0.2926604065568,0.52576984818512
Feature185,0.00159903515254052,0.118212295598196,0.0667955442726367,0.00111422828169539
Feature186,0.00940285263648668,0.0665851146049118,0.206044683614784,0.00164091845332045
Feature187,0.0250563800134158,0.935490230556638,0.287043878518536,0.96993956641722
Feature188,0.00334258646238343,0.149116245718835,0.268523579053619,0.159022306845943
Feature194,0.776979607725795,0.0405481469452239,0.010251284771751,0.149329842762784
Feature195,0.606438540605946,0.00947378409073741,0.000131445822270492,0.00684395044292762
Feature197,1,0.0728463665803801,0.0401010922448952,0.0407650040753211
Feature200,0.400907383590774,0.26488171057666,0.397103136179012,0.373036843355353
Feature201,0.813766246475844,0.827891209781198,0.946778738133276,0.670959808602966
Feature203,0.426011978116317,0.552615742425538,0.741189006675969,0.0428201969149183
Feature205,0.788721819159946,0.0176807985862176,0.0810134520358627,0.040566565003664
Feature207,0.209286646804124,1,0.00282769223695512,0.0669763981819898
Feature209,0.237190425733139,0.527981796134137,0.000439723263087602,0.314588041980439
Feature210,0.00152644024653386,0.0575755323547609,0.000776199392757842,0.00823446844187664
Feature212,0.00248073833159979,0.306146711223667,5.16641179980662e-06,0.0151636257361278
Feature213,1,0.40382354856691,0.116553038674588,1
Feature214,0.359539566018122,0.405608640125249,0.0142145322516726,0.00886016090132612
Feature215,0.0700545921219699,0.326180073753732,0.0278409307520807,0.00349086595355068
Feature218,0.790425151561289,1,9.84800282924077e-05,0.0247731817597769
Feature220,0.23655678986588,0.956588809249266,0.15940567344733,0.158936495466701
Feature224,0.646379279231618,0.170872932335041,0.304339394023965,1
Feature231,1,0.2740498978159,0.706972010706704,0.355278709030258
Feature233,0.433071979827661,0.0264809221859546,0.00388328294327001,0.0590571005892109
Feature236,0.448570262737432,0.605520991925333,0.628663039949521,0.261767339665692
Feature239,0.478917617605905,0.986105343266609,0.0847128729305211,0.346774684021626
Feature243,0.814620707387841,0.447679217272821,0.710386019609008,0.462110147756693
Feature244,0.795555881963006,0.332681196957377,0.392090458360625,0.199331487872291
Feature248,0.00100126786542482,0.897650998805527,0.00048327921268416,0.016877620220914
Feature250,0.000654150715058939,0.142309024078248,0.710386019609008,0.000489409251345189
Feature253,0.252355784039374,0.496672287770855,0.101967262223792,0.353296240025086
Feature257,0.602752157370987,0.0176807985862176,0.264650302956811,0.00877571751878941
Feature262,1,0.0176807985862176,0.000716199324825417,0.0106833532479396
Feature263,0.00406597851422278,0.6850596628271,0.058625457413322,0.0317439347030466
Feature264,0.486663491916048,0.142309024078248,0.0132287256393593,0.0542734657838375
Feature268,0.113589861588597,0.454858607328667,0.00011191145957886,0.00872356965913051
Feature269,1,0.0176807985862176,0.000659063796907975,0.0110402631407218
Feature270,0.581575658900776,0.790868974334394,0.687009960206901,0.331515868554558
Feature271,0.486663491916048,0.0589129575759806,0.000926884829929881,0.0326928947634666
Feature272,0.599019217505602,0.0575755323547609,0.00154063206266204,0.0427357120634638
Feature273,0.577618148972052,0.0111370867342354,0.111538144412541,0.017598839362891
Feature274,0.773097904840035,0.398717749986415,0.000861933085893527,0.38146844013096
Feature275,0.229451919995367,0.752495602176048,1,0.677694990720235
Feature276,0.000556777424668583,0.000449085579327857,5.53945120457097e-06,0.000173041152969677
Feature278,0.916514292991484,0.316906773626195,0.0422927957463952,0.00135668275348169
Feature279,0.818377111863481,0.762233603672893,0.824131780809412,0.205612126197746
Feature280,0.499407073709287,0.029033584828845,0.000452609012225828,0.00804033433179499
Feature281,0.00448536556142164,0.039510477276747,0.00180876564462707,0.756356010170762
Feature284,0.103115468404513,0.714179485838703,4.93596854210328e-05,0.0015791497913063
Feature285,0.230399934682635,0.0303931821703716,0.561374296797322,0.48351318606502
Feature286,0.0618292543725386,0.233060111522981,0.0660056735887329,0.721724944751447
Feature288,0.0604116531722804,0.43615299418008,0.826959946531262,0.0380446087605488
Feature290,0.920059102348161,0.148897469015057,0.0452500566403073,0.887705844209473
Feature291,0.748260935113356,0.855128627057234,0.47257473933919,0.797554223572051
Feature292,0.941431342115875,1,0.120635629322452,0.489891478547567
Feature293,0.110324363194409,0.26488171057666,0.0916687034080521,0.0459092235370477
Feature294,0.661302255684447,0.546124671665751,0.15813847397706,0.35390167379295
Feature303,0.352464776534474,0.26488171057666,0.248195579477877,0.115884380019677
Feature309,0.695294238306434,0.047236574090287,0.00335122729390871,0.0314761647514936
Feature311,0.514239341874869,0.552472356026945,0.304671322112416,0.349381295433294
Feature318,0.695633183934998,0.0495579224849932,0.193150504722603,0.772030893398205
Feature319,0.613355216012258,0.629193438743944,0.646835026622125,0.0629856063908777
Feature320,0.00724106781863265,0.142309024078248,0.331364029672643,0.00838411908478935
Feature321,1,0.647772307556121,0.681326596803132,0.369897039125429
Feature324,1,0.217876524297265,0.149857582922704,0.0358096344757773
Feature328,0.788721819159946,0.793482872604462,0.058625457413322,0.232493555802056
Feature329,0.471820392272472,0.636110913536172,0.576366096305434,0.374544261744565
Feature331,0.624052884494649,0.46858296820812,0.0413060560413762,0.606246422788239
Feature335,0.383205559637765,0.151758085812399,0.00890017853675358,0.0152458783938588
Feature336,0.00931549790072793,0.272728328896311,0.646835026622125,0.485409836004512
Feature347,0.725262209215207,0.318323256305429,0.687161902186305,0.699201704464432
Feature348,1,0.438390372896439,8.33849112639332e-05,0.0059120965011228
Feature349,0.788721819159946,0.0636615047157603,0.0331478736422905,0.140156042629857
Feature350,0.902344263988526,1,0.0393783884324633,0.225093020206092
Feature355,0.184914272728873,0.0176807985862176,1,0.225093020206092
Feature356,0.504617346167687,0.0182069869958687,0.00118701801200966,0.288311624964577
Feature358,0.957943412804802,0.466717958566492,0.621309184347319,0.180267924982043
Feature360,0.358682806215903,0.52556022338396,0.00798093515440679,0.125580212765842
Feature361,0.724492961405568,0.997397025596449,1,0.160491786530673
