Feature,symrk_p_adj,ccamk_p_adj,nsp1_p_adj,nsp2_p_adj
Feature16,0.631048671818151,1,0.833166654427602,0.0229634139795848
Feature61,0.672482288456417,0.779449649770883,1.84558832447755e-05,0.000561797799950816
Feature76,0.562029026202333,0.0338420426414696,0.00126561673862587,0.0243680940420453
Feature77,0.514175349758183,0.323859834731491,0.766598841953089,0.104274692958889
Feature82,0.118186200855039,0.649626147331112,0.828874584981604,0.00369079740453493
Feature98,0.00278823295434373,0.0650376252178586,0.127341865220655,0.0542972490271035
Feature100,0.248124546376302,0.502278761112992,0.556190237481579,0.163618676425366
Feature113,0.537843999901145,0.971189767735557,0.562107463539279,0.0146983267710201
Feature115,0.0922078703081769,0.270346267119607,0.00144302709770046,0.000434450154649532
Feature118,0.0258735613846476,0.519212156874384,0.000478179823165525,0.052968034889073
Feature120,0.835333801888486,0.348299288615788,0.228339156892555,0.980478413103605
Feature124,0.514175349758183,0.0469423126378879,0.257502856496631,0.334205160911738
Feature126,0.704148103589613,0.733880380559343,6.26730087383009e-08,3.41219658060998e-05
Feature127,0.517827807226497,0.148071429181244,0.00575237609540954,0.0330132267244173
Feature131,0.279919206802011,0.703113992261424,0.331864070925744,0.00675976521471988
Feature134,0.835333801888486,0.323859834731491,0.112643842862683,0.0042384104808418
Feature137,0.562029026202333,0.691875109803706,0.314572751312854,0.0431038866465013
Feature138,0.0496219449972925,0.911176575861637,0.00722351358684316,0.0239700238814108
Feature139,0.979801412631966,0.346338539812277,0.696171074104921,0.471093404505947
Feature142,0.00651953565057352,0.31289164284199,5.42464679804291e-06,0.00377569929693006
Feature144,0.877840953114944,0.0513094623721806,0.0244932145256004,0.0256560324857268
Feature145,0.648300198429699,0.0734920319531543,0.0420374420096111,0.0418536604904935
Feature146,0.217002393299057,0.270346267119607,0.0286813364874623,0.0295899327178105
Feature150,0.000527766435353729,1,0.337530557188281,1
Feature156,0.831495067253723,0.5666131839426,0.348751828556737,0.158688849332197
Feature157,0.252993845691069,0.0753784454327426,0.00100895120095586,0.0252173702228311
Feature158,0.403066165320806,0.270905956570074,0.208447095984527,0.176983351688877
Feature166,0.447007411573124,0.481458780707547,0.698058049188215,0.18799531709303
Feature172,1.05058054258482e-05,0.00483040399583245,0.50132256648047,0.000254672956156439
Feature174,0.00173004112086737,0.686769579749531,0.0208833244275498,0.015425118991511
Feature175,0.0161347374322142,0.253968586284437,0.643627174677802,0.320068134795404
Feature176,0.569914993838063,0.783798011646381,0.794690777326842,0.231820812093957
Feature177,0.868211419501441,0.961743833716839,0.288540081068875,0.526352875931726
Feature183,0.00168114653761894,0.117183604160738,0.0716671472576031,0.00110745791909422
Feature184,0.0104397341194608,0.0674739560842107,0.21286683401464,0.00164274638111634
Feature185,0.0281670584536013,0.938642179430162,0.29444244771173,0.968416619936585
Feature186,0.200790081696461,0.411076778277022,0.767259762959962,0.318293516745568
Feature187,0.00350025076599356,0.147078275158335,0.276282067418156,0.161269297421943
Feature192,0.785457320022855,0.0417749650971818,0.0108449274328534,0.152899877442472
Feature193,0.623234439099745,0.00941843669891881,0.000142198383572047,0.00694806593441763
Feature195,1,0.0753784454327426,0.0432150749393353,0.0428773588234347
Feature200,0.831495067253723,0.0184996250537702,0.0884539094713261,0.0428015951041291
Feature202,0.451960293722985,0.541750221546319,0.7217643123903,0.0431788101173702
Feature203,0.835333801888486,0.830241874970523,0.932497914140855,0.685566766311028
Feature204,0.394099444542525,0.245808913233022,0.391285131222629,0.35679605689814
Feature206,0.21668033412905,1,0.00280373265904263,0.0647401565276052
Feature210,0.00268384812851174,0.31368794600363,5.62281648828581e-06,0.0156410888324989
Feature211,1,0.433256358193881,0.237573116787641,0.330992977082901
Feature212,0.389013512563822,0.413166298395183,0.0148199502810417,0.00876433336011183
Feature213,0.075895525626663,0.333864230319533,0.0287661704617525,0.00362259511380468
Feature217,0.263400352371854,0.954651497378832,0.160003463047424,0.15680689005158
Feature221,0.603819217854961,0.158189693424436,0.284181881500488,0.946608923940555
Feature232,0.447007411573124,0.0262491868224896,0.00366032669926811,0.0542972490271035
Feature235,0.463752227973087,0.615001022147198,0.643627174677802,0.264889434329925
Feature237,0.492847719980099,0.983903677391655,0.0893895699605461,0.349577283606066
Feature241,0.80888666199385,0.333864230319533,0.372144089720118,0.195361299134756
Feature242,0.831553530374441,0.452091201401862,0.717395197945891,0.474860674304876
Feature247,0.000672868706177671,0.435123891594371,0.000309563228178093,0.0110861324651315
Feature250,0.000672868706177671,0.14208332612402,0.717906176129631,0.000492639108462844
Feature252,0.27528967720737,0.502451496969122,0.107305115551794,0.353288681618814
Feature256,0.609349854811382,0.0175960145406375,0.27187707736563,0.00872703680820953
Feature259,1,0.0175960145406375,0.000767001301122723,0.0109453029071176
Feature261,0.00451458451025619,0.712858689657431,0.0677930176320384,0.0339827678000327
Feature262,0.447007411573124,0.385202303326397,0.320071069435894,0.740476124543357
Feature263,0.502018133824271,0.142666814559949,0.0138400723899299,0.0554515193495996
Feature265,0.877840953114944,0.845577891502175,0.63135907039366,0.103023273480575
Feature267,0.123190993708324,0.458451084341677,0.000118816688710039,0.00866363821800906
Feature268,0.589694007898947,0.793090834850261,0.698058049188215,0.332784416198433
Feature269,1,0.0175960145406375,0.000686839734218383,0.0113411026621107
Feature270,0.502018133824271,0.0594505301738251,0.000995080478663506,0.0332557809880395
Feature271,0.606037606303921,0.0593662044092234,0.00166922098614215,0.0438249763525263
