"","Fresh_weight","Genotype","Treatment","Host"
"1",0.0263,"WT","Lj_SC","Lotus"
"2",0.0198,"WT","Lj_SC","Lotus"
"3",0.0288,"WT","Lj_SC","Lotus"
"4",0.0204,"WT","Lj_SC","Lotus"
"5",0.0223,"WT","Lj_SC","Lotus"
"6",0.0219,"WT","Lj_SC","Lotus"
"7",0.0108,"WT","Lj_SC","Lotus"
"8",0.0181,"WT","Lj_SC","Lotus"
"9",0.0136,"WT","Lj_SC","Lotus"
"10",0.0075,"WT","Lj_SC","Lotus"
"11",0.0192,"WT","Lj_SC","Lotus"
"12",0.0273,"WT","Lj_SC","Lotus"
"13",0.0188,"WT","Lj_SC","Lotus"
"14",0.0209,"WT","Lj_SC","Lotus"
"15",0.0273,"WT","Lj_SC","Lotus"
"16",0.0201,"WT","Lj_SC","Lotus"
"17",0.0122,"WT","Lj_SC","Lotus"
"18",0.0151,"WT","Lj_SC","Lotus"
"19",0.0286,"WT","Lj_SC","Lotus"
"20",0.0136,"WT","Lj_SC","Lotus"
"21",0.0146,"WT","Lj_SC","Lotus"
"22",0.0157,"WT","Lj_SC","Lotus"
"23",0.0072,"WT","Lj_SC","Lotus"
"24",0.0198,"WT","Lj_SC","Lotus"
"25",0.0245,"WT","Lj_SC","Lotus"
"26",0.0317,"WT","Lj_SC","Lotus"
"27",0.0391,"WT","Lj_SC","Lotus"
"28",0.0189,"WT","Lj_SC","Lotus"
"29",0.0302,"WT","Lj_SC","Lotus"
"30",0.0232,"WT","Lj_SC","Lotus"
"31",0.0138,"WT","Lj_SC","Lotus"
"32",0.0286,"WT","Lj_SC","Lotus"
"33",0.0262,"WT","Lj_SC","Lotus"
"34",0.0201,"WT","Lj_SC","Lotus"
"35",0.0188,"WT","Lj_SC","Lotus"
"36",0.0286,"WT","Lj_SC","Lotus"
"37",0.0212,"WT","Lj_SC","Lotus"
"38",0.0116,"WT","Lj_SC","Lotus"
"39",0.017,"WT","Lj_SC","Lotus"
"40",0.0168,"WT","Lj_SC","Lotus"
"41",0.0247,"WT","Lj_SC","Lotus"
"42",0.0138,"WT","Lj_SC","Lotus"
"43",0.0187,"WT","Lj_SC","Lotus"
"44",0.022,"WT","Lj_SC","Lotus"
"45",0.0307,"WT","Lj_SC","Lotus"
"46",0.0124,"WT","Lj_SC","Lotus"
"47",0.0163,"WT","Lj_SC","Lotus"
"48",0.017,"WT","Lj_SC","Lotus"
"49",0.0165,"WT","Lj_SC","Lotus"
"50",0.0148,"WT","Lj_SC","Lotus"
"51",0.0168,"WT","Lj_SC","Lotus"
"52",0.0338,"WT","Lj_SC","Lotus"
"53",0.0342,"WT","Lj_SC","Lotus"
"54",0.0271,"WT","Lj_SC","Lotus"
"55",0.0301,"WT","Lj_SC","Lotus"
"56",0.0293,"WT","Lj_SC","Lotus"
"57",0.0256,"WT","Lj_SC","Lotus"
"58",0.0184,"WT","Lj_SC","Lotus"
"59",0.0179,"WT","Lj_SC","Lotus"
"60",0.0328,"WT","Lj_SC","Lotus"
"61",0.0344,"WT","Lj_SC","Lotus"
"62",0.0236,"WT","Lj_SC","Lotus"
"63",0.03,"WT","Lj_SC","Lotus"
"64",0.0346,"WT","Lj_SC","Lotus"
"65",0.0351,"WT","Lj_SC","Lotus"
"66",0.0254,"WT","Lj_SC","Lotus"
"67",0.0248,"WT","Lj_SC","Lotus"
"68",0.0312,"WT","Lj_SC","Lotus"
"69",0.0267,"WT","Lj_SC","Lotus"
"70",0.0359,"WT","Lj_SC","Lotus"
"71",0.0416,"WT","Lj_SC","Lotus"
"72",0.0373,"WT","Lj_SC","Lotus"
"73",0.0232,"WT","Lj_SC","Lotus"
"74",0.03,"WT","Lj_SC","Lotus"
"75",0.0353,"WT","Lj_SC","Lotus"
"76",0.0235,"WT","Lj_SC","Lotus"
"77",0.0298,"WT","Lj_SC","Lotus"
"78",0.0284,"WT","Lj_SC","Lotus"
"79",0.0225,"WT","Lj_SC","Lotus"
"80",0.0356,"WT","Lj_SC","Lotus"
"81",0.0217,"WT","Lj_SC","Lotus"
"82",0.0341,"WT","Lj_SC","Lotus"
"83",0.0291,"WT","Lj_SC","Lotus"
"84",0.0304,"WT","Lj_SC","Lotus"
"85",0.0233,"WT","Lj_SC","Lotus"
"86",0.0328,"WT","Lj_SC","Lotus"
"87",0.027,"WT","Lj_SC","Lotus"
"88",0.0231,"WT","Lj_SC","Lotus"
"89",0.023,"WT","Lj_SC","Lotus"
"90",0.03,"WT","Lj_SC","Lotus"
"91",0.0198,"WT","Lj_SC","Lotus"
"92",0.0179,"WT","Lj_SC","Lotus"
"93",0.0235,"WT","Lj_SC","Lotus"
"94",0.0248,"WT","Lj_SC","Lotus"
"95",0.0246,"WT","Lj_SC","Lotus"
"96",0.0157,"symrk","Lj_SC","Lotus"
"97",0.015,"symrk","Lj_SC","Lotus"
"98",0.0225,"symrk","Lj_SC","Lotus"
"99",0.0158,"symrk","Lj_SC","Lotus"
"100",0.0174,"symrk","Lj_SC","Lotus"
"101",0.033,"symrk","Lj_SC","Lotus"
"102",0.0116,"symrk","Lj_SC","Lotus"
"103",0.0088,"symrk","Lj_SC","Lotus"
"104",0.0354,"symrk","Lj_SC","Lotus"
"105",0.0151,"symrk","Lj_SC","Lotus"
"106",0.0351,"symrk","Lj_SC","Lotus"
"107",0.021,"symrk","Lj_SC","Lotus"
"108",0.0181,"symrk","Lj_SC","Lotus"
"109",0.0199,"symrk","Lj_SC","Lotus"
"110",0.0206,"symrk","Lj_SC","Lotus"
"111",0.0231,"symrk","Lj_SC","Lotus"
"112",0.0208,"symrk","Lj_SC","Lotus"
"113",0.0093,"symrk","Lj_SC","Lotus"
"114",0.0195,"symrk","Lj_SC","Lotus"
"115",0.0251,"symrk","Lj_SC","Lotus"
"116",0.0206,"symrk","Lj_SC","Lotus"
"117",0.0163,"symrk","Lj_SC","Lotus"
"118",0.0086,"symrk","Lj_SC","Lotus"
"119",0.0294,"symrk","Lj_SC","Lotus"
"120",0.0229,"symrk","Lj_SC","Lotus"
"121",0.0261,"symrk","Lj_SC","Lotus"
"122",0.0178,"symrk","Lj_SC","Lotus"
"123",0.0314,"symrk","Lj_SC","Lotus"
"124",0.0178,"symrk","Lj_SC","Lotus"
"125",0.0125,"symrk","Lj_SC","Lotus"
"126",0.0124,"symrk","Lj_SC","Lotus"
"127",0.0203,"symrk","Lj_SC","Lotus"
"128",0.0176,"symrk","Lj_SC","Lotus"
"129",0.0276,"symrk","Lj_SC","Lotus"
"130",0.0173,"symrk","Lj_SC","Lotus"
"131",0.042,"symrk","Lj_SC","Lotus"
"132",0.0161,"symrk","Lj_SC","Lotus"
"133",0.016,"symrk","Lj_SC","Lotus"
"134",0.0091,"symrk","Lj_SC","Lotus"
"135",0.0161,"symrk","Lj_SC","Lotus"
"136",0.0194,"symrk","Lj_SC","Lotus"
"137",0.0312,"symrk","Lj_SC","Lotus"
"138",0.0221,"symrk","Lj_SC","Lotus"
"139",0.0122,"symrk","Lj_SC","Lotus"
"140",0.0146,"symrk","Lj_SC","Lotus"
"141",0.014,"symrk","Lj_SC","Lotus"
"142",0.0197,"symrk","Lj_SC","Lotus"
"143",0.0204,"symrk","Lj_SC","Lotus"
"144",0.018,"symrk","Lj_SC","Lotus"
"145",0.0383,"symrk","Lj_SC","Lotus"
"146",0.0089,"symrk","Lj_SC","Lotus"
"147",0.033,"symrk","Lj_SC","Lotus"
"148",0.0194,"symrk","Lj_SC","Lotus"
"149",0.0132,"symrk","Lj_SC","Lotus"
"150",0.0169,"symrk","Lj_SC","Lotus"
"151",0.0115,"symrk","Lj_SC","Lotus"
"152",0.0087,"symrk","Lj_SC","Lotus"
"153",0.0222,"symrk","Lj_SC","Lotus"
"154",0.0313,"symrk","Lj_SC","Lotus"
"155",0.0138,"symrk","Lj_SC","Lotus"
"156",0.0105,"symrk","Lj_SC","Lotus"
"157",0.0103,"symrk","Lj_SC","Lotus"
"158",0.0229,"symrk","Lj_SC","Lotus"
"159",0.0246,"symrk","Lj_SC","Lotus"
"160",0.0214,"symrk","Lj_SC","Lotus"
"161",0.0109,"symrk","Lj_SC","Lotus"
"162",0.0129,"symrk","Lj_SC","Lotus"
"163",0.0139,"symrk","Lj_SC","Lotus"
"164",0.0093,"symrk","Lj_SC","Lotus"
"165",0.0528,"symrk","Lj_SC","Lotus"
"166",0.0246,"symrk","Lj_SC","Lotus"
"167",0.0249,"symrk","Lj_SC","Lotus"
"168",0.0083,"symrk","Lj_SC","Lotus"
"169",0.0331,"symrk","Lj_SC","Lotus"
"170",0.023,"symrk","Lj_SC","Lotus"
"171",0.0135,"symrk","Lj_SC","Lotus"
"172",0.0319,"symrk","Lj_SC","Lotus"
"173",0.0124,"symrk","Lj_SC","Lotus"
"174",0.0229,"symrk","Lj_SC","Lotus"
"175",0.0171,"symrk","Lj_SC","Lotus"
"176",0.0136,"symrk","Lj_SC","Lotus"
"177",0.0135,"symrk","Lj_SC","Lotus"
"178",0.0208,"symrk","Lj_SC","Lotus"
"179",0.0169,"symrk","Lj_SC","Lotus"
"180",0.0162,"symrk","Lj_SC","Lotus"
"181",0.0163,"symrk","Lj_SC","Lotus"
"182",0.0218,"symrk","Lj_SC","Lotus"
"183",0.0192,"symrk","Lj_SC","Lotus"
"184",0.02,"symrk","Lj_SC","Lotus"
"185",0.0163,"symrk","Lj_SC","Lotus"
"186",0.0199,"symrk","Lj_SC","Lotus"
"187",0.019,"symrk","Lj_SC","Lotus"
"188",0.0133,"symrk","Lj_SC","Lotus"
"189",0.0161,"ccamk","Lj_SC","Lotus"
"190",0.016,"ccamk","Lj_SC","Lotus"
"191",0.0345,"ccamk","Lj_SC","Lotus"
"192",0.0318,"ccamk","Lj_SC","Lotus"
"193",0.0401,"ccamk","Lj_SC","Lotus"
"194",0.0162,"ccamk","Lj_SC","Lotus"
"195",0.0165,"ccamk","Lj_SC","Lotus"
"196",0.0233,"ccamk","Lj_SC","Lotus"
"197",0.0196,"ccamk","Lj_SC","Lotus"
"198",0.0136,"ccamk","Lj_SC","Lotus"
