Fresh_weight	Genotype	Treatment	
0,0217	WT	no_SC	
0,0248	WT	no_SC	
0,0247	WT	no_SC	
0,0334	WT	no_SC	
0,0321	WT	no_SC	
0,0422	WT	no_SC	
0,0342	WT	no_SC	
0,0241	WT	no_SC	
0,0282	WT	no_SC	
0,0287	WT	no_SC	
0,0227	WT	no_SC	
0,0202	WT	no_SC	
0,0199	WT	no_SC	
0,0321	WT	no_SC	
0,0218	WT	no_SC	
0,0205	WT	no_SC	
0,0188	WT	no_SC	
0,0273	WT	no_SC	
0,0278	WT	no_SC	
0,0292	WT	no_SC	
0,0198	WT	no_SC	
0,0207	WT	no_SC	
0,0245	WT	no_SC	
0,0389	WT	no_SC	
0,0271	WT	no_SC	
0,0307	WT	no_SC	
0,0219	WT	no_SC	
0,0213	WT	no_SC	
0,0414	WT	no_SC	
0,0222	WT	no_SC	
0,0199	WT	no_SC	
0,0206	WT	no_SC	
0,0256	WT	no_SC	
0,0188	WT	no_SC	
0,0201	WT	no_SC	
0,0356	WT	no_SC	
0,0244	WT	no_SC	
0,0184	WT	no_SC	
0,0275	WT	no_SC	
0,0195	WT	no_SC	
0,0294	WT	no_SC	
0,0167	WT	no_SC	
0,0571	WT	no_SC	
0,0324	WT	no_SC	
0,026	WT	no_SC	
0,0264	WT	no_SC	
0,0182	WT	no_SC	
0,0218	WT	no_SC	
0,0303	WT	no_SC	
0,0164	WT	no_SC	
0,0221	WT	no_SC	
0,0226	WT	no_SC	
0,0329	WT	no_SC	
0,0293	WT	no_SC	
0,0252	WT	no_SC	
0,0321	WT	no_SC	
0,0203	WT	no_SC	
0,0261	WT	no_SC	
0,0342	WT	no_SC	
0,0208	WT	no_SC	
0,0248	WT	no_SC	
0,0243	WT	no_SC	
0,0229	WT	no_SC	
0,0296	WT	no_SC	
0,0221	WT	no_SC	
0,0382	WT	no_SC	
0,0289	WT	no_SC	
0,0275	WT	no_SC	
0,021	WT	no_SC	
0,0248	WT	no_SC	
0,0236	WT	no_SC	
0,0212	WT	no_SC	
0,0256	WT	no_SC	
0,0381	WT	no_SC	
0,0209	WT	no_SC	
0,0282	WT	no_SC	
0,0242	WT	no_SC	
0,0251	WT	no_SC	
0,0273	WT	no_SC	
0,0283	WT	no_SC	
