Number	Nodule_type	Genotype
4	pink	WT
7	pink	WT
4	pink	WT
2	pink	WT
6	pink	WT
7	pink	WT
5	pink	WT
3	pink	WT
6	pink	WT
6	pink	WT
5	pink	WT
5	pink	WT
2	pink	WT
6	pink	WT
6	pink	WT
5	pink	WT
7	pink	WT
4	pink	WT
8	pink	WT
5	pink	WT
3	pink	WT
4	pink	WT
2	pink	WT
3	pink	WT
4	pink	WT
3	pink	WT
5	pink	WT
7	pink	WT
4	pink	WT
4	pink	WT
3	pink	WT
5	pink	WT
7	pink	WT
5	pink	WT
6	pink	WT
3	pink	WT
7	pink	WT
5	pink	WT
5	pink	WT
3	pink	WT
8	pink	WT
4	pink	WT
3	pink	WT
7	pink	WT
5	pink	WT
3	pink	WT
4	pink	WT
7	pink	WT
7	pink	WT
8	pink	WT
6	pink	WT
7	pink	WT
1	pink	WT
5	pink	WT
13	pink	WT
6	pink	WT
8	pink	WT
5	pink	WT
11	pink	WT
10	pink	WT
5	pink	WT
6	pink	WT
7	pink	WT
4	pink	WT
3	pink	WT
6	pink	WT
9	pink	WT
6	pink	WT
8	pink	WT
4	pink	WT
6	pink	WT
5	pink	WT
4	pink	WT
7	pink	WT
9	pink	WT
2	pink	WT
6	pink	WT
8	pink	WT
8	pink	WT
5	pink	WT
4	pink	WT
4	pink	WT
5	pink	WT
9	pink	WT
5	pink	WT
6	pink	WT
2	pink	WT
7	pink	WT
8	pink	WT
11	pink	WT
9	pink	WT
8	pink	WT
5	pink	WT
0	white	WT
2	white	WT
1	white	WT
1	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
1	white	WT
3	white	WT
0	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
3	white	WT
2	white	WT
0	white	WT
0	white	WT
2	white	WT
3	white	WT
2	white	WT
1	white	WT
0	white	WT
1	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
1	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
0	white	WT
4	white	WT
2	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
2	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
2	white	WT
0	white	WT
0	white	WT
0	white	WT
1	white	WT
3	white	WT
0	white	WT
0	white	WT
0	white	WT
3	white	WT
0	white	WT
2	white	WT
0	white	WT
4	pink	f6h1
5	pink	f6h1
6	pink	f6h1
2	pink	f6h1
6	pink	f6h1
7	pink	f6h1
5	pink	f6h1
1	pink	f6h1
5	pink	f6h1
8	pink	f6h1
4	pink	f6h1
5	pink	f6h1
8	pink	f6h1
9	pink	f6h1
6	pink	f6h1
5	pink	f6h1
2	pink	f6h1
5	pink	f6h1
3	pink	f6h1
5	pink	f6h1
3	pink	f6h1
3	pink	f6h1
1	pink	f6h1
9	pink	f6h1
7	pink	f6h1
7	pink	f6h1
5	pink	f6h1
6	pink	f6h1
5	pink	f6h1
6	pink	f6h1
4	pink	f6h1
7	pink	f6h1
10	pink	f6h1
7	pink	f6h1
6	pink	f6h1
5	pink	f6h1
5	pink	f6h1
9	pink	f6h1
8	pink	f6h1
3	pink	f6h1
8	pink	f6h1
6	pink	f6h1
2	pink	f6h1
7	pink	f6h1
5	pink	f6h1
7	pink	f6h1
6	pink	f6h1
2	pink	f6h1
5	pink	f6h1
4	pink	f6h1
6	pink	f6h1
4	pink	f6h1
7	pink	f6h1
4	pink	f6h1
4	pink	f6h1
4	pink	f6h1
5	pink	f6h1
5	pink	f6h1
6	pink	f6h1
7	pink	f6h1
4	pink	f6h1
5	pink	f6h1
5	pink	f6h1
5	pink	f6h1
5	pink	f6h1
7	pink	f6h1
8	pink	f6h1
8	pink	f6h1
10	pink	f6h1
4	pink	f6h1
5	pink	f6h1
7	pink	f6h1
5	pink	f6h1
4	pink	f6h1
6	pink	f6h1
7	pink	f6h1
5	pink	f6h1
8	pink	f6h1
5	pink	f6h1
0	pink	f6h1
10	pink	f6h1
11	pink	f6h1
9	pink	f6h1
8	pink	f6h1
4	pink	f6h1
5	pink	f6h1
6	pink	f6h1
8	pink	f6h1
4	pink	f6h1
5	pink	f6h1
7	pink	f6h1
4	pink	f6h1
8	pink	f6h1
6	pink	f6h1
0	white	f6h1
3	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
3	white	f6h1
3	white	f6h1
2	white	f6h1
2	white	f6h1
1	white	f6h1
1	white	f6h1
0	white	f6h1
1	white	f6h1
0	white	f6h1
2	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
2	white	f6h1
0	white	f6h1
0	white	f6h1
2	white	f6h1
0	white	f6h1
1	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
1	white	f6h1
2	white	f6h1
1	white	f6h1
3	white	f6h1
1	white	f6h1
0	white	f6h1
2	white	f6h1
0	white	f6h1
1	white	f6h1
0	white	f6h1
4	white	f6h1
1	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
1	white	f6h1
1	white	f6h1
0	white	f6h1
1	white	f6h1
3	white	f6h1
3	white	f6h1
0	white	f6h1
1	white	f6h1
0	white	f6h1
0	white	f6h1
1	white	f6h1
1	white	f6h1
2	white	f6h1
1	white	f6h1
1	white	f6h1
1	white	f6h1
2	white	f6h1
4	white	f6h1
1	white	f6h1
1	white	f6h1
2	white	f6h1
5	white	f6h1
2	white	f6h1
1	white	f6h1
2	white	f6h1
1	white	f6h1
0	white	f6h1
2	white	f6h1
3	white	f6h1
0	white	f6h1
2	white	f6h1
0	white	f6h1
3	white	f6h1
1	white	f6h1
0	white	f6h1
0	white	f6h1
2	white	f6h1
0	white	f6h1
1	white	f6h1
0	white	f6h1
0	white	f6h1
0	white	f6h1
1	white	f6h1
2	white	f6h1
0	white	f6h1
1	white	f6h1
0	white	f6h1
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
