ASVid	10036	433	7453	5750	374	9283	4780	120	4233	7126	535	5202	6383	8563	2785	4159	12359	13152	8796	9691	9192	7120	7810	11214	7180	5496	751	3388	14120	7075	11249	3204	7716	7908	6014	6910	8529	9768	14263	10089	12263	8887	18128	5879
LjRoot149	414	24	989	174	15	662	296	8	693	243	41	572	769	690	462	818	894	774	1270	536	649	458	609	555	944	608	744	728	696	673	460	675	441	613	162	358	264	774	331	745	284	482	672	542
LjRoot223	321	3	190	561	14	130	120	1	152	110	2	148	94	134	797	95	14	10	6	5	897	192	253	200	146	222	76	118	91	46	444	339	302	285	2343	619	1237	115	1009	173	1470	144	130	292
G37_LjNodule209	144	1168	25	762	2455	13	1750	3340	12	2012	2683	37	5	2	12	0	0	9	0	4	0	7	6	14	7	6	30	5	0	0	10	5	0	5	0	5	0	0	6	6	15	38	0	0
G21_LjRoot111	185	12	366	207	11	394	118	14	420	133	22	395	155	177	587	288	199	194	224	178	234	303	340	232	261	233	444	253	423	346	246	257	349	335	350	361	783	313	672	272	450	350	209	215
LjRoot228	1005	2761	8	870	1470	34	282	761	6	74	1156	50	0	0	0	11	8	0	0	0	28	9	9	0	0	0	0	0	4	10	0	0	6	0	3	4	9	7	2	0	11	4	2	3
G3_LjRoot129	100	68	66	90	117	120	83	9	105	70	28	103	443	313	280	252	410	340	367	364	114	186	202	289	197	238	191	158	393	262	365	301	494	287	141	233	171	320	235	393	154	310	329	208
LjRoot196	336	14	206	82	4	337	74	5	246	204	22	288	193	113	211	351	203	263	101	54	470	459	379	338	111	245	183	305	170	320	111	314	67	114	15	103	125	293	100	118	279	301	97	408
G32_LjRoot291	163	22	104	156	16	95	153	4	100	183	24	104	141	115	227	153	272	111	141	58	311	129	268	146	487	168	363	166	360	164	253	128	357	157	168	172	233	109	150	94	236	108	124	105
LjRoot259	175	7	214	89	10	195	143	6	284	161	17	231	71	67	197	146	176	147	52	49	148	206	212	158	191	293	195	236	186	145	237	240	248	224	91	253	135	165	135	199	140	161	73	365
G11_LjRoot25	92	3	119	251	4	116	38	0	105	83	19	82	91	69	120	74	130	31	57	20	371	203	262	205	427	286	152	215	158	93	261	146	127	247	150	215	264	153	260	227	185	146	93	167
G8_LjRoot126	134	100	245	143	75	328	121	31	314	93	86	318	87	116	87	216	59	127	77	149	34	173	74	202	79	203	100	229	91	261	87	239	93	257	28	233	30	142	34	164	57	144	116	105
LjRoot17	94	5	149	75	4	185	77	1	97	50	11	141	170	462	52	104	177	289	99	569	61	188	75	207	36	133	109	139	126	214	71	63	77	61	35	117	32	182	29	92	59	233	427	121
G2_LjRoot102	75	0	83	45	0	96	66	0	101	44	10	120	239	223	165	226	236	233	154	229	82	156	149	188	112	157	145	194	133	210	295	271	105	212	112	164	73	148	123	217	102	153	202	107
G16_LjRoot125	119	9	133	96	17	147	103	4	86	46	18	144	355	311	97	133	204	211	360	429	85	114	149	124	105	82	169	125	124	119	168	90	137	90	70	154	47	119	43	105	55	158	325	110
LjRoot82	82	3	360	32	1	226	34	0	272	47	4	174	164	185	105	146	144	142	92	135	106	152	157	149	139	237	116	134	91	112	70	144	67	72	20	95	39	334	30	113	86	167	170	397
G20_LjRoot162	55	8	215	65	4	258	38	0	262	36	5	328	107	89	82	199	112	98	94	106	73	188	129	145	99	134	124	175	161	163	100	133	131	223	111	157	216	175	230	240	77	212	92	137
LjRoot183	32	2	97	35	2	97	109	0	181	48	18	134	342	147	267	204	184	118	445	187	94	111	112	122	129	104	150	104	263	139	309	180	289	163	91	84	107	123	280	161	154	169	152	135
G1_LjRoot134	147	7	133	53	4	63	74	57	82	68	6	54	73	49	51	71	67	57	55	54	62	70	127	134	136	137	125	135	68	63	80	60	89	105	30	75	64	83	85	73	35	71	40	80
LjRoot71	3	0	31	1	0	58	2	0	107	5	3	106	17	272	4	55	13	252	18	250	2	54	7	78	4	40	29	54	10	115	0	51	10	87	4	49	0	45	1	66	3	53	259	35
LjRoot289	64	9	57	26	4	79	45	2	70	76	23	116	3	8	40	107	21	37	52	42	31	120	37	104	33	140	85	129	70	81	21	36	45	61	7	35	48	96	24	73	52	96	14	82
LjRoot3	72	5	34	55	3	46	135	2	22	36	8	25	111	57	48	46	92	67	80	100	39	47	75	60	49	53	67	58	41	38	37	28	42	30	7	29	28	49	48	46	27	54	52	59
G4_LjRoot26	8	3	30	12	2	51	23	0	43	10	3	54	37	77	31	64	30	56	25	91	11	60	34	65	21	47	42	64	35	81	43	51	46	52	29	64	13	39	10	47	19	62	72	28
LjRoot18	29	1	19	9	1	27	25	1	39	28	2	41	4	11	35	58	8	13	0	8	17	69	30	53	19	48	56	53	20	30	70	71	101	55	26	119	17	47	47	145	19	64	12	97
G6_LjRoot130	23	0	14	17	0	35	21	0	28	15	6	44	29	30	38	54	52	43	33	28	15	43	30	55	22	48	51	63	42	60	27	55	46	58	16	72	23	39	37	55	18	49	24	37
G17_LjRoot232	8	0	44	0	2	97	5	0	82	11	7	60	9	27	10	27	28	44	30	17	26	82	39	34	40	30	0	29	27	111	28	23	33	46	37	40	14	39	21	32	7	46	42	36
LjRoot227	33	1	15	29	0	19	36	1	12	37	3	27	13	7	44	22	22	4	5	4	19	25	33	26	42	42	48	27	50	15	68	22	100	36	46	38	23	25	23	22	33	31	9	47
LjRoot219	30	4	18	42	1	24	33	0	16	46	1	32	40	35	10	35	38	13	26	31	14	36	18	14	36	18	32	38	31	24	20	8	40	25	20	17	16	21	22	16	18	17	26	15
LjRoot122	29	0	40	20	0	58	18	0	29	10	0	42	101	165	13	51	74	254	52	203	4	49	12	42	1	45	50	39	28	77	10	37	12	47	18	76	10	31	6	46	12	43	142	34
LjRoot243	18	1	17	30	5	16	27	0	10	20	0	13	20	7	30	12	27	14	22	7	38	13	41	15	65	14	90	23	36	19	60	18	71	25	7	19	33	12	50	27	26	21	19	17
G12_LjRoot70	22	0	34	10	0	13	0	0	52	16	0	52	22	27	0	0	34	35	6	0	17	52	49	54	0	23	0	21	22	32	0	26	0	16	0	8	0	22	9	10	12	38	15	18
G29_LjRoot226	15	1	11	15	2	14	11	1	8	25	2	14	41	19	17	6	36	18	44	43	21	14	29	18	24	19	13	18	18	11	28	7	17	17	7	21	12	10	17	6	15	35	22	20
G22_LjRoot238	22	1	7	15	2	17	24	0	23	15	0	13	14	25	7	17	23	23	15	16	10	24	22	17	20	14	18	29	21	19	22	16	16	21	12	20	7	18	13	30	7	26	27	17
LjRoot237	21	3	10	10	2	11	14	2	5	17	0	6	29	20	11	21	39	24	31	38	13	19	30	16	30	24	70	21	31	13	22	20	33	16	9	10	9	10	10	12	17	13	19	16
G7_LjRoot117	5	0	6	7	0	9	8	0	9	8	1	9	47	15	12	28	26	13	26	27	36	42	54	31	19	27	12	26	23	11	4	18	10	15	3	12	2	15	2	15	7	15	24	10
LjRoot10	12	0	14	13	0	24	6	0	17	33	2	16	18	23	13	19	23	40	18	39	6	10	7	13	12	7	0	19	14	7	13	13	7	11	6	20	7	11	8	14	6	18	36	13
LjRoot229	11	0	3	12	0	8	24	0	9	9	14	13	9	7	25	16	35	8	16	9	20	9	39	11	56	8	0	0	34	20	32	11	52	13	10	5	23	4	33	9	19	15	5	12
G5_LjRoot105	0	0	7	0	0	13	0	0	10	0	0	13	27	36	0	11	0	30	35	37	0	19	0	29	0	11	0	15	0	20	0	24	0	15	0	12	0	10	0	26	0	20	21	16
LjRoot11	13	3	18	16	5	14	2	0	23	9	2	18	26	21	6	5	7	4	9	18	8	19	8	19	9	16	60	10	10	10	26	21	14	8	7	11	6	12	6	8	8	18	21	6
G36_LjRoot142	12	2	16	10	0	15	11	0	12	17	0	12	0	12	0	26	17	13	7	10	4	6	14	12	10	14	0	11	10	7	11	7	21	8	4	14	2	18	4	25	4	19	15	13
