"","ASVid","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_1_nod","Lj_Gifu_LjSC_1_rhizo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_2_nod","Lj_Gifu_LjSC_2_rhizo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_3_nod","Lj_Gifu_LjSC_3_rhizo","Lj_Gifu_LjSC_4_endo","Lj_Gifu_LjSC_4_nod","Lj_Gifu_LjSC_4_rhizo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_1_rhizo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_2_rhizo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_3_rhizo","Lj_ccamk_LjSC_4_endo","Lj_ccamk_LjSC_4_rhizo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_1_rhizo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_2_rhizo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_3_rhizo","Lj_nsp1_LjSC_4_endo","Lj_nsp1_LjSC_4_rhizo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_1_rhizo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_2_rhizo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_3_rhizo","Lj_nsp2_LjSC_4_endo","Lj_nsp2_LjSC_4_rhizo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_1_rhizo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_2_rhizo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_3_rhizo","Lj_symrk_LjSC_4_endo","Lj_symrk_LjSC_4_rhizo"
"LjRoot221","LjRoot221",674,40,597,705,21,744,567,22,378,867,87,483,1020,1029,828,747,1083,891,739,921,762,734,1037,803,835,592,698,727,1255,736,1330,633,1381,797,469,755,782,802,1004,825,880,841,1076,613
"LjRoot149","LjRoot149",485,53,1121,231,20,796,340,13,799,287,75,735,835,687,524,889,830,790,1407,565,727,533,634,628,1007,679,747,731,677,739,460,742,417,619,198,432,290,871,283,865,352,589,694,578
"LjRoot223","LjRoot223",356,11,197,615,22,156,132,3,161,129,6,177,106,123,920,110,11,11,7,6,997,188,241,197,193,262,73,138,111,68,444,383,225,342,2916,655,1466,129,1099,196,1558,162,137,328
"G37_LjNodule209","G37_LjNodule209",141,1552,24,813,3364,12,1964,4529,14,2175,3476,35,9,2,11,0,0,7,0,2,0,7,5,6,13,4,31,2,0,0,10,6,0,9,0,1,0,0,10,5,16,41,0,0
"G21_LjRoot111","G21_LjRoot111",231,19,416,218,20,413,132,10,535,112,32,447,215,245,603,285,193,204,240,196,278,350,350,227,285,259,427,298,398,335,249,272,312,371,366,353,820,331,707,331,518,377,246,240
"LjRoot228","LjRoot228",1122,3641,12,957,1921,39,273,1010,2,64,1588,58,0,0,0,15,7,0,1,0,23,7,5,0,0,0,0,0,10,3,0,0,16,0,4,7,3,7,2,0,19,8,2,1
"G3_LjRoot129","G3_LjRoot129",116,103,94,107,159,142,73,12,124,87,41,137,389,379,294,251,428,335,401,353,141,209,209,276,180,299,200,166,378,324,371,397,489,348,182,236,221,346,288,413,172,328,382,246
"LjRoot196","LjRoot196",364,12,238,100,11,355,117,2,329,221,24,337,240,104,196,411,175,321,122,66,535,510,418,339,128,260,174,333,185,319,120,370,68,136,20,136,152,313,85,118,324,324,109,472
"G32_LjRoot291","G32_LjRoot291",188,18,99,192,18,120,177,5,134,195,24,109,155,137,287,150,274,111,155,68,331,141,302,167,551,174,363,196,323,147,257,150,362,160,201,192,263,124,186,102,211,104,132,136
"LjRoot259","LjRoot259",201,10,255,102,8,217,170,9,322,166,29,250,60,70,222,180,182,142,67,48,171,209,212,201,229,358,207,259,211,162,241,258,237,249,99,303,142,183,122,194,141,174,60,410
"G11_LjRoot25","G11_LjRoot25",109,14,153,260,7,129,35,0,99,103,24,99,112,90,121,110,155,39,79,15,390,211,269,213,476,325,150,251,173,81,237,205,106,259,182,228,295,164,305,248,226,159,76,207
"G8_LjRoot126","G8_LjRoot126",164,125,298,201,91,374,114,45,360,106,116,385,72,157,117,236,66,188,79,187,46,170,98,234,100,211,112,261,80,306,83,313,82,261,45,278,41,128,23,177,52,180,138,140
"LjRoot17","LjRoot17",94,5,185,143,3,215,79,0,103,51,15,160,178,445,54,141,151,332,110,601,63,209,95,217,56,158,127,152,109,231,60,88,96,54,42,116,40,204,24,133,58,263,411,144
"G2_LjRoot102","G2_LjRoot102",89,0,79,42,0,105,88,0,137,48,19,109,285,244,179,229,235,227,171,212,83,171,146,210,127,189,165,222,140,234,302,331,88,210,120,188,102,150,108,228,125,178,230,140
"G16_LjRoot125","G16_LjRoot125",128,14,140,94,14,188,104,5,113,59,27,168,380,333,116,153,210,252,379,480,111,115,142,141,99,87,193,116,118,130,158,108,139,102,86,180,38,135,60,134,70,167,349,98
"LjRoot82","LjRoot82",91,4,444,39,6,252,35,0,310,69,12,248,174,176,115,176,146,163,122,155,111,197,142,203,142,243,149,147,91,116,71,122,51,76,22,127,39,375,41,136,65,192,199,427
"G20_LjRoot162","G20_LjRoot162",58,5,257,56,7,284,56,0,294,42,6,386,100,97,71,196,112,103,122,106,78,231,131,171,86,164,116,209,155,191,79,135,121,249,141,202,240,218,238,248,105,261,92,166
"LjRoot183","LjRoot183",49,1,98,40,3,128,118,0,230,49,12,136,369,175,270,217,213,144,487,217,106,109,125,142,152,127,162,112,224,194,292,192,289,204,105,101,98,142,338,211,151,159,145,176
"G1_LjRoot134","G1_LjRoot134",177,12,135,58,4,76,69,51,105,80,7,79,63,54,51,78,69,64,84,48,85,97,161,140,116,141,127,131,64,82,76,91,94,124,35,107,53,72,109,93,44,77,48,81
"LjRoot71","LjRoot71",5,1,50,3,0,78,3,0,131,1,6,144,23,285,4,61,14,274,29,260,0,46,4,88,8,69,38,67,5,144,4,60,2,73,3,52,2,65,0,70,1,62,264,47
"LjRoot289","LjRoot289",71,14,74,52,2,81,74,3,80,85,21,136,8,11,39,98,22,34,47,51,31,167,41,101,30,151,80,149,60,111,23,41,43,84,4,42,45,103,19,74,66,97,17,83
"LjRoot3","LjRoot3",60,7,35,43,7,38,125,5,35,43,5,34,114,71,41,46,123,71,91,114,61,54,71,58,58,54,62,76,46,43,34,24,41,31,8,22,25,41,51,45,38,51,60,54
