"","ASVid","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_1_nod","Lj_Gifu_LjSC_1_rhizo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_2_nod","Lj_Gifu_LjSC_2_rhizo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_3_nod","Lj_Gifu_LjSC_3_rhizo","Lj_Gifu_LjSC_4_endo","Lj_Gifu_LjSC_4_nod","Lj_Gifu_LjSC_4_rhizo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_1_rhizo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_2_rhizo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_3_rhizo","Lj_ccamk_LjSC_4_endo","Lj_ccamk_LjSC_4_rhizo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_1_rhizo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_2_rhizo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_3_rhizo","Lj_nsp1_LjSC_4_endo","Lj_nsp1_LjSC_4_rhizo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_1_rhizo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_2_rhizo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_3_rhizo","Lj_nsp2_LjSC_4_endo","Lj_nsp2_LjSC_4_rhizo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_1_rhizo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_2_rhizo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_3_rhizo","Lj_symrk_LjSC_4_endo","Lj_symrk_LjSC_4_rhizo"
"LjRoot221","LjRoot221",614,42,582,619,32,635,614,22,352,805,74,431,948,935,793,742,1090,730,660,886,757,666,956,773,845,547,793,691,1187,681,1189,585,1299,744,421,614,723,734,862,796,776,727,867,610
"LjRoot149","LjRoot149",409,33,1004,199,17,723,322,7,729,240,52,663,752,652,480,773,748,752,1290,516,664,502,543,556,868,668,761,686,599,731,411,705,376,592,194,369,237,763,285,737,318,530,648,528
"LjRoot223","LjRoot223",330,11,187,527,12,133,124,0,135,117,3,179,82,155,810,112,6,6,1,3,883,176,282,180,158,205,69,130,84,63,419,374,227,289,2597,621,1290,127,975,189,1401,152,123,288
"G37_LjNodule209","G37_LjNodule209",121,1338,16,800,2862,25,1778,3900,14,1985,3073,21,5,1,8,0,0,4,0,3,0,5,9,7,3,11,31,9,0,0,7,4,0,5,0,2,0,0,12,4,15,27,0,0
"G21_LjRoot111","G21_LjRoot111",189,13,389,180,18,348,111,11,471,112,34,451,167,201,578,270,200,161,191,181,196,337,290,231,248,210,420,307,347,341,247,202,265,297,322,303,766,296,693,279,462,358,228,232
"LjRoot228","LjRoot228",1061,3224,8,920,1749,32,284,903,6,45,1356,53,0,0,0,10,4,0,0,0,26,3,5,0,0,0,0,0,10,3,0,0,12,0,3,3,5,0,1,0,11,6,6,2
"G3_LjRoot129","G3_LjRoot129",108,91,81,88,138,94,76,3,100,68,26,103,376,315,243,229,386,370,376,344,110,176,181,248,180,256,171,164,335,274,329,309,434,320,154,216,199,333,254,404,169,321,297,219
"LjRoot196","LjRoot196",317,13,203,82,5,322,91,2,282,177,25,320,204,102,225,359,164,323,117,48,464,481,378,329,100,258,197,267,142,299,103,347,55,141,17,127,126,326,85,95,264,280,98,409
"G32_LjRoot291","G32_LjRoot291",163,24,114,165,11,90,160,4,125,188,27,93,139,102,248,145,277,100,141,85,295,152,294,125,464,133,354,177,322,156,223,151,335,163,170,175,264,103,141,80,213,97,120,117
"LjRoot259","LjRoot259",183,19,260,106,15,243,162,12,275,173,19,247,59,44,177,168,151,109,50,35,139,202,207,196,192,319,195,257,173,172,201,254,216,205,87,278,129,157,107,158,135,183,63,367
"G11_LjRoot25","G11_LjRoot25",101,7,108,240,9,118,57,0,140,86,13,95,120,71,126,93,112,40,72,19,354,200,239,201,431,348,128,250,165,86,255,166,120,231,151,192,240,158,295,226,197,154,95,172
"G8_LjRoot126","G8_LjRoot126",134,108,270,163,77,356,144,44,310,94,122,345,74,128,78,203,65,151,84,126,39,154,82,232,86,182,97,222,82,263,81,239,99,224,38,249,47,114,16,152,57,146,108,129
"LjRoot17","LjRoot17",107,5,171,78,2,211,84,2,86,42,13,149,176,407,55,117,160,271,83,588,65,183,97,198,56,122,129,147,110,175,63,64,80,65,42,103,36,191,22,102,61,218,414,132
"G2_LjRoot102","G2_LjRoot102",91,0,70,44,0,84,61,0,118,51,8,110,255,182,163,235,212,235,158,204,86,142,145,187,118,170,161,181,135,196,259,251,111,209,100,198,77,148,101,191,100,160,200,124
"G16_LjRoot125","G16_LjRoot125",130,12,131,76,7,157,112,4,122,44,22,150,334,311,110,127,198,214,388,405,77,108,112,129,98,107,166,96,116,112,125,97,109,77,64,135,36,116,47,106,64,163,284,122
"LjRoot82","LjRoot82",93,2,408,49,3,263,29,0,296,64,11,233,141,160,94,172,164,141,110,148,107,185,123,179,140,218,114,152,97,108,55,131,45,63,24,105,30,327,44,108,60,166,153,376
"G20_LjRoot162","G20_LjRoot162",63,2,198,57,4,261,34,0,290,39,9,340,96,88,68,186,104,116,78,84,84,201,111,127,129,151,115,174,136,195,102,133,120,229,121,179,212,196,229,230,87,239,98,148
"LjRoot183","LjRoot183",47,2,75,32,5,113,106,0,198,65,18,119,330,160,232,190,202,117,455,190,124,129,115,133,148,132,153,89,211,150,291,184,253,179,107,131,81,155,268,203,135,144,149,139
"G1_LjRoot134","G1_LjRoot134",137,12,108,55,5,75,57,71,86,86,5,55,52,46,54,89,70,60,64,60,70,96,130,132,138,153,114,130,70,85,78,75,87,102,29,89,60,63,82,75,45,72,41,82
"LjRoot71","LjRoot71",1,0,35,5,0,62,1,0,150,0,1,95,18,234,3,67,9,220,27,242,3,49,4,80,9,36,46,76,5,113,3,57,1,78,0,54,1,47,1,63,1,57,262,35
"LjRoot289","LjRoot289",89,12,81,39,1,67,57,5,72,73,26,123,8,9,29,98,25,36,51,48,25,129,34,105,30,112,87,134,57,80,16,38,36,89,3,39,33,80,15,79,59,65,12,87
"LjRoot3","LjRoot3",71,5,44,46,6,34,127,4,35,35,11,32,111,65,52,52,91,67,101,112,46,46,54,52,36,52,79,66,44,32,29,32,38,27,9,33,26,47,40,50,30,50,65,52
"G4_LjRoot26","G4_LjRoot26",11,2,25,13,4,57,14,0,46,18,7,70,34,71,27,47,26,48,33,75,12,42,28,71,28,44,39,44,28,84,28,58,47,63,26,76,20,39,17,57,12,54,61,33
"LjRoot18","LjRoot18",13,0,29,11,0,25,25,0,31,16,2,60,3,8,32,56,15,12,1,8,31,62,27,50,26,67,40,63,23,28,60,72,65,73,33,123,12,48,46,141,14,82,13,132
