"","ASVid","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_1_nod","Lj_Gifu_LjSC_1_rhizo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_2_nod","Lj_Gifu_LjSC_2_rhizo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_3_nod","Lj_Gifu_LjSC_3_rhizo","Lj_Gifu_LjSC_4_endo","Lj_Gifu_LjSC_4_nod","Lj_Gifu_LjSC_4_rhizo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_1_rhizo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_2_rhizo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_3_rhizo","Lj_ccamk_LjSC_4_endo","Lj_ccamk_LjSC_4_rhizo","Lj_f6h1_LjSC_1_endo","Lj_f6h1_LjSC_1_nod","Lj_f6h1_LjSC_1_rhizo","Lj_f6h1_LjSC_2_endo","Lj_f6h1_LjSC_2_nod","Lj_f6h1_LjSC_2_rhizo","Lj_f6h1_LjSC_3_endo","Lj_f6h1_LjSC_3_nod","Lj_f6h1_LjSC_3_rhizo","Lj_f6h1_LjSC_4_endo","Lj_f6h1_LjSC_4_nod","Lj_f6h1_LjSC_4_rhizo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_1_rhizo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_2_rhizo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_3_rhizo","Lj_nsp1_LjSC_4_endo","Lj_nsp1_LjSC_4_rhizo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_1_rhizo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_2_rhizo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_3_rhizo","Lj_nsp2_LjSC_4_endo","Lj_nsp2_LjSC_4_rhizo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_1_rhizo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_2_rhizo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_3_rhizo","Lj_symrk_LjSC_4_endo","Lj_symrk_LjSC_4_rhizo"
"LjRoot221","LjRoot221",637,42,554,629,24,675,586,15,338,842,73,465,988,878,770,716,1030,794,660,866,779,59,577,737,29,473,1218,18,459,791,32,667,706,655,930,703,768,554,732,656,1186,682,1164,579,1273,779,397,663,678,762,924,799,780,747,963,620
"LjRoot149","LjRoot149",410,49,1023,195,20,746,330,7,748,210,57,683,749,618,463,852,803,795,1272,533,404,78,700,343,20,810,393,16,581,320,23,635,726,493,574,566,886,656,733,716,638,694,403,710,408,612,181,400,265,762,267,720,287,512,612,524
"G37_LjNodule209","G37_LjNodule209",168,1360,16,766,2883,15,1809,3886,9,1966,3021,25,4,2,5,0,0,4,0,4,1132,984,7,1624,1075,24,161,1936,14,741,2667,29,0,5,4,5,10,8,17,6,0,0,11,6,0,6,0,3,0,0,6,5,24,34,0,0
"LjRoot228","LjRoot228",1038,3182,12,837,1748,45,265,923,12,71,1440,51,0,0,0,8,3,0,4,0,157,3465,18,168,3622,0,29,2860,5,89,2083,23,45,3,6,0,0,0,0,0,7,6,0,0,17,0,2,8,4,5,3,0,8,11,1,5
"LjRoot223","LjRoot223",353,7,165,599,16,158,148,1,167,92,7,162,75,102,836,112,15,7,3,6,21,3,24,77,1,117,89,1,70,414,1,143,872,182,234,216,162,241,67,142,91,55,425,339,223,262,2586,567,1260,139,1010,193,1385,147,157,302
"G21_LjRoot111","G21_LjRoot111",194,14,401,193,18,370,108,7,446,94,31,470,164,203,532,269,192,185,185,187,204,36,355,104,18,328,164,17,449,262,29,282,224,325,336,218,282,216,433,278,424,309,237,271,271,300,327,335,767,323,634,288,478,311,192,240
"G3_LjRoot129","G3_LjRoot129",122,84,96,84,118,94,92,7,119,83,29,98,418,336,272,230,372,322,372,320,184,38,208,110,25,113,202,16,130,121,23,156,104,200,207,284,172,239,205,156,341,304,347,307,447,302,158,218,213,332,248,382,152,305,302,235
"LjRoot196","LjRoot196",328,12,216,89,3,299,92,2,319,242,27,260,190,97,213,360,186,317,122,64,294,17,354,151,7,293,331,2,314,129,0,177,445,495,354,361,104,236,209,282,171,300,105,322,45,115,19,91,115,284,77,107,267,318,113,416
"G8_LjRoot126","G8_LjRoot126",135,114,259,147,84,315,124,43,341,102,85,356,85,128,94,199,61,171,76,147,190,183,390,171,104,394,150,56,379,131,73,401,40,166,71,209,91,166,91,246,68,245,83,260,92,242,37,265,38,140,24,146,40,153,103,130
"LjRoot259","LjRoot259",174,15,221,111,10,212,131,13,293,146,20,214,52,59,200,153,172,115,73,45,84,8,139,199,17,275,283,10,268,171,5,271,132,179,230,169,188,323,194,250,182,138,222,232,218,254,85,284,125,163,115,175,134,157,58,347
"G32_LjRoot291","G32_LjRoot291",171,22,84,165,11,107,184,12,135,199,30,104,138,129,212,160,255,117,118,69,132,17,92,205,14,130,272,13,76,220,11,101,282,131,291,138,487,159,362,176,297,148,239,137,358,140,180,152,259,116,162,92,195,98,129,133
"G11_LjRoot25","G11_LjRoot25",90,13,137,234,7,111,39,0,107,74,22,98,86,76,127,94,119,33,67,12,35,3,63,68,1,118,98,3,141,393,5,175,363,191,265,172,460,303,129,254,143,59,247,182,93,227,169,247,242,141,266,232,226,136,95,191
"G16_LjRoot125","G16_LjRoot125",114,16,139,83,7,139,102,7,104,52,27,152,328,307,100,111,200,215,357,402,180,25,179,66,9,161,156,2,106,61,7,133,79,138,109,132,96,113,149,99,91,120,155,105,109,95,76,148,47,117,53,102,75,158,323,104
"LjRoot17","LjRoot17",90,6,155,79,5,220,83,1,102,48,11,136,155,401,54,120,145,276,93,575,98,10,245,55,5,114,64,0,116,38,3,142,49,200,109,219,45,144,134,142,97,203,41,71,75,60,36,101,36,189,22,128,45,237,390,121
"LjRoot82","LjRoot82",63,5,402,37,3,234,28,0,256,58,5,205,129,181,117,165,129,134,123,131,66,0,237,73,0,347,60,3,253,49,0,204,83,150,129,152,125,225,128,149,86,109,62,136,57,62,19,95,33,322,40,145,81,184,171,355
"G2_LjRoot102","G2_LjRoot102",73,0,72,50,0,105,86,0,110,35,4,111,248,211,188,232,230,229,158,205,89,0,119,38,0,85,116,0,125,78,0,134,80,160,139,184,128,154,158,208,113,214,259,289,105,182,111,193,72,134,109,228,106,166,196,118
"G20_LjRoot162","G20_LjRoot162",58,5,227,75,4,278,38,0,292,40,8,354,107,84,78,178,107,84,122,100,63,0,180,52,0,233,49,0,339,115,3,281,81,205,125,137,106,158,121,171,137,185,79,137,114,228,125,164,237,175,185,207,84,224,81,138
"LjRoot183","LjRoot183",38,3,84,44,2,96,109,0,189,53,8,117,301,145,234,199,213,117,459,211,64,5,100,50,1,89,112,1,107,69,6,160,126,112,104,132,133,121,175,105,195,199,256,165,276,170,104,106,108,110,273,184,144,157,155,171
"G1_LjRoot134","G1_LjRoot134",153,17,127,50,3,65,72,63,68,77,9,71,62,49,40,97,65,58,78,53,83,3,80,111,3,92,226,6,111,208,0,72,76,82,137,133,125,148,128,118,56,61,59,74,81,120,30,88,55,72,83,69,48,62,42,91
"LjRoot71","LjRoot71",1,1,46,7,0,72,1,0,117,3,3,116,14,257,4,62,8,241,29,192,2,0,227,0,0,46,0,0,101,0,0,49,2,59,7,81,7,44,35,65,9,137,2,53,8,71,5,51,2,59,0,69,1,67,225,52
"LjRoot289","LjRoot289",70,10,66,48,7,75,62,2,86,92,24,123,7,6,25,86,22,36,54,42,70,8,74,65,8,141,124,6,194,57,1,109,26,141,32,93,29,145,89,131,58,90,15,39,42,63,8,41,51,83,20,64,44,79,10,81
"LjRoot3","LjRoot3",70,4,32,48,5,43,103,5,43,35,8,28,101,68,61,41,103,62,64,103,82,10,48,47,8,52,50,5,41,32,3,38,49,60,48,51,48,55,68,62,32,31,31,16,39,24,11,22,26,59,48,45,39,62,61,55
"G4_LjRoot26","G4_LjRoot26",12,1,29,9,2,43,14,0,33,8,2,67,25,58,22,60,20,47,32,85,23,3,57,8,3,38,22,1,60,14,0,55,8,38,27,71,21,43,44,70,42,82,29,50,43,71,29,74,18,47,22,54,24,65,73,20
"LjRoot18","LjRoot18",12,1,27,6,1,30,25,0,34,11,1,52,1,10,26,66,13,9,1,5,4,0,6,30,0,41,34,0,46,18,3,89,25,45,29,48,36,59,40,51,19,22,80,67,86,56,23,117,13,42,47,107,19,91,14,119
"G6_LjRoot130","G6_LjRoot130",23,0,17,15,0,30,29,0,35,19,4,36,35,26,36,50,59,40,36,22,37,8,42,23,0,48,50,4,41,45,0,54,16,41,40,51,23,60,58,37,35,64,35,71,29,70,14,58,18,33,29,52,17,48,23,54
"G17_LjRoot232","G17_LjRoot232",17,0,55,0,0,72,4,0,105,12,9,68,14,26,16,37,24,36,20,20,23,2,45,12,0,46,14,1,62,8,3,25,32,70,32,50,48,32,0,30,27,117,20,27,26,50,32,47,12,44,8,33,11,31,28,34
"LjRoot227","LjRoot227",41,1,16,40,2,23,45,4,18,46,2,16,7,9,49,29,16,14,5,11,16,0,8,64,4,28,68,0,25,59,3,36,21,37,33,16,45,35,34,28,48,16,54,22,79,39,42,50,24,17,24,11,35,21,6,33
"LjRoot219","LjRoot219",26,2,25,49,0,27,34,1,20,42,2,28,40,26,12,23,41,26,26,27,55,5,32,44,1,56,28,0,23,56,1,19,24,28,13,15,34,36,35,31,40,24,30,19,30,25,18,14,18,30,21,15,22,23,17,27
"LjRoot243","LjRoot243",27,1,12,44,4,6,27,0,8,41,0,18,20,11,28,24,33,12,23,12,24,0,12,25,0,32,54,7,15,51,3,25,33,17,42,19,51,14,79,33,44,15,48,14,57,24,23,28,36,12,52,22,24,13,19,11
"LjRoot122","LjRoot122",23,0,41,11,0,63,9,0,43,8,0,41,93,166,14,61,67,201,53,213,37,0,94,8,0,50,11,0,52,0,0,39,2,41,9,53,12,36,37,49,21,104,13,35,12,51,22,88,3,36,7,42,7,60,136,34
"G12_LjRoot70","G12_LjRoot70",16,0,33,6,0,19,0,0,49,15,0,55,18,28,0,0,31,41,11,0,26,0,42,0,0,27,15,0,28,0,0,20,17,60,49,58,0,35,0,21,14,36,0,26,0,18,0,12,0,18,9,14,18,43,15,19
