ASVid	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_f6h1_LjSC_1_endo	Lj_f6h1_LjSC_1_nod	Lj_f6h1_LjSC_1_rhizo	Lj_f6h1_LjSC_2_endo	Lj_f6h1_LjSC_2_nod	Lj_f6h1_LjSC_2_rhizo	Lj_f6h1_LjSC_3_endo	Lj_f6h1_LjSC_3_nod	Lj_f6h1_LjSC_3_rhizo	Lj_f6h1_LjSC_4_endo	Lj_f6h1_LjSC_4_nod	Lj_f6h1_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
LjRoot221	674	40	597	706	21	744	567	22	378	867	87	483	1020	1029	828	747	1083	891	739	921	811	57	598	728	35	478	1283	24	442	855	35	752	825	726	994	850	935	572	720	804	1266	742	1345	629	1426	782	492	753	809	785	973	883	878	882	1053	703
LjRoot149	485	54	1121	230	20	796	340	13	799	287	75	735	835	687	524	889	830	790	1407	563	454	75	743	304	35	790	401	14	586	396	35	655	744	517	616	601	984	744	783	699	723	755	427	676	387	679	192	390	312	839	303	806	351	559	719	609
G37_LjNodule209	141	1552	24	812	3364	12	1964	4529	14	2175	3476	34	9	2	11	0	0	7	0	2	1219	1090	9	1769	1249	31	183	2212	8	826	3111	19	0	6	7	7	8	5	27	8	0	0	8	5	0	6	0	1	0	0	7	6	18	40	0	0
LjRoot228	1122	3641	12	957	1921	39	273	1010	2	64	1588	58	0	0	0	15	7	0	1	0	209	3982	20	173	4103	0	41	3336	9	105	2312	13	35	10	3	0	0	0	0	0	7	4	0	0	14	0	10	2	5	1	5	0	13	11	2	4
LjRoot223	356	11	197	615	22	157	132	3	161	129	6	177	106	123	920	110	11	11	7	6	31	4	19	84	2	128	80	3	77	421	1	157	1004	198	262	213	158	233	56	142	117	53	451	385	219	310	2947	684	1422	138	1070	212	1594	161	150	341
G21_LjRoot111	230	19	416	218	20	413	132	10	535	112	32	447	215	245	603	285	193	204	240	196	207	50	387	141	26	373	196	10	504	298	29	332	259	364	389	242	276	238	412	265	422	359	240	282	287	358	333	389	812	365	739	309	509	349	242	226
G3_LjRoot129	116	103	94	106	159	142	73	12	124	87	41	137	389	379	294	251	428	335	401	353	170	51	212	117	11	115	187	12	166	132	13	156	108	192	189	284	207	272	172	200	381	312	401	381	483	348	164	237	198	353	284	402	188	315	361	244
LjRoot196	364	12	238	101	11	355	117	1	329	221	24	337	240	104	196	411	176	321	122	66	292	14	417	195	6	348	373	2	335	143	0	236	524	506	417	355	107	292	209	310	187	315	111	359	60	137	30	112	153	339	98	106	304	324	125	470
G8_LjRoot126	164	125	298	201	91	374	114	45	360	106	116	385	72	157	117	236	66	188	79	188	248	183	453	190	137	383	183	52	383	125	113	413	37	183	84	257	101	212	104	241	67	295	73	261	103	276	36	254	39	134	25	177	57	167	122	137
LjRoot259	201	10	255	103	8	217	170	9	322	166	29	250	60	70	222	180	181	142	67	48	106	10	154	190	16	304	298	3	252	186	5	296	168	199	241	201	220	349	196	279	216	190	242	291	228	263	83	295	139	184	143	217	134	161	73	406
