	chao1
Lj_Gifu_LjSC_1_endo	84.625
Lj_Gifu_LjSC_1_nod	57.0
Lj_Gifu_LjSC_1_rhizo	70.3
Lj_Gifu_LjSC_2_endo	67.6
Lj_Gifu_LjSC_2_nod	48.27272727272727
Lj_Gifu_LjSC_2_rhizo	75.5
Lj_Gifu_LjSC_3_endo	72.2
Lj_Gifu_LjSC_3_nod	31.25
Lj_Gifu_LjSC_3_rhizo	74.42857142857143
Lj_Gifu_LjSC_4_endo	88.0
Lj_Gifu_LjSC_4_nod	47.2
Lj_Gifu_LjSC_4_rhizo	83.0
Lj_ccamk_LjSC_1_endo	66.5
Lj_ccamk_LjSC_1_rhizo	66.25
Lj_ccamk_LjSC_2_endo	56.0
Lj_ccamk_LjSC_2_rhizo	63.2
Lj_ccamk_LjSC_3_endo	69.2
Lj_ccamk_LjSC_3_rhizo	78.875
Lj_ccamk_LjSC_4_endo	83.42857142857143
Lj_ccamk_LjSC_4_rhizo	71.66666666666667
Lj_f6h1_LjSC_1_endo	67.6
Lj_f6h1_LjSC_1_nod	38.5
Lj_f6h1_LjSC_1_rhizo	73.42857142857143
Lj_f6h1_LjSC_2_endo	68.125
Lj_f6h1_LjSC_2_nod	38.0
Lj_f6h1_LjSC_2_rhizo	60.0
Lj_f6h1_LjSC_3_endo	80.14285714285714
Lj_f6h1_LjSC_3_nod	42.0
Lj_f6h1_LjSC_3_rhizo	76.5
Lj_f6h1_LjSC_4_endo	65.5
Lj_f6h1_LjSC_4_nod	37.6
Lj_f6h1_LjSC_4_rhizo	73.0
Lj_nsp1_LjSC_1_endo	71.66666666666667
Lj_nsp1_LjSC_1_rhizo	72.0
Lj_nsp1_LjSC_2_endo	77.5
Lj_nsp1_LjSC_2_rhizo	73.25
Lj_nsp1_LjSC_3_endo	76.5
Lj_nsp1_LjSC_3_rhizo	69.85714285714286
Lj_nsp1_LjSC_4_endo	52.0
Lj_nsp1_LjSC_4_rhizo	65.0
Lj_nsp2_LjSC_1_endo	73.0
Lj_nsp2_LjSC_1_rhizo	70.6
Lj_nsp2_LjSC_2_endo	75.0
Lj_nsp2_LjSC_2_rhizo	69.2
Lj_nsp2_LjSC_3_endo	67.5
Lj_nsp2_LjSC_3_rhizo	82.0
Lj_nsp2_LjSC_4_endo	70.2
Lj_nsp2_LjSC_4_rhizo	73.0
Lj_symrk_LjSC_1_endo	62.166666666666664
Lj_symrk_LjSC_1_rhizo	74.14285714285714
Lj_symrk_LjSC_2_endo	74.25
Lj_symrk_LjSC_2_rhizo	72.5
Lj_symrk_LjSC_3_endo	73.66666666666667
Lj_symrk_LjSC_3_rhizo	71.6
Lj_symrk_LjSC_4_endo	76.0
Lj_symrk_LjSC_4_rhizo	68.2
