	chao1
Lj_Gifu_LjSC_1_endo	64.66666666666667
Lj_Gifu_LjSC_1_nod	44.0
Lj_Gifu_LjSC_1_rhizo	57.333333333333336
Lj_Gifu_LjSC_2_endo	56.5
Lj_Gifu_LjSC_2_nod	32.857142857142854
Lj_Gifu_LjSC_2_rhizo	65.0
Lj_Gifu_LjSC_3_endo	56.5
Lj_Gifu_LjSC_3_nod	25.75
Lj_Gifu_LjSC_3_rhizo	69.5
Lj_Gifu_LjSC_4_endo	79.0
Lj_Gifu_LjSC_4_nod	40.666666666666664
Lj_Gifu_LjSC_4_rhizo	64.0
Lj_ccamk_LjSC_1_endo	56.0
Lj_ccamk_LjSC_1_rhizo	61.5
Lj_ccamk_LjSC_2_endo	45.0
Lj_ccamk_LjSC_2_rhizo	57.125
Lj_ccamk_LjSC_3_endo	58.0
Lj_ccamk_LjSC_3_rhizo	63.0
Lj_ccamk_LjSC_4_endo	54.75
Lj_ccamk_LjSC_4_rhizo	65.0
Lj_f6h1_LjSC_1_endo	54.0
Lj_f6h1_LjSC_1_nod	29.333333333333332
Lj_f6h1_LjSC_1_rhizo	68.75
Lj_f6h1_LjSC_2_endo	53.0
Lj_f6h1_LjSC_2_nod	32.333333333333336
Lj_f6h1_LjSC_2_rhizo	51.0
Lj_f6h1_LjSC_3_endo	67.5
Lj_f6h1_LjSC_3_nod	34.0
Lj_f6h1_LjSC_3_rhizo	64.0
Lj_f6h1_LjSC_4_endo	53.0
Lj_f6h1_LjSC_4_nod	27.5
Lj_f6h1_LjSC_4_rhizo	57.0
Lj_nsp1_LjSC_1_endo	59.1
Lj_nsp1_LjSC_1_rhizo	64.5
Lj_nsp1_LjSC_2_endo	57.75
Lj_nsp1_LjSC_2_rhizo	62.666666666666664
Lj_nsp1_LjSC_3_endo	52.333333333333336
Lj_nsp1_LjSC_3_rhizo	61.5
Lj_nsp1_LjSC_4_endo	38.0
Lj_nsp1_LjSC_4_rhizo	54.0
Lj_nsp2_LjSC_1_endo	62.0
Lj_nsp2_LjSC_1_rhizo	59.333333333333336
Lj_nsp2_LjSC_2_endo	55.5
Lj_nsp2_LjSC_2_rhizo	55.0
Lj_nsp2_LjSC_3_endo	49.0
Lj_nsp2_LjSC_3_rhizo	64.16666666666667
Lj_nsp2_LjSC_4_endo	52.0
Lj_nsp2_LjSC_4_rhizo	60.333333333333336
Lj_symrk_LjSC_1_endo	54.0
Lj_symrk_LjSC_1_rhizo	63.6
Lj_symrk_LjSC_2_endo	55.0
Lj_symrk_LjSC_2_rhizo	68.2
Lj_symrk_LjSC_3_endo	56.75
Lj_symrk_LjSC_3_rhizo	67.5
Lj_symrk_LjSC_4_endo	69.0
Lj_symrk_LjSC_4_rhizo	57.0
