"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"symrk-WT",-0.000396440296747087,-0.00156522290288838,0.000772342309394204,0.829576705716272,"Actinomycetales","Root"
"ccamk-WT",-0.000584950594301154,-0.00175373320044245,0.000583832011840138,0.55106384543759,"Actinomycetales","Root"
"nsp1-WT",-0.0007795081608542,-0.00194829076699549,0.000389274445287091,0.286567179642517,"Actinomycetales","Root"
"nsp2-WT",-0.000823002273194222,-0.00199178487933551,0.00034578033294707,0.241380881782083,"Actinomycetales","Root"
"ccamk-symrk",-0.000188510297554067,-0.00135729290369536,0.000980272308587225,0.98631609172402,"Actinomycetales","Root"
"nsp1-symrk",-0.000383067864107113,-0.0015518504702484,0.000785714742034178,0.845919511906656,"Actinomycetales","Root"
"nsp2-symrk",-0.000426561976447135,-0.00159534458258843,0.000742220629694157,0.790211180487759,"Actinomycetales","Root"
"nsp1-ccamk",-0.000194557566553046,-0.00136334017269434,0.000974225039588245,0.984615597095294,"Actinomycetales","Root"
"nsp2-ccamk",-0.000238051678893068,-0.00140683428503436,0.000930730927248223,0.967966117265068,"Actinomycetales","Root"
"nsp2-nsp1",-4.34941123400214e-05,-0.00121227671848131,0.00112528849380127,0.999955576745738,"Actinomycetales","Root"
"symrk-WT",0,0,0,NA,"Bacillales","Root"
"ccamk-WT",0,0,0,NA,"Bacillales","Root"
"nsp1-WT",0,0,0,NA,"Bacillales","Root"
"nsp2-WT",0,0,0,NA,"Bacillales","Root"
"ccamk-symrk",0,0,0,NA,"Bacillales","Root"
"nsp1-symrk",0,0,0,NA,"Bacillales","Root"
"nsp2-symrk",0,0,0,NA,"Bacillales","Root"
"nsp1-ccamk",0,0,0,NA,"Bacillales","Root"
"nsp2-ccamk",0,0,0,NA,"Bacillales","Root"
"nsp2-nsp1",0,0,0,NA,"Bacillales","Root"
"symrk-WT",0.190894490294808,-0.0286454773846922,0.410434457974307,0.103847633462249,"Burkholderiales","Root"
"ccamk-WT",0.114709419802682,-0.104830547876818,0.334249387482181,0.511603254589895,"Burkholderiales","Root"
"nsp1-WT",0.111741739069796,-0.107798228609704,0.331281706749295,0.535739535127383,"Burkholderiales","Root"
"nsp2-WT",0.176975028986823,-0.0425649386926769,0.396514996666323,0.145447737719148,"Burkholderiales","Root"
"ccamk-symrk",-0.0761850704921261,-0.295725038171626,0.143354897187374,0.817973540452844,"Burkholderiales","Root"
"nsp1-symrk",-0.0791527512250121,-0.298692718904512,0.140387216454488,0.79720035736106,"Burkholderiales","Root"
"nsp2-symrk",-0.0139194613079847,-0.233459428987485,0.205620506371515,0.999631161957624,"Burkholderiales","Root"
"nsp1-ccamk",-0.002967680732886,-0.222507648412386,0.216572286946614,0.999999221288304,"Burkholderiales","Root"
"nsp2-ccamk",0.0622656091841414,-0.157274358495358,0.281805576863641,0.901398768608677,"Burkholderiales","Root"
"nsp2-nsp1",0.0652332899170274,-0.154306677762472,0.284773257596527,0.885753005947719,"Burkholderiales","Root"
"symrk-WT",-0.000194318365927967,-0.0525542032975576,0.0521655665657016,0.999999995571707,"Caulobacterales","Root"
"ccamk-WT",0.00285344444452844,-0.0495064404871011,0.055213329376158,0.999797493210792,"Caulobacterales","Root"
"nsp1-WT",0.0452326188310863,-0.00712726610054329,0.0975925037627159,0.107068338149462,"Caulobacterales","Root"
"nsp2-WT",0.0184819543224091,-0.0338779306092205,0.0708418392540386,0.808930001317152,"Caulobacterales","Root"
