feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonadales	Genotype	symrk	1.75708456450549	0.275908009792915	20	20	1.26228883265377e-05	0.000403932426449206
Rhizobiales	Genotype	symrk	-1.33861911355894	0.278187091917612	20	20	0.000228476652412411	0.00358276174588446
Rhizobiales	Genotype	ccamk	-1.24397908986037	0.278187091917612	20	20	0.000447845218235557	0.00358276174588446
Rhizobiales	Genotype	nsp1	-1.25794187433566	0.278187091917612	20	20	0.000405206571459319	0.00358276174588446
Rhizobiales	Genotype	nsp2	-1.18195652969036	0.278187091917612	20	20	0.000700445929296184	0.00448285394749558
Pseudomonadales	Genotype	nsp1	1.0324968700847	0.275908009792915	20	20	0.00196211282138051	0.00896965861202519
Pseudomonadales	Genotype	nsp2	1.0459671065398	0.275908009792915	20	20	0.00177560672856575	0.00896965861202519
Flavobacteriales	Genotype	ccamk	1.43792516200283	0.39278768755412	20	20	0.00231787052152093	0.00927148208608372
Burkholderiales	Genotype	symrk	0.873255057054853	0.263903437403903	20	20	0.00477011201749103	0.0152643584559713
Flavobacteriales	Genotype	nsp1	1.31560805772811	0.39278768755412	20	20	0.00439062825234674	0.0152643584559713
Pseudomonadales	Genotype	ccamk	0.857431933721532	0.275908009792915	20	20	0.00720342392759635	0.0209554150620985
Burkholderiales	Genotype	nsp2	0.768502935734777	0.263903437403903	20	20	0.0107289561711228	0.0286105497896607
Xanthomonadales	Genotype	ccamk	1.16096968058507	0.471372944631333	20	20	0.0263615171171201	0.0648898882882956
Burkholderiales	Genotype	ccamk	0.602520593615126	0.263903437403903	20	20	0.0374250952624794	0.0846823256811257
Caulobacterales	Genotype	nsp1	0.571415244314979	0.253677452800415	20	20	0.0396948401630277	0.0846823256811257
Burkholderiales	Genotype	nsp1	0.578770407774323	0.263903437403903	20	20	0.0444759448614138	0.0889518897228276
Actinomycetales	Genotype	nsp2	-2.59505484190223	1.25886873404167	20	17	0.0570377027001329	0.107365087435544
Actinomycetales	Genotype	nsp1	-2.42954254268313	1.25886873404167	20	17	0.0727466704689951	0.129327414167102
Sphingomonadales	Genotype	nsp2	0.401491512974646	0.222768194236147	20	20	0.0916279058103278	0.154320683470026
Actinomycetales	Genotype	symrk	-1.74391002109763	1.25886873404167	20	17	0.186217009468494	0.283759252523419
Actinomycetales	Genotype	ccamk	-1.77566500477403	1.25886873404167	20	17	0.178785609459928	0.283759252523419
Sphingomonadales	Genotype	symrk	-0.275006985650203	0.222768194236147	20	20	0.236007883164089	0.343284193693221
Xanthomonadales	Genotype	nsp2	0.474094040713415	0.471372944631333	20	20	0.330474870366363	0.459791123987984
Caulobacterales	Genotype	nsp2	0.20682037260456	0.253677452800415	20	20	0.427663301740413	0.526354832911277
Flavobacteriales	Genotype	nsp2	0.32640292692964	0.39278768755412	20	20	0.419010372667658	0.526354832911277
Xanthomonadales	Genotype	nsp1	0.393321206199383	0.471372944631333	20	20	0.417137888557689	0.526354832911277
Flavobacteriales	Genotype	symrk	0.27930261600652	0.39278768755412	20	20	0.48794684100993	0.57830736712288
Sphingomonadales	Genotype	nsp1	0.05859753586081	0.222768194236147	20	20	0.796096494161818	0.909824564756363
Caulobacterales	Genotype	symrk	-0.0375435903391557	0.253677452800415	20	20	0.884315984407271	0.943270383367756
Sphingomonadales	Genotype	ccamk	-0.0346399963218922	0.222768194236147	20	20	0.878502020934412	0.943270383367756
Caulobacterales	Genotype	ccamk	0.00909508919252269	0.253677452800415	20	20	0.971872378225679	0.994929085721657
Xanthomonadales	Genotype	symrk	-0.00304611988310331	0.471372944631333	20	20	0.994929085721657	0.994929085721657
