feature	Actinomycetales	Burkholderiales	Caulobacterales	Flavobacteriales	Pseudomonadales	Rhizobiales	Sphingomonadales	Xanthomonadales
Lj_Gifu_LjSC_1_endo	-9.48314397513762	-1.75253976887183	-3.35079081674547	-3.32859231636624	-4.08121655818503	-1.30109817246492	-6.5762533795291	-5.11329794605219
Lj_Gifu_LjSC_2_endo	-9.86310216829392	-1.84051241925381	-3.5895862785918	-4.39061439683117	-4.25903084462506	-0.980948251006905	-6.50977887713102	-5.70929683221488
Lj_Gifu_LjSC_3_endo	-10.6222552308125	-2.50485262268787	-3.47967539125407	-3.89383077797661	-4.80633829525147	-0.760938523121668	-6.41135844831388	-5.12447730052572
Lj_Gifu_LjSC_4_endo	-9.65924995322376	-2.43955339211364	-3.46619507694289	-4.05366942142411	-4.90825374145957	-0.728405116309767	-6.30875270613963	-6.13454797732008
Lj_symrk_LjSC_1_endo	-13.8503089457501	-1.16550554602822	-3.36523438205148	-4.09751018731458	-2.3240542519215	-2.4985415017902	-6.62872182448529	-6.39292806667756
Lj_symrk_LjSC_2_endo	-12.2767241915716	-1.16326688174751	-3.98901181202218	-4.06028145241114	-2.49352130150724	-2.14663632381589	-6.8694564273269	-5.76299659561919
Lj_symrk_LjSC_3_endo	-11.6293201879267	-0.976116825892677	-3.59457623860192	-3.71906722512738	-3.13586498700048	-2.3784533322506	-6.57794808620563	-5.95915967380002
Lj_symrk_LjSC_4_endo	-8.84702022608472	-1.7393878821089	-3.08745541717261	-2.67292284222857	-3.07376381125906	-2.10229795914813	-6.83002715517142	-3.9787023390233
Lj_ccamk_LjSC_1_endo	-10.7534674855074	-1.50839021014774	-3.60931911899852	-2.47223290086039	-3.99191625306293	-2.03014784581652	-6.58354248406509	-3.88557102151475
Lj_ccamk_LjSC_2_endo	-14.8503089457501	-1.24095062733803	-3.33829995451415	-3.15397129980883	-2.93268466157705	-2.36858857659192	-6.21356857094944	-5.17880315278877
Lj_ccamk_LjSC_3_endo	-10.0018449409061	-1.74624653808315	-3.00145633617894	-2.4304191945197	-3.90199837519994	-1.88828238208291	-6.57211355648423	-4.53846150399423
Lj_ccamk_LjSC_4_endo	-11.1247675358225	-1.63174030937102	-3.90059948959617	-1.85838485120078	-3.79911314947683	-2.46028959965627	-6.57548076670531	-3.83490763727771
Lj_nsp1_LjSC_1_endo	-11.839967921305	-1.14668596487757	-3.2016384910612	-2.72194294240479	-3.85865248456994	-2.39483132388237	-7.00856752528076	-5.57649158100892
Lj_nsp1_LjSC_2_endo	-10.381438287981	-1.52425990485797	-2.99773399550699	-2.86345148217837	-3.3540673164649	-2.01793935260275	-6.2561498145411	-5.0024792480573
Lj_nsp1_LjSC_3_endo	-12.2711063305076	-1.75650184953144	-2.61706707346319	-2.27848264975	-3.60814131778518	-2.22883896004145	-6.12361871818506	-5.31949781460989
Lj_nsp1_LjSC_4_endo	-14.8503089457501	-1.795010624925	-2.78107143396712	-2.53732201507672	-3.10151400096532	-2.16733255682579	-6.18034161738765	-4.6023655469826
Lj_nsp2_LjSC_1_endo	-10.5901071752962	-1.79510821674225	-2.97125111135789	-2.81295725478163	-3.17984609737038	-1.77386194412764	-6.27559655197128	-5.28211827136667
Lj_nsp2_LjSC_2_endo	-12.3475598555726	-1.39263656354227	-3.18684803229161	-3.41255855320712	-3.86240141181692	-1.7914796258863	-5.94573221351135	-4.59564391994041
Lj_nsp2_LjSC_3_endo	-14.8503089457501	-1.68640872114349	-2.87297686552613	-3.52732349760461	-3.47658253741207	-1.67790816334054	-5.39883399866045	-4.64409702026371
Lj_nsp2_LjSC_4_endo	-12.2196323998192	-0.588758590577878	-4.02750400440846	-4.60786983975431	-3.35627206803283	-3.25558038877833	-6.57962853554006	-5.66299862215651
