feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonadales	Genotype	symrk	1.75708456450549	0.275908009792915	20	20	1.26228883265377e-05	0.000403932426449206
Rhizobiales	Genotype	symrk	-1.33861911355894	0.278187091917612	20	20	0.000228476652412411	0.00358276174588446
Rhizobiales	Genotype	ccamk	-1.24397908986037	0.278187091917612	20	20	0.000447845218235557	0.00358276174588446
Rhizobiales	Genotype	nsp1	-1.25794187433566	0.278187091917612	20	20	0.000405206571459319	0.00358276174588446
Rhizobiales	Genotype	nsp2	-1.18195652969036	0.278187091917612	20	20	0.000700445929296184	0.00448285394749558
Pseudomonadales	Genotype	nsp1	1.0324968700847	0.275908009792915	20	20	0.00196211282138051	0.00896965861202519
Pseudomonadales	Genotype	nsp2	1.0459671065398	0.275908009792915	20	20	0.00177560672856575	0.00896965861202519
Flavobacteriales	Genotype	ccamk	1.43792516200283	0.39278768755412	20	20	0.00231787052152093	0.00927148208608372
Burkholderiales	Genotype	symrk	0.873255057054853	0.263903437403903	20	20	0.00477011201749103	0.0152643584559713
Flavobacteriales	Genotype	nsp1	1.31560805772811	0.39278768755412	20	20	0.00439062825234674	0.0152643584559713
Pseudomonadales	Genotype	ccamk	0.857431933721532	0.275908009792915	20	20	0.00720342392759635	0.0209554150620985
Burkholderiales	Genotype	nsp2	0.768502935734777	0.263903437403903	20	20	0.0107289561711228	0.0286105497896607
Xanthomonadales	Genotype	ccamk	1.16096968058507	0.471372944631333	20	20	0.0263615171171201	0.0648898882882956
Burkholderiales	Genotype	ccamk	0.602520593615126	0.263903437403903	20	20	0.0374250952624794	0.0846823256811257
Caulobacterales	Genotype	nsp1	0.571415244314979	0.253677452800415	20	20	0.0396948401630277	0.0846823256811257
Burkholderiales	Genotype	nsp1	0.578770407774323	0.263903437403903	20	20	0.0444759448614138	0.0889518897228276
Actinomycetales	Genotype	nsp2	-2.59505484190223	1.25886873404167	20	17	0.0570377027001329	0.107365087435544
Actinomycetales	Genotype	nsp1	-2.42954254268313	1.25886873404167	20	17	0.0727466704689951	0.129327414167102
Sphingomonadales	Genotype	nsp2	0.401491512974646	0.222768194236147	20	20	0.0916279058103278	0.154320683470026
