"","Order","Compartment","Genotype","mean_RA","sd","N","se","Sig","Host"
"11","Burkholderiales","Rhizosphere","WT",0.318354195349197,0.0250988381184797,4,0.0125494190592399,"","Lotus"
"12","Burkholderiales","Rhizosphere","symrk",0.358439347513734,0.0206395787751915,4,0.0103197893875958,"","Lotus"
"13","Burkholderiales","Rhizosphere","ccamk",0.324589915609591,0.0362863368293047,4,0.0181431684146523,"","Lotus"
"14","Burkholderiales","Rhizosphere","nsp1",0.399381989453236,0.0189658220921185,4,0.00948291104605926,"*","Lotus"
"15","Burkholderiales","Rhizosphere","nsp2",0.41293040244764,0.0336684996542349,4,0.0168342498271174,"*","Lotus"
"21","Flavobacteriales","Rhizosphere","WT",0.211969362665607,0.0435272780743256,4,0.0217636390371628,"","Lotus"
"22","Flavobacteriales","Rhizosphere","symrk",0.177132581694454,0.0334063164476203,4,0.0167031582238102,"","Lotus"
"23","Flavobacteriales","Rhizosphere","ccamk",0.167979692923491,0.0260488365564793,4,0.0130244182782396,"","Lotus"
"24","Flavobacteriales","Rhizosphere","nsp1",0.155796833784726,0.0203934621463731,4,0.0101967310731866,"","Lotus"
"25","Flavobacteriales","Rhizosphere","nsp2",0.138561381152489,0.0281362608876475,4,0.0140681304438238,"*","Lotus"
"26","Pseudomonadales","Rhizosphere","WT",0.173114913634449,0.0285499152548275,4,0.0142749576274138,"","Lotus"
"27","Pseudomonadales","Rhizosphere","symrk",0.117171609470968,0.0199452033981446,4,0.00997260169907228,"*","Lotus"
"28","Pseudomonadales","Rhizosphere","ccamk",0.114001470637058,0.00462638157463075,4,0.00231319078731538,"*","Lotus"
"29","Pseudomonadales","Rhizosphere","nsp1",0.110151609512788,0.0188909212213489,4,0.00944546061067445,"*","Lotus"
"30","Pseudomonadales","Rhizosphere","nsp2",0.128369929330437,0.0226613981642986,4,0.0113306990821493,"","Lotus"
"31","Rhizobiales","Rhizosphere","WT",0.144484977189803,0.0273678334049745,4,0.0136839167024873,"","Lotus"
"32","Rhizobiales","Rhizosphere","symrk",0.188209066733278,0.0211918199358224,4,0.0105959099679112,"*","Lotus"
"33","Rhizobiales","Rhizosphere","ccamk",0.208289402267394,0.0204619153954027,4,0.0102309576977013,"*","Lotus"
"34","Rhizobiales","Rhizosphere","nsp1",0.17117918891319,0.0185209862871651,4,0.00926049314358253,"","Lotus"
"35","Rhizobiales","Rhizosphere","nsp2",0.16731042855413,0.0129578092116116,4,0.00647890460580579,"","Lotus"
"41","Xanthomonadales","Rhizosphere","WT",0.0348525908656125,0.00495699956257964,4,0.00247849978128982,"","Lotus"
"42","Xanthomonadales","Rhizosphere","symrk",0.0439734007066214,0.00675150483255333,4,0.00337575241627666,"","Lotus"
"43","Xanthomonadales","Rhizosphere","ccamk",0.0579762310709344,0.0218332771847171,4,0.0109166385923586,"*","Lotus"
"44","Xanthomonadales","Rhizosphere","nsp1",0.0334417361199145,0.00123011397341814,4,0.000615056986709071,"","Lotus"
"45","Xanthomonadales","Rhizosphere","nsp2",0.0369548264120733,0.0113409007769239,4,0.00567045038846195,"","Lotus"
"111","Burkholderiales","Root","WT",0.234131312816207,0.0627031077134147,4,0.0313515538567074,"","Lotus"
"121","Burkholderiales","Root","symrk",0.425037806704723,0.0886808668039259,4,0.044340433401963,"*","Lotus"
"131","Burkholderiales","Root","ccamk",0.348842993265133,0.0541018764710571,4,0.0270509382355285,"","Lotus"
"141","Burkholderiales","Root","nsp1",0.34586345276214,0.0753102865212406,4,0.0376551432606203,"","Lotus"
"151","Burkholderiales","Root","nsp2",0.4111580699566,0.1737171096757,4,0.0868585548378499,"*","Lotus"
"211","Flavobacteriales","Root","WT",0.0686762481071235,0.0221139099341475,4,0.0110569549670737,"","Lotus"
"221","Flavobacteriales","Root","symrk",0.0877756308915907,0.0466992268117165,4,0.0233496134058583,"","Lotus"
"231","Flavobacteriales","Root","ccamk",0.188463758188113,0.0670711042723192,4,0.0335355521361596,"*","Lotus"
"241","Flavobacteriales","Root","nsp1",0.16683892956523,0.0298397572240534,4,0.0149198786120267,"*","Lotus"
"251","Flavobacteriales","Root","nsp2",0.0909887732977738,0.0414637303298525,4,0.0207318651649262,"","Lotus"
"261","Pseudomonadales","Root","WT",0.0450870365242682,0.0125569432717081,4,0.00627847163585406,"","Lotus"
"271","Pseudomonadales","Root","symrk",0.152453197190112,0.0427982792532265,4,0.0213991396266132,"*","Lotus"
"281","Pseudomonadales","Root","ccamk",0.0831381842475296,0.0320993620467034,4,0.0160496810233517,"*","Lotus"
"291","Pseudomonadales","Root","nsp1",0.091310574890529,0.020528430678826,4,0.010264215339413,"*","Lotus"
"301","Pseudomonadales","Root","nsp2",0.0916466241893424,0.0174465391846775,4,0.00872326959233873,"*","Lotus"
"311","Rhizobiales","Root","WT",0.526536725234024,0.0911864912064692,4,0.0455932456032346,"","Lotus"
"321","Rhizobiales","Root","symrk",0.206999128894498,0.0267291080504515,4,0.0133645540252258,"*","Lotus"
"331","Rhizobiales","Root","ccamk",0.222575877594542,0.0418890743028149,4,0.0209445371514075,"*","Lotus"
"341","Rhizobiales","Root","nsp1",0.218251851817912,0.0234851816016367,4,0.0117425908008183,"*","Lotus"
"351","Rhizobiales","Root","nsp2",0.249635562932707,0.0971795769117004,4,0.0485897884558502,"*","Lotus"
