ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_endo,Lj_Gifu_LjSC_2_endo,Lj_Gifu_LjSC_3_endo,Lj_Gifu_LjSC_4_endo,Lj_symrk_LjSC_1_endo,Lj_symrk_LjSC_2_endo,Lj_symrk_LjSC_3_endo,Lj_symrk_LjSC_4_endo,Lj_ccamk_LjSC_1_endo,Lj_ccamk_LjSC_2_endo,Lj_ccamk_LjSC_3_endo,Lj_ccamk_LjSC_4_endo,Lj_nsp1_LjSC_1_endo,Lj_nsp1_LjSC_2_endo,Lj_nsp1_LjSC_3_endo,Lj_nsp1_LjSC_4_endo,Lj_nsp2_LjSC_1_endo,Lj_nsp2_LjSC_2_endo,Lj_nsp2_LjSC_3_endo,Lj_nsp2_LjSC_4_endo
G11_LjRoot25,1.03095594811447,0.0875312291623642,1.55059252188905,0.786369453967762,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,0.0173068908881426,0.0466874261784602,0.00921095916161474,0.0163023925166397,0.0531500727851315,0.0547682928365391,0.0402777777777778,0.0180414758400659,0.0199270115275445,0.025635407537248,0.0246691442312543,0.0122764754933753,0.0693150158516668,0.0511958598341032,0.0881420703607958,0.0283772981614708,0.0306901541993113,0.0489936892375917,0.0213646681799973,0.0334246269073836
G12_LjRoot70,-0.0180328485015783,0.15248235500051,0.0537346248564885,-0.763818627383642,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,0.00365258745372981,0.00188983141844733,0,0.0033504227379025,0,0.00214135459572485,0.00297979797979798,0.00344774352904853,0.0029832589932225,0,0.0064405468579212,0.00183761079712159,0.00339449835078618,0.00860922347706222,0,0,0.00329357752382853,0,0,0
G14_LjRoot22,-1.0953541733723,-2.8779227148316,-0.68160338648223,0.0653305429039781,0,-1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0.00557693721962101,0.00191130677547514,0.00392405658160628,0.00395754632128081,0.00162497037814415,0.00531559787879933,0.00146464646464646,0.000627798075438687,0,0.00175284837861525,0.000470849378646981,0.000370610580932086,0.00128094277388158,0.00224903871732243,0.00269753849612229,0.00319744204636291,0.00201274182011744,0.0034965034965035,0.00460675657631192,0.0061203957296965
G15_LjRoot29,-0.178102484075909,-Inf,-1.56576506218441,-1.27454367194787,0,-1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0.00041673816586179,0.000214753570278106,0.000234973448000376,0.000359776938298255,0.000203121297268019,0.000705387396238774,0.000391414141414141,8.23341738280245e-05,0,0,0,0,9.60707080411183e-05,0.000604580300355493,0,0,0,0.000405082722155893,0,0.000321390643340227
G16_LjRoot125,-0.187128570651303,1.28525797840807,0.284283779651998,0.185286088710667,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,0.0254700561370823,0.017352088478471,0.023144884628037,0.0112205432631768,0.00870036223298013,0.00982503873332578,0.0131818181818182,0.0606288272526115,0.0670509181486416,0.0208150744960561,0.0415692737148334,0.0698292102906205,0.0156435136260288,0.0243041280742908,0.0196470720467573,0.0335731414868106,0.0212419116057022,0.0279507078287566,0.023768193350247,0.0135962215639148
G17_LjRoot232,1.23637232471911,1.51545981097663,1.36628890506825,2.09276404986642,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.00326036329762459,0,0.00117486724000188,0.00179888469149128,0.00247130911676089,0.00283414578845936,0.00299242424242424,0.00594864405907477,0.0029253316341308,0.00284837861524978,0.00595288143003683,0.00545106396120943,0.00616453709930509,0.00715823075620904,0.00690120265257952,0,0.0053894904935376,0.00545795667746887,0.00570837227934304,0.00797887205857694
G1_LjRoot134,-0.620557885860525,-0.442767197258137,0.388703073870661,-0.464539282744337,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.0284730223322629,0.010544400300655,0.0159077024296255,0.0152230617017449,0.0113409390974644,0.017332376021867,0.00763888888888889,0.00866567179539958,0.0113827260615189,0.00947633654688869,0.0138900566700859,0.0142221810432688,0.0135459698337977,0.0242315784382482,0.0248847926267281,0.0259792166266986,0.0126752831977644,0.0143910967081699,0.016157030311123,0.0068050975350735
G20_LjRoot162,1.44042622558957,0.870695393036484,1.07667726254722,1.15549014641488,1,0,1,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.0123305469075577,0.011682594223129,0.00932844588561493,0.00793757870120525,0.043721859236941,0.042877476728514,0.015770202020202,0.0195749498276128,0.0195215200139026,0.0148992112182296,0.0206837405619924,0.0198276660798666,0.0155314311333141,0.0251021740707601,0.0205462515454648,0.0261790567545963,0.0273466739857278,0.0170561146170902,0.0249699559353719,0.0225532390587446
G21_LjRoot111,1.61725473854231,0.696179666421609,0.970936152325945,0.963707245522668,1,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.0421273257666757,0.0393213787179212,0.024390243902439,0.021856449001619,0.152256339077152,0.131239844310925,0.0932323232323232,0.0419904286522925,0.0358859989573075,0.112565731814198,0.0380883515226933,0.0395626795145001,0.0458577513049605,0.0643273439578245,0.0528043160615938,0.0831334932054357,0.0756192092087097,0.0450281425891182,0.0567165175590867,0.0661645520093902
G22_LjRoot238,-0.301689888735431,-0.164099331079056,0.0499388667933612,-0.0264950404865879,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0.00435123673179222,0.00313540212606035,0.00448799285680718,0.00222611980572045,0.00198043264836318,0.0030986660620489,0.00193181818181818,0.00498121751659548,0.00393906041823553,0.00147896581945662,0.00654144315334555,0.00226998980820902,0.00217760271559868,0.00415951246644579,0.0033044846577498,0.00519584332533973,0.00329357752382853,0.00447723008698618,0.00330484710909334,0.00259907215918618
