feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
LjRoot58	Genotype	symrk	-1.31051132185482	0.118717298197988	20	4	1.34101832240988e-08	9.92353558583329e-07
LjRoot58	Genotype	ccamk	-1.31051132185482	0.118717298197988	20	4	1.34101832240989e-08	9.92353558583329e-07
LjRoot58	Genotype	nsp1	-1.31051132185482	0.118717298197988	20	4	1.34101832240989e-08	9.92353558583329e-07
LjRoot58	Genotype	nsp2	-1.31051132185482	0.118717298197988	20	4	1.3410183224099e-08	9.92353558583329e-07
LjRoot237	Genotype	ccamk	1.41962486403347	0.164331989287729	20	20	3.30197504095634e-07	1.95476922424616e-05
G8_LjRoot126	Genotype	symrk	-1.1807091047579	0.142653320399391	20	20	5.65008528978801e-07	2.78737540962875e-05
G3_LjRoot129	Genotype	symrk	1.52360969795209	0.1944811802847	20	20	1.11334318352279e-06	4.11936977903431e-05
G3_LjRoot129	Genotype	ccamk	1.53674162261306	0.1944811802847	20	20	1.00230507248449e-06	4.11936977903431e-05
G8_LjRoot126	Genotype	ccamk	-1.03602680538003	0.142653320399391	20	20	2.77406880927781e-06	9.123604083847e-05
G7_LjRoot117	Genotype	nsp1	1.9048381255969	0.265098324706581	20	20	3.14806638458896e-06	9.31827649838332e-05
G3_LjRoot129	Genotype	nsp2	1.38545814394865	0.1944811802847	20	20	3.48418832885814e-06	9.37563404856373e-05
G2_LjRoot102	Genotype	ccamk	1.12495381056607	0.170329416211224	20	20	8.37014121704602e-06	0.00018703156517365
G2_LjRoot102	Genotype	nsp2	1.11949390750369	0.170329416211224	20	20	8.84608754199696e-06	0.00018703156517365
LjRoot237	Genotype	nsp1	1.09364628301683	0.164331989287729	20	20	7.67359379303344e-06	0.00018703156517365
LjRoot89	Genotype	nsp1	-2.26056079671682	0.347719208348688	20	19	1.00110614579921e-05	0.000197551612771044
G21_LjRoot111	Genotype	ccamk	-0.986585209800945	0.163699281093624	20	20	2.31774959724852e-05	0.000428783675490976
LjRoot237	Genotype	nsp2	0.979076307536425	0.164331989287729	20	20	2.62510423431119e-05	0.00045707697256242
G20_LjRoot162	Genotype	ccamk	-1.3463868451621	0.253141931921891	20	20	8.59418779137647e-05	0.00141326643680413
G3_LjRoot129	Genotype	nsp1	1.009407978603	0.1944811802847	20	20	0.000109780663888497	0.00171026718478921
G2_LjRoot102	Genotype	nsp1	0.823087581045142	0.170329416211224	20	20	0.000219532159840002	0.00324907596563203
G8_LjRoot126	Genotype	nsp1	-0.684248020113241	0.142653320399391	20	20	0.000235461353951036	0.00331888384616699
LjRoot82	Genotype	nsp2	-1.4019457736168	0.310850747479871	20	20	0.000414923126756126	0.00558260206908243
LjRoot221	Genotype	ccamk	0.712466409057845	0.159309670207804	20	20	0.000447420682602486	0.00575810965436243
G6_LjRoot130	Genotype	nsp2	1.03304555049065	0.237330013483169	20	20	0.000568231356811915	0.00700818673401362
LjRoot259	Genotype	ccamk	-1.5509028152193	0.370336820729229	20	20	0.000792163093300934	0.00937921102468306
G21_LjRoot111	Genotype	nsp1	-0.676531224693838	0.163699281093624	20	20	0.000885474123402006	0.00985633435672567
LjRoot122	Genotype	ccamk	1.6564437061874	0.401537647355378	20	20	0.000899057525782409	0.00985633435672567
G2_LjRoot102	Genotype	symrk	0.6598109172475	0.170329416211224	20	20	0.00149947317893691	0.0155022031694172
LjRoot3	Genotype	ccamk	0.772380050503488	0.200434735173971	20	20	0.00156263666397626	0.0155022031694172
LjRoot237	Genotype	symrk	0.632819045177923	0.164331989287729	20	20	0.00157116924014364	0.0155022031694172
G7_LjRoot117	Genotype	ccamk	0.98960235078744	0.265098324706581	20	20	0.00199947191735732	0.019091731856057
G15_LjRoot29	Genotype	symrk	1.53585588225642	0.413291389255487	20	18	0.00206946660645386	0.0191425661096982
G5_LjRoot105	Genotype	ccamk	1.38937287228711	0.378682289307937	20	20	0.00227949658061767	0.0202672623908185
G15_LjRoot29	Genotype	ccamk	-1.51210642669089	0.413291389255487	20	18	0.00232799635570212	0.0202672623908185
LjRoot221	Genotype	symrk	0.570355440581946	0.159309670207803	20	20	0.00273465413449604	0.0224849339947452
G17_LjRoot232	Genotype	ccamk	-1.204195520994	0.335949565555967	20	20	0.00271072609835417	0.0224849339947452
LjRoot28	Genotype	ccamk	2.03743320136244	0.5720930904052	20	6	0.00284217975132417	0.0227374380105933
LjRoot248	Genotype	ccamk	-1.42463132188286	0.40262607989406	20	20	0.00297961214212959	0.0232096103702726
G32_LjRoot291	Genotype	nsp1	0.573262900642957	0.169802905489	20	20	0.00415714038662601	0.0315516296010589
LjRoot228	Genotype	nsp1	-2.84961892610511	0.8481512900378	20	11	0.00429805668036474	0.0318056194346991
G32_LjRoot291	Genotype	nsp2	0.554496311078676	0.169802905489	20	20	0.00521468608852015	0.037647489809804
G21_LjRoot111	Genotype	symrk	-0.529038997963412	0.163699281093624	20	20	0.00558813372733935	0.0393830376974392
G35_LjRoot145	Genotype	ccamk	1.5541925009463	0.486494928041433	20	13	0.00602923747952588	0.0415035882311549
LjRoot228	Genotype	ccamk	-2.69436111845011	0.8481512900378	20	11	0.00625458591125898	0.0420763052211968
G7_LjRoot117	Genotype	symrk	0.827092559096798	0.265098324706581	20	20	0.00702501444280695	0.0462089838904635
G11_LjRoot25	Genotype	ccamk	-1.28241568199798	0.415200346173981	20	20	0.00748856720573355	0.0481873020195028
LjRoot89	Genotype	ccamk	1.0681489985198	0.347719208348688	20	19	0.0077497828527402	0.0488071430725766
LjRoot240	Genotype	ccamk	-1.24400549878138	0.409288784055046	20	18	0.00828000226738969	0.049017613422947
LjRoot277	Genotype	ccamk	-0.995351279168453	0.326596176120001	20	20	0.00814237844615823	0.049017613422947
LjRoot247	Genotype	ccamk	-1.35299975711799	0.444797852784198	20	16	0.0082396062281918	0.049017613422947
LjRoot228	Genotype	nsp2	-2.56107830930686	0.8481512900378	20	11	0.00862155591639909	0.0500388343383163
G37_LjNodule209	Genotype	ccamk	-2.66715187209649	0.897395187838407	20	16	0.00949688098881641	0.0540591687055703
G1_LjRoot134	Genotype	ccamk	-0.676960513206092	0.236129167981975	20	20	0.0117572132816575	0.0656629270069928
G16_LjRoot125	Genotype	ccamk	0.828307235181659	0.293511002663823	20	20	0.0128733080010063	0.0705647994129233
G20_LjRoot162	Genotype	nsp1	-0.710157682120138	0.253141931921891	20	20	0.0133145676972701	0.0716565825162172
LjRoot223	Genotype	ccamk	-2.51355621347353	0.899449880816616	20	20	0.0136085655252977	0.0718030071248368
G35_LjRoot145	Genotype	nsp2	1.35569312741873	0.486494928041433	20	13	0.0138269304260665	0.0718030071248368
G17_LjRoot232	Genotype	symrk	-0.923682451864242	0.335949565555967	20	20	0.014902163394661	0.0757554509750026
LjRoot248	Genotype	nsp1	-1.10436842601611	0.40262607989406	20	20	0.0150999040794769	0.0757554509750026
G37_LjNodule209	Genotype	nsp2	-2.3807425383457	0.897395187838408	20	16	0.0180845151590037	0.0878149524308022
G6_LjRoot130	Genotype	nsp1	0.629542170871645	0.237330013483169	20	20	0.0180970003320234	0.0878149524308022
LjRoot228	Genotype	symrk	-2.21917158054845	0.8481512900378	20	11	0.0194498950776656	0.088609661983587
G11_LjRoot25	Genotype	nsp1	1.08379808805151	0.415200346173981	20	20	0.0196908743066612	0.088609661983587
G20_LjRoot162	Genotype	nsp2	-0.661167586809534	0.253141931921891	20	20	0.0196303988782564	0.088609661983587
LjRoot3	Genotype	nsp1	0.524963672571631	0.200434735173971	20	20	0.0193476373803311	0.088609661983587
G7_LjRoot117	Genotype	nsp2	0.689534769304553	0.265098324706581	20	20	0.0200569167327714	0.088609661983587
G15_LjRoot29	Genotype	nsp1	1.07587858544683	0.413291389255487	20	18	0.019971510730787	0.088609661983587
LjRoot221	Genotype	nsp1	0.412932246144151	0.159309670207804	20	20	0.0204211353581506	0.088892000970773
LjRoot82	Genotype	ccamk	-0.796099942420651	0.310850747479871	20	20	0.0217173579657101	0.0931643182297131
LjRoot221	Genotype	nsp2	0.40500415020613	0.159309670207804	20	20	0.0225417862215141	0.0931927106863991
G6_LjRoot130	Genotype	symrk	0.602679380093961	0.237330013483169	20	20	0.022668497193989	0.0931927106863991
G27_LjRoot78	Genotype	ccamk	-0.926885937560898	0.363134969122128	20	20	0.0220901497999304	0.0931927106863991
G21_LjRoot111	Genotype	nsp2	-0.412934883916953	0.163699281093624	20	20	0.0234392796884904	0.0937571187539614
G14_LjRoot22	Genotype	ccamk	-1.24342559922577	0.492291396224827	20	20	0.0232881209797609	0.0937571187539614
LjRoot243	Genotype	nsp2	0.653371507661738	0.259849688091373	20	20	0.0238176665308695	0.094000390575165
G37_LjNodule209	Genotype	symrk	-2.23572718776174	0.897395187838407	20	16	0.0249275245068206	0.0963328512206084
LjRoot289	Genotype	ccamk	-1.18079652283884	0.474468343053433	20	20	0.0250595592702258	0.0963328512206084
LjRoot295	Genotype	ccamk	1.41386805788109	0.572314516717112	20	19	0.0259761001038565	0.0985759696248912
LjRoot71	Genotype	ccamk	1.15676529936846	0.472510634967795	20	20	0.0271411254980738	0.101693330980124
G5_LjRoot105	Genotype	nsp1	0.921190092811285	0.378682289307937	20	20	0.0279797453495771	0.103525057793435
G35_LjRoot145	Genotype	symrk	1.17586875933878	0.486494928041433	20	13	0.0288481573139019	0.105420426727345
LjRoot18	Genotype	symrk	1.42451344082613	0.593569042842437	20	20	0.0298300624326667	0.107679249756943
G12_LjRoot70	Genotype	ccamk	-1.363433452796	0.571488332915363	20	18	0.030666102588932	0.109363450196673
LjRoot11	Genotype	nsp1	-0.738699096966253	0.313415020761632	20	20	0.0324376853685218	0.113171217582851
LjRoot288	Genotype	symrk	1.29444802650843	0.54943242012842	20	5	0.032498491535616	0.113171217582851
G8_LjRoot126	Genotype	nsp2	-0.332625444587118	0.142653320399391	20	20	0.0340672812542787	0.117254828503099
G15_LjRoot29	Genotype	nsp2	0.954047399787376	0.413291389255487	20	18	0.0356397180414509	0.121256971727235
G5_LjRoot105	Genotype	nsp2	0.869531744813118	0.378682289307937	20	20	0.0364909927404598	0.122742430127001
G17_LjRoot232	Genotype	nsp1	-0.751178583638341	0.335949565555968	20	20	0.0409753828714622	0.134057140629745
LjRoot227	Genotype	ccamk	-0.95666677509014	0.428429187549369	20	20	0.0412135128287391	0.134057140629745
LjRoot10	Genotype	ccamk	0.614733010570851	0.274566609477136	20	20	0.040745377922914	0.134057140629745
