feature	LjRoot221	LjRoot149	G37_LjNodule209	LjRoot228	LjRoot223	G21_LjRoot111	G3_LjRoot129	LjRoot196	G8_LjRoot126	LjRoot259	G32_LjRoot291	G11_LjRoot25	G16_LjRoot125	LjRoot17	LjRoot82	G2_LjRoot102	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot243	LjRoot122	G12_LjRoot70	G29_LjRoot226	LjRoot237	G22_LjRoot238	LjRoot10	G7_LjRoot117	LjRoot229	LjRoot11	G36_LjRoot142	G5_LjRoot105	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	LjRoot89	LjRoot1	G35_LjRoot145	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot296	G24_LjRoot12	LjRoot295	LjRoot257	G9_LjRoot131	LjRoot258	G15_LjRoot29	LjRoot244	LjRoot230	LjRoot8	LjRoot220	G34_LjRoot233	LjRoot58	LjRoot80	LjRoot247	LjRoot261	LjRoot28	G31_LjRoot101	G25_LjRoot27	LjRoot288	LjRoot100
Lj_Gifu_LjSC_1_rhizo	7453	13119	284	129	2346	5089	1219	2890	3517	3165	1263	1702	1860	2171	5039	987	2850	1081	1660	533	878	551	367	378	267	635	273	300	176	630	500	229	119	213	227	95	58	254	200	113	111	0	74	164	66	101	0	66	103	59	0	115	49	69	55	9	46	90	0	32	25	13	10	0	16	42	0	17	0	0	19	0	0	0
Lj_Gifu_LjSC_2_rhizo	9283	9965	223	484	2029	4968	1569	4568	4782	2936	1385	1547	2273	2896	3333	1352	4025	1560	1070	882	987	624	704	386	474	1053	313	380	178	877	271	268	124	260	280	130	91	265	206	153	113	0	165	89	93	113	0	63	176	103	44	95	89	62	55	20	75	0	0	27	13	25	10	0	20	80	15	23	0	0	12	0	0	0
Lj_Gifu_LjSC_3_rhizo	4232	8749	128	56	1725	5458	1288	3291	3861	3451	1399	1403	1219	1257	3648	1408	3496	2476	1070	1488	897	385	501	442	398	1096	198	213	155	453	623	152	96	317	246	102	92	217	152	140	153	75	157	221	65	68	0	76	120	96	44	56	31	50	53	27	104	0	0	24	30	24	26	11	13	40	20	18	0	0	0	0	0	0
Lj_Gifu_LjSC_4_rhizo	5202	8052	368	567	1777	5263	1365	3505	4112	2756	1220	1152	1815	1756	2415	1311	4008	1495	827	1418	1402	368	766	480	480	748	233	358	140	477	548	203	112	155	200	137	94	161	165	135	103	95	76	67	63	80	0	67	109	58	0	93	30	57	38	24	55	0	37	18	25	20	33	13	0	47	21	20	0	0	0	9	0	0
Lj_symrk_LjSC_1_rhizo	9768	9961	0	42	1797	3907	4155	3856	1673	2244	1350	1855	1582	2286	4093	1820	2333	1711	904	667	1075	554	542	606	482	514	256	277	191	522	257	206	207	271	183	168	89	157	178	133	112	91	105	73	76	110	102	106	119	110	31	85	49	47	30	39	44	0	0	42	14	41	23	0	14	0	12	14	0	28	17	6	1	0
Lj_symrk_LjSC_2_rhizo	10089	9326	60	0	2397	3538	5092	1418	1981	2392	1124	2990	1446	1458	1628	2581	2914	2345	887	857	866	606	604	1646	725	375	257	207	248	577	187	122	186	428	285	208	114	151	193	275	287	0	112	82	56	106	99	113	120	23	92	156	54	73	40	65	74	0	0	61	19	36	10	17	21	0	8	36	0	0	16	5	0	4
Lj_symrk_LjSC_3_rhizo	8887	6001	395	107	1717	3934	3496	3509	1729	1760	1186	1616	1846	2607	1978	1893	2707	1722	750	693	909	597	644	951	612	460	318	253	171	579	456	271	164	261	213	252	109	176	188	161	210	67	116	94	81	114	88	92	139	99	36	132	71	29	74	41	0	0	0	77	40	30	43	0	14	0	22	18	7	0	0	14	3	0
Lj_symrk_LjSC_4_rhizo	5879	5011	0	31	2801	2142	2160	4012	1227	3481	1129	1657	943	1164	3674	1200	1340	1438	741	340	814	462	244	1178	418	332	388	221	165	305	212	175	101	148	93	135	93	88	137	108	219	97	95	54	74	90	0	50	64	62	33	44	34	28	29	14	0	0	0	93	26	81	14	0	0	0	10	0	0	8	0	0	1	0
Lj_ccamk_LjSC_1_rhizo	8563	6009	23	0	1080	1916	3017	936	1149	541	1109	686	2893	3823	1652	2078	865	1407	411	2520	116	584	663	105	254	301	76	268	119	1606	222	149	241	229	245	183	86	138	116	336	29	0	37	38	120	65	103	52	26	99	27	22	21	34	45	41	63	0	0	0	30	0	44	23	0	0	11	0	0	6	0	0	1	0
Lj_ccamk_LjSC_2_rhizo	4159	4755	0	58	608	1570	1440	2104	1260	903	868	545	742	724	1008	1298	1125	1194	484	356	530	247	312	345	296	181	170	174	140	302	0	85	105	125	121	114	83	48	106	95	53	0	0	28	41	17	0	35	61	32	0	33	14	33	20	39	0	0	31	7	0	0	14	0	0	0	11	7	0	12	0	6	0	6
