feature	LjRoot221	LjRoot149	G37_LjNodule209	LjRoot228	LjRoot223	G21_LjRoot111	G3_LjRoot129	LjRoot196	G8_LjRoot126	LjRoot259	G32_LjRoot291	G11_LjRoot25	G16_LjRoot125	LjRoot17	LjRoot82	G2_LjRoot102	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot243	LjRoot122	G12_LjRoot70	G29_LjRoot226	LjRoot237	G22_LjRoot238	LjRoot10	G7_LjRoot117	LjRoot229	LjRoot11	G36_LjRoot142	G5_LjRoot105	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	LjRoot89	LjRoot1	G35_LjRoot145	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot296	G24_LjRoot12	LjRoot295	LjRoot257	G9_LjRoot131	LjRoot258	G15_LjRoot29	LjRoot244	LjRoot230	LjRoot8	LjRoot220	G34_LjRoot233	LjRoot58	LjRoot80	LjRoot247	LjRoot261	LjRoot28	G31_LjRoot101	G25_LjRoot27	LjRoot288	LjRoot100
Lj_Gifu_LjSC_1_rhizo	-3.15030591747485	-2.33454132799394	-7.86416434229162	-9.00268420637305	-4.81792416376779	-3.7007449858191	-5.76242905117609	-4.51705768440826	-4.23378184217099	-4.3859216774806	-5.71127253800875	-5.28089614011034	-5.15282455580091	-4.92976745118116	-3.71498972082655	-6.0670051873399	-4.53716525785683	-5.93576065406165	-5.31694393556201	-6.95591973903712	-6.23583433226094	-6.90800295322514	-7.49427520895309	-7.45166903757523	-7.95321553010875	-6.70329868013677	-7.92115432087645	-7.78509277130042	-8.554479843159	-6.71470344340902	-7.04812717713421	-8.17470767369936	-9.11909369848836	-8.27920184157046	-8.18736297450539	-9.44405585346535	-10.1559304666687	-8.02522677502413	-8.37005527202158	-9.19373249938111	-9.21949559544619	-10.7583972565755	-9.80445809616735	-8.65635945717822	-9.96951734243785	-9.35569997904451	-10.9067812963895	-9.96951734243785	-9.32741093461308	-10.1312684124345	-12.0208679553722	-9.16842141085193	-10.3992016176811	-9.90538700501813	-10.2325517482716	-12.843986460354	-10.4903495057393	-9.52205836546663	-11.6390717749128	-11.0139114617963	-11.3700552720216	-12.3134717436552	-12.6919833669089	-13.8952826517061	-12.0139114617963	-10.6215940390175	-14.057935331138	-11.926448620546	-14.0171315249757	-14.0327861754561	-11.7659839483527	-14.656603624822	-16.975064265759	-14.9785317197094
Lj_Gifu_LjSC_2_rhizo	-2.92974082427884	-2.82746213768058	-8.30921632748669	-7.1912529901324	-5.12356307765034	-3.83166676918652	-5.4944865904389	-3.95276929204415	-3.88671781269537	-4.59047997456378	-5.67444596647045	-5.51485874595796	-4.95973425858915	-4.61027034032379	-4.40751062529675	-5.70923679112481	-4.13534315951765	-5.50278591365739	-6.04672114611849	-6.32548138184948	-6.1632099529506	-6.82471400854475	-6.6506846087697	-7.51765919013892	-7.22137297850874	-6.06982650638128	-7.82009738047438	-7.54026061907605	-8.6343827964406	-6.33368319496226	-8.02796718605313	-8.04402703694922	-9.15591991702012	-8.08774841437854	-7.98083321046203	-9.08774841437854	-9.6023215872083	-8.06026767795644	-8.42361570022378	-8.85272838471434	-9.28993726499181	-10.7583972565755	-8.74379401316118	-9.6343827964406	-9.57095741629897	-9.28993726499181	-10.9067812963895	-10.1328363039071	-8.6506846087697	-9.42361570022378	-10.6506846087697	-9.54026061907605	-9.6343827964406	-10.1559199170201	-10.3287565138823	-11.7881881325196	-9.88129753691112	-10.631097954076	-11.6390717749128	-11.3552287252435	-12.4096765092659	-11.4662600376323	-12.7881881325196	-13.8952826517061	-11.7881881325196	-9.78818813251963	-12.2032256317985	-11.58655427135	-14.0171315249757	-14.0327861754561	-12.5251537266858	-14.656603624822	-16.975064265759	-14.9785317197094
Lj_Gifu_LjSC_3_rhizo	-3.81541659102287	-2.76763809038548	-8.86254050313689	-10.0551855810793	-5.110159856584	-3.44838382386275	-5.53162362502228	-4.17823019201254	-3.94778166419503	-4.10974174470138	-5.41236025597214	-5.40824120951699	-5.61105809251668	-5.56677156871638	-4.02965048897215	-5.40310888449959	-4.09105103363629	-4.58874490392263	-5.79914542184838	-5.32338169202886	-6.05357632821763	-7.27382586755463	-6.89387370994168	-7.07463794374546	-7.22591588259324	-5.76450842017637	-8.23318388305728	-8.12783088291105	-8.58641609786265	-7.03917326309066	-6.57945215011289	-8.61461298969331	-9.27757800241574	-7.55420147299749	-7.92002599779765	-9.1901151611654	-9.33897854707988	-8.10098927069241	-8.61461298969331	-8.73325748619193	-8.60515266044424	-9.63372181264101	-8.56791975424527	-8.07463794374546	-9.84017269010844	-9.77507766188655	-10.9067812963895	-9.61461298969331	-8.95564990752837	-9.27757800241574	-10.4031088844996	-10.0551855810793	-10.90834419275	-10.2186843133622	-10.1346200485737	-11.1076530009734	-9.1621007849958	-10.631097954076	-11.6390717749128	-11.2775780024157	-10.9556499075284	-11.2775780024157	-11.1621007849958	-12.4031088844996	-12.1621007849958	-10.5406124082495	-11.5406124082495	-11.6926155016946	-14.0171315249757	-14.0327861754561	-14.1082794130339	-14.656603624822	-16.975064265759	-14.9785317197094
Lj_Gifu_LjSC_4_rhizo	-3.50367445659878	-2.87339368362043	-7.32496318448476	-6.70132021559954	-5.05329717451309	-3.486855461049	-5.43383990473456	-4.07332641164379	-3.84290059134789	-4.42016496783748	-5.59585970809152	-5.67860013909946	-5.02277130765866	-5.07044801100641	-4.61071766681864	-5.49207317032002	-3.87985834734656	-5.3025953714563	-6.1567816213705	-5.37888332330226	-5.39525450653115	-7.32496318448476	-6.26732455861681	-6.94163454493325	-6.94163454493325	-6.30163068065413	-7.98433899588749	-7.36470936327752	-8.71924212359681	-6.95067968453626	-6.75049305758124	-8.1831892233566	-9.04117021848417	-8.57240073526753	-8.20466895076705	-8.75049305758125	-9.29393628886413	-8.51760826242715	-8.48220292629595	-8.77170954349094	-9.16202461335855	-9.27866953221082	-9.60059762709819	-9.782435950084	-9.87124521704185	-9.52659704565441	-10.9067812963895	-9.782435950084	-9.08034081576485	-9.9905441454142	-12.0208679553722	-9.30936632943374	-10.9416345449333	-10.015635126377	-10.6005976270982	-11.2635626398206	-10.0671654270171	-10.631097954076	-10.6390717749128	-11.6786001390995	-11.204668950767	-11.5265970456544	-10.8041310211833	-12.1480854224007	-13.1677093437014	-10.2939362888641	-11.456207717763	-11.5265970456544	-14.0171315249757	-14.0327861754561	-14.1082794130339	-12.6786001390995	-16.975064265759	-14.9785317197094
Lj_symrk_LjSC_1_rhizo	-2.72121678077164	-2.69298939717496	-12.0166871901886	-10.5827468429803	-5.16368957224911	-4.04321872557537	-3.95443150410134	-4.06217492952909	-5.26684253572069	-4.84320730515025	-5.57632057382085	-5.11786079425088	-5.34753038128626	-4.81645457754457	-3.97612131431596	-5.14534153067299	-4.78709367377485	-5.23444022126963	-6.15488530334386	-6.59352131457446	-5.90494332128223	-6.86132209970986	-6.89291522440518	-6.7318902822861	-7.06217492952909	-6.96943971656517	-7.97506426575905	-7.86132209970986	-8.3976354377233	-6.94715826918916	-7.96943971656517	-8.28856373857583	-8.28157730825972	-7.89291522440518	-8.45936442747501	-8.58274684298029	-9.49933083479265	-8.68044351686742	-8.49933083479265	-8.91978183025786	-9.16770934370144	-9.46726962556035	-9.26081874809292	-9.78523970687903	-9.72713675231546	-9.19370455223439	-9.30263892378755	-9.24714381119585	-9.0802465024511	-9.19370455223439	-11.0208679553722	-9.56567332962135	-10.3603544216438	-10.4204754140814	-11.0681736701505	-10.6896620468968	-10.5156326471218	-10.631097954076	-11.6390717749128	-10.5827468429803	-12.1677093437014	-10.617512261141	-11.451502309702	-13.8952826517061	-12.1677093437014	-11.6215940390175	-12.3901017650379	-12.1677093437014	-14.0171315249757	-11.1677093437014	-11.8876014245087	-13.3901017650379	-15.975064265759	-14.9785317197094
Lj_symrk_LjSC_2_rhizo	-2.67803615546164	-2.79148900536948	-10.0716411241009	-11.5827468429803	-4.75151752606024	-4.18981338701892	-3.66451501580802	-5.50888990246986	-5.02651855481989	-4.75453004551127	-5.84410539948845	-4.43260195062391	-5.48067988275826	-5.46875671538244	-5.30964673544313	-4.64481729361541	-4.46974655764486	-4.78315951230664	-6.18574142540831	-6.23538032559688	-6.22030850498265	-6.73535773623643	-6.7401269803843	-5.29378309928775	-6.47669453480708	-7.42778493432613	-7.9729071705155	-8.28504476221005	-8.0243354093225	-6.80610421106389	-8.43163725982174	-9.04779438214649	-8.43937290860134	-7.23706473330823	-7.82371361065727	-8.27809200156828	-9.14564170554463	-8.7401269803843	-8.3860746824413	-7.87524391129735	-7.81362479303369	-10.7583972565755	-9.17117679765177	-9.62097971509129	-10.1711767976518	-9.25061126514618	-9.34917509962977	-9.15835275729419	-9.07164112410086	-11.4549697636524	-9.45496976365236	-8.69312950084713	-10.2236442175459	-9.78870716082936	-10.656603624822	-9.95616390668092	-9.76907835408043	-10.631097954076	-11.6390717749128	-10.0477943821465	-11.7306042062658	-10.8086067182671	-12.656603624822	-11.891068878459	-11.5862142969306	-11.6215940390175	-12.9785317197094	-10.8086067182671	-14.0171315249757	-14.0327861754561	-11.9785317197094	-13.656603624822	-16.975064265759	-13.9785317197094
Lj_symrk_LjSC_3_rhizo	-2.70700567420033	-3.27349923251179	-7.19877760396885	-9.08301946063217	-5.07881212303118	-3.88270520475478	-4.05299697753271	-4.04764221463115	-5.06876429339103	-5.04312673350865	-5.61259815248731	-5.16627496428152	-4.97429960938754	-4.47631157949776	-4.8746597362742	-4.93802775132961	-4.42200727481835	-5.07461701963647	-6.27373966165007	-6.3877749048961	-5.99634996283921	-6.60289932576851	-6.4935695689187	-5.93118491617275	-6.56709860434066	-6.97899639608894	-7.51160349174896	-7.841492872339	-8.40663393214741	-6.64706690904408	-6.99159643286857	-7.74233740567944	-8.46693444241523	-7.79658045046343	-8.08977682680747	-7.8472065235334	-9.05630212225639	-8.36505482839602	-8.26989759535568	-8.4935695689187	-8.11024092936719	-9.75839725657554	-8.96650545190574	-9.26989759535568	-9.48463644414869	-8.99159643286857	-9.36505482839602	-9.3009244909763	-8.70554537430981	-9.1951298269537	-10.654561445591	-8.78009232767486	-9.67473932752863	-10.9665054519057	-9.61503308140436	-10.4669344424152	-11.5156326471218	-10.631097954076	-11.6390717749128	-9.55769990633841	-10.502558352146	-10.9175958514248	-10.3982216923312	-13.8952826517061	-12.0171315249757	-11.6215940390175	-11.365054828396	-11.654561445591	-13.0171315249757	-14.0327861754561	-14.1082794130339	-12.0171315249757	-14.2395239463122	-14.9785317197094
Lj_symrk_LjSC_4_rhizo	-3.01145741661394	-3.24192965674262	-12.0166871901886	-10.5786161687853	-4.08108621109769	-4.46806971442194	-4.45599688212137	-3.56270658856002	-5.27189294550929	-3.76752638044852	-5.3919827083992	-4.83845459195075	-5.6516985184971	-5.34793713626392	-3.68967656806085	-5.30399378867632	-5.14479519382706	-5.0429645187329	-5.99948274686637	-7.1234215430345	-5.86392749490595	-6.68106343775614	-7.60207514160931	-5.33068865534174	-6.82545334709132	-7.15777304782528	-6.93289963698507	-7.74490991978077	-8.16649026492638	-7.28014704672195	-7.804892024609	-8.08160136733987	-8.8746009964204	-8.32335911354325	-8.99365366806417	-8.45599688212137	-8.99365366806417	-9.0733808605349	-8.43478039621167	-8.77792497700873	-7.75802541957103	-8.93289963698507	-8.96295687084125	-9.77792497700873	-9.32335911354325	-9.04095938284252	-10.9067812963895	-9.88895628939748	-9.5328124791722	-9.57861616878532	-10.4884183598137	-10.0733808605349	-10.4453496379219	-10.7254575571146	-10.6748314840446	-11.7254575571146	-11.5156326471218	-10.631097954076	-11.6390717749128	-8.99365366806417	-10.8323727610311	-9.19296247628757	-11.7254575571146	-13.8952826517061	-13.1677093437014	-11.6215940390175	-12.2108843842848	-13.3713138188677	-14.0171315249757	-12.5328124791722	-14.1082794130339	-14.656603624822	-15.5328124791722	-14.9785317197094
Lj_ccamk_LjSC_1_rhizo	-2.47634853611673	-2.98733993971176	-11.0166871901886	-11.5827468429803	-5.46343354919479	-4.63636730050944	-3.98135016509892	-5.66988442666222	-5.37408606359951	-6.46076436241881	-5.42520549608391	-6.11818438007281	-4.04189853831602	-3.63975966141098	-4.85025117482618	-4.51926920734141	-5.78369282372154	-5.08184253300909	-6.85725456256394	-4.24104112785835	-8.68226815111805	-6.35042458736561	-6.16738408613304	-8.8260036285795	-7.55156445947346	-7.30662946948592	-9.29232163280204	-7.47415995578785	-8.64543138293768	-4.89099296872831	-7.74583327989552	-8.32108062578346	-7.62735981001566	-7.70104535814868	-7.60361120724305	-8.02454930796158	-9.11398439154353	-8.43172468946745	-8.68226815111805	-7.14793172346686	-10.6822681511181	-10.7583972565755	-10.3307957806167	-10.292321632802	-8.63335855063711	-9.51788133321717	-8.85374861906241	-9.83980942810453	-10.8398094281045	-8.91089252616601	-10.7853616440822	-11.0808175276083	-11.1479317234669	-10.4527863049953	-10.0483960499159	-10.1826971416275	-9.56296922274571	-10.631097954076	-11.6390717749128	-13.4478236747349	-10.6333585506371	-13.3134717436552	-10.0808175276083	-11.0166871901886	-13.1677093437014	-11.6215940390175	-12.0808175276083	-13.3713138188677	-14.0171315249757	-12.9552866455245	-14.1082794130339	-14.656603624822	-15.5402491462456	-14.9785317197094
Lj_ccamk_LjSC_2_rhizo	-2.81560696352505	-2.62239830742348	-12.0166871901886	-8.97964693804383	-5.58970041972782	-4.22107908939242	-4.34577483684173	-3.7987089438791	-4.53841991478413	-5.01904575569055	-5.07607670072693	-5.74751551350712	-5.3023525565506	-5.3377820460882	-4.86034800967149	-4.49555326517227	-4.70191864706701	-4.6160408119066	-5.91876469589681	-6.36189450220501	-5.78777938372084	-6.88926070158673	-6.55222571430916	-6.40717538150587	-6.62817456754246	-7.3377820460882	-7.4282369970337	-7.39468443732268	-7.70834491622644	-6.59922319384633	-9.50594563213838	-8.4282369970337	-8.12338241550528	-7.87184364850932	-7.91876469589681	-8.00473791900666	-8.46258850182448	-9.25266543245025	-8.10970747860821	-8.26777232484046	-9.10970747860821	-10.7583972565755	-11.3307957806167	-10.0302730111138	-9.48007592855332	-10.7501650919211	-10.9067812963895	-9.70834491622644	-8.90689059560852	-9.8376279331714	-12.0208679553722	-9.79323381381295	-11.0302730111138	-9.79323381381295	-10.515699838284	-9.55222571430916	-11.5156326471218	-10.631097954076	-9.88343162278453	-12.0302730111138	-13.4096765092659	-13.3134717436552	-11.0302730111138	-13.8952826517061	-13.1677093437014	-11.6215940390175	-11.3781963145341	-12.0302730111138	-14.0171315249757	-11.2526654324502	-14.1082794130339	-12.2526654324502	-16.975064265759	-12.2526654324502
