feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G37_LjNodule209	Genotype	ccamk	-7.58598396943889	0.906432988993345	20	12	4.91975169217816e-07	6.78925733520587e-05
G37_LjNodule209	Genotype	nsp2	-7.91643694466918	0.906432988993346	20	12	2.87575723096028e-07	6.78925733520587e-05
G37_LjNodule209	Genotype	symrk	-7.2878851024797	0.906432988993345	20	12	8.09523516022145e-07	7.44761634740373e-05
G37_LjNodule209	Genotype	nsp1	-6.68761390780775	0.906432988993346	20	12	2.29930271704598e-06	0.000158651887476173
G3_LjRoot129	Genotype	ccamk	1.98151477396886	0.293646932335062	20	20	6.54716237746091e-06	0.000361403363235842
LjRoot228	Genotype	ccamk	-7.63596513020252	1.23498382646507	20	15	1.7517975213014e-05	0.000805826859798644
G3_LjRoot129	Genotype	nsp2	1.75454973794981	0.293646932335062	20	20	2.54498975259716e-05	0.0010034531024526
LjRoot183	Genotype	ccamk	2.45924894672299	0.433214413052127	20	20	4.39304768724118e-05	0.00151560145209821
LjRoot228	Genotype	nsp1	-6.85904854028184	1.23498382646507	20	15	5.51926153291302e-05	0.00169257353675999
LjRoot228	Genotype	symrk	-6.33918382399004	1.23498382646507	20	15	0.000122520578758534	0.00307415270339594
LjRoot228	Genotype	nsp2	-6.3658293166451	1.23498382646507	20	15	0.000117548792730803	0.00307415270339594
G20_LjRoot162	Genotype	symrk	1.44042622558957	0.303523013434172	20	20	0.000260216240491003	0.00598497353129307
G3_LjRoot129	Genotype	symrk	1.33726414927533	0.293646932335062	20	20	0.000380171864985348	0.0075540223869001
G2_LjRoot102	Genotype	ccamk	1.62199639868997	0.359180292474062	20	20	0.000410157979480121	0.0075540223869001
LjRoot258	Genotype	ccamk	-2.16565045948466	0.479619119925582	20	8	0.000410544694940223	0.0075540223869001
LjRoot183	Genotype	nsp2	1.85174868839924	0.433214413052127	20	20	0.000665157742968982	0.0114739710662149
G14_LjRoot22	Genotype	ccamk	-2.8779227148316	0.683010532397345	20	19	0.00075198984538504	0.0122087763133101
LjRoot89	Genotype	nsp1	-2.11913084678165	0.545961355534384	20	19	0.00147599622712517	0.0226319421492527
G21_LjRoot111	Genotype	symrk	1.61725473854231	0.42247136522545	20	20	0.00164599465640367	0.0237182640036912
G20_LjRoot162	Genotype	nsp2	1.15549014641488	0.303523013434172	20	20	0.00171871478287617	0.0237182640036912
LjRoot258	Genotype	nsp1	-1.77751053930985	0.479619119925582	20	8	0.00211258378402269	0.0277653868757267
LjRoot149	Genotype	ccamk	1.43642639958505	0.395364217272405	20	20	0.00245301367420582	0.028209657253367
G32_LjRoot291	Genotype	nsp1	0.992664308517558	0.272954247348464	20	20	0.00243512732300212	0.028209657253367
LjRoot10	Genotype	nsp1	-1.88374857086148	0.516145752570765	20	19	0.00237157174300708	0.028209657253367
G20_LjRoot162	Genotype	nsp1	1.07667726254722	0.303523013434172	20	20	0.0029255868185988	0.0301147454786076
LjRoot183	Genotype	symrk	1.52017046025241	0.433214413052127	20	20	0.00316423050318703	0.0301147454786076
G29_LjRoot226	Genotype	ccamk	1.00566917207523	0.284262061727165	20	20	0.00298281862089667	0.0301147454786076
LjRoot277	Genotype	ccamk	-1.91346773185069	0.543089036645718	20	16	0.00307301791949837	0.0301147454786076
LjRoot258	Genotype	nsp2	-1.7149221609607	0.479619119925582	20	8	0.00276044539458697	0.0301147454786076
LjRoot149	Genotype	nsp1	1.32154960221457	0.395364217272405	20	20	0.00445229770850342	0.039863728891477
G8_LjRoot126	Genotype	symrk	-1.31817047253113	0.394677539801775	20	20	0.0044774478102746	0.039863728891477
G2_LjRoot102	Genotype	nsp2	1.13500808585714	0.359180292474062	20	20	0.00647266156164516	0.0558267059691895
LjRoot82	Genotype	ccamk	1.43704899674497	0.458594366360386	20	20	0.00683173260438684	0.05713812723669
G11_LjRoot25	Genotype	nsp1	1.55059252188905	0.497503411332863	20	20	0.00707109011859022	0.05740061390385
LjRoot248	Genotype	ccamk	-1.62538214003868	0.528676897537707	20	18	0.00770936960295081	0.0594899424344073
LjRoot258	Genotype	symrk	-1.46659260906403	0.479619119925582	20	8	0.00797510097852562	0.0594899424344073
G15_LjRoot29	Genotype	ccamk	-2.83992232181524	0.927668695291056	20	12	0.0079179274551541	0.0594899424344073
G3_LjRoot129	Genotype	nsp1	0.861354976735039	0.293646932335062	20	20	0.0102761908035865	0.0643613679965042
LjRoot82	Genotype	nsp1	1.34513088367666	0.458594366360386	20	20	0.0102791329710565	0.0643613679965042
G4_LjRoot26	Genotype	nsp2	1.32574438467956	0.448800856638176	20	20	0.00985358956160383	0.0643613679965042
G6_LjRoot130	Genotype	ccamk	0.875793677795448	0.295379929807726	20	20	0.00963560814937746	0.0643613679965042
G17_LjRoot232	Genotype	nsp2	2.09276404986642	0.700246384407195	20	18	0.00918320579200481	0.0643613679965042
LjRoot227	Genotype	ccamk	-1.61520825022924	0.554643485251532	20	20	0.010726894666084	0.0643613679965042
G7_LjRoot117	Genotype	nsp1	2.15510757484448	0.738730529675459	20	20	0.0106152392490143	0.0643613679965042
G27_LjRoot78	Genotype	ccamk	-3.05534267085112	1.047608923162	20	15	0.0106329307454125	0.0643613679965042
G24_LjRoot12	Genotype	nsp2	-2.93969888695034	1.00123794831863	20	14	0.0102186918443358	0.0643613679965042
G20_LjRoot162	Genotype	ccamk	0.870695393036484	0.303523013434172	20	20	0.0117162688361774	0.0688019191230842
LjRoot183	Genotype	nsp1	1.22809910034412	0.433214413052127	20	20	0.0125449239027671	0.0721333124409108
G9_LjRoot131	Genotype	ccamk	1.93315330509675	0.695366054738847	20	8	0.0140121866191485	0.0789257858547958
G35_LjRoot145	Genotype	ccamk	2.10173796677888	0.760429768133155	20	16	0.0144760879904643	0.0790808190175852
LjRoot277	Genotype	nsp1	-1.49849877310748	0.543089036645718	20	16	0.0146127600358581	0.0790808190175852
G2_LjRoot102	Genotype	nsp1	0.981943419594716	0.359180292474062	20	20	0.0153776720616831	0.0816199517120104
G33_LjRoot104	Genotype	ccamk	1.49811625188412	0.556124450291398	20	17	0.0166629455518517	0.0867730749492654
LjRoot3	Genotype	nsp2	-1.24122455386266	0.463270507786195	20	20	0.017157024337386	0.0876914577244172
LjRoot296	Genotype	nsp1	2.005312743267	0.762401597841239	20	17	0.0189227913111195	0.0949580073067086
LjRoot295	Genotype	ccamk	1.87358637997693	0.741411811796622	20	18	0.0232301217204898	0.114491314193843
G7_LjRoot117	Genotype	ccamk	1.84554825137698	0.738730529675459	20	20	0.0245896222698338	0.117548849700554
G36_LjRoot142	Genotype	ccamk	-1.87993027697145	0.753191347265863	20	17	0.0247022945022904	0.117548849700554
G4_LjRoot26	Genotype	ccamk	1.11208813777731	0.448800856638176	20	20	0.0255967675614895	0.119740810965612
LjRoot219	Genotype	symrk	-0.928632312140492	0.38038471806655	20	20	0.0275074255573326	0.12653415756373
G2_LjRoot102	Genotype	symrk	0.862116518966679	0.359180292474062	20	20	0.0298113292907224	0.134884047282613
LjRoot28	Genotype	ccamk	0.782227514102719	0.330982997926187	20	3	0.0320355026480018	0.142609656949169
G16_LjRoot125	Genotype	ccamk	1.28525797840807	0.551933920888635	20	20	0.0342700929688625	0.150135645387397
G8_LjRoot126	Genotype	nsp2	-0.914733432259549	0.394677539801775	20	20	0.0350066033789996	0.150965977071936
G21_LjRoot111	Genotype	nsp1	0.970936152325943	0.42247136522545	20	20	0.0363484555863427	0.154341134489701
G21_LjRoot111	Genotype	nsp2	0.963707245522667	0.42247136522545	20	20	0.0375691202091409	0.157107229965498
G33_LjRoot104	Genotype	nsp2	1.26058523046577	0.556124450291398	20	17	0.0386250162959507	0.159112007428096
LjRoot1	Genotype	ccamk	-0.994627492556722	0.441189036749815	20	19	0.0395503122770538	0.159821138295881
G24_LjRoot12	Genotype	nsp1	-2.25190694717287	1.00123794831863	20	14	0.0399552845739702	0.159821138295881
G27_LjRoot78	Genotype	nsp1	-2.31416363003968	1.047608923162	20	15	0.0431479628387286	0.166952104153381
LjRoot295	Genotype	symrk	1.6351972456888	0.741411811796621	20	18	0.0434355555518149	0.166952104153381
LjRoot295	Genotype	nsp2	1.63415138860031	0.741411811796622	20	18	0.043552722822621	0.166952104153381
G17_LjRoot232	Genotype	ccamk	1.51545981097663	0.700246384407195	20	18	0.0469933708652633	0.177673566559078
G4_LjRoot26	Genotype	symrk	0.951518713779369	0.448800856638176	20	20	0.051079926969259	0.190514322209669
G11_LjRoot25	Genotype	symrk	1.03095594811447	0.497503411332863	20	20	0.0558918566326989	0.197771185008011
LjRoot122	Genotype	ccamk	1.93721811505946	0.930922326237772	20	20	0.054986848258145	0.197771185008011
LjRoot237	Genotype	nsp1	0.719489913423256	0.346759948356683	20	20	0.0556166266793223	0.197771185008011
LjRoot1	Genotype	nsp2	-0.923010803818759	0.441189036749815	20	19	0.0538494541691969	0.197771185008011
G27_LjRoot78	Genotype	nsp2	-2.14904827222962	1.047608923162	20	15	0.0581174031088398	0.203043079215694
G4_LjRoot26	Genotype	nsp1	0.909093813474996	0.448800856638176	20	20	0.0609774420739867	0.210372175155254
LjRoot289	Genotype	ccamk	-1.48469147023035	0.740004960288616	20	20	0.0631998458397943	0.215347622861521
G5_LjRoot105	Genotype	ccamk	0.614994893680931	0.310870312293506	20	3	0.0665619938253173	0.220818066003998
LjRoot248	Genotype	nsp1	-1.04347348624245	0.528676897537707	20	18	0.0671235629854472	0.220818066003998
LjRoot261	Genotype	nsp1	1.3841615561947	0.701522055742905	20	7	0.067205498349043	0.220818066003998
G8_LjRoot126	Genotype	ccamk	-0.76843376891197	0.394677539801775	20	20	0.0705092266519629	0.221142574499338
G17_LjRoot232	Genotype	nsp1	1.36628890506825	0.700246384407195	20	18	0.0699724385068723	0.221142574499338
LjRoot243	Genotype	nsp1	0.815930881891679	0.417352550108136	20	20	0.0694778626677103	0.221142574499338
G29_LjRoot226	Genotype	nsp1	0.554692227541206	0.284262061727165	20	20	0.0699484767736958	0.221142574499338
LjRoot221	Genotype	nsp2	0.53924525197309	0.278361342124228	20	20	0.0717846705260381	0.222613135563893
G32_LjRoot291	Genotype	nsp2	0.521568136776413	0.272954247348464	20	20	0.0753309794031289	0.223835879818899
LjRoot289	Genotype	nsp2	-1.41352553564296	0.740004960288616	20	20	0.0754229595041941	0.223835879818899
LjRoot18	Genotype	ccamk	-1.49721404203753	0.782055445328159	20	20	0.074833399897247	0.223835879818899
LjRoot89	Genotype	ccamk	1.0494813075367	0.545961355534384	20	19	0.073774993154793	0.223835879818899
LjRoot18	Genotype	nsp2	1.47353143907525	0.782055445328159	20	20	0.079071554037601	0.229723672782925
LjRoot10	Genotype	nsp2	-0.972633159874506	0.516145752570765	20	19	0.0790374240903212	0.229723672782925
G8_LjRoot126	Genotype	nsp1	-0.725860421961895	0.394677539801775	20	20	0.0857753690727553	0.243362921632651
LjRoot89	Genotype	nsp2	0.998759367489835	0.545961355534384	20	19	0.0872932218899726	0.243362921632651
LjRoot244	Genotype	ccamk	-2.78113491966414	1.51898171736433	20	6	0.0870488755416514	0.243362921632651
LjRoot244	Genotype	nsp1	-2.78113491966414	1.51898171736433	20	6	0.0870488755416514	0.243362921632651
G34_LjRoot233	Genotype	nsp1	-1.69739084852778	0.941984656088986	20	10	0.0916857167923849	0.253052578346982
LjRoot196	Genotype	nsp2	-1.20729911112631	0.67967780432046	20	20	0.0959690980665095	0.257159913265598
G1_LjRoot134	Genotype	symrk	-0.620557885860526	0.347614528795264	20	20	0.0944618081190963	0.257159913265598
G34_LjRoot233	Genotype	nsp2	-1.67802968635504	0.941984656088986	20	10	0.0951043734327341	0.257159913265598
G17_LjRoot232	Genotype	symrk	1.2363723247191	0.700246384407194	20	18	0.0978000734789199	0.259546348847903
LjRoot71	Genotype	ccamk	2.46576241523588	1.41410102444736	20	20	0.10166464708772	0.267232786630578
LjRoot289	Genotype	symrk	-1.28243348835548	0.740004960288616	20	20	0.103596611805711	0.269589893317069
LjRoot219	Genotype	nsp2	-0.657299748026304	0.38038471806655	20	20	0.104514922409153	0.269589893317069
LjRoot223	Genotype	ccamk	-2.56201656859405	1.49804269864489	20	20	0.107818221821684	0.270525720207135
G27_LjRoot78	Genotype	symrk	-1.79363817339911	1.047608923162	20	15	0.107463400614067	0.270525720207135
G24_LjRoot12	Genotype	symrk	-1.7176106482613	1.00123794831863	20	14	0.106832567321018	0.270525720207135
G15_LjRoot29	Genotype	nsp1	-1.56576506218441	0.927668695291056	20	12	0.112116725742078	0.278776723466788
G34_LjRoot233	Genotype	symrk	-1.56042869460682	0.941984656088985	20	10	0.118377314882914	0.291715525961466
G21_LjRoot111	Genotype	ccamk	0.696179666421607	0.42247136522545	20	20	0.120160810109105	0.293490120266488
G33_LjRoot104	Genotype	symrk	0.903371378676408	0.556124450291397	20	17	0.125111783866725	0.302902213572072
G30_LjRoot2	Genotype	symrk	-0.697376758364585	0.431110975652443	20	20	0.126573894849057	0.303777347637736
G6_LjRoot130	Genotype	nsp2	0.475795827850973	0.295379929807726	20	20	0.128062959273691	0.304701523789127
G14_LjRoot22	Genotype	symrk	-1.0953541733723	0.683010532397345	20	19	0.129620856550752	0.305772276991518
G11_LjRoot25	Genotype	nsp2	0.786369453967761	0.497503411332863	20	20	0.13481490774588	0.315329784219177
G6_LjRoot130	Genotype	nsp1	0.455304749578787	0.295379929807726	20	20	0.144043682012368	0.323219969393605
LjRoot10	Genotype	symrk	-0.797691187913456	0.516145752570765	20	19	0.143064920021963	0.323219969393605
G36_LjRoot142	Genotype	nsp1	-1.17355874578625	0.753191347265863	20	17	0.140051023475555	0.323219969393605
G35_LjRoot145	Genotype	symrk	1.17831968518551	0.760429768133155	20	16	0.142088936725842	0.323219969393605
LjRoot244	Genotype	nsp2	-2.36246174080849	1.51898171736433	20	6	0.140719269864345	0.323219969393605
G33_LjRoot104	Genotype	nsp1	0.83478442451079	0.556124450291398	20	17	0.154091144520731	0.34297706361066
LjRoot229	Genotype	nsp2	0.917174959314273	0.636645656206104	20	19	0.170234662530988	0.375878134868422
LjRoot248	Genotype	symrk	-0.758713500016861	0.528676897537707	20	18	0.171776131399726	0.376271525923209
LjRoot3	Genotype	symrk	-0.645529093474447	0.463270507786195	20	20	0.18379843445051	0.396315374283913
LjRoot219	Genotype	ccamk	-0.530398700682397	0.38038471806655	20	20	0.18351495979792	0.396315374283913
LjRoot221	Genotype	ccamk	0.385427756353308	0.278361342124228	20	20	0.186417264475122	0.398846240272355
G15_LjRoot29	Genotype	nsp2	-1.27454367194787	0.927668695291056	20	12	0.189650487010956	0.40264257242326
LjRoot227	Genotype	symrk	-0.755473430591712	0.554643485251532	20	20	0.193275517935831	0.40662991649168
LjRoot257	Genotype	nsp1	-0.685333631535248	0.504585163524355	20	6	0.194475177452543	0.40662991649168
G1_LjRoot134	Genotype	nsp2	-0.464539282744337	0.347614528795264	20	20	0.201349957462879	0.415621011073285
LjRoot152	Genotype	symrk	1.28097189272217	0.959533337056203	20	10	0.201787012622537	0.415621011073285
