feature	LjRoot221	LjRoot149	G37_LjNodule209	LjRoot228	LjRoot223	G21_LjRoot111	G3_LjRoot129	LjRoot196	G8_LjRoot126	LjRoot259	G32_LjRoot291	G11_LjRoot25	G16_LjRoot125	LjRoot17	LjRoot82	G2_LjRoot102	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot243	LjRoot122	G12_LjRoot70	G29_LjRoot226	LjRoot237	G22_LjRoot238	LjRoot10	G7_LjRoot117	LjRoot229	LjRoot11	G36_LjRoot142	G5_LjRoot105	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	LjRoot89	LjRoot1	G35_LjRoot145	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot296	G24_LjRoot12	LjRoot295	LjRoot257	G9_LjRoot131	LjRoot258	G15_LjRoot29	LjRoot244	LjRoot230	LjRoot220	G34_LjRoot233	LjRoot261	LjRoot28	G31_LjRoot101	LjRoot288	LjRoot231
Lj_Gifu_LjSC_1_endo	10036	6937	2354	16677	5481	3437	1817	5410	2305	2815	2904	1412	2078	1531	1184	1394	1006	696	2323	32	1196	1078	224	264	354	266	517	457	442	405	298	278	360	355	255	115	177	188	280	0	455	272	166	155	60	104	88	110	45	32	68	32	98	50	82	14	75	98	106	34	5	30	0	21	15	0	18	0	0
Lj_Gifu_LjSC_2_endo	5750	1825	7241	8259	5216	1831	842	809	1576	986	1526	2174	808	853	395	464	544	306	491	34	372	426	81	82	183	0	336	397	288	122	88	145	171	146	139	57	102	122	112	0	89	106	76	167	30	69	0	45	23	0	0	25	40	16	25	12	54	0	96	10	310	7	18	24	0	0	0	0	6
Lj_Gifu_LjSC_3_endo	4780	2612	15598	2264	1097	1038	737	680	931	1255	1487	392	985	671	251	650	397	954	677	9	509	986	170	235	216	50	374	293	251	85	0	101	175	191	106	46	211	54	82	0	167	109	52	106	25	70	78	52	27	0	0	11	22	44	16	51	0	0	98	10	0	12	0	8	0	0	0	0	0
Lj_Gifu_LjSC_4_endo	7126	2221	17337	518	1043	972	641	1822	836	1411	1679	725	499	466	457	420	353	476	677	20	740	321	96	134	185	80	380	344	245	67	149	155	120	99	328	59	119	92	113	0	176	124	87	91	26	51	0	49	30	26	48	27	22	0	28	0	0	0	82	16	7	7	16	13	9	0	0	0	0
Lj_symrk_LjSC_1_endo	8529	3040	0	63	14842	8995	2317	1544	493	1401	2991	3140	514	401	411	875	2583	1088	670	15	522	273	185	189	302	146	327	165	377	80	0	242	183	117	73	42	193	73	82	0	96	775	104	97	28	69	80	47	33	27	45	4	26	0	0	43	0	0	84	12	0	17	8	0	0	0	0	0	0
Lj_symrk_LjSC_2_endo	14263	4166	131	43	15512	10419	4034	1362	409	1808	2419	4348	780	381	594	1739	3404	4612	1376	21	280	666	303	682	441	225	453	248	796	95	170	174	262	246	134	49	406	81	69	0	422	144	100	137	52	82	110	44	29	0	132	4	21	63	12	76	0	0	65	56	225	12	0	0	0	0	0	0	0
Lj_symrk_LjSC_3_endo	12263	4872	213	162	22335	7384	2698	4505	825	1992	3141	3190	1044	879	1142	1593	1249	2204	605	34	798	607	277	229	325	237	515	356	396	163	236	263	238	153	119	160	272	158	95	0	116	188	121	137	51	102	100	41	32	74	82	12	40	27	13	55	0	0	0	31	0	14	13	21	0	0	0	3	0
Lj_symrk_LjSC_4_endo	18128	11923	0	43	2854	4080	5864	1986	2207	1036	2202	1753	5891	7556	3313	3992	1902	2971	842	4684	206	1104	1339	272	469	578	200	480	307	2906	335	374	383	484	582	373	162	374	243	553	61	138	91	84	280	98	201	108	69	227	88	43	48	90	89	85	113	88	0	8	51	0	23	11	0	23	18	0	0
Lj_ccamk_LjSC_1_endo	6383	5161	34	0	603	1239	2687	1384	455	355	1009	688	2315	1209	1061	1715	674	2318	393	109	43	722	210	21	205	101	55	256	125	585	103	238	176	136	195	308	96	117	0	159	0	0	59	36	67	34	144	54	7	40	63	0	32	36	20	97	53	99	0	0	0	0	0	28	0	14	0	0	0
Lj_ccamk_LjSC_2_endo	2785	1685	36	0	3032	2055	983	726	323	704	854	468	380	200	366	614	272	889	173	12	117	200	89	124	143	52	155	47	107	59	0	78	67	27	40	33	118	24	0	0	32	0	0	19	13	0	66	14	0	0	32	0	0	20	0	15	0	0	0	0	0	8	0	0	0	0	0	0	0
Lj_ccamk_LjSC_3_endo	12359	9348	0	87	108	2265	4459	2136	755	1893	3051	1467	2472	1827	1684	2515	1230	2430	826	129	277	1143	271	87	617	354	182	432	358	857	383	368	366	389	224	249	291	79	123	0	28	214	126	50	75	66	108	84	0	0	120	7	48	43	51	57	71	164	0	0	0	0	18	20	0	18	8	0	0
Lj_ccamk_LjSC_4_endo	8796	16370	0	22	46	2562	5040	1337	1022	732	1948	795	4522	1232	1489	2021	1284	5965	921	365	662	1117	431	16	548	353	61	273	250	691	119	507	313	147	248	396	246	142	84	410	24	151	64	0	111	46	150	41	18	70	62	6	15	38	23	24	0	362	0	0	0	0	14	0	22	0	0	0	0
Lj_nsp1_LjSC_1_endo	9192	8196	0	369	11212	2864	1407	5692	539	1866	3768	4329	977	730	1250	1017	970	1278	846	17	341	487	149	325	232	385	282	205	438	47	212	193	263	136	63	615	241	116	75	0	80	205	108	69	9	40	85	25	33	27	67	11	51	61	6	14	0	62	75	6	0	33	37	0	26	0	0	0	0
Lj_nsp1_LjSC_2_endo	7810	4698	52	30	2014	2660	1515	2967	679	1772	2343	2117	1005	749	984	1209	1038	911	1002	31	341	524	254	285	267	296	275	178	362	89	356	257	207	172	44	398	251	58	116	0	93	135	139	62	9	83	139	44	0	19	90	20	33	31	11	14	0	0	0	25	0	11	35	15	27	0	0	0	0
