feature	LjRoot221	LjRoot149	G37_LjNodule209	LjRoot228	LjRoot223	G21_LjRoot111	G3_LjRoot129	LjRoot196	G8_LjRoot126	LjRoot259	G32_LjRoot291	G11_LjRoot25	G16_LjRoot125	LjRoot17	LjRoot82	G2_LjRoot102	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot243	LjRoot122	G12_LjRoot70	G29_LjRoot226	LjRoot237	G22_LjRoot238	LjRoot10	G7_LjRoot117	LjRoot229	LjRoot11	G36_LjRoot142	G5_LjRoot105	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	LjRoot89	LjRoot1	G35_LjRoot145	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot296	G24_LjRoot12	LjRoot295	LjRoot257	G9_LjRoot131	LjRoot258	G15_LjRoot29	LjRoot244	LjRoot230	LjRoot220	G34_LjRoot233	LjRoot261	LjRoot28	G31_LjRoot101	LjRoot288	LjRoot231
Lj_Gifu_LjSC_1_endo	0.123033921369114	0.0850424783317601	0.0288582952274705	0.204447659094531	0.0671929975113705	0.0421350725135158	0.0222750732490714	0.0663225901362004	0.0282575915460151	0.0345098135366736	0.0356008875703375	0.0173100734329602	0.0254747397972319	0.0187689252307805	0.0145149624253718	0.0170894067744664	0.0123328143580439	0.008532444128428	0.028478258204509	0.000392296281766804	0.0146620735310343	0.0132154809920192	0.00274607397236763	0.00323644432457614	0.00433977761704527	0.00326096284218656	0.00633803680229493	0.00560248127398217	0.00541859239190399	0.00496499981611112	0.00365325912395337	0.00340807394784911	0.00441333316987655	0.00435203687585049	0.00312611099532922	0.00140981476259945	0.00216988880852264	0.00230474065537998	0.00343259246545954	0	0.00557796275637175	0.00333451839501784	0.0020350369616653	0.00190018511480796	0.000735555528312758	0.00127496291574211	0.00107881477485871	0.00134851846857339	0.000551666646234569	0.000392296281766804	0.000833629598754459	0.000392296281766804	0.00120140736291084	0.000612962940260632	0.00100525922202744	0.000171629623272977	0.000919444410390948	0.00120140736291084	0.00129948143335254	0.00041681479937723	6.12962940260632e-05	0.000367777764156379	0	0.000257444434909465	0.00018388888207819	0	0.000220666658493827	0	0
Lj_Gifu_LjSC_2_endo	0.123531054632952	0.0392076825574151	0.155563194190818	0.177433561776269	0.112058779298344	0.0393365845274669	0.0180892431305992	0.0173802822953144	0.0338582508002664	0.0211828904118418	0.0327840677165016	0.0467054804820934	0.0173587986336391	0.0183255634090274	0.0084860463617419	0.00996841901733731	0.011687111951361	0.00657400047264056	0.0105484778825703	0.000730444496960062	0.00799192214321009	0.00915203987367607	0.00174017659569897	0.00176166025737427	0.00393151008657916	0	0.00721851032289943	0.00852901368509249	0.00618729456248523	0.0026210067243861	0.00189056222742604	0.00311513094291791	0.00367370614647561	0.00313661460459321	0.00298622897286614	0.00122456871549187	0.00219133349088019	0.0026210067243861	0.00240617010763315	0	0.00191204588910134	0.00227726813758137	0.00163275828732249	0.00358777149977442	0.000644509850258878	0.00148237265559542	0	0.000966764775388317	0.000494124218531807	0	0	0.000537091541882398	0.000859346467011837	0.000343738586804735	0.000537091541882398	0.000257803940103551	0.00116011773046598	0	0.00206243152082841	0.000214836616752959	0.00665993511934174	0.000150385631727072	0.000386705910155327	0.000515607880207102	0	0	0	0	0.000128901970051776
Lj_Gifu_LjSC_3_endo	0.11231730814418	0.0613750646176982	0.366511584190986	0.0531979886272851	0.0257765872456412	0.024390243902439	0.0173175431176277	0.0159781944640256	0.021876028008835	0.0294891677240472	0.0349405517176559	0.00921095916161474	0.023144884628037	0.0157667183608252	0.00589783354480944	0.0152732741200244	0.00932844588561493	0.0224164669392359	0.0159077024296255	0.000211476103200338	0.0119601485032191	0.0231683819728371	0.00399454861600639	0.00552187602800884	0.00507542647680812	0.00117486724000188	0.00878800695521406	0.00688472202641102	0.00589783354480944	0.0019972743080032	0	0.0023732318248038	0.00411203534000658	0.00448799285680718	0.00249071854880399	0.00108087786080173	0.00495793975280793	0.00126885661920203	0.00192678227360308	0	0.00392405658160628	0.0025612105832041	0.00122186192960195	0.00249071854880399	0.00058743362000094	0.00164481413600263	0.00183279289440293	0.00122186192960195	0.000634428309601015	0	0	0.000258470792800414	0.000516941585600827	0.00103388317120165	0.000375957516800602	0.00119836458480192	0	0	0.00230273979040368	0.000234973448000376	0	0.000281968137600451	0	0.000187978758400301	0	0	0	0	0
Lj_Gifu_LjSC_4_endo	0.160278902384166	0.0499550157444894	0.389946018893387	0.011650922177238	0.0234592892487629	0.0218623481781377	0.0144174538911381	0.0409806567701305	0.0188034188034188	0.0317363922627081	0.0377642825011246	0.0163067926225821	0.0112235717498875	0.0104813315339631	0.0102789023841655	0.00944669365721997	0.00793972109761583	0.010706252811516	0.0152271704903284	0.000449842555105713	0.0166441745389114	0.00721997300944669	0.00215924426450742	0.00301394511920828	0.00416104363472785	0.00179937022042285	0.00854700854700855	0.00773729194781826	0.00551057130004498	0.00150697255960414	0.00335132703553756	0.00348627980206928	0.00269905533063428	0.00222672064777328	0.00737741790373369	0.00132703553756185	0.00267656320287899	0.00206927575348628	0.00254161043634728	0	0.00395861448493027	0.00278902384165542	0.00195681511470985	0.00204678362573099	0.000584795321637427	0.00114709851551957	0	0.001102114260009	0.000674763832658569	0.000584795321637427	0.00107962213225371	0.000607287449392713	0.000494826810616284	0	0.000629779577147998	0	0	0	0.00184435447593342	0.00035987404408457	0.000157444894287	0.000157444894287	0.00035987404408457	0.000292397660818713	0.000202429149797571	0	0	0	0
Lj_symrk_LjSC_1_endo	0.144368462033244	0.051457395307898	0	0.0010663868106571	0.251227191170994	0.152256339077152	0.0392193371474999	0.0261349402484851	0.0083448999627611	0.0237144114560412	0.0506279833440536	0.0531500727851315	0.00870036223298013	0.00678763668370629	0.00695690443142964	0.014810927925793	0.043721859236941	0.0184163309523003	0.0113409390974644	0.000253901621585023	0.00883577643115881	0.00462100951284742	0.00313145333288195	0.00319916043197129	0.00511188598124513	0.00247130911676089	0.00553505535055351	0.00279291783743526	0.00638139408917025	0.00135414198178679	0	0.00409627949490504	0.00309759978333728	0.00198043264836318	0.00123565455838045	0.000710924540438065	0.00326686753106063	0.00123565455838045	0.00138799553133146	0	0.00162497037814415	0.0131182504485595	0.00176038457632283	0.00164189715291648	0.000473949693625377	0.00116794745929111	0.00135414198178679	0.000795558414299739	0.000558583567487051	0.000457022918853042	0.00076170486475507	6.77070990893395e-05	0.000440096144080707	0	0	0.0007278513152104	0	0	0.00142184908087613	0.000203121297268019	0	0.000287755171129693	0.000135414198178679	0	0	0	0	0	0
Lj_symrk_LjSC_2_endo	0.17966417675438	0.0524771058233716	0.00165014423016363	0.00054165039616058	0.195397231284719	0.131243150641793	0.050814365072367	0.0171564613853654	0.00515197702394599	0.0227745096804263	0.0304709839142429	0.0547696726164233	0.00982528625593611	0.00479927444039956	0.00748233337952058	0.0219053497424011	0.0428785569425725	0.0580951541184325	0.0173328126771386	0.000264526937659818	0.00352702583546424	0.00838928288006852	0.00381674581480595	0.00859082721352362	0.00555506569085619	0.00283421718921234	0.00570622394094751	0.00312393716855405	0.0100268305893912	0.00119666947988965	0.00214140854296043	0.00219179462632421	0.00330028846032726	0.00309874412687216	0.00168793379268646	0.000617229521206243	0.00511418746142315	0.00102031818811644	0.000869159938025117	0	0.00531573179487825	0.0018138990010959	0.00125965208409437	0.00172572335520929	0.000655019083729074	0.00103291470895739	0.00138561729250381	0.000554246917001524	0.000365299104387368	0	0.00166274075100457	5.03860833637749e-05	0.000264526937659818	0.000793580812979455	0.000151158250091325	0.000957335583911724	0	0	0.000818773854661343	0.000705405167092849	0.00283421718921234	0.000151158250091325	0	0	0	0	0	0	0
Lj_symrk_LjSC_3_endo	0.154835858585859	0.0615151515151515	0.00268939393939394	0.00204545454545455	0.282007575757576	0.0932323232323232	0.0340656565656566	0.0568813131313131	0.0104166666666667	0.0251515151515152	0.0396590909090909	0.0402777777777778	0.0131818181818182	0.0110984848484848	0.0144191919191919	0.0201136363636364	0.015770202020202	0.0278282828282828	0.00763888888888889	0.000429292929292929	0.0100757575757576	0.00766414141414141	0.00349747474747475	0.00289141414141414	0.00410353535353535	0.00299242424242424	0.00650252525252525	0.0044949494949495	0.005	0.00205808080808081	0.00297979797979798	0.00332070707070707	0.0030050505050505	0.00193181818181818	0.00150252525252525	0.00202020202020202	0.00343434343434343	0.00199494949494949	0.00119949494949495	0	0.00146464646464646	0.00237373737373737	0.00152777777777778	0.00172979797979798	0.000643939393939394	0.00128787878787879	0.00126262626262626	0.000517676767676768	0.000404040404040404	0.000934343434343434	0.00103535353535354	0.000151515151515152	0.000505050505050505	0.000340909090909091	0.000164141414141414	0.000694444444444444	0	0	0	0.000391414141414141	0	0.000176767676767677	0.000164141414141414	0.000265151515151515	0	0	0	3.78787878787879e-05	0
Lj_symrk_LjSC_4_endo	0.18672105143893	0.122808643882743	0	0.000442906289269308	0.0293966174319675	0.0420245967492738	0.0604000576808191	0.0204560904764848	0.0227324228004038	0.0106709515275117	0.0226809220690934	0.0180561563974208	0.0606781616298951	0.0778279051562532	0.0341243845662608	0.0411181838782111	0.0195908781904703	0.0306017345446305	0.00867272315266877	0.0482458850915683	0.00212183012998785	0.0113713614733329	0.013791895844921	0.00280163978328492	0.00483076859691408	0.00595348453948046	0.00206002925241538	0.00494407020579692	0.00316214490245761	0.0299322250375955	0.00345054899779577	0.00385225470201677	0.00394495601837546	0.00498527079084523	0.00599468512452877	0.00384195455575469	0.00166862369445646	0.00385225470201677	0.00250293554168469	0.00569598088292854	0.000628308921986692	0.00142142018416662	0.000937313309849	0.000865212286014461	0.00288404095338154	0.00100941433368354	0.00207032939867746	0.00111241579630431	0.000710710092083308	0.00233813320149146	0.000906412871062769	0.000442906289269308	0.000494407020579692	0.000927013163586923	0.000916713017324846	0.000875512432276538	0.00116391652761469	0.000906412871062769	0	8.24011700966154e-05	0.000525307459365923	0	0.000236903364027769	0.000113301608882846	0	0.000236903364027769	0.000185402632717385	0	0
Lj_ccamk_LjSC_1_endo	0.184875166541157	0.149481550136129	0.000984765104558883	0	0.0174650987661473	0.0358859989573075	0.0778254069396976	0.0400857324914557	0.0131784741933615	0.0102821062387766	0.0292243526617622	0.0199270115275445	0.0670509181486416	0.0350170885709321	0.0307304639981463	0.0496727104211319	0.0195215200139026	0.0671378091872792	0.0113827260615189	0.0031570410704976	0.00124543822047153	0.0209117766321033	0.0060823727046284	0.00060823727046284	0.00593755430689915	0.0029253316341308	0.00159300237502172	0.00741470196373747	0.00362045994323119	0.016943752534322	0.0029832589932225	0.00689335573191218	0.00509760760006951	0.00393906041823553	0.00564791751144065	0.00892081330012165	0.00278051323640155	0.00338875050686439	0	0.00460522504779007	0	0	0.00170885709320512	0.00104269246365058	0.00194056652957192	0.000984765104558883	0.00417076985460233	0.00156403869547587	0.000202745756820947	0.00115854718183398	0.00182471181138852	0	0.000926837745467184	0.00104269246365058	0.00057927359091699	0.0028094769159474	0.00153507501593002	0.0028674042750391	0	0	0	0	0	0.000810983027283786	0	0.000405491513641893	0	0	0
Lj_ccamk_LjSC_2_endo	0.152552585451358	0.0922984224364592	0.00197195442594216	0	0.166082383873795	0.112565731814198	0.0538453111305872	0.0397677475898335	0.0176928133216477	0.0385626643295355	0.0467791411042945	0.025635407537248	0.0208150744960561	0.0109553023663453	0.0200482033304119	0.0336327782646801	0.0148992112182296	0.0486963190184049	0.00947633654688869	0.000657318141980719	0.00640885188431201	0.0109553023663453	0.00487510955302366	0.00679228746713409	0.0078330411919369	0.00284837861524978	0.00849035933391762	0.00257449605609115	0.00586108676599474	0.00323181419807187	0	0.00427256792287467	0.00367002629272568	0.00147896581945662	0.00219106047326906	0.00180762489044698	0.00646362839614373	0.00131463628396144	0	0	0.00175284837861525	0	0	0.0010407537248028	0.000712094653812445	0	0.00361524978089395	0.000766871165644172	0	0	0.00175284837861525	0	0	0.00109553023663453	0	0.000821647677475898	0	0	0	0	0	0.000438212094653812	0	0	0	0	0	0	0
